SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JUMBO,20091105,34,34.55,34,34.55,952,951
JUMBO,20091106,38.05,38.05,33.25,36.3,7270,6080
JUMBO,20091109,35,36,34.6,35.75,2477,2324
JUMBO,20091110,34,35.75,32.35,33.85,4494,2183
JUMBO,20091111,32.15,35.15,32.15,34.45,953,288
JUMBO,20091112,32.65,35,29.9,30.6,7372,5606
JUMBO,20091113,32.7,32.7,31,31.9,10524,6337
JUMBO,20091116,32.2,34,31.8,31.9,5512,3179
JUMBO,20091117,32,38.3,31.1,38.1,97417,47285
JUMBO,20091118,38.9,39.1,35.05,37.9,69267,28527
JUMBO,20091119,39,45.25,37.2,42.7,299641,82531
JUMBO,20091120,40.1,42.85,39.75,40.8,50498,14808
JUMBO,20091123,40.1,43.9,40.1,43.2,30534,11925
JUMBO,20091124,44.8,44.8,40,40.7,59778,42191
JUMBO,20091125,40.1,41.95,39,39.6,33722,16470
JUMBO,20091126,40.75,41,39.25,39.5,9113,5590
JUMBO,20091127,37.75,40,37.1,37.9,7708,5097
JUMBO,20091130,38,40.9,34.2,36.2,37126,24670
JUMBO,20091201,37,38.2,36.1,36.35,6704,4459
JUMBO,20091202,37,38.45,36.25,37.55,28916,26483
JUMBO,20091203,37,37.75,35.15,35.65,11295,7825
JUMBO,20091204,35,38.2,35,37.4,15290,9184
JUMBO,20091207,37,37.45,35.55,35.85,4382,2677
JUMBO,20091208,35.2,37.1,35.2,36.6,3921,0
JUMBO,20091209,36,36.9,35.75,35.85,4161,3355
JUMBO,20091210,36.9,36.9,34.8,34.9,2289,0
JUMBO,20091211,34,36.5,33,33.45,6617,4878
JUMBO,20091214,33.75,34.8,32.55,32.65,2265,1981
JUMBO,20091215,32.95,33.9,32.25,32.85,5150,0
JUMBO,20091216,32.4,33.3,31.05,31.75,6975,2873
JUMBO,20091217,32.9,33.25,31.15,32.5,7425,4577
JUMBO,20091218,31.8,33.4,31.75,32.55,6739,4657
JUMBO,20091221,32.05,33,31.75,32.3,2573,2328
JUMBO,20091222,32.4,32.75,31.9,32,801,455
JUMBO,20091223,36.75,38.4,33.05,38.4,112190,40769
