SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
JVLAGRO,20110617,23.5,23.7,22.5,22.8,125870,0
JVLAGRO,20110620,22.3,22.5,21.7,21.7,151115,0
JVLAGRO,20110621,21.6,22.2,20.65,21.55,30934,22891
JVLAGRO,20110622,21,22.25,21,21.35,28595,0
JVLAGRO,20110623,21,21.5,20.5,20.55,24769,19767
JVLAGRO,20110624,20,21.6,19.8,21.45,72209,60364
JVLAGRO,20110627,21.4,21.4,20.4,20.45,75946,0
JVLAGRO,20110628,20.65,20.9,19.45,19.55,16932,0
JVLAGRO,20110629,20.5,20.55,19.2,20.45,105964,0
JVLAGRO,20110630,19.6,20.8,19.6,20.5,16536,15336
JVLAGRO,20110701,20.75,20.95,20.6,20.85,11495,0
JVLAGRO,20110704,20.05,21,20.05,20.8,809,794
JVLAGRO,20110705,20.05,21,20.05,21,10289,9283
JVLAGRO,20110706,20.2,21,20,20.65,24210,19598
JVLAGRO,20110707,20.65,22.75,20.2,22.75,195788,79612
JVLAGRO,20110708,23.6,23.7,21.5,21.9,51596,0
JVLAGRO,20110711,21.9,22.6,21,21.45,26510,22492
JVLAGRO,20110712,21,22.2,21,21.45,7281,0
JVLAGRO,20110713,21.05,22.2,21.05,21.55,11516,9490
JVLAGRO,20110714,21.3,21.95,20.5,20.95,28899,0
JVLAGRO,20110715,21.9,21.9,20.35,20.7,15396,13840
JVLAGRO,20110718,20.7,21.8,20.6,20.8,20686,0
JVLAGRO,20110719,21,21.6,20.25,20.5,26805,0
JVLAGRO,20110720,20.8,22.5,20.1,20.65,42554,0
JVLAGRO,20110721,20.9,21.1,20,20.5,18249,0
JVLAGRO,20110722,20,21.45,19.5,19.95,54156,0
JVLAGRO,20110725,20,20.6,19.95,20.35,29244,24899
JVLAGRO,20110726,20.25,20.5,19.9,20.05,23808,0
JVLAGRO,20110727,19.6,20.35,19.5,19.75,36633,29058
JVLAGRO,20110728,19.95,20.2,18.8,18.95,59095,30489
JVLAGRO,20110729,19.3,19.85,18.9,19,20889,0
JVLAGRO,20110801,19.45,20.75,19,20.2,19739,7377
JVLAGRO,20110802,20.45,20.5,19.25,19.75,15339,12540
JVLAGRO,20110803,19.7,20.4,19.05,19.95,20826,0
JVLAGRO,20110804,20.2,21.1,19.9,20.5,34783,24681
JVLAGRO,20110805,20.5,20.5,18.6,18.95,37339,0
JVLAGRO,20110808,18.1,19.75,17.75,19.25,45425,0
JVLAGRO,20110809,19,19,17.6,18.05,65909,38304
JVLAGRO,20110810,18.8,18.85,18.1,18.35,53852,0
JVLAGRO,20110811,18.6,18.85,18.25,18.6,11541,0
JVLAGRO,20110812,18.1,18.9,17.85,18,31934,0
JVLAGRO,20110816,18,18.2,16.6,17,44717,41868
JVLAGRO,20110817,16.95,17.5,16.7,16.75,36188,0
JVLAGRO,20110818,17,17,16.45,16.45,13560,11847
JVLAGRO,20110819,15.5,16,14.8,15.3,25180,18384
JVLAGRO,20110822,15,15.7,14.65,15.45,27535,0
JVLAGRO,20110823,15.95,16.2,15.25,15.55,13042,9611
JVLAGRO,20110824,15.5,15.85,15.15,15.35,8873,6720
JVLAGRO,20110825,15.2,15.7,15.2,15.35,6507,0
JVLAGRO,20110826,14.65,15.85,14.5,14.7,12551,7098
JVLAGRO,20110829,15.85,16,14,15.1,19850,0
JVLAGRO,20110830,15.5,16.6,14.75,15,132069,0
JVLAGRO,20110902,15.5,15.7,14.75,15,25001,15546
JVLAGRO,20110905,15,15,14.3,14.6,34067,27165
JVLAGRO,20110906,14.8,15,13.5,14.1,116103,53488
JVLAGRO,20110907,14.6,14.7,13.5,14,146673,66890
JVLAGRO,20110908,14.5,14.9,13.5,14.15,145994,66449
JVLAGRO,20110909,14.6,14.7,14,14.45,46938,0
JVLAGRO,20110912,14.25,14.55,14.05,14.2,26972,0
JVLAGRO,20110913,14.75,15.4,14.1,15.1,53960,0
JVLAGRO,20110914,15,16.1,15,15.85,47628,0
JVLAGRO,20110915,16.3,16.4,14.6,15.45,36215,0
JVLAGRO,20110916,15.6,15.95,15.3,15.7,18815,13580
JVLAGRO,20110919,15.5,15.95,15.3,15.9,30105,26168
JVLAGRO,20110920,15.5,16.7,15.5,16.25,53277,36009
JVLAGRO,20110921,13,16.75,13,16.2,28183,0
JVLAGRO,20110922,16,16,15.4,15.8,37608,0
JVLAGRO,20110923,15.25,15.9,14.9,15.1,26757,0
JVLAGRO,20110926,15.8,15.9,14.65,15.25,21120,14844
JVLAGRO,20110927,15.35,16,14.25,15.15,24612,0
JVLAGRO,20110928,15.95,15.95,15,15,6317,0
JVLAGRO,20110929,14.4,15.3,14.35,15.05,8415,8088
JVLAGRO,20110930,15.95,15.95,14.5,15.3,16211,0
JVLAGRO,20111003,16,16,14.85,15.25,15663,14139
JVLAGRO,20111004,14.55,15.5,14,14.65,9754,7479
JVLAGRO,20111005,15.45,15.45,14.8,14.85,17266,13849
JVLAGRO,20111007,15,15.95,14,14.7,15168,12613
JVLAGRO,20111010,14.5,14.95,14.3,14.75,2042,1667
JVLAGRO,20111011,15,15.6,14.65,15.2,33041,0
JVLAGRO,20111012,15.4,15.5,15.15,15.35,6042,5674
JVLAGRO,20111013,15.15,15.6,15.15,15.5,11857,10907
JVLAGRO,20111014,15,15.5,15,15.25,17548,15636
JVLAGRO,20111017,15,15.5,15,15.2,17872,0
JVLAGRO,20111018,15,15.1,14.8,14.8,1275,0
JVLAGRO,20111019,15.15,15.3,14.75,15.2,25176,0
JVLAGRO,20111020,15,15.25,14.95,15.2,2611,0
JVLAGRO,20111021,15,15.1,14.7,14.9,13783,0
JVLAGRO,20111024,14.8,15,14.75,14.85,16614,0
JVLAGRO,20111025,14.5,14.9,14.5,14.55,11456,0
JVLAGRO,20111026,14.95,15.3,14.95,15.1,2249,1717
JVLAGRO,20111028,15.3,15.75,15.2,15.4,18910,14494
JVLAGRO,20111031,15.75,15.8,15.3,15.35,11940,5052
JVLAGRO,20111101,15.35,15.4,14.95,15,5501,4050
JVLAGRO,20111102,14.85,15.15,14.8,15,21465,18187
JVLAGRO,20111103,15.4,15.4,14.8,15,21371,19550
JVLAGRO,20111104,15,15.35,15,15.3,29915,0
JVLAGRO,20111108,15.55,15.75,14.8,15,8825,6301
JVLAGRO,20111109,15.35,16.15,15.1,15.45,47415,30345
JVLAGRO,20111111,14.15,15.5,14.15,14.75,23028,20139
JVLAGRO,20111114,14.7,15,14.2,14.55,14186,11741
