SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KABRAEXTRU,19951012,120.75,120.75,120.75,120.75,100,0
KABRAEXTRU,19951018,122,122,122,122,100,0
KABRAEXTRU,19951031,117.5,117.5,117.5,117.5,100,0
KABRAEXTRU,19951103,108.05,108.05,108.05,108.05,2000,0
KABRAEXTRU,19951106,115,116.5,110,110,2200,0
KABRAEXTRU,19951107,111.9,111.9,111,111,200,0
KABRAEXTRU,19951114,112,112,112,112,500,0
KABRAEXTRU,19951115,114,114,114,114,100,0
KABRAEXTRU,19951116,113,113,113,113,500,0
KABRAEXTRU,19951117,112.45,113,112,112.5,600,0
KABRAEXTRU,19951121,113,113,113,113,100,0
KABRAEXTRU,19951204,110,110,110,110,100,0
KABRAEXTRU,19951207,100,100,100,100,100,0
KABRAEXTRU,19951212,101,101,101,101,100,0
KABRAEXTRU,19951214,101,101,101,101,100,0
KABRAEXTRU,19951215,101,101,101,101,200,0
KABRAEXTRU,19951221,100,100,100,100,100,0
KABRAEXTRU,19951222,99,99,99,99,100,0
KABRAEXTRU,19951226,102,102,102,102,100,0
KABRAEXTRU,19951228,101,101,96.5,96.5,200,0
KABRAEXTRU,19951229,99.95,101,99.95,101,200,0
KABRAEXTRU,19960103,100,100,100,100,100,0
KABRAEXTRU,19960104,100,100,100,100,100,0
KABRAEXTRU,19960109,92,92,92,92,200,0
KABRAEXTRU,19960129,88,88,88,88,100,0
KABRAEXTRU,19960130,86,87,86,87,200,0
KABRAEXTRU,19960226,110.25,110.25,110.25,110.25,100,0
KABRAEXTRU,19960227,110,110,104,104.75,500,0
KABRAEXTRU,19960307,104.75,105,105,105,300,0
KABRAEXTRU,19960308,105,103,100,103,500,0
KABRAEXTRU,19960312,103,103,100,100,400,0
KABRAEXTRU,19960313,100,100,100,100,200,0
KABRAEXTRU,19960314,100,100,100,100,200,0
KABRAEXTRU,19960315,99,99,99,99,200,0
KABRAEXTRU,19960318,95,99,95,95.5,600,0
KABRAEXTRU,19960321,92,92,92,92,100,0
KABRAEXTRU,19960322,92.25,92.25,92.25,92.25,200,0
KABRAEXTRU,19960326,90.25,92,90.25,92,300,0
