SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KAJARIACER,19950118,130,130,130,130,100,0
KAJARIACER,19950120,128,128,128,128,200,0
KAJARIACER,19950201,135,135,135,135,200,0
KAJARIACER,19950209,135,135,135,135,400,0
KAJARIACER,19950210,134,134,134,134,300,0
KAJARIACER,19950216,125,125,125,125,400,0
KAJARIACER,19950217,125,125,125,125,200,0
KAJARIACER,19950302,127.5,127.5,127.5,127.5,400,0
KAJARIACER,19950308,137,137,137,137,100,0
KAJARIACER,19950316,130,130,130,130,100,0
KAJARIACER,19950320,133,133,133,133,100,0
KAJARIACER,19950321,130,130,130,130,500,0
KAJARIACER,19950322,125,125,125,125,200,0
KAJARIACER,19950323,127,130,127,130,200,0
KAJARIACER,19950327,135,140,135,140,300,0
KAJARIACER,19950328,135,145,135,142,900,0
KAJARIACER,19950329,139,140,139,140,2100,0
KAJARIACER,19950330,140,140,138.5,140,1400,0
KAJARIACER,19950331,135,155,135,145.3,3500,0
KAJARIACER,19950403,145,151,143.5,148.9,2100,0
KAJARIACER,19950404,145,148,145,147.35,2800,0
KAJARIACER,19950407,147,150,141,148.2,2500,0
KAJARIACER,19950410,148,148,147.75,147.9,500,0
KAJARIACER,19950411,144,148,144,145,700,0
KAJARIACER,19950412,147.5,155,145,150.6,4600,0
KAJARIACER,19950417,148,150,143,149,7100,0
KAJARIACER,19950418,142.5,148,142.5,144.8,1500,0
KAJARIACER,19950419,142,142,140,140,2200,0
KAJARIACER,19950420,136,143,136,136,1500,0
KAJARIACER,19950421,140,145,140,141.15,2700,0
KAJARIACER,19950424,139.95,143,139.95,141,1900,0
KAJARIACER,19950425,139,139,136.25,136.25,1100,0
KAJARIACER,19950426,140,143,140,143,300,0
KAJARIACER,19950427,138,138,138,138,300,0
KAJARIACER,19950428,125,125,125,125,300,0
KAJARIACER,19950508,113,113,113,113,200,0
KAJARIACER,19950509,114.25,116,114,114,2500,0
KAJARIACER,19950510,115.25,115.5,115,115,5100,0
KAJARIACER,19950512,114,115,114,115,5400,0
KAJARIACER,19950516,112.7,112.7,112.7,112.7,100,0
KAJARIACER,19950517,112,112,110,110,1000,0
KAJARIACER,19950518,107.05,111,107,111,8400,0
KAJARIACER,19950519,110,110,110,110,100,0
KAJARIACER,19950522,110.05,110.05,110,110.05,1700,0
KAJARIACER,19950523,105,110,105,110,1700,0
KAJARIACER,19950524,110,110.25,110,110,700,0
KAJARIACER,19950525,110,110,110,110,700,0
KAJARIACER,19950526,115,115,112.5,114,15300,0
