SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KESARENTER,19950516,55,55,55,55,100,0
KESARENTER,19950518,49.5,49.5,49.5,49.5,100,0
KESARENTER,19950526,53,53,53,53,100,0
KESARENTER,19950531,50,50,50,50,500,0
KESARENTER,19950602,52,52,52,52,500,0
KESARENTER,19950605,47,47,47,47,100,0
KESARENTER,19950606,45,49,45,49,700,0
KESARENTER,19950607,51,51,51,51,100,0
KESARENTER,19950609,48,48,48,48,300,0
KESARENTER,19950612,48,48,47,47,6250,0
KESARENTER,19950613,46,46,46,46,200,0
KESARENTER,19950614,45,45,45,45,200,0
KESARENTER,19950615,44,45,44,44,350,0
KESARENTER,19950616,43,43,43,43,50,0
KESARENTER,19950619,43.5,43.5,43.5,43.5,100,0
KESARENTER,19950620,44.95,45,44.95,45,500,0
KESARENTER,19950627,46,46,46,46,100,0
KESARENTER,19950704,45,45,45,45,200,0
KESARENTER,19950711,45,46,45,46,350,0
KESARENTER,19950712,48,49,48,49,400,0
KESARENTER,19950713,52,52,52,52,100,0
KESARENTER,19950714,54,54,52,52,200,0
KESARENTER,19950717,53.75,53.75,53.75,53.75,50,0
KESARENTER,19950720,56.9,57,56.9,57,250,0
KESARENTER,19950721,59,59,59,59,50,0
KESARENTER,19950823,56,56,56,56,100,0
KESARENTER,19950825,51,51,51,51,750,0
KESARENTER,19950915,55,55,55,55,50,0
KESARENTER,19950922,55,55,55,55,100,0
KESARENTER,19951010,53,53,53,53,50,0
KESARENTER,19951017,45,45,45,45,100,0
KESARENTER,19951020,45,45,45,45,100,0
KESARENTER,19951102,43.25,43.25,43.25,43.25,150,0
KESARENTER,19951103,43.25,43,43,43,100,0
KESARENTER,19951106,43.5,43.5,43.5,43.5,200,0
KESARENTER,19951214,39,39,39,39,500,0
KESARENTER,19951215,37,37,35.95,35.95,600,0
KESARENTER,19951221,35.95,35.95,35.95,35.95,100,0
KESARENTER,19951222,34,34,34,34,200,0
KESARENTER,19951226,31,31,31,31,100,0
KESARENTER,19951227,31,32.95,31.4,32.6,400,0
KESARENTER,19960101,31,31,31,31,200,0
KESARENTER,19960102,28.4,28.5,28.35,28.5,500,0
KESARENTER,19960103,28.5,28.5,28.5,28.5,200,0
KESARENTER,19960109,28.5,28.25,28.25,28.25,50,0
KESARENTER,19960116,29.95,30,29.95,30,100,0
KESARENTER,19960123,28,28,28,28,150,0
KESARENTER,19960124,25.5,25.5,25.5,25.5,200,0
KESARENTER,19960125,26.75,26.95,26.75,26.95,500,0
KESARENTER,19960129,26.5,26.5,26.5,26.5,100,0
KESARENTER,19960130,24.25,24.25,24.25,24.25,100,0
KESARENTER,19960131,25.1,25.1,25.1,25.1,100,0
KESARENTER,19960206,27,27,27,27,600,0
KESARENTER,19960207,27,27,27,27,50,0
KESARENTER,19960209,27,27,27,27,200,0
KESARENTER,19960226,29.3,29.3,29.3,29.3,200,0
KESARENTER,19960227,29.3,31,31,31,100,0
KESARENTER,19960228,29,29,29,29,100,0
KESARENTER,19960229,27,27,27,27,100,0
KESARENTER,19960301,27.5,27.5,27,27,200,0
KESARENTER,19960304,26.5,27.5,26.5,27.5,250,0
KESARENTER,19960318,27.5,25.05,25.05,25.05,3000,0
KESARENTER,19960328,25.05,24,24,24,200,0
KESARENTER,19960423,24,24,24,24,50,0
KESARENTER,19960424,24,24,24,24,100,0
KESARENTER,19960509,23.5,23.5,23.5,23.5,400,0
KESARENTER,19960514,22,22,22,22,200,0
KESARENTER,19960515,23,23.25,23,23.25,450,0
KESARENTER,19960522,23,23,23,23,100,0
KESARENTER,19960524,22,22,22,22,200,0
KESARENTER,19960527,22,22,22,22,200,0
KESARENTER,19960529,21.5,21.5,21.5,21.5,100,0
KESARENTER,19960603,22,22,22,22,100,0
KESARENTER,19960604,23.5,24.2,21,24.2,300,0
KESARENTER,19960605,26.45,26.75,26.45,26.5,1250,0
KESARENTER,19960606,26,26,26,26,300,0
KESARENTER,19960607,27,27,26,26.5,900,0
KESARENTER,19960610,25,25,25,25,100,0
KESARENTER,19960611,26,27.5,26,27.5,1100,0
KESARENTER,19960612,27.5,27.75,27,27,800,0
KESARENTER,19960614,24.75,24.75,24.75,24.75,100,0
KESARENTER,19960617,26.5,26.5,26.5,26.5,100,0
KESARENTER,19960618,26.25,26.25,26.25,26.25,100,0
KESARENTER,19960621,26.85,26.85,26.85,26.85,50,0
KESARENTER,19960625,27,27,27,27,200,0
KESARENTER,19960626,27,27,27,27,100,0
KESARENTER,19960627,26.5,26.5,26.5,26.5,100,0
KESARENTER,19960823,25,25,24.25,24.25,300,0
KESARENTER,19960826,23,23,23,23,100,0
KESARENTER,19970113,22,23,22,23,400,0
KESARENTER,19970502,20.7,20.7,20.7,20.7,700,0
KESARENTER,19970505,18.65,18.65,18.65,18.65,50,0
KESARENTER,19970506,17.3,17.3,17.3,17.3,50,0
KESARENTER,19970522,15.6,15.6,15.6,15.6,200,0
KESARENTER,19970523,15.6,15.6,15.25,15.25,600,0
KESARENTER,19970526,15.5,15.5,15.5,15.5,200,0
KESARENTER,19970527,14,14,14,14,100,0
KESARENTER,19970604,14,14,14,14,400,0
KESARENTER,19970606,14.25,14.25,14.25,14.25,100,0
KESARENTER,19970609,14.25,14.25,14.25,14.25,200,0
KESARENTER,19970610,14.25,14.25,14,14,350,0
KESARENTER,19970611,14.5,14.5,14.5,14.5,300,0
KESARENTER,19970612,14,14,13.5,13.5,150,0
KESARENTER,19970613,13.5,14.25,13.5,14.25,1250,0
KESARENTER,19970616,15,15.25,14.5,14.5,500,0
KESARENTER,19970617,15.5,15.5,15.2,15.5,900,0
KESARENTER,19970619,15,15,14.5,14.5,200,0
KESARENTER,19970623,15,15.75,15,15.75,500,0
KESARENTER,19970627,14.4,15.75,14.4,15.75,1000,0
KESARENTER,19970703,14.8,14.8,14.8,14.8,100,0
KESARENTER,19970704,13.5,13.5,13.5,13.5,200,0
KESARENTER,19970709,13,13,13,13,100,0
KESARENTER,19970711,12.5,12.5,12.5,12.5,250,0
KESARENTER,19970714,12,12,12,12,100,0
KESARENTER,19970717,13,13,13,13,50,0
KESARENTER,19970721,13.45,13.5,13.45,13.5,500,0
KESARENTER,19970724,13,13,13,13,50,0
KESARENTER,19970728,12.1,12.1,12,12,300,0
KESARENTER,19970730,12.25,12.25,12.25,12.25,200,0
KESARENTER,19970731,12.25,12.5,12.25,12.5,400,0
KESARENTER,19970801,12.1,12.25,12,12,2100,0
KESARENTER,19970804,12.4,13,12.4,13,500,0
KESARENTER,19970805,14,14,13.25,13.25,200,0
KESARENTER,19970806,13.5,13.5,13,13.35,600,0
KESARENTER,19970807,13,13,13,13,1200,0
KESARENTER,19970826,13,13,13,13,200,0
