SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KGL,20081120,7.95,8.2,7.55,8.1,195419,126755
KGL,20081121,7.9,8.2,7.7,8,131554,69727
KGL,20081124,8.25,8.4,8.15,8.4,270305,221676
KGL,20081125,8.8,8.85,8.8,8.85,378239,327199
KGL,20081126,9.3,9.3,8.9,9.3,1343832,802706
KGL,20081128,9,9.8,8.85,9.7,713036,505780
KGL,20081201,10,10.2,9.75,10.1,1055077,633478
KGL,20081202,9.95,10.55,9.6,10.35,733389,323673
KGL,20081203,10.75,10.9,10.35,10.6,231733,164986
KGL,20081204,10.75,11.15,10.3,11.15,855335,439782
KGL,20081205,11.25,11.65,10.8,11.2,355815,233084
KGL,20081208,11.8,11.8,11.4,11.75,469728,301408
KGL,20081210,12.2,12.35,12.05,12.35,335859,256860
KGL,20081211,12.95,13,12.85,13,296860,271293
KGL,20081212,13.45,13.65,12.4,13.65,955563,645485
KGL,20081215,14.3,14.35,14,14.35,306626,240985
KGL,20081216,15.1,15.1,14.25,15.1,3095081,1874152
KGL,20081217,15.4,15.85,14.35,14.9,1791484,810532
KGL,20081218,14.65,15.65,14.35,15.5,1205351,590817
KGL,20081219,15.9,16.3,15.2,16.3,1179687,617327
KGL,20081222,16.55,17.05,16.4,16.8,1058017,644931
KGL,20081223,16.8,16.9,16,16.4,1344195,530819
KGL,20081224,15.75,16,15.6,15.6,139170,107641
KGL,20081226,15,16.2,14.85,16,1694895,601404
KGL,20081229,16.4,16.8,16,16.8,1170956,607181
KGL,20081230,17.05,17.65,16.6,17.55,1850993,1008866
KGL,20081231,17.7,18.1,17.1,17.7,956290,601575
KGL,20090101,17.5,18.15,17.4,17.95,1052502,426290
KGL,20090102,17.8,18.85,17.35,18.85,1414500,694577
KGL,20090105,19.3,19.45,18.55,18.9,1040236,671540
KGL,20090106,18.85,19.85,18.35,19.5,2043185,949324
KGL,20090107,19.4,19.4,18.55,18.55,868777,628834
KGL,20090109,17.65,17.65,17.65,17.65,43399,43399
KGL,20090112,16.8,17.05,16.8,16.8,1884248,1288200
KGL,20090113,16.1,16.3,16,16,265789,180879
KGL,20090114,15.2,15.5,15.2,15.2,516056,320263
KGL,20090115,14.45,14.45,14.45,14.45,156391,156391
KGL,20090116,13.75,15.05,13.75,14.75,1635334,1050547
KGL,20090119,14.85,15.5,14.35,15.35,773364,292645
KGL,20090120,14.8,15.5,14.6,14.7,296373,127663
KGL,20090121,14.1,14.65,14,14,390020,158540
KGL,20090122,14,14.1,13.3,13.4,495843,203483
KGL,20090123,12.8,13.15,12.75,12.75,308382,174352
KGL,20090127,12.15,12.15,12.15,12.15,364218,341054
KGL,20090128,11.55,12.8,11.55,12.45,1441381,767550
