SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KIL,20060509,31,52.5,31,45.4,28793453,2772887
KIL,20060510,52,54.5,49.8,54.5,626225,0
KIL,20060511,63.4,65.4,56.5,65.4,3894802,1074952
KIL,20060512,67.2,77.85,60.25,73.05,11771233,966782
KIL,20060515,72.35,76.1,65.75,67.3,4875668,658886
KIL,20060516,67.3,69.8,60.6,63.4,2123311,0
KIL,20060517,65,69.75,64,69.75,1334080,316324
KIL,20060518,69,70.7,62.8,62.8,1041083,399866
KIL,20060519,61,65.45,56.55,56.55,899382,481734
KIL,20060522,56,58,53.75,53.75,85827,51664
KIL,20060523,51.5,56.4,51.1,54.8,326480,218388
KIL,20060524,56,56.75,52.1,52.6,377724,108753
KIL,20060525,50.1,51.3,50,50.45,201774,78342
KIL,20060526,51,53,50.1,50.75,284198,77741
KIL,20060529,51,52.5,49,49.35,170588,56219
KIL,20060530,50.4,50.45,46.9,46.9,287534,112165
KIL,20060531,44.55,46.5,44.55,44.55,20722,16897
KIL,20060601,44.5,44.5,42.35,42.35,207467,111632
KIL,20060602,40.35,40.7,40.25,40.25,113441,95920
KIL,20060605,38.4,39.9,38.25,38.25,109690,65237
KIL,20060606,36.4,36.75,36.35,36.35,5175,5122
KIL,20060607,34.55,34.55,34.55,34.55,15783,15781
KIL,20060608,32.85,32.85,32.85,32.85,2890,2890
KIL,20060609,31.25,31.25,31.25,31.25,19229,18719
KIL,20060612,28.3,34.4,28.3,28.95,274215,85502
KIL,20060613,27.55,28.9,27.5,27.5,65105,45931
KIL,20060614,27,28.6,26.15,26.15,74809,39950
KIL,20060615,26.7,26.7,24.85,25.6,214789,96282
KIL,20060616,26.5,26.9,26,26.9,38670,28343
KIL,20060619,27.9,28.1,25.9,27,227610,91355
KIL,20060620,26.9,27.9,26.15,27.1,82185,38082
KIL,20060621,27.4,28.5,27.4,28.5,76439,53589
KIL,20060622,29.9,29.95,29.9,29.95,2539,2539
KIL,20060623,31.45,31.45,30,31.45,226496,0
KIL,20060625,33,33.05,33,33.05,5508,5506
KIL,20060626,34.7,34.7,31.4,31.55,247254,0
KIL,20060627,33,33,30.1,31.05,160168,0
KIL,20060628,31.05,31.05,29.9,30.65,56410,0
KIL,20060629,31.5,32,30.2,30.55,37701,0
KIL,20060630,32,32.1,31.05,31.6,98504,0
KIL,20060703,33.15,33.15,30.6,31.5,39601,0
KIL,20060704,31.4,31.75,30.55,30.75,38893,0
KIL,20060705,31.4,31.45,30.5,30.8,50624,0
KIL,20060706,30.5,30.95,30,30.15,37476,0
KIL,20060707,31.4,31.4,29,29.35,60553,0
KIL,20060710,30,30,28.3,28.75,39431,20280
KIL,20060711,28.6,28.95,28.05,28.6,42711,0
KIL,20060712,28.1,28.85,27.2,28.6,30440,0
KIL,20060713,28.7,30.05,28.35,30,44341,0
KIL,20060714,28.65,30.5,28.5,30.1,40090,0
KIL,20060717,31,31.65,29.7,30.2,173746,0
KIL,20060718,31.35,31.35,28.7,28.9,64377,36101
KIL,20060719,30,30,27.9,28.2,59334,0
KIL,20060720,28.5,29,28.5,28.65,30038,0
KIL,20060721,29.45,29.45,27.4,27.6,35076,0
KIL,20060724,28.6,28.9,26.25,27.5,24453,12685
KIL,20060725,27.35,28,26.15,26.5,47587,27198
KIL,20060726,27,27.8,26.15,26.5,62659,0
KIL,20060727,26.55,27.1,25.5,25.75,70693,51118
KIL,20060728,26.4,26.6,25.85,26.25,37805,0
KIL,20060731,27.5,27.6,26.9,27.6,59681,48199
KIL,20060801,27.8,28.7,27.8,28.3,47790,0
KIL,20060802,28.5,28.5,27.1,27.7,43549,0
KIL,20060803,28,28.4,27.7,28,43055,0
KIL,20060804,28.15,28.25,27.6,27.95,19873,0
KIL,20060807,27.1,28.35,27.05,27.6,17987,0
KIL,20060808,27.35,28.6,27.3,28.4,34706,0
KIL,20060809,28.1,28.95,28,28.75,32871,26843
KIL,20060810,28.6,31.65,28.25,31.65,72927,44328
