SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KINETICMOT,20040920,39,39.3,34,38.35,5920,0
KINETICMOT,20040921,38.95,38.95,36.05,36.65,8469,4200
KINETICMOT,20040922,38.5,39,36,36.45,11950,7153
KINETICMOT,20040923,36.85,36.9,35,35.5,4452,0
KINETICMOT,20040924,36,36.9,35,35.35,3794,0
KINETICMOT,20040927,36.95,42.45,36.05,42.45,49371,0
KINETICMOT,20040928,45,50,41.7,42.75,172616,0
KINETICMOT,20040929,43.6,44,41.6,42.1,45682,23470
KINETICMOT,20040930,42.9,44,41.1,42.5,48412,20759
KINETICMOT,20041001,42.6,42.7,40.1,40.6,14608,0
KINETICMOT,20041004,39.75,41.45,37.5,39.3,25385,17332
KINETICMOT,20041005,43,43,37.3,38.3,13580,0
KINETICMOT,20041006,38.75,41,38.05,38.45,22775,0
KINETICMOT,20041007,39,39,36.8,37.55,1385,0
KINETICMOT,20041008,38.5,38.5,36.95,38.05,2225,0
KINETICMOT,20041009,38.1,39,38,38.75,2927,0
KINETICMOT,20041011,40.65,40.65,38.05,38.5,2870,0
KINETICMOT,20041012,37.5,39.8,36.2,38.35,3333,0
KINETICMOT,20041014,38.2,38.6,38.1,38.2,1160,0
KINETICMOT,20041015,38.95,38.95,37.5,37.6,1755,0
KINETICMOT,20041018,37.25,37.25,35.9,36.25,345,0
KINETICMOT,20041019,35.1,36.5,35.1,36,1397,0
KINETICMOT,20041020,35.45,37.2,35.45,36.1,3225,0
KINETICMOT,20041021,35.3,36.1,35.3,35.45,550,0
KINETICMOT,20041025,35.05,35.05,34.9,34.95,1000,0
KINETICMOT,20041026,34.2,35.1,34,34.95,3389,0
KINETICMOT,20041027,34.15,35,34,34.1,7860,0
KINETICMOT,20041028,33.6,34.85,33.6,34.25,1300,0
KINETICMOT,20041029,34.5,34.5,33.5,34.05,2494,0
KINETICMOT,20041101,34.35,34.35,32.8,33.05,1300,0
KINETICMOT,20041102,32.5,36.7,32,35.25,3677,0
KINETICMOT,20041103,36.95,36.95,34.25,34.25,3758,0
KINETICMOT,20041104,34,35,34,34.4,1192,0
KINETICMOT,20041105,33.65,34.45,33.55,33.85,1600,0
KINETICMOT,20041108,34.5,34.5,33.65,33.75,1125,0
KINETICMOT,20041109,39,39,34,34,501,0
KINETICMOT,20041110,33.75,34.65,33.3,33.65,1827,0
KINETICMOT,20041111,33.5,34.75,32.55,33.1,5200,0
KINETICMOT,20041112,35,39.75,35,39.75,11241,0
KINETICMOT,20041116,40,45,39.5,42.15,16244,0
KINETICMOT,20041117,43,43.45,39.5,40.15,6245,0
KINETICMOT,20041118,43,43,38.5,39.3,3830,0
KINETICMOT,20041119,36.5,39,36.5,37.65,6874,0
KINETICMOT,20041122,37.6,38.9,37.5,38.15,4150,0
KINETICMOT,20041123,37.4,40.1,37.25,39.6,9267,0
KINETICMOT,20041124,41.45,41.45,39.1,39.35,3775,0
KINETICMOT,20041125,39.95,40.45,38.5,38.5,4666,0
KINETICMOT,20041129,39,39.45,38,38.5,3375,0
KINETICMOT,20041130,37.75,38.5,36.4,36.95,4645,0
KINETICMOT,20041201,36.1,37.75,36.1,37.15,4351,0
KINETICMOT,20041202,38.7,39,37.5,38,3088,0
KINETICMOT,20041203,36.75,38.9,36.55,37.95,6308,0
KINETICMOT,20041206,42.25,42.25,36.35,38.45,5901,0
KINETICMOT,20041207,37.55,38.85,37.55,37.75,2337,0
KINETICMOT,20041208,38.95,43.4,38.8,40.9,81801,0
KINETICMOT,20041209,42.25,42.9,41.4,41.7,28173,0
KINETICMOT,20041210,42.5,42.5,41.1,41.45,22573,0
KINETICMOT,20041213,42,42,40.5,41.15,13758,0
KINETICMOT,20041214,42.4,42.4,41.1,41.65,9435,6781
KINETICMOT,20041215,41.8,50,41.8,44.9,229769,60713
KINETICMOT,20041216,46,46.8,42.75,44.55,77851,0
KINETICMOT,20041217,45,46.7,42.5,43,13742,0
KINETICMOT,20041220,43.05,43.7,42.35,42.9,14473,0
KINETICMOT,20041221,46.7,46.7,42.5,43.65,21503,0
KINETICMOT,20041222,43.25,44.4,41.5,42.05,11631,0
KINETICMOT,20041223,43.65,43.65,41.8,41.95,7161,3834
KINETICMOT,20041224,42.75,42.75,41.25,41.65,9277,0
KINETICMOT,20041227,40,42.9,39.9,41.65,8290,0
KINETICMOT,20041228,46,46.5,41.8,42.45,16067,9554
KINETICMOT,20041229,40.8,43,40.8,41.4,9950,6645
KINETICMOT,20041230,42.7,42.7,40.1,40.3,6257,0
KINETICMOT,20041231,41.95,47.9,41.5,44.5,157641,67852
KINETICMOT,20050103,44.95,45.7,43.15,44.15,46242,26138
KINETICMOT,20050104,46,47.5,43.5,45.4,118184,0
KINETICMOT,20050105,47.8,47.9,41,42.9,22910,12977
KINETICMOT,20050106,40,43.9,40,41.2,12916,0
KINETICMOT,20050107,41.9,43.5,40.9,41.2,5981,0
KINETICMOT,20050110,42.85,43.5,41.5,41.8,14626,0
