SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KIRLOSIND,20100624,400,879,240,429.4,998899,206021
KIRLOSIND,20100625,427.5,459,401.65,443.3,226058,38057
KIRLOSIND,20100628,442.9,461.9,420.6,424.9,103692,40061
KIRLOSIND,20100629,422,433.8,396,402.4,74432,40673
KIRLOSIND,20100630,396,406.65,393.5,401.05,58211,20692
KIRLOSIND,20100701,392.4,402.9,392.4,398.2,111821,104335
KIRLOSIND,20100702,398.95,403.8,396.5,398.75,53296,48480
KIRLOSIND,20100705,395,403,394,401.65,17613,14322
KIRLOSIND,20100706,398,401.8,396.5,399.1,21360,18247
KIRLOSIND,20100707,395,400.9,395,396.95,3233,2102
KIRLOSIND,20100708,393,400,390,392.7,3373,2289
KIRLOSIND,20100709,394,398,385,387.6,4179,2553
KIRLOSIND,20100712,385,390,385,385.9,2266,1375
KIRLOSIND,20100713,386,390,380,382.15,3496,2292
KIRLOSIND,20100714,381,383,376.1,378.6,3851,2583
KIRLOSIND,20100715,375.15,380,375.1,378.55,3282,1408
KIRLOSIND,20100716,376.15,388.9,376.15,384,85897,84309
KIRLOSIND,20100719,383.8,385,378.15,379.5,2577,1977
KIRLOSIND,20100720,372.2,380,372.2,376.35,1149,890
KIRLOSIND,20100721,373.05,380,373.05,377.2,14017,12761
KIRLOSIND,20100722,374.5,375,362.55,366.05,5797,3218
KIRLOSIND,20100723,367,374.85,365.15,370.9,1656,1011
KIRLOSIND,20100726,372.05,374.65,368.15,372.1,2153,1485
KIRLOSIND,20100727,370,376.9,367.3,372.8,2670,2000
KIRLOSIND,20100728,379,379,366,366.75,7939,7212
KIRLOSIND,20100729,371.9,371.9,365.1,366.3,544,446
KIRLOSIND,20100730,367,368.9,358.15,360.4,2878,2779
KIRLOSIND,20100802,361.05,364.85,359,359.35,1391,1231
KIRLOSIND,20100803,363.9,364,356.05,360.6,1501,848
KIRLOSIND,20100804,356.5,367.9,356.5,359.1,836,401
KIRLOSIND,20100805,354,363,354,360.2,778,192
KIRLOSIND,20100806,354,360,354,356.85,595,434
KIRLOSIND,20100809,350.5,358.35,350.5,354.8,1700,1039
KIRLOSIND,20100810,357.95,357.95,351.1,353.55,432,257
KIRLOSIND,20100811,355,356,344.25,345.15,2970,1998
KIRLOSIND,20100812,345.65,349.9,345,346,2516,2292
KIRLOSIND,20100813,350,351.95,345.1,345.1,2196,2049
KIRLOSIND,20100816,345.9,345.95,317.8,336.15,1460,941
KIRLOSIND,20100817,339,346.3,335,339.55,1232,1027
KIRLOSIND,20100818,340,363.9,313.6,332.85,7313,5101
KIRLOSIND,20100819,332,348,330.15,339.95,51895,50496
KIRLOSIND,20100820,336.25,344.5,336.25,337.85,13260,12983
KIRLOSIND,20100823,341,341,334,335.55,7066,6668
KIRLOSIND,20100824,376,376,323,326.5,9752,8904
KIRLOSIND,20100825,325.05,335,325.05,329.75,1618,864
KIRLOSIND,20100826,356.3,356.3,328,332.5,2815,1369
KIRLOSIND,20100827,323.4,334.5,323.4,331.3,1962,1255
KIRLOSIND,20100830,330,332,323.05,324,1931,1560
KIRLOSIND,20100831,329.95,337.95,323.9,334,2241,1689
KIRLOSIND,20100901,330.15,339.35,330.15,337.35,1137,844
KIRLOSIND,20100902,337,340,337,339.55,847,790
KIRLOSIND,20100903,334,346.1,334,342.65,926,794
KIRLOSIND,20100906,337.2,350,337.2,343.1,2724,1913
KIRLOSIND,20100907,341.05,343.9,339,341.9,6331,5846
KIRLOSIND,20100908,346,346,338.05,341.7,11834,11342
KIRLOSIND,20100909,344.25,344.95,341.1,343.55,3238,3019
KIRLOSIND,20100913,345,350,343,348,16460,16393
KIRLOSIND,20100914,346,357,346,348.2,35932,35547
KIRLOSIND,20100915,347,351.9,344.7,347,21003,20608
KIRLOSIND,20100916,345.1,349.4,345,347.95,12731,12552
KIRLOSIND,20100917,341.15,353,341.15,348.55,489,327
KIRLOSIND,20100920,356,363,354,361.5,4997,3853
KIRLOSIND,20100921,364.95,376,361.1,362.1,6346,4720
KIRLOSIND,20100922,356.55,366,352,356,1660,1236
KIRLOSIND,20100923,353.25,365,353.25,363.6,1898,1576
KIRLOSIND,20100924,351.3,385.4,351.3,373.55,6743,3057
KIRLOSIND,20100927,375,392,372.05,375.45,2147,1371
KIRLOSIND,20100928,370,378.9,369.05,374.15,5353,4722
KIRLOSIND,20100929,364,375,361,363.45,1033,952
KIRLOSIND,20100930,363.45,365.3,358,359,268,266
KIRLOSIND,20101001,352.05,385,352.05,376.85,2757,1864
KIRLOSIND,20101004,370.05,382,362.35,363.55,1815,1314
KIRLOSIND,20101005,364,365,359.25,360.2,1679,1486
KIRLOSIND,20101006,361.05,361.05,349,351.4,11399,9597
KIRLOSIND,20101007,355,355.05,351,351.3,3633,3219
KIRLOSIND,20101008,360.85,360.85,347,349.2,2112,1637
KIRLOSIND,20101011,351,354.9,346.2,351.35,2953,0
KIRLOSIND,20101012,356.05,356.05,346.3,350.2,1746,0
KIRLOSIND,20101013,350,380,346,360,51059,0
KIRLOSIND,20101014,360,381,358,370.15,53697,0
KIRLOSIND,20101015,363.1,374.9,358,370.3,5207,0
KIRLOSIND,20101018,370,374.95,370,374.25,1607,0
KIRLOSIND,20101019,370.5,380.8,370,378.65,3331,2847
KIRLOSIND,20101020,389.95,389.95,373.2,378.5,1116,0
KIRLOSIND,20101021,380,380,375,375.85,981,0
KIRLOSIND,20101022,389,399.95,380,380.2,2524,1536
KIRLOSIND,20101025,380.1,390,380,380.3,3740,2592
KIRLOSIND,20101026,378,384.9,378,380.2,1069,755
KIRLOSIND,20101027,375,392,366.2,385,5744,3610
KIRLOSIND,20101028,394.9,394.9,378.7,383.9,882,638
KIRLOSIND,20101029,390,390,380,380,2796,2709
KIRLOSIND,20101101,384.95,386,378.25,383.6,1050,939
KIRLOSIND,20101102,381.05,392,381.05,385.9,1375,0
KIRLOSIND,20101103,377.5,393,377.5,388.1,509,0
KIRLOSIND,20101104,381.1,393.8,380.5,380.95,1081,756
KIRLOSIND,20101105,377,393.9,377,389.55,445,377
KIRLOSIND,20101108,392.5,397,376.8,387.05,2083,676
KIRLOSIND,20101109,372.55,393.75,372.55,379.85,3864,0
KIRLOSIND,20101110,376,391.9,372.6,376.5,965,0
KIRLOSIND,20101111,372,384.9,372,380.7,812,779
KIRLOSIND,20101112,377,380.45,375,375.1,533,0
KIRLOSIND,20101115,375.1,381,375.1,380.65,691,580
KIRLOSIND,20101116,377.1,380.95,370,370.6,5737,5390
KIRLOSIND,20101118,370.25,377.8,370.25,376.85,1244,1144
KIRLOSIND,20101119,384.5,384.5,371,375.6,607,509
KIRLOSIND,20101122,380.9,381.05,375,376.5,267,0
KIRLOSIND,20101123,371,378.8,371,376.9,690,652
KIRLOSIND,20101124,375,378.9,375,375.05,1149,1130
KIRLOSIND,20101125,375.05,377.95,373,374.5,1899,1890
KIRLOSIND,20101126,375,379,374.05,375,2629,2497
KIRLOSIND,20101129,370,376,365.05,370,1186,1017
KIRLOSIND,20101130,366,378,355.1,360.05,7119,0
KIRLOSIND,20101201,360,380,360,369.25,526,318
KIRLOSIND,20101202,373,373,364,364.45,949,800
KIRLOSIND,20101203,360,375.85,360,368.45,1370,1243
KIRLOSIND,20101206,377,377,368,368.95,933,876
KIRLOSIND,20101207,361.6,368,360,360.3,1164,956
KIRLOSIND,20101208,364,364,360.1,364,159,134
KIRLOSIND,20101209,360,406.6,355.1,399.8,164355,162747
KIRLOSIND,20101210,395,403,361,398.35,43086,0
KIRLOSIND,20101213,392,395,381,387.75,370,161
KIRLOSIND,20101214,395,395,380,382,244,243
KIRLOSIND,20101215,381.05,389.9,380,380,212,203
KIRLOSIND,20101216,388.8,395,375,378.8,1214,589
KIRLOSIND,20101220,380,389.5,375.1,386,522,484
KIRLOSIND,20101221,377.15,382,377.15,379.8,107,83
KIRLOSIND,20101222,375.2,384,375.15,378.05,88,67
KIRLOSIND,20101223,374,388.85,374,387.25,116,86
KIRLOSIND,20101224,395,400,369,371.6,15716,13512
KIRLOSIND,20101227,371,387.75,368,369.85,1031,670
KIRLOSIND,20101228,375,380.9,375,378.25,2722,1962
KIRLOSIND,20101229,375.05,385,371.35,376.3,1498,767
KIRLOSIND,20101230,372.6,379.95,372.55,378.6,6656,6559
KIRLOSIND,20101231,375,386.8,375,379.5,712,479
KIRLOSIND,20110103,375.15,385.85,375,375.6,4187,3867
KIRLOSIND,20110104,386.9,398.85,375,375.45,9458,2495
KIRLOSIND,20110105,382.95,383.5,375,375.05,5887,2729
KIRLOSIND,20110106,375.2,382,375.2,379.8,6648,6427
KIRLOSIND,20110107,376.2,383,376.2,381.65,20869,20554
KIRLOSIND,20110110,380,383.9,377.75,380.5,6131,5813
KIRLOSIND,20110111,380.55,385,380.5,381.35,1423,1308
KIRLOSIND,20110112,378,382,378,381,690,663
KIRLOSIND,20110113,381,382,380,380.2,1584,1546
KIRLOSIND,20110114,380,382,380,381,3026,2983
KIRLOSIND,20110117,377,383.95,377,381,2048,1922
KIRLOSIND,20110118,381.15,382.5,381,381,334,270
KIRLOSIND,20110119,381.05,383,379,380.05,241,124
KIRLOSIND,20110120,381,394,381,389.75,1871,1005
KIRLOSIND,20110121,387,387,381,381,670,572
KIRLOSIND,20110124,381,381,381,381,377,377
KIRLOSIND,20110125,381,382,381,381,652,652
KIRLOSIND,20110127,380.05,385,380.05,381.15,500,377
KIRLOSIND,20110128,382,390,381,387.3,55074,54710
KIRLOSIND,20110131,364.15,385,364.15,382,1116,1008
KIRLOSIND,20110201,381.05,388.85,363,379.4,525,414
KIRLOSIND,20110202,370,379.75,342.05,357.05,477,233
KIRLOSIND,20110203,362.95,374,350,373.4,617,474
KIRLOSIND,20110204,370,377.95,359.05,364.1,256,160
KIRLOSIND,20110207,386.95,387,366.1,376,236,110
KIRLOSIND,20110208,362.1,375,351.5,355.65,228,85
KIRLOSIND,20110209,355.05,355.05,355,355,118,67
KIRLOSIND,20110210,353,353,333.8,334.95,448,373
KIRLOSIND,20110211,354.95,354.95,334,348.6,453,251
KIRLOSIND,20110214,376.9,376.9,350.05,358.05,107,0
KIRLOSIND,20110215,365,365,349,355.7,153,99
KIRLOSIND,20110216,358,372.2,349.9,353.6,151,0
KIRLOSIND,20110217,345.1,364.95,345.1,354.95,307,0
KIRLOSIND,20110218,355,367.8,355,366.35,585,0
KIRLOSIND,20110221,355,360,333,337.05,279,213
KIRLOSIND,20110222,350,352,338.05,340.3,330,226
KIRLOSIND,20110223,340.6,348.9,340.6,342.8,292,167
KIRLOSIND,20110224,330.05,348.7,330,340,285,251
KIRLOSIND,20110225,331.05,348.3,330,332.3,422,0
KIRLOSIND,20110228,330,339.95,318.05,324.15,1345,0
KIRLOSIND,20110301,316.25,339.55,316.2,336.3,198,0
KIRLOSIND,20110303,344.35,344.35,324,338.4,42,0
KIRLOSIND,20110304,339,340,333.5,334.25,75,0
KIRLOSIND,20110307,335,394.95,335,379.2,197971,0
KIRLOSIND,20110308,385,399.9,351,353.85,24404,0
KIRLOSIND,20110309,353.85,359,346.25,351.75,2178,1389
KIRLOSIND,20110310,338,353.8,338,344.05,1904,0
KIRLOSIND,20110311,349.55,349.6,331,335.25,1394,0
KIRLOSIND,20110314,345,345,331,343.65,904,714
KIRLOSIND,20110315,331.1,341.7,331,335.15,1551,1332
KIRLOSIND,20110316,334,344.7,333,334.8,494,0
KIRLOSIND,20110317,331,343.7,331,334.35,504,0
KIRLOSIND,20110318,329.6,335,329.6,332.75,509,0
KIRLOSIND,20110321,327,330.1,327,330,113,0
KIRLOSIND,20110322,350,350,330.1,333,205,0
KIRLOSIND,20110323,343,343,331.05,336.05,665,569
KIRLOSIND,20110324,331,339.75,330.05,330.5,712,0
KIRLOSIND,20110325,338.95,338.95,331,331.25,128,0
KIRLOSIND,20110328,332,338,327.7,330.05,305,0
KIRLOSIND,20110329,327,339.7,326,329.05,4128,3373
KIRLOSIND,20110330,332.75,334.9,328.7,332.45,162,147
KIRLOSIND,20110331,331.3,335,330,333.55,514,412
KIRLOSIND,20110401,334,337.5,331.05,336.35,874,704
KIRLOSIND,20110404,327.05,345,327.05,340,410,250
KIRLOSIND,20110405,340,348,339,340.35,411,318
KIRLOSIND,20110406,343,363.9,342.05,350.85,548,402
KIRLOSIND,20110407,335,359.9,335,347,515,288
KIRLOSIND,20110408,341.1,345,341.1,342.6,235,163
KIRLOSIND,20110411,340.25,347,338,339.75,149,146
KIRLOSIND,20110413,342,348.75,340.05,345.85,542,303
KIRLOSIND,20110415,340.25,355,340.25,354.5,656,582
KIRLOSIND,20110418,355,355,338.2,345.85,504,343
KIRLOSIND,20110419,335.35,361,335,336.7,599,431
KIRLOSIND,20110420,340,345,338,338.35,1685,1420
KIRLOSIND,20110421,338.5,350.95,338.5,339.75,312,193
KIRLOSIND,20110425,349.8,349.8,338.3,341.2,712,642
KIRLOSIND,20110426,345.2,346.95,333.25,342.1,385,228
KIRLOSIND,20110427,337.25,344.25,335.2,337.35,1250,652
KIRLOSIND,20110428,338,345,337,339.35,1268,955
KIRLOSIND,20110429,341,341.9,336.85,341.65,722,601
KIRLOSIND,20110502,348,348,335,335.8,663,529
KIRLOSIND,20110503,335,336.3,332.1,332.9,217,207
KIRLOSIND,20110504,331.15,336.5,330,330.6,288,247
KIRLOSIND,20110505,330,339.5,327.1,329.95,294,289
KIRLOSIND,20110506,336,336,322.05,327.25,646,608
KIRLOSIND,20110509,320,326.95,317,317.75,346,228
KIRLOSIND,20110510,310,329.5,310,315,437,400
KIRLOSIND,20110511,322,323.95,313,322.45,285,183
KIRLOSIND,20110512,309.05,322,309.05,312.25,556,394
KIRLOSIND,20110513,312,323.95,308,312.5,1667,1627
KIRLOSIND,20110516,322.9,322.9,308,309.6,369,325
KIRLOSIND,20110517,308,314.9,306,310.35,266,266
KIRLOSIND,20110518,301.05,305.25,301,302.35,343,0
KIRLOSIND,20110519,301.1,312.4,301,306.9,150,121
KIRLOSIND,20110520,309.95,354.9,307.35,314.4,49427,6888
KIRLOSIND,20110523,319.4,319.4,293.1,294.35,4619,0
KIRLOSIND,20110524,303,303,290.05,292.5,1699,1054
KIRLOSIND,20110525,287,297.95,287,290.85,1090,962
KIRLOSIND,20110526,313.35,313.35,291.05,291.7,1497,0
KIRLOSIND,20110527,290.1,297,290.1,293,749,0
KIRLOSIND,20110530,288,304.5,288,294.5,691,0
KIRLOSIND,20110531,290,297.95,290,291.8,691,0
KIRLOSIND,20110601,295,314,292.7,300.5,422,0
KIRLOSIND,20110602,291.5,304,291.5,298.75,577,0
KIRLOSIND,20110603,302,303.75,296.2,298.55,625,351
KIRLOSIND,20110606,296.1,296.1,296.1,296.1,2,2
KIRLOSIND,20110607,294.15,299.95,294.15,296.75,620,583
KIRLOSIND,20110608,298,298.05,298,298.05,191,0
KIRLOSIND,20110609,296.3,302,296.3,298.6,42,31
KIRLOSIND,20110610,300,300,294.1,294.25,540,0
KIRLOSIND,20110613,288,300,288,294.95,1100,1086
KIRLOSIND,20110614,309,309,294,294.15,1028,898
KIRLOSIND,20110615,289.1,301,289.1,291.7,1714,1290
KIRLOSIND,20110616,287.5,302.45,287.5,292.2,143,0
KIRLOSIND,20110617,287,304.95,286.45,292.5,325,0
KIRLOSIND,20110620,289,289,285,286.2,304,0
KIRLOSIND,20110621,282.05,289,281.15,286.05,1351,1325
KIRLOSIND,20110622,300,300,282.1,288.4,1210,0
KIRLOSIND,20110623,281.6,287,281.6,282.45,1138,1088
KIRLOSIND,20110624,283,289.9,280,287.85,461,413
KIRLOSIND,20110627,282,291,280.5,286.85,1239,0
KIRLOSIND,20110628,283.55,288,282,283.2,107,0
KIRLOSIND,20110629,282.4,290,282.3,287.2,56,0
KIRLOSIND,20110630,299,299,282.75,286.6,511,189
KIRLOSIND,20110701,282.3,291.5,282.3,284.35,1489,0
KIRLOSIND,20110704,281.15,285.5,281.15,285.1,143,131
KIRLOSIND,20110705,282.75,290,282.75,285,19,18
KIRLOSIND,20110706,285,296,284.05,292.65,2294,210
KIRLOSIND,20110707,288.2,303,288.2,292.9,1817,373
KIRLOSIND,20110708,290.55,298.95,288,295.45,1954,0
KIRLOSIND,20110711,295.45,300.15,290,298.35,233,199
KIRLOSIND,20110712,286.55,299.9,286.55,299.65,360,0
KIRLOSIND,20110713,290.6,294,289.55,292.25,429,237
KIRLOSIND,20110714,286.7,298,286.7,289.9,522,0
KIRLOSIND,20110715,287.05,299.6,287.05,290.25,284,131
