SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KIRLOSKCUM,19941109,325,325,320,320,150,0
KIRLOSKCUM,19941111,330,330,330,330,50,0
KIRLOSKCUM,19941114,325,325,325,325,100,0
KIRLOSKCUM,19941122,340,340,340,340,50,0
KIRLOSKCUM,19941125,350,350,350,350,50,0
KIRLOSKCUM,19941129,350,350,350,350,100,0
KIRLOSKCUM,19941219,347.5,348,347.5,348,100,0
KIRLOSKCUM,19941220,350,353.5,350,353.5,450,0
KIRLOSKCUM,19941221,358,360,358,360,800,0
KIRLOSKCUM,19941230,350,355,350,354,150,0
KIRLOSKCUM,19950112,320,320,320,320,50,0
KIRLOSKCUM,19950116,340,340,340,340,100,0
KIRLOSKCUM,19950124,345,345,345,345,100,0
KIRLOSKCUM,19950125,335,337,335,337,250,0
KIRLOSKCUM,19950127,330,330,330,330,50,0
KIRLOSKCUM,19950131,320.05,320.05,320.05,320.05,100,0
KIRLOSKCUM,19950202,340,340,340,340,100,0
KIRLOSKCUM,19950207,340,350,340,350,150,0
KIRLOSKCUM,19950208,335,335,335,335,100,0
KIRLOSKCUM,19950209,335,340,335,340,150,0
KIRLOSKCUM,19950213,335,335,335,335,100,0
KIRLOSKCUM,19950215,320,320,320,320,300,0
KIRLOSKCUM,19950221,300,310,300,300,300,0
KIRLOSKCUM,19950228,330,330,330,330,50,0
KIRLOSKCUM,19950301,335,335,335,335,50,0
KIRLOSKCUM,19950302,320,320,320,320,100,0
KIRLOSKCUM,19950306,310,310,310,310,150,0
KIRLOSKCUM,19950307,305,305,305,305,100,0
KIRLOSKCUM,19950309,320,320,320,320,50,0
KIRLOSKCUM,19950310,320,320,305,305,400,0
KIRLOSKCUM,19950315,306,306,305,305,300,0
KIRLOSKCUM,19950327,282.5,282.5,280,281.25,400,0
KIRLOSKCUM,19950328,275,275,275,275,50,0
KIRLOSKCUM,19950329,280,285,280,285,200,0
KIRLOSKCUM,19950331,290,290,290,290,50,0
KIRLOSKCUM,19950403,275,275,275,275,50,0
KIRLOSKCUM,19950404,285,285,275,275,250,0
KIRLOSKCUM,19950410,290,290,280,280,100,0
KIRLOSKCUM,19950417,290,290,290,290,100,0
KIRLOSKCUM,19950418,284,284,284,284,50,0
KIRLOSKCUM,19950419,285.05,285.05,285.05,285.05,50,0
KIRLOSKCUM,19950420,285,287,285,287,150,0
KIRLOSKCUM,19950421,295,295,295,295,300,0
KIRLOSKCUM,19950424,271,271,270,270,200,0
KIRLOSKCUM,19950425,275,275,275,275,150,0
KIRLOSKCUM,19950502,265,265,261,261,150,0
KIRLOSKCUM,19950503,262,262,262,262,50,0
KIRLOSKCUM,19950505,276,276,276,276,100,0
KIRLOSKCUM,19950509,269,270,269,270,150,0
KIRLOSKCUM,19950510,275,275,275,275,200,0
KIRLOSKCUM,19950515,260,260,260,260,200,0
KIRLOSKCUM,19950516,251.1,255,251.05,255,350,0
KIRLOSKCUM,19950517,265,265,265,265,50,0
KIRLOSKCUM,19950518,275,275,275,275,50,0
KIRLOSKCUM,19950519,275,280,275,280,950,0
KIRLOSKCUM,19950522,270,280,270,280,100,0
KIRLOSKCUM,19950523,270,270,270,270,50,0
KIRLOSKCUM,19950525,260,262.5,260,262.5,100,0
KIRLOSKCUM,19950526,270,270,270,270,50,0
KIRLOSKCUM,19950529,270,275,270,275,100,0
KIRLOSKCUM,19950530,273,280,271,280,950,0
KIRLOSKCUM,19950531,280,280,275,276,750,0
KIRLOSKCUM,19950606,280,280,280,280,200,0
KIRLOSKCUM,19950607,280,280,280,280,300,0
KIRLOSKCUM,19950608,275,279,275,279,600,0
KIRLOSKCUM,19950609,272,272,272,272,250,0
KIRLOSKCUM,19950612,283,283,283,283,50,0
KIRLOSKCUM,19950613,290,290,275,280,250,0
KIRLOSKCUM,19950615,283,283,283,283,50,0
KIRLOSKCUM,19950616,285,294.95,285,294.95,200,0
KIRLOSKCUM,19950619,283.25,283.25,283,283,300,0
KIRLOSKCUM,19950620,281,281,281,281,400,0
KIRLOSKCUM,19950623,283.1,285,283.1,285,800,0
KIRLOSKCUM,19950626,280,285,280,285,850,0
KIRLOSKCUM,19950627,283.1,283.1,283.1,283.1,100,0
KIRLOSKCUM,19950630,290,290,290,290,150,0
KIRLOSKCUM,19950703,288,288,283,283.25,800,0
KIRLOSKCUM,19950704,285,289,285,285.1,400,0
KIRLOSKCUM,19950705,287,287,285,285,150,0
KIRLOSKCUM,19950706,290,294.9,290,294.9,1100,0
KIRLOSKCUM,19950707,287.35,287.35,287.35,287.35,50,0
KIRLOSKCUM,19950710,291,291,290,290,200,0
KIRLOSKCUM,19950711,288.5,292,288.5,292,1350,0
KIRLOSKCUM,19950712,297.5,297.5,297.5,297.5,100,0
KIRLOSKCUM,19950713,285.5,298.7,285.5,295,250,0
KIRLOSKCUM,19950714,300,310.05,300,310.05,450,0
KIRLOSKCUM,19950717,314,315,314,315,250,0
KIRLOSKCUM,19950718,325,325,320,320,350,0
KIRLOSKCUM,19950719,317,317,315,315,200,0
KIRLOSKCUM,19950720,322,325,322,322.05,250,0
KIRLOSKCUM,19950725,319,325.1,319,325.1,250,0
KIRLOSKCUM,19950726,325,325,325,325,100,0
KIRLOSKCUM,19950727,323,325,323,325,150,0
KIRLOSKCUM,19950731,316,316,316,316,50,0
KIRLOSKCUM,19950801,312,320,312,320,500,0
KIRLOSKCUM,19950802,318,318,318,318,100,0
KIRLOSKCUM,19950803,320,324.95,320,322.5,1350,0
KIRLOSKCUM,19950804,320,320,320,320,100,0
KIRLOSKCUM,19950807,320,325,320,324.95,2500,0
KIRLOSKCUM,19950808,316,327,316,326,2100,0
KIRLOSKCUM,19950809,328,335,328,335,200,0
KIRLOSKCUM,19950811,342,342,330.05,330.05,200,0
KIRLOSKCUM,19950816,330,330,330,330,200,0
KIRLOSKCUM,19950817,350,350,350,350,5000,0
KIRLOSKCUM,19950821,330,330,329,330,600,0
KIRLOSKCUM,19950822,325,330,325,330,350,0
KIRLOSKCUM,19950823,330,330,330,330,300,0
