SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KIROILENG,19950308,135,135,135,135,100,0
KIROILENG,19950309,135,135,135,135,1000,0
KIROILENG,19950310,135,135,135,135,100,0
KIROILENG,19950328,123,123,123,123,100,0
KIROILENG,19950331,135,135,135,135,50,0
KIROILENG,19950403,125,125,123,123,150,0
KIROILENG,19950404,130,130,130,130,150,0
KIROILENG,19950410,132,132,132,132,100,0
KIROILENG,19950417,131,131,130,130,300,0
KIROILENG,19950424,135,135,135,135,50,0
KIROILENG,19950425,129,129,129,129,50,0
KIROILENG,19950428,130,130,130,130,50,0
KIROILENG,19950503,130,130,130,130,250,0
KIROILENG,19950509,132,132,123,123,250,0
KIROILENG,19950516,128,128,128,128,50,0
KIROILENG,19950517,120,120,120,120,100,0
KIROILENG,19950518,130,130,130,130,50,0
KIROILENG,19950519,123,123,123,123,100,0
KIROILENG,19950523,123.5,123.5,123.5,123.5,100,0
KIROILENG,19950526,135,135,135,135,15000,0
KIROILENG,19950529,131,131,131,131,250,0
KIROILENG,19950530,129,133.5,129,133.5,700,0
KIROILENG,19950531,133.4,136.5,133.4,135.25,100550,0
KIROILENG,19950601,132.5,135,132.5,135,1500,0
KIROILENG,19950606,126,126.05,126,126.05,100,0
KIROILENG,19950607,135,135,135,135,50,0
KIROILENG,19950608,135,135,135,135,50,0
KIROILENG,19950612,130,130,130,130,150,0
KIROILENG,19950613,130,130,130,130,50,0
KIROILENG,19950615,130,130,130,130,200,0
KIROILENG,19950620,135,135.25,135,135.25,450,0
KIROILENG,19950621,125,135,125,135,200,0
KIROILENG,19950622,141,141,140,140,23250,0
KIROILENG,19950623,140,141,140,141,25100,0
KIROILENG,19950626,138,138,138,138,100,0
KIROILENG,19950627,138,138.25,138,138.25,200,0
KIROILENG,19950629,135,135,135,135,100,0
KIROILENG,19950630,145,145,145,145,50,0
KIROILENG,19950705,136,136,136,136,500,0
KIROILENG,19950706,142,143,142,142,3100,0
KIROILENG,19950707,144,144,144,144,100,0
KIROILENG,19950710,145,145,142.5,142.5,200,0
KIROILENG,19950711,141,142,141,142,150,0
KIROILENG,19950712,142,150,142,150,27850,0
KIROILENG,19950713,149.5,151,149.5,151,4700,0
KIROILENG,19950714,151.5,151.5,148,149,9150,0
KIROILENG,19950717,147.3,150,147.3,150,200,0
KIROILENG,19950718,150,154.95,148,152.9,1900,0
KIROILENG,19950719,153.5,153.5,152,152,100,0
KIROILENG,19950720,155,155.5,155,155.5,1300,0
KIROILENG,19950721,155,156,155,156,300,0
KIROILENG,19950724,155,161.25,155,161.25,1350,0
KIROILENG,19950725,160,170,160,165.25,5100,0
KIROILENG,19950726,174,174,170,172.05,2200,0
KIROILENG,19950727,171.5,172,171.25,171.5,600,0
KIROILENG,19950728,161.05,162,161.05,161.4,1000,0
KIROILENG,19950731,155.15,155.15,155.15,155.15,500,0
KIROILENG,19950801,155.2,155.2,155.2,155.2,150,0
KIROILENG,19950802,156,156,156,156,50,0
KIROILENG,19950803,155,155,155,155,50,0
KIROILENG,19950804,154,157.7,154,157.7,300,0
KIROILENG,19950807,155,155,148,148.05,450,0
KIROILENG,19950811,148,150,148,150,3300,0
KIROILENG,19950814,146,146,146,146,400,0
KIROILENG,19950901,137,137,137,137,50,0
KIROILENG,19950905,135,135,135,135,10000,0
KIROILENG,19950906,137.5,138,137.5,138,15350,0
KIROILENG,19950907,128,135,128,135,300,0
KIROILENG,19950908,135,135,135,135,150,0
KIROILENG,19950912,125,125,125,125,100,0
KIROILENG,19950922,135,135,135,135,50,0
KIROILENG,19950925,137,151.9,137,150.2,200,0
KIROILENG,19950926,140,140,140,140,50,0
KIROILENG,19950927,141.5,141.5,139,139,200,0
KIROILENG,19951009,140,140,140,140,100,0
KIROILENG,19951012,142.05,142.5,142,142.05,1150,0
KIROILENG,19951013,142.05,143,143,143,400,0
KIROILENG,19951016,143,147,147,147,100,0
KIROILENG,19951017,147,143,143,143,500,0
KIROILENG,19951019,143,142,142,142,600,0
KIROILENG,19951023,142,140,140,140,50,0
KIROILENG,19951030,140,135,135,135,50,0
KIROILENG,19951031,135,141,135,135,200,0
KIROILENG,19951101,135,127.05,127.05,127.05,50,0
KIROILENG,19951102,127.05,132.35,132.35,132.35,150,0
KIROILENG,19951103,132.35,135,135,135,400,0
KIROILENG,19951106,135,135.25,135.25,135.25,50,0
KIROILENG,19951108,135.25,130.15,130,130.15,150,0
KIROILENG,19951110,130.15,131,130,131,300,0
KIROILENG,19951113,131,130,130,130,50,0
KIROILENG,19951114,130,130,122,125,400,0
KIROILENG,19951115,123,123,123,123,100,0
KIROILENG,19951116,123,125,122,125,2700,0
KIROILENG,19951117,122,122,122,122,50,0
KIROILENG,19951121,120,120,120,120,200,0
KIROILENG,19951122,120,120,111.5,111.5,700,0
KIROILENG,19951128,101,101,101,101,100,0
KIROILENG,19951130,105,105,105,105,600,0
KIROILENG,19951208,105,105,102,104.5,600,0
KIROILENG,19951215,111,111,111,111,50,0
KIROILENG,19951219,110,120,110,120,200,0
KIROILENG,19951220,119,119,111,111,150,0
KIROILENG,19951221,111,112,111,111,1650,0
KIROILENG,19951222,110,110,110,110,50,0
KIROILENG,19951226,115,115,115,115,100,0
KIROILENG,19951227,126,126,126,126,50,0
KIROILENG,19951229,130,130,125.1,129.05,550,0
KIROILENG,19960102,125,125,120.05,120.05,250,0
KIROILENG,19960103,125,125,125,125,100,0
KIROILENG,19960105,125,118,118,118,100,0
KIROILENG,19960108,118,112,112,112,50,0
KIROILENG,19960111,105,105,102,102,150,0
KIROILENG,19960112,101,110.95,101,110.95,100,0
KIROILENG,19960116,116.25,118,109.1,117.85,25550,0
KIROILENG,19960117,113.25,113.25,107.25,107.25,250,0
KIROILENG,19960118,112,112,112,112,50,0
KIROILENG,19960122,109.5,110,109.5,109.95,350,0
KIROILENG,19960123,110,110,110,110,150,0
KIROILENG,19960124,110,110,110,110,50,0
KIROILENG,19960130,105,105,105,105,100,0
KIROILENG,19960202,112,112,112,112,200,0
KIROILENG,19960205,113,115,113,115,550,0
KIROILENG,19960206,115,115,115,115,600,0
KIROILENG,19960207,115,117.5,115,117.5,550,0
KIROILENG,19960208,125.9,125.9,125.9,125.9,100,0
KIROILENG,19960212,127,127,127,127,100,0
KIROILENG,19960213,120,125,120,124.95,3200,0
KIROILENG,19960214,125,125,125,125,50,0
KIROILENG,19960215,126,137,126,137,300,0
KIROILENG,19960216,137,137,134,134,250,0
KIROILENG,19960219,129.5,133,129.5,133,300,0
KIROILENG,19960220,132.5,132.5,132.5,132.5,500,0
KIROILENG,19960223,139.9,142.5,139.9,140,7550,0
KIROILENG,19960226,140,142.5,140,142.5,200,0
KIROILENG,19960228,142.5,142.5,140,142.5,350,0
KIROILENG,19960229,142.5,135,135,135,200,0
KIROILENG,19960306,130,130,130,130,100,0
KIROILENG,19960307,134,134,134,134,100,0
