SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KLGSYSTEL,19990908,292,297.7,291.95,297.7,71200,0
KLGSYSTEL,19990909,307,316,280.3,288.4,46000,0
KLGSYSTEL,19990910,294,311.5,280.05,307.55,98800,0
KLGSYSTEL,19990914,310,323.9,302,318.95,60400,0
KLGSYSTEL,19990915,325,325,298,300.7,55800,0
KLGSYSTEL,19990916,291,304.95,290.5,292.65,66900,0
KLGSYSTEL,19990917,288.55,316.1,286,314.45,74700,0
KLGSYSTEL,19990920,319.9,320,304,305.75,42900,0
KLGSYSTEL,19990921,307.5,318,301,313.35,81900,0
KLGSYSTEL,19990922,320,331.5,316,321.4,119300,0
KLGSYSTEL,19990923,327.9,327.9,311,314.4,30600,0
KLGSYSTEL,19990924,313.3,314,290,294.3,40900,0
KLGSYSTEL,19990927,291,291.05,271.05,273.05,34000,0
KLGSYSTEL,19990928,271,275.5,254,257.35,57900,0
KLGSYSTEL,19990929,269,277.95,268,277.95,12200,0
KLGSYSTEL,19990930,288,292,275,276.9,23300,0
KLGSYSTEL,19991001,272,276,263.05,266.05,19300,0
KLGSYSTEL,19991004,270.5,270.5,257,260.95,10800,0
KLGSYSTEL,19991005,260.9,260.9,250,253.25,21000,0
KLGSYSTEL,19991006,269.9,273.55,265,273.2,18700,0
KLGSYSTEL,19991007,283,295.1,278,295.1,24300,0
KLGSYSTEL,19991008,309,309,290,294.4,39000,0
KLGSYSTEL,19991011,300,308,291,302.55,39200,0
KLGSYSTEL,19991012,295.1,300,291,294.95,29600,0
KLGSYSTEL,19991013,300,318.55,295,318.55,31600,0
KLGSYSTEL,19991014,338,344.05,333,344.05,52000,0
KLGSYSTEL,19991015,352.5,357,316.55,318.55,26800,0
KLGSYSTEL,19991018,318.9,329,300,320.9,45600,0
KLGSYSTEL,19991020,344.4,344.4,333,335.25,29000,0
KLGSYSTEL,19991021,333.25,337.85,309.9,311.5,10700,0
KLGSYSTEL,19991022,301.25,304,291.1,295.65,19300,0
KLGSYSTEL,19991023,285,299,285,295.7,3600,0
KLGSYSTEL,19991025,300,300,272.05,272.05,13900,0
KLGSYSTEL,19991026,272,283,252.4,270.2,33500,0
KLGSYSTEL,19991027,285,290,269.95,271.45,23500,0
KLGSYSTEL,19991028,268,275,254,259.3,23700,0
KLGSYSTEL,19991029,260,263,238.6,239.85,27800,0
KLGSYSTEL,19991101,230.3,230.75,220.7,220.7,6400,0
KLGSYSTEL,19991102,210,238.4,203.05,236.8,33800,0
KLGSYSTEL,19991103,245,253.9,228,232.6,23200,0
KLGSYSTEL,19991104,228,251.25,222.65,248.1,32500,0
KLGSYSTEL,19991105,260,267.95,260,267.95,21100,0
KLGSYSTEL,19991107,289.4,289.4,289.4,289.4,3400,0
KLGSYSTEL,19991109,312.55,312.55,286,312.55,60900,0
KLGSYSTEL,19991110,331.5,337.55,316.25,336.9,95400,0
KLGSYSTEL,19991111,339,363.85,310,346.65,166700,0
KLGSYSTEL,19991112,344,371.9,340,367.55,92500,0
KLGSYSTEL,19991115,378,396.95,378,396.95,67100,0
KLGSYSTEL,19991116,408,428.75,402,428.75,54200,0
KLGSYSTEL,19991117,460,463.05,455,463.05,17800,0
KLGSYSTEL,19991118,500.1,500.1,500,500,450,0
KLGSYSTEL,19991119,482,482,480,480,125,0
KLGSYSTEL,19991122,455,465,434.25,444.5,143600,0
KLGSYSTEL,19991124,480.1,480.1,480.1,480.1,6100,0
KLGSYSTEL,19991125,518.55,518.55,518.55,518.55,2100,0
KLGSYSTEL,19991126,560,560.05,542,560.05,40421,0
KLGSYSTEL,19991129,597.8,604.85,587,604.85,12341,0
KLGSYSTEL,19991130,637.8,653.25,590,603.4,92563,0
KLGSYSTEL,19991201,629,629,555.15,555.15,43090,0
KLGSYSTEL,19991202,526,545,510.75,510.75,39916,0
KLGSYSTEL,19991203,519,551.65,519,551.65,34650,0
KLGSYSTEL,19991206,579.7,595.8,562,595.8,48542,0
