SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KOUTONS,20071012,510.05,620,502.5,586.5,8149741,1656059
KOUTONS,20071015,540,703.8,540,703.7,4021915,482121
KOUTONS,20071016,715,810,706,733.65,2497630,357490
KOUTONS,20071017,612.25,714.7,588,689.7,754461,196462
KOUTONS,20071018,708.7,753,640,655.5,508436,148087
KOUTONS,20071019,660,667.35,600,651.75,238137,63496
KOUTONS,20071022,624,668,617,654.35,207639,39628
KOUTONS,20071023,668.7,698.7,665,688,273929,54973
KOUTONS,20071024,709.4,715,687,693.85,171631,45501
KOUTONS,20071025,690,702,677,690.1,92287,38071
KOUTONS,20071026,686,695,652,676.45,96047,59779
KOUTONS,20071029,710,710,683,691.95,121309,59748
KOUTONS,20071030,693,699.9,670,680.15,37765,12099
KOUTONS,20071031,697.8,720,671.1,675.85,30387,9013
KOUTONS,20071101,685,689,611.55,625.95,28034,13498
KOUTONS,20071102,625,658,610,637,49667,16745
KOUTONS,20071105,585,662,585,646.9,55306,0
KOUTONS,20071106,650,670,640.4,651.3,71737,0
KOUTONS,20071107,642,670,642,654.9,47956,20765
KOUTONS,20071108,631.1,651,631,646.3,24905,6971
KOUTONS,20071109,617.05,648,617,635.65,2552,0
KOUTONS,20071112,603,660,603,656.3,28424,0
KOUTONS,20071113,676,710,650,684.8,94295,0
KOUTONS,20071114,699,722,698.9,713.25,110644,41558
KOUTONS,20071115,707,718.9,694.85,704.25,32567,0
KOUTONS,20071116,681.2,733.5,681,728.25,37656,0
KOUTONS,20071119,744,755,730,750,76698,33859
KOUTONS,20071120,757.6,770,711.1,726.8,34584,13097
KOUTONS,20071121,724,760,713.1,744.5,39019,13535
KOUTONS,20071122,720,760,720,730.15,16814,8716
KOUTONS,20071123,750,750,710.1,721.3,8830,6262
KOUTONS,20071126,725,735,721,732.95,30084,13417
KOUTONS,20071127,610.2,730,610.2,705,2862,1638
KOUTONS,20071128,720,720,690,702.25,5061,2767
KOUTONS,20071129,709,714.8,700,709.05,17405,10811
KOUTONS,20071130,717,744,699.9,716.55,110575,51291
KOUTONS,20071203,755,761,733,739.8,14639,8264
KOUTONS,20071204,754.9,755,740,750.65,16115,10771
KOUTONS,20071205,751,794,745.5,770.25,60471,22271
KOUTONS,20071206,775,785,751.5,761.2,12021,8584
KOUTONS,20071207,780,780,745.3,761.65,11503,6673
KOUTONS,20071210,765,780,760,761.1,6676,4314
KOUTONS,20071211,760,768,730.5,747,5155,3878
KOUTONS,20071212,685,832.5,685,784.35,91235,29012
KOUTONS,20071213,790,814,770,781.7,75833,46376
KOUTONS,20071214,795,820,777.8,814.6,35166,22154
