SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KRBL,20020124,10.65,16,10.65,16,2,0
KRBL,20020125,19.2,19.2,12.8,12.8,3,0
KRBL,20020129,10.25,10.25,10.25,10.25,6,0
KRBL,20020131,11,12.3,11,12.3,200,0
KRBL,20020204,14.8,14.8,14.8,14.8,5,0
KRBL,20020205,13.1,17.8,13.1,17.8,11,0
KRBL,20020208,18,20.6,18,20.6,2,0
KRBL,20020211,19.5,19.5,19.5,19.5,729,0
KRBL,20020212,15.65,15.65,15.65,15.65,1,0
KRBL,20020213,15.6,16.25,15.5,16.1,6600,5600
KRBL,20020214,17,17,17,17,200,200
KRBL,20020215,20.35,20.35,17,17,101,101
KRBL,20020218,20.4,20.4,17,17,102,101
KRBL,20020220,17,17,17,17,50,50
KRBL,20020221,17,17,17,17,200,200
KRBL,20020225,17,17,16.3,16.3,325,325
KRBL,20020311,16,16,16,16,210,0
KRBL,20020318,15.5,15.5,15.5,15.5,100,100
KRBL,20020319,15.25,15.25,15.25,15.25,100,100
KRBL,20020320,18,18,15.3,15.3,150,150
KRBL,20020404,15.05,17,15.05,17,300,300
KRBL,20020409,17,17,17,17,300,300
KRBL,20020410,15.75,17,15.75,17,301,300
KRBL,20020411,14,17,14,15.55,102,101
KRBL,20020412,17,17,15.65,17,201,200
KRBL,20020415,17.5,17.5,17.5,17.5,100,100
KRBL,20020416,20.2,20.2,20.2,20.2,100,0
KRBL,20020424,17.1,19,17,19,310,0
KRBL,20020425,17.2,17.2,17,17,200,415
KRBL,20020426,15.05,17,15.05,17,75,50
KRBL,20020503,18,18,18,18,300,300
KRBL,20020506,20,20.8,19,19,201,200
KRBL,20020507,22.5,22.8,22.5,22.55,350,350
KRBL,20020508,23.6,27.1,23.6,27.1,2999,2199
KRBL,20020509,31.95,31.95,26,26.5,800,750
KRBL,20020510,25.5,25.5,24,24,950,850
KRBL,20020513,26.9,26.9,25,25.2,580,550
KRBL,20020514,25,25,22.7,22.7,180,80
KRBL,20020515,22.2,24.75,22.2,24.75,103,101
KRBL,20020516,22.1,24.7,22.1,24.7,1279,779
KRBL,20020520,22.75,23,20,21.45,4,1
KRBL,20020523,22.5,22.5,22.5,22.5,100,100
KRBL,20020524,22.5,22.5,22.5,22.5,400,400
KRBL,20020527,21.1,25.5,21.1,22.1,550,500
KRBL,20020528,21.1,21.5,21,21,929,929
KRBL,20020530,23.6,23.6,22.9,22.9,4,2
KRBL,20020531,22.5,22.5,20.25,21.75,3,2
KRBL,20020607,20.6,21,20.5,20.5,700,700
KRBL,20020610,22.4,22.5,22.4,22.5,350,350
KRBL,20020611,22,22,21.6,21.6,320,320
KRBL,20020612,22.5,23.35,22.5,23.35,130,130
KRBL,20020613,21.75,21.75,21.7,21.7,1050,1050
KRBL,20020614,23.35,23.35,20.8,21.25,1801,1750
KRBL,20020617,23.35,23.35,20.75,22.35,2878,2675
KRBL,20020618,20.15,23.8,20.15,23.45,980,929
KRBL,20020619,24.5,24.5,22.7,22.75,1650,1595
KRBL,20020620,21.65,23.75,21.65,22.85,702,350
KRBL,20020621,23.8,23.8,23.8,23.8,500,0
KRBL,20020624,23.5,26.2,23,25.05,17726,10725
KRBL,20020625,27.5,27.5,25.8,26.1,3530,3170
KRBL,20020626,26.75,26.75,25,25.45,820,800
KRBL,20020628,24.5,24.5,24.5,24.5,500,500
KRBL,20020701,24.5,26.9,24,26.2,3250,3250
KRBL,20020702,26.9,27.95,25.05,26.6,6476,5500
KRBL,20020703,27,28.6,26,27.8,8780,8200
KRBL,20020704,27.75,29.5,27.15,27.25,6085,4220
KRBL,20020705,27.25,28.9,27,27.95,4005,3455
KRBL,20020708,30.5,30.7,28,29.25,6060,4400
KRBL,20020709,29.05,29.05,28,28.05,1980,1929
KRBL,20020710,27.05,28.25,27.05,27.2,1600,1600
KRBL,20020711,27.5,27.95,27.1,27.9,1727,1727
KRBL,20020712,26.65,26.65,26.55,26.55,1010,1010
KRBL,20020715,25.2,25.3,25.15,25.2,700,700
KRBL,20020716,23.9,23.9,23.9,23.9,1,0
KRBL,20020717,24.5,24.5,24.1,24.1,621,571
KRBL,20020718,23.05,23.15,23,23.15,1129,1129
KRBL,20020719,22.8,23.95,22.55,23.95,650,500
KRBL,20020722,23.5,23.5,21.55,21.7,1450,1250
KRBL,20020723,20.45,21.95,20.4,21.45,602,500
KRBL,20020724,20,22.55,20,20.6,201,100
KRBL,20020725,21.3,21.3,21,21.05,1329,1329
KRBL,20020726,22,22,19.1,19.1,1840,1640
KRBL,20020729,18.55,19.95,18.55,19.95,376,375
KRBL,20020730,19.2,19.2,19.2,19.2,50,50
KRBL,20020731,19,19,19,19,50,50
KRBL,20020801,19,19.95,19,19.95,1660,1650
KRBL,20020802,20.9,20.95,20,20.5,270,200
KRBL,20020805,19.85,21.55,19.85,21.5,253,250
KRBL,20020806,21.95,21.95,20.65,21.85,404,402
KRBL,20020807,22.25,22.95,22.25,22.95,241,240
KRBL,20020808,22.75,22.75,22.75,22.75,10,10
KRBL,20020809,22,22.6,22,22.6,400,400
KRBL,20020812,20,22.5,20,21.55,1677,1600
KRBL,20020813,19.1,23.5,19.1,21.25,243,241
KRBL,20020814,23.5,23.5,20.05,21.1,501,300
KRBL,20020816,22.4,22.4,21,21,400,300
KRBL,20020819,22.9,22.9,19.95,20.85,903,900
KRBL,20020820,22.85,22.9,19.3,19.8,866,300
KRBL,20020821,22.95,22.95,21.95,21.95,2,0
KRBL,20020822,22.5,22.5,22.5,22.5,50,50
KRBL,20020823,21.95,22.4,19.3,20.6,315,302
KRBL,20020826,19.45,22.25,19.45,21,1133,800
KRBL,20020827,22,22.4,22,22.4,200,100
KRBL,20020828,19.2,22,19.2,22,4,1
KRBL,20020829,21.95,21.95,21.95,21.95,100,0
KRBL,20020830,19.2,22,19.2,22,11,10
KRBL,20020902,24.25,24.25,21.5,21.5,200,100
KRBL,20020903,21,21,20.15,20.95,156,155
KRBL,20020906,21,23.4,21,21,104,100
KRBL,20020909,23.6,23.6,21,21,350,250
