SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KRISHANA,20190822,59.7,59.95,52,52.05,709,0
KRISHANA,20190823,51.75,51.75,50,50,10358,0
KRISHANA,20190826,53.5,53.5,53.5,53.5,83,0
KRISHANA,20190827,50.05,52,50.05,52,15,0
KRISHANA,20190828,50,50.2,50,50,5489,0
KRISHANA,20190903,50,54,50,50,4081,0
KRISHANA,20190904,50,50,50,50,1015,0
KRISHANA,20190909,57.6,57.6,50,54.4,2200,0
KRISHANA,20190911,58.6,58.6,50,50.05,1142,0
KRISHANA,20190912,49,54.5,49,50.1,18,0
KRISHANA,20190913,58.85,58.85,50.05,53.7,1212,0
KRISHANA,20190916,57.9,57.9,54,57.05,258,0
KRISHANA,20190917,55,55,50.9,53.4,2204,0
KRISHANA,20190918,53,53,53,53,148,0
KRISHANA,20190919,59.5,59.5,51,51.25,2939,0
KRISHANA,20190920,56.4,59.5,52.2,57.55,1060,0
KRISHANA,20190923,68.9,68.9,50.1,58,1599,0
KRISHANA,20190924,65,65,55.05,59.7,809,0
KRISHANA,20190925,51.05,60.8,51.05,53.95,674,0
KRISHANA,20190926,53.25,57.95,51,52.55,1609,0
KRISHANA,20190927,50.35,53.8,50.35,51.9,355,0
KRISHANA,20190930,50.1,53.9,50,53.9,1271,0
KRISHANA,20191001,52,52,50,50,676,0
KRISHANA,20191003,53,57.2,50,50.25,1870,0
KRISHANA,20191004,53,54.45,53,54.45,101,0
KRISHANA,20191007,54.45,54.45,54,54,500,0
KRISHANA,20191009,53,53,53,53,100,0
KRISHANA,20191010,53,53,52.05,52.05,127,0
KRISHANA,20191011,60.6,60.6,53,53,399,0
KRISHANA,20191014,62.5,62.5,53,53.05,6502,0
KRISHANA,20191015,53,55,53,54.55,2830,0
KRISHANA,20191016,55,55,54.95,54.95,125,0
KRISHANA,20191017,51.25,51.25,51.25,51.25,1,0
KRISHANA,20191018,55,55,55,55,211,0
KRISHANA,20191022,55,55,52.35,52.35,141,0
KRISHANA,20191023,52.95,52.95,52.85,52.95,82,0
KRISHANA,20191024,54.95,54.95,54.85,54.85,7,0
KRISHANA,20191027,53,53,53,53,300,0
KRISHANA,20191029,54,54.45,52,53.1,326,0
KRISHANA,20191030,54,55,53,55,2000,0
KRISHANA,20191031,55,55,53,55,316,0
KRISHANA,20191101,54,55,54,55,734,0
KRISHANA,20191105,53.05,55,53,55,516,0
KRISHANA,20191106,53.05,53.05,53.05,53.05,185,0
KRISHANA,20191107,53,58.8,53,53.05,28,0
KRISHANA,20191108,53.05,53.05,53.05,53.05,171,0
KRISHANA,20191113,53,53,52,52,102,0
KRISHANA,20191114,53,53,53,53,100,0
KRISHANA,20191115,53,53,53,53,100,0
KRISHANA,20191118,53,53.5,53,53.25,200,0
KRISHANA,20191119,53,59.95,50,51,2435,0
KRISHANA,20191120,55.95,55.95,55.95,55.95,1,0
KRISHANA,20191121,56.9,56.9,47.65,48.15,1261,0
KRISHANA,20191122,52,54,50,51,1344,0
KRISHANA,20191126,52,54,52,54,2,0
KRISHANA,20191127,63.95,63.95,52.5,53.8,2469,0
KRISHANA,20191128,53.1,57.8,53.1,54,1239,0
KRISHANA,20191129,53.05,55.35,51,51.5,353,0
KRISHANA,20191202,52,52,52,52,3,0
KRISHANA,20191203,55,55,53,53,206,0
KRISHANA,20191205,52,59.9,52,54.8,3031,0
KRISHANA,20191206,65,65,50,53,2125,0
KRISHANA,20191209,53,54.9,53,54.7,947,0
KRISHANA,20191210,54.7,54.7,53,53,15,0
KRISHANA,20191211,53,53,51,51,301,0
KRISHANA,20191212,53,53,51.1,51.1,218,0
KRISHANA,20191213,53,53,50,50,805,0
KRISHANA,20191216,52,52,51,51,109,0
KRISHANA,20191217,53,53.5,53,53.5,1010,0
KRISHANA,20191219,53,53,52,53,201,0
KRISHANA,20191220,53,53,51,53,301,0
KRISHANA,20191223,53,55.65,53,55.45,54,0
KRISHANA,20191224,58.1,58.1,52.7,52.95,224,0
KRISHANA,20191227,53,55.55,52,55.55,3914,0
KRISHANA,20191230,55.7,58.25,55.7,58.2,4225,0
KRISHANA,20191231,58,61.05,58,61.05,5915,0
KRISHANA,20200101,61.05,61.05,61.05,61.05,10,0
KRISHANA,20200102,61.05,61.05,61.05,61.05,1101,0
KRISHANA,20200103,61.05,62.1,61.05,61.8,504,0
KRISHANA,20200106,61.85,61.85,61.85,61.85,1000,0
KRISHANA,20200108,61.85,61.85,58.85,58.85,1063,0
KRISHANA,20200113,58,58,58,58,500,0
KRISHANA,20200114,55.3,55.3,55.3,55.3,1,0
KRISHANA,20200115,52.8,52.8,52.8,52.8,36,0
KRISHANA,20200117,53,53.2,53,53.2,20,0
KRISHANA,20200120,53.2,53.2,53.2,53.2,1000,0
KRISHANA,20200122,53.2,53.2,53,53,1090,0
KRISHANA,20200123,53,54,53,54,2200,0
KRISHANA,20200124,53.9,53.9,53.9,53.9,900,0
KRISHANA,20200129,53.1,53.1,53.1,53.1,50,0
KRISHANA,20200131,53,55.7,53,55.7,502,0
KRISHANA,20200203,53,55,53,55,5700,0
KRISHANA,20200204,55,55,53,53,4700,0
KRISHANA,20200205,53,53,53,53,1600,0
KRISHANA,20200206,53.05,53.05,50.5,53,10000,0
KRISHANA,20200210,51,51,50.55,50.55,1000,0
KRISHANA,20200211,50.7,53.05,50.7,51.1,4303,0
KRISHANA,20200212,51,51.25,51,51.25,320,0
KRISHANA,20200213,51.05,51.05,51.05,51.05,280,0
KRISHANA,20200214,51.15,53.6,51.15,53,3104,0
KRISHANA,20200217,53,53,50.5,50.5,117,0
KRISHANA,20200218,50.6,51,50.6,51,1802,0
KRISHANA,20200219,51,51.05,51,51.05,230,0
KRISHANA,20200220,50.2,50.2,50.2,50.2,1100,0
KRISHANA,20200224,50.2,51.05,50.2,51.05,121,0
KRISHANA,20200226,51,51,51,51,180,0
KRISHANA,20200227,51,51.25,51,51.05,2508,0
KRISHANA,20200303,51.25,51.25,50.5,51.05,4050,0
KRISHANA,20200304,51.05,51.05,51.05,51.05,202,0
KRISHANA,20200306,50,51,50,50.7,680,0
KRISHANA,20200309,51,51,51,51,950,0
KRISHANA,20200311,51,51,51,51,1000,0
KRISHANA,20200312,50,53,48.5,48.5,2700,0
KRISHANA,20200313,48.5,48.55,48.5,48.55,300,0
KRISHANA,20200317,48,48.5,48,48.25,807,0
KRISHANA,20200318,48,50.65,47,50.6,9227,0
KRISHANA,20200320,50,50,50,50,800,0
KRISHANA,20200324,50,50,50,50,200,0
KRISHANA,20200325,49,49,49,49,1217,0
KRISHANA,20200326,49,49,46.55,46.55,4000,0
KRISHANA,20200327,48.5,48.5,48.5,48.5,300,0
KRISHANA,20200330,50,50,49,49,1100,0
KRISHANA,20200408,51,51,46.55,47.15,625,0
KRISHANA,20200413,47,47,47,47,31,0
KRISHANA,20200415,49,49,48.5,48.5,41,0
KRISHANA,20200416,48.5,48.5,48.5,48.5,1,0
KRISHANA,20200420,48.5,48.5,48.5,48.5,30,0
KRISHANA,20200507,46.5,46.5,46.5,46.5,1000,0
KRISHANA,20200508,46,46,45,45,2000,0
KRISHANA,20200511,44,47,43,47,2001,0
KRISHANA,20200512,44.65,45,44.65,44.65,1075,0
KRISHANA,20200513,46.85,46.85,43,43,1100,0
KRISHANA,20200514,45.15,45.15,42.8,42.8,1603,0
KRISHANA,20200515,43,43,43,43,1000,0
KRISHANA,20200518,42,42,41,41,2000,0
KRISHANA,20200519,43,43,41,41,1007,0
KRISHANA,20200520,43,43,43,43,4,0
KRISHANA,20200521,43,43,41,42,6000,0
KRISHANA,20200522,42.5,42.5,42.05,42.05,8000,0
KRISHANA,20200526,42,42,41,41,5000,0
KRISHANA,20200527,40.9,41,40.9,41,8015,0
KRISHANA,20200528,39.85,40.6,39.85,40.6,14000,0
KRISHANA,20200529,40.8,40.8,40.8,40.8,8670,0
KRISHANA,20200601,40,41,39,41,14355,0
KRISHANA,20200602,38.95,41,38.95,41,5856,0
KRISHANA,20200603,41,41,39,39,2623,0
KRISHANA,20200604,40,40,40,40,65,0
KRISHANA,20200605,41,41,40.8,40.8,611,0
KRISHANA,20200608,40,41,38.95,41,1956,0
KRISHANA,20200609,38.95,43.05,38.95,41.85,25460,0
KRISHANA,20200610,43,43,39.8,42.95,2262,0
KRISHANA,20200611,41,42.95,41,41.75,277,0
KRISHANA,20200612,43,43,40,42.85,20477,0
KRISHANA,20200615,42.85,42.85,40.75,42.85,152,0
KRISHANA,20200616,41,44.85,40.9,43.45,1430,0
KRISHANA,20200617,44,44.85,44,44.45,775,0
KRISHANA,20200618,45.5,45.5,42.3,45.15,300,0
KRISHANA,20200619,45.15,46.5,42.9,45.9,1171,0
KRISHANA,20200622,45.9,46,44.3,45.85,662,0
KRISHANA,20200623,43.7,48.1,43.7,47.5,2610,0
KRISHANA,20200624,49.85,49.85,47.95,49.5,519,0
KRISHANA,20200625,51,51.9,47.05,51,1898,0
KRISHANA,20200626,48.45,51,48.45,51,1128,0
KRISHANA,20200629,51,51,51,51,1,0
KRISHANA,20200630,50.95,50.95,50,50,2,0
KRISHANA,20200701,49.5,49.5,47.5,47.5,530,0
KRISHANA,20200702,46.2,49.85,45.5,49.85,707,0
KRISHANA,20200703,49.85,49.85,48,48,1301,0
KRISHANA,20200706,48.05,50,46,46,402,0
KRISHANA,20200707,46,46.3,46,46,348,0
KRISHANA,20200708,47,47,46,46,271,0
KRISHANA,20200709,46,48.25,43.7,44.95,5234,0
KRISHANA,20200710,44.95,45.05,44.95,45,1001,0
KRISHANA,20200714,44.8,44.8,44,44.1,1176,0
KRISHANA,20200715,44.1,44.1,44,44,1019,0
KRISHANA,20200716,43.5,45,43.5,44.5,268,0
KRISHANA,20200717,46,46,46,46,100,0
KRISHANA,20200720,46,46,45,45.2,553,0
KRISHANA,20200721,45,45.5,45,45.5,111,0
KRISHANA,20200722,45.5,47.7,45.5,46.65,1296,0
KRISHANA,20200723,48.6,48.95,47.1,47.65,1692,0
KRISHANA,20200724,49.3,50,47.5,47.5,340,0
KRISHANA,20200727,49.85,49.85,49.5,49.5,301,0
KRISHANA,20200728,48,48.1,47.5,47.75,410,0
KRISHANA,20200729,48,49,48,48.05,701,0
KRISHANA,20200731,49,49,48,48,119,0
KRISHANA,20200803,48,48,47,47.55,226,0
KRISHANA,20200805,47.6,49,45.2,49,2183,0
KRISHANA,20200806,49,50,48.8,49.9,1969,0
KRISHANA,20200807,50.1,50.1,49.9,49.9,2213,0
KRISHANA,20200810,49.9,50.15,49.9,50,3478,0
