SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KRONECOMM,19950515,120,125,120,125,900,0
KRONECOMM,19950516,120,120,115,115,300,0
KRONECOMM,19950517,115,116,115,115,600,0
KRONECOMM,19950518,118,126,118,126,600,0
KRONECOMM,19950519,126,126,125,125,300,0
KRONECOMM,19950522,127,127,125,125,300,0
KRONECOMM,19950523,115.5,115.5,105,105,900,0
KRONECOMM,19950530,118,118,118,118,100,0
KRONECOMM,19950612,110,110,110,110,400,0
KRONECOMM,19950614,120,120,120,120,100,0
KRONECOMM,19950615,125,125,125,125,100,0
KRONECOMM,19950616,115,123.5,115,123.5,700,0
KRONECOMM,19950627,125,125,125,125,200,0
KRONECOMM,19950629,125,125,125,125,100,0
KRONECOMM,19950704,117,117,117,117,100,0
KRONECOMM,19950705,117,117,117,117,200,0
KRONECOMM,19950711,110,110,110,110,200,0
KRONECOMM,19950726,105,105,105,105,100,0
KRONECOMM,19950801,111,115,111,113,200,0
KRONECOMM,19950802,114,116,114,116,200,0
KRONECOMM,19950804,110,110,110,110,200,0
KRONECOMM,19950807,110,113.5,110,113.5,200,0
KRONECOMM,19950808,113,113,110,110.65,600,0
KRONECOMM,19950809,113,113,110,110.5,300,0
KRONECOMM,19950811,110,110,109,110,500,0
KRONECOMM,19950817,110,110,108,108,800,0
KRONECOMM,19950818,105,105,105,105,100,0
KRONECOMM,19950821,109,109,109,109,100,0
KRONECOMM,19950822,110,110,109,109,1000,0
KRONECOMM,19950825,110,110,110,110,100,0
KRONECOMM,19950906,99,99,99,99,100,0
KRONECOMM,19950908,84,84,84,84,100,0
KRONECOMM,19950911,83.5,83.5,83.5,83.5,200,0
KRONECOMM,19950912,80,81,80,81,300,0
KRONECOMM,19950914,83,83,83,83,200,0
KRONECOMM,19950920,79,79,79,79,300,0
KRONECOMM,19950921,78,78,78,78,100,0
KRONECOMM,19950922,78,78,78,78,100,0
KRONECOMM,19950925,76,76,76,76,100,0
KRONECOMM,19950926,75.9,75.9,71.5,71.5,300,0
KRONECOMM,19950927,73,73,73,73,100,0
KRONECOMM,19951005,72,72,72,72,100,0
KRONECOMM,19951006,71.1,71.1,71.1,71.1,100,0
KRONECOMM,19951009,74,74,74,74,100,0
KRONECOMM,19951011,74,74,74,74,100,0
KRONECOMM,19951012,75,75,75,75,100,0
KRONECOMM,19951019,75,75,75,75,100,0
KRONECOMM,19951031,69.05,69.05,69.05,69.05,100,0
KRONECOMM,19951108,68,68,68,68,400,0
KRONECOMM,19951110,70,70,65,65,400,0
KRONECOMM,19951117,65,65,65,65,100,0
KRONECOMM,19951120,65,66,66,66,100,0
KRONECOMM,19951121,66,61,61,61,100,0
KRONECOMM,19951201,62,62,62,62,100,0
KRONECOMM,19951204,62,62,62,62,200,0
KRONECOMM,19951205,62,62,62,62,300,0
KRONECOMM,19951206,62,68.2,68.2,68.2,100,0
KRONECOMM,19951207,70,75.1,70,75.1,800,0
KRONECOMM,19951208,80,80,80,80,100,0
KRONECOMM,19951211,82,85,82,85,700,0
KRONECOMM,19951212,85,85,83.5,84.5,900,0
KRONECOMM,19951213,84,85,83,85,600,0
KRONECOMM,19951214,85,85,79,81.75,500,0
KRONECOMM,19951215,80,80,80,80,400,0
KRONECOMM,19951218,77,77,77,77,200,0
