SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
KSERAPRO,20061005,30.8,31.05,30.05,30.5,31044,0
KSERAPRO,20061006,31.9,31.9,30.55,31.05,30607,0
KSERAPRO,20061009,31,32.6,30.4,32.6,10915,0
KSERAPRO,20061010,34.2,34.25,32.05,33.25,47653,0
KSERAPRO,20061011,32.5,34,31.6,31.8,21327,0
KSERAPRO,20061012,31.75,33.4,31,31.85,20678,16905
KSERAPRO,20061013,33.1,33.1,31.1,31.65,13070,0
KSERAPRO,20061016,31.4,33,31.4,31.75,11277,8357
KSERAPRO,20061017,31.6,31.85,31.55,31.7,4818,4569
KSERAPRO,20061018,31.1,31.95,31.05,31.6,3583,3479
KSERAPRO,20061019,30.6,32.4,30.6,31.9,4975,4810
KSERAPRO,20061020,32,33.4,31.6,32.35,7151,0
KSERAPRO,20061021,33.75,33.75,30.8,31.15,2245,0
KSERAPRO,20061023,31.35,31.75,31.35,31.6,2735,0
KSERAPRO,20061026,31.75,32.1,31.7,31.9,4260,0
KSERAPRO,20061027,31.5,31.8,31.5,31.6,6922,0
KSERAPRO,20061030,31,32,31,31.5,16705,0
KSERAPRO,20061031,31.35,31.95,31.2,31.5,12212,0
KSERAPRO,20061101,31.5,33.1,31.5,33.1,14212,0
KSERAPRO,20061102,31.5,34.8,31.5,32.55,10920,0
KSERAPRO,20061103,32.85,32.85,31.5,31.5,1939,0
KSERAPRO,20061106,31.5,32.1,31.5,31.6,6983,0
KSERAPRO,20061107,30.1,31.95,30.05,31.5,8775,0
KSERAPRO,20061108,31.5,31.95,31.4,31.8,5777,0
KSERAPRO,20061109,31.6,33.4,31.6,31.65,9163,0
KSERAPRO,20061110,31.65,33.25,31.5,33.25,18770,16660
KSERAPRO,20061113,33.25,33.25,31.6,31.9,3162,2491
KSERAPRO,20061114,31.8,31.8,30.6,31.15,55133,53621
KSERAPRO,20061115,30.3,31.75,30.3,31.5,4817,3950
KSERAPRO,20061116,30.75,31.95,30.75,31.5,3510,3460
KSERAPRO,20061117,31,31,30.5,30.7,9170,9170
KSERAPRO,20061120,28,33.5,27.7,30.15,6393,3955
KSERAPRO,20061121,30.1,30.8,30.1,30.1,1859,1859
KSERAPRO,20061122,30.35,30.5,30,30.25,4205,3618
KSERAPRO,20061123,29,30,29,29.6,30891,28590
KSERAPRO,20061124,30,32.4,30,30.25,9079,0
KSERAPRO,20061127,31,31,30.5,30.95,5054,0
KSERAPRO,20061128,31.45,31.5,30.5,31.2,3660,0
KSERAPRO,20061129,31.5,31.7,30.75,30.9,3648,0
KSERAPRO,20061130,31,31.8,29,29.75,5389,0
KSERAPRO,20061201,29.8,29.85,28.65,29.3,2304,0
KSERAPRO,20061204,30.1,31.7,29.35,30.3,14013,0
KSERAPRO,20061205,31.75,33.3,30.5,31.25,38031,0
KSERAPRO,20061206,31.4,31.8,30,30.45,4134,0
KSERAPRO,20061207,30.45,31.4,29.5,29.7,5128,0
KSERAPRO,20061208,29.9,30.1,29.4,29.55,4196,0
KSERAPRO,20061211,29.5,30,26.75,27.45,16709,0
KSERAPRO,20061212,27,27,24.7,24.7,27929,0
KSERAPRO,20061213,25,25.95,23.5,25.95,13382,0
KSERAPRO,20061214,26.5,27.25,26.5,27.25,17690,16590
KSERAPRO,20061215,28.4,28.65,27.7,28.35,21708,16095
KSERAPRO,20061218,28.9,28.95,26.95,28.05,14768,10472
KSERAPRO,20061219,29.25,29.45,27,28.8,22571,14547
KSERAPRO,20061220,29.2,29.45,27.6,28.15,5564,3759
KSERAPRO,20061221,28,28.5,27.9,28,3869,3250
KSERAPRO,20061222,27.75,28.3,27,27.2,7187,6887
KSERAPRO,20061226,28.4,28.5,27.5,27.6,15144,12153
KSERAPRO,20061227,26.8,28,26.8,27.4,16887,15458
KSERAPRO,20061228,27.8,27.8,26.05,26.05,14070,12973
KSERAPRO,20061229,26.85,26.85,25.25,26.15,13030,9303
KSERAPRO,20070102,26.05,26.65,26,26.4,3659,0
