SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
LABHCONST,19951009,43.5,43.5,43.5,43.5,500,0
LABHCONST,19951027,43,43,43,43,500,0
LABHCONST,19951228,43,43,43,43,1000,0
LABHCONST,19960105,40,40,38.75,38.75,300,0
LABHCONST,19960604,42,42.7,42,42.7,1200,0
LABHCONST,19960613,42,42,42,42,100,0
LABHCONST,19960712,39,39,39,39,600,0
LABHCONST,19960819,38.5,38.5,38.5,38.5,400,0
LABHCONST,19960821,36,36,36,36,500,0
LABHCONST,19960829,39.6,39.6,39.6,39.6,100,0
LABHCONST,19960830,36.1,36.1,36.1,36.1,100,0
LABHCONST,19960904,37,37,37,37,500,0
LABHCONST,19960906,37.5,37.5,37,37.05,1000,0
LABHCONST,19960909,37.8,37.8,37.8,37.8,100,0
LABHCONST,19960910,37,41.5,37,41.5,300,0
LABHCONST,19960911,44,44,40.9,40.9,300,0
LABHCONST,19960917,38.25,38.25,38.25,38.25,100,0
LABHCONST,19960918,36,36,36,36,100,0
LABHCONST,19960919,35.5,37.9,34.85,34.85,500,0
LABHCONST,19960920,37.2,37.2,34.6,34.6,200,0
LABHCONST,19960923,37,37,34.05,35.55,200,0
LABHCONST,19960924,35,35,35,35,300,0
LABHCONST,19960925,35.5,36.65,34.5,36.65,400,0
LABHCONST,19960926,34.25,36.45,34.25,36.45,200,0
LABHCONST,19960927,35,36.8,35,36.8,300,0
LABHCONST,19960930,35.5,35.5,35.5,35.5,300,0
LABHCONST,19961001,35,35,35,35,200,0
LABHCONST,19961004,36.8,36.8,36.8,36.8,100,0
LABHCONST,19961007,34.25,34.25,34.25,34.25,200,0
LABHCONST,19961008,34,34,33,33,300,0
LABHCONST,19961015,34,34,34,34,100,0
LABHCONST,19961025,34,34,34,34,200,0
LABHCONST,19961101,32,32,32,32,200,0
LABHCONST,19961104,32,32,32,32,100,0
LABHCONST,19961105,31.05,33.25,31.05,33.25,200,0
LABHCONST,19961106,32.9,32.9,32.9,32.9,100,0
LABHCONST,19961115,33,33,33,33,200,0
LABHCONST,19961206,31,31,31,31,100,0
LABHCONST,19970219,32,33,32,33,200,0
LABHCONST,19970610,30.75,30.75,30.75,30.75,100,0
LABHCONST,19970613,28.65,28.65,28.65,28.65,100,0
LABHCONST,19970620,29,29,29,29,100,0
LABHCONST,19970627,29,29,27,27,200,0
LABHCONST,19970702,25.25,25.25,25.25,25.25,100,0
LABHCONST,19970703,25.2,25.2,25.2,25.2,100,0
LABHCONST,19970724,23.5,23.5,23.5,23.5,100,0
LABHCONST,19970725,22,22,22,22,100,0
LABHCONST,19970728,20.5,20.5,20.5,20.5,100,0
