SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
LAGNAM,20210930,45.05,45.05,44.55,45.05,60065,0
LAGNAM,20211001,47.3,47.3,47.3,47.3,71087,0
LAGNAM,20211004,49.65,49.65,49.65,49.65,26031,0
LAGNAM,20211005,52.1,52.1,52.1,52.1,10343,0
LAGNAM,20211006,54.7,54.7,49.5,53.75,288762,0
LAGNAM,20211007,54.65,59.1,54.65,57.9,192066,0
LAGNAM,20211008,58.5,58.5,53.05,54.45,107378,0
LAGNAM,20211011,54.6,59.85,53.5,54.45,95685,0
LAGNAM,20211012,55.55,57.05,52.15,53.25,43448,0
LAGNAM,20211013,54,54.85,50.45,52.55,77994,0
LAGNAM,20211014,52.2,54.4,52.2,53.9,91535,0
LAGNAM,20211018,59.25,59.25,57.25,58.7,217871,0
LAGNAM,20211019,61.45,62.5,53.35,58.7,179554,0
LAGNAM,20211020,61.15,61.15,55.15,58.65,96895,0
LAGNAM,20211021,59.75,60.85,55.55,56.05,52675,0
LAGNAM,20211022,57.7,58.65,53.1,53.75,45005,0
LAGNAM,20211025,55.4,55.4,50.15,51.65,40535,0
LAGNAM,20211026,52.75,53.8,52.05,53.25,19199,0
LAGNAM,20211027,53.95,55,52.2,52.75,25611,0
LAGNAM,20211028,53.05,54.8,50.6,51.3,31817,0
LAGNAM,20211029,50.3,52,48.35,51.9,21539,0
LAGNAM,20211101,51.5,56.35,51.1,55.75,75378,0
LAGNAM,20211102,56.9,56.95,55.55,55.9,19780,0
LAGNAM,20211103,55.5,56.5,51.05,53,34214,0
LAGNAM,20211104,54.95,55.5,52.4,54.9,5627,0
LAGNAM,20211108,54.95,55.25,52.9,54.15,16442,0
LAGNAM,20211109,55.8,55.8,52.2,53.9,12486,0
LAGNAM,20211110,55,55.55,52.5,55,17100,0
LAGNAM,20211111,54.4,54.7,53.5,54,5587,0
LAGNAM,20211112,53.5,54.75,52.5,52.8,18124,0
LAGNAM,20211115,52.55,53.5,50.5,51.15,15395,0
LAGNAM,20211116,52.95,52.95,46.7,49.7,26462,0
LAGNAM,20211117,49.6,52,49.4,50.1,52104,0
LAGNAM,20211118,49.5,51.75,47,49.15,27365,0
LAGNAM,20211122,47.55,51.8,46,49.4,30475,0
LAGNAM,20211123,47.2,50.5,45.15,49.6,21866,0
LAGNAM,20211124,49.1,51.4,48.25,49.85,14347,0
LAGNAM,20211125,49.3,51.85,48.85,51,9754,0
LAGNAM,20211126,50,50.3,48.05,49.6,10965,0
LAGNAM,20211129,48,49.45,46.5,47.3,44335,0
LAGNAM,20211130,46.15,47.75,44.6,47.2,17883,0
LAGNAM,20211201,47.8,48,46.55,47.8,15393,0
LAGNAM,20211202,48,52.55,48,52.55,33203,0
LAGNAM,20211203,52.9,56.95,50.35,51.35,37554,0
LAGNAM,20211206,54.5,54.5,50.8,52.4,13879,0
LAGNAM,20211207,52.5,56.45,51.7,52.3,20291,0
LAGNAM,20211208,52.3,54.5,51.4,52.45,17255,0
LAGNAM,20211209,50.1,53.85,50.1,52.3,11717,0
LAGNAM,20211210,53.35,53.35,51.25,52.75,27351,0
LAGNAM,20211213,54.2,54.2,51.6,52.05,36733,0
LAGNAM,20211214,54,54,51.6,53.05,24182,0
LAGNAM,20211215,54.2,54.2,51.6,52.2,6199,0
LAGNAM,20211216,52,52.9,51.6,51.75,14079,0
LAGNAM,20211217,53,53,49.6,50.05,33219,0
LAGNAM,20211220,51.05,59.45,51,53.2,471643,0
LAGNAM,20211221,54,55.9,52.55,53.95,60150,0
LAGNAM,20211222,53,56,51.95,54.9,46326,0
LAGNAM,20211223,55.75,56.4,52.15,53.3,35273,0
LAGNAM,20211224,54.4,55.65,53.1,53.35,24121,0
LAGNAM,20211227,53,57.9,52.6,56.35,70368,0
LAGNAM,20211228,56.35,59.6,56.35,58.6,83214,0
LAGNAM,20211229,58.6,59.4,55.1,55.9,78926,0
LAGNAM,20211230,55.9,57.95,55.5,55.65,40836,0
LAGNAM,20211231,57.95,57.95,55.05,55.7,43747,0
LAGNAM,20220103,56.85,62,56,61.1,142931,0
LAGNAM,20220104,63.45,63.9,61.25,62.45,168931,0
LAGNAM,20220105,60.25,74.9,60.25,74.9,646765,0
LAGNAM,20220106,76,89.8,70.85,87.75,2235654,0
LAGNAM,20220107,90.75,91.9,80.25,81,545592,0
LAGNAM,20220110,84.95,87,81,85.8,208208,0
LAGNAM,20220111,86.8,90,82,83.3,137094,0
LAGNAM,20220112,83.5,85.9,77.1,80,109938,0
LAGNAM,20220113,82,82,77.5,78.55,57173,0
LAGNAM,20220114,79.5,85,77.5,82.25,135021,0
LAGNAM,20220117,90.45,90.45,90.45,90.45,144232,0
LAGNAM,20220118,99.45,99.45,90.6,99.2,952994,0
LAGNAM,20220119,99,103.45,93.95,97.4,342519,0
LAGNAM,20220120,99.8,107.1,98.05,107.1,821765,0
LAGNAM,20220121,109.8,111.8,101.75,101.8,480886,0
LAGNAM,20220124,97.6,99.8,96.75,96.75,46851,0
LAGNAM,20220125,92,98.8,91.95,93.85,447471,0
LAGNAM,20220127,94,97.5,88.7,90.55,248312,0
LAGNAM,20220128,93,95.05,91.95,93,137206,0
LAGNAM,20220131,92.6,96.6,91.6,92.35,46125,0
LAGNAM,20220201,93.6,94.5,90.5,91.65,39671,0
LAGNAM,20220202,92.7,96.2,91.5,96.2,133346,0
LAGNAM,20220203,97.4,97.45,93.55,94,65179,0
LAGNAM,20220204,95.35,96,92.2,93,33235,0
LAGNAM,20220207,95.9,97.5,91,94.3,99440,0
LAGNAM,20220208,94.9,94.9,91,92.3,48926,0
LAGNAM,20220209,93.8,101.5,92.55,98.8,309029,0
LAGNAM,20220210,102,105.5,101,103.45,217057,0
LAGNAM,20220211,103.45,107.05,97.85,101.9,190339,0
LAGNAM,20220214,95.1,101.4,93.5,94.45,93769,0
LAGNAM,20220215,93.95,99.55,92.05,96.5,76531,0
LAGNAM,20220216,98,103.95,98,102.15,120709,0
LAGNAM,20220217,105,105.5,96,96.95,45868,0
LAGNAM,20220218,96,98.65,94.55,95.45,43972,0
LAGNAM,20220221,93.05,95.65,92,92.65,48490,0
LAGNAM,20220222,90,90.55,83.4,84.95,126622,0
LAGNAM,20220223,85.8,90,81.35,83.25,56414,0
LAGNAM,20220224,79.9,83,74.95,75,131673,0
LAGNAM,20220225,78.35,78.75,76.5,78.75,13720,0
LAGNAM,20220228,80.75,82.65,78.85,82.65,43554,0
LAGNAM,20220302,84.5,86.75,83.5,86.7,68969,0
LAGNAM,20220303,90.75,90.75,83.35,85.25,33663,0
LAGNAM,20220304,84.35,89.5,83.5,89.5,47892,0
LAGNAM,20220307,91.85,92.5,85.05,85.4,48306,0
LAGNAM,20220308,88,89.65,86.05,89.3,54200,0
LAGNAM,20220309,89.3,93.2,89.3,90.65,41064,0
LAGNAM,20220310,94.95,94.95,88.3,89.85,28960,0
LAGNAM,20220311,90.75,90.75,88.3,89.55,31980,0
LAGNAM,20220314,90,90,86.5,87.4,13743,0
LAGNAM,20220315,85.7,90.7,85.1,85.95,32570,0
LAGNAM,20220316,88.75,90.2,88.5,89.25,36811,0
LAGNAM,20220317,90.2,92.85,90.05,90.6,31037,0
LAGNAM,20220321,89.1,91,87.7,88.9,32518,0
LAGNAM,20220322,88.05,89.55,84.65,85.7,87126,0
LAGNAM,20220323,86,88,85.05,85.75,26594,0
LAGNAM,20220324,85.1,86.7,81.5,84.4,46904,0
LAGNAM,20220325,84.1,86.95,80.55,82.35,48854,0
LAGNAM,20220328,83,84.9,80.75,82.65,16956,0
LAGNAM,20220329,84,84.5,81,83.65,21836,0
LAGNAM,20220330,84.35,85.25,81.7,84.8,19587,0
LAGNAM,20220331,85,88.85,83.5,87.4,43185,0
LAGNAM,20220401,87,89.5,85.5,86.55,32668,0
LAGNAM,20220404,86.65,89.55,86.65,88.95,39053,0
LAGNAM,20220405,90,91.7,87.2,87.95,65282,0
LAGNAM,20220406,89,90.6,85.35,86.5,81550,0
LAGNAM,20220407,84.95,87.9,84.95,86.7,43762,0
LAGNAM,20220408,87.45,90.5,86.75,89.5,49319,0
LAGNAM,20220411,89.5,92,88.65,91.6,67329,0
LAGNAM,20220412,95.9,96.15,91.65,96.05,135575,0
LAGNAM,20220413,97.95,97.95,92.5,93.95,70661,0
LAGNAM,20220418,93.5,93.5,89.3,89.3,132238,0
LAGNAM,20220419,90,90,84.85,86.35,89486,0
LAGNAM,20220420,88.5,89.35,85,85.85,44657,0
LAGNAM,20220421,87.6,90.1,86.35,90.05,52281,0
LAGNAM,20220422,89.4,92.75,88.3,90.15,25415,0
LAGNAM,20220425,90.15,90.15,85.65,85.7,38731,0
LAGNAM,20220426,86.9,87,81.45,83.05,73610,0
LAGNAM,20220427,81.55,85,79.55,81.8,64535,0
LAGNAM,20220428,83.9,84.4,79.05,79.95,40141,0
LAGNAM,20220429,81.85,82.5,80.1,81.5,19636,0
LAGNAM,20220502,81.35,81.4,77.5,77.8,43551,0
LAGNAM,20220504,77.8,80,75,76.35,26939,0
LAGNAM,20220505,77,77.65,75.05,75.95,17977,0
LAGNAM,20220506,76.9,76.9,72.2,75.3,32485,0
LAGNAM,20220509,75,75.1,71.7,72.2,19097,0
LAGNAM,20220510,72.95,73.75,70,71.5,15501,0
LAGNAM,20220511,70.25,72.35,67.95,67.95,32493,0
LAGNAM,20220512,68,68,64.6,64.6,20412,0
LAGNAM,20220513,63.4,67,63.4,65.85,23525,0
LAGNAM,20220516,68,68,62.6,62.85,32355,0
LAGNAM,20220517,64.45,65.95,59.75,65.95,70590,0
LAGNAM,20220518,68.5,69.2,65.45,69.05,21102,0
LAGNAM,20220519,68,72.5,67.2,72.5,21468,0
