SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
LAKSHMIMIL,20091113,1450,1450,1450,1450,1,1
LAKSHMIMIL,20091117,1301,1696,1301,1684.2,375,363
LAKSHMIMIL,20091118,1620,1724,1525,1573.1,1220,339
LAKSHMIMIL,20091119,1638,1638,1497.1,1501.55,119,69
LAKSHMIMIL,20091120,1511,1525,1452.5,1480.2,65,49
LAKSHMIMIL,20091123,1500,1500,1453.6,1495,39,27
LAKSHMIMIL,20091124,1549.9,1549.9,1431,1453.95,91,61
LAKSHMIMIL,20091125,1550,1638.8,1470,1478.5,306,107
LAKSHMIMIL,20091126,1524.9,1524.9,1420.15,1442.1,59,47
LAKSHMIMIL,20091127,1496.9,1496.9,1377,1406.85,112,36
LAKSHMIMIL,20091130,1496.9,1496.9,1355.1,1433.55,195,26
LAKSHMIMIL,20091201,1430,1493,1430,1470.8,64,48
LAKSHMIMIL,20091202,1457,1520,1457,1513,100,43
LAKSHMIMIL,20091203,1492,1535,1480,1480,57,42
LAKSHMIMIL,20091204,1565,1565,1456.2,1486,17,13
LAKSHMIMIL,20091207,1486,1486,1420,1477.65,112,84
LAKSHMIMIL,20091208,1500,1500,1452,1456,39,0
LAKSHMIMIL,20091209,1429,1432.2,1421.5,1431.5,10,5
LAKSHMIMIL,20091210,1450,1450,1434.95,1436.25,110,0
LAKSHMIMIL,20091211,1445,1445,1428,1428,7,7
LAKSHMIMIL,20091214,1469.95,1469.95,1386,1401,99,67
LAKSHMIMIL,20091215,1387,1454.45,1387,1402,84,0
LAKSHMIMIL,20091216,1350,1424.95,1350,1382.05,14,13
LAKSHMIMIL,20091217,1499.85,1499.95,1385.05,1401.9,52,28
LAKSHMIMIL,20091218,1360,1434.95,1360,1366.9,55,44
LAKSHMIMIL,20091221,1400,1455,1400,1400,52,39
LAKSHMIMIL,20091222,1380.05,1405,1380.05,1395.1,26,26
LAKSHMIMIL,20091223,1375.2,1382,1375.2,1380.2,35,35
LAKSHMIMIL,20091224,1435,1435,1366.05,1375.55,36,0
LAKSHMIMIL,20091229,1370,1400,1370,1393,24,24
LAKSHMIMIL,20091230,1345,1400,1345,1399,14,9
LAKSHMIMIL,20091231,1400,1400,1400,1400,1,1
LAKSHMIMIL,20100104,1425,1425,1355.05,1414.5,36,0
LAKSHMIMIL,20100105,1375,1421,1375,1421,62,0
LAKSHMIMIL,20100106,1461.1,1705.2,1461.1,1705.2,2517,833
LAKSHMIMIL,20100107,1798.7,2046.25,1798.7,2046.25,7506,0
LAKSHMIMIL,20100108,2194.4,2250.9,2190,2250.9,3151,1372
LAKSHMIMIL,20100111,2429.4,2476,2075,2429.65,16599,4649
LAKSHMIMIL,20100112,2400,2510,2352,2418.7,6556,2070
LAKSHMIMIL,20100113,2360,2450,2360,2416.3,2373,554
LAKSHMIMIL,20100114,2500,2500,2371.05,2391.55,963,524
LAKSHMIMIL,20100115,2410,2411,2280,2299.7,808,418
LAKSHMIMIL,20100118,2300,2347.9,2070,2112.45,1489,0
LAKSHMIMIL,20100119,2200,2200,2033.1,2050.9,807,370
LAKSHMIMIL,20100120,2000,2068,1966,1975.4,728,433
LAKSHMIMIL,20100121,1945,2172.95,1945,2172.95,1644,1076
LAKSHMIMIL,20100122,2172.95,2246,2070,2092.2,292,0
LAKSHMIMIL,20100125,2006,2174,2006,2085.8,101,0
LAKSHMIMIL,20100127,2175,2180,1981.55,1981.55,168,0
LAKSHMIMIL,20100128,1999,1999,1882.5,1882.5,396,0
LAKSHMIMIL,20100129,1788.4,1881,1788.4,1870.6,199,0
LAKSHMIMIL,20100201,1786,1920,1786,1902.8,135,0
LAKSHMIMIL,20100202,1817,1969,1817,1817,91,0
LAKSHMIMIL,20100203,1797,1857,1752.1,1785.9,44,0
LAKSHMIMIL,20100204,1750,1875,1750,1871.9,188,0
LAKSHMIMIL,20100205,1788,1845,1780,1800,226,0
LAKSHMIMIL,20100206,1800,1883,1800,1873.25,36,0
LAKSHMIMIL,20100208,1789,1887,1786,1846.3,96,0
LAKSHMIMIL,20100209,1890,1890,1835,1878.25,110,0
LAKSHMIMIL,20100210,1825,1920,1813.25,1900,161,0
LAKSHMIMIL,20100211,1899,1945,1899,1938,156,0
