SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
LANCOIND,19950215,20.5,20.5,20.5,20.5,100,0
LANCOIND,19950216,20,20,20,20,300,0
LANCOIND,19950217,20,20,20,20,800,0
LANCOIND,19950220,20,20,20,20,100,0
LANCOIND,19950221,21,23,21,23,1200,0
LANCOIND,19950222,22,22,22,22,200,0
LANCOIND,19950224,22,23,22,23,900,0
LANCOIND,19950228,20.15,20.15,20.15,20.15,100,0
LANCOIND,19950307,21,21.5,21,21.25,1100,0
LANCOIND,19950308,21.5,22,20.75,20.85,12900,0
LANCOIND,19950309,20.75,21,20.5,20.5,13500,0
LANCOIND,19950310,22,22,22,22,100,0
LANCOIND,19950313,20.25,20.25,20.25,20.25,500,0
LANCOIND,19950314,21,21,20.5,20.5,7200,0
LANCOIND,19950315,21.5,21.5,21,21.25,9100,0
LANCOIND,19950320,21.65,21.75,21.65,21.75,1000,0
LANCOIND,19950321,21,21,20.5,20.5,1400,0
LANCOIND,19950322,22,22.25,22,22.25,1200,0
LANCOIND,19950323,22,22,22,22,500,0
LANCOIND,19950324,21,21,21,21,200,0
LANCOIND,19950327,22,23,22,23,1400,0
LANCOIND,19950328,21,21,21,21,200,0
LANCOIND,19950331,20,20,20,20,200,0
LANCOIND,19950403,21,21,21,21,300,0
LANCOIND,19950404,21,21,20.5,21,4400,0
LANCOIND,19950407,22.5,22.5,22.5,22.5,200,0
LANCOIND,19950410,21,21,20.5,20.5,900,0
LANCOIND,19950411,21.5,21.5,21.25,21.25,800,0
LANCOIND,19950412,22,22,22,22,100,0
LANCOIND,19950418,21,21.5,21,21.5,600,0
LANCOIND,19950419,21.5,22,21.5,22,900,0
LANCOIND,19950420,21,21.25,21,21.25,3400,0
LANCOIND,19950421,21,21.25,20.75,21,1300,0
LANCOIND,19950424,21,22,21,22,600,0
LANCOIND,19950425,21,21,20,20,200,0
LANCOIND,19950426,20.7,20.75,20.7,20.7,1600,0
LANCOIND,19950427,18.05,18.05,18.05,18.05,100,0
LANCOIND,19950428,18.75,18.75,18.75,18.75,100,0
LANCOIND,19950510,19.5,20,19.5,19.5,1000,0
LANCOIND,19950512,18,20,18,18,1100,0
LANCOIND,19950515,18,19,18,19,300,0
LANCOIND,19950516,17.25,18,17.25,18,1200,0
LANCOIND,19950517,17.25,17.25,17.25,17.25,500,0
LANCOIND,19950519,18.5,18.5,18.5,18.5,200,0
LANCOIND,19950522,18.5,18.5,18.5,18.5,100,0
LANCOIND,19950529,16.5,16.5,16.5,16.5,100,0
LANCOIND,19950530,17,17,16.5,16.5,700,0
LANCOIND,19950531,16.55,16.55,16.55,16.55,100,0
LANCOIND,19950601,17,18,17,18,200,0
LANCOIND,19950602,17.25,18,17.25,18,2300,0
LANCOIND,19950605,17,17,16.7,16.7,700,0
LANCOIND,19950606,16.75,16.75,16.75,16.75,100,0
LANCOIND,19950607,17.5,17.5,17.5,17.5,100,0
LANCOIND,19950609,17,17,17,17,100,0
LANCOIND,19950612,17.9,17.9,17.9,17.9,200,0
LANCOIND,19950613,16.5,16.5,16.5,16.5,500,0
LANCOIND,19950614,16.4,16.4,16.4,16.4,200,0
LANCOIND,19950627,14.5,14.5,14.5,14.5,100,0
LANCOIND,19950712,13,13,13,13,100,0
LANCOIND,19950713,13,13,13,13,900,0
LANCOIND,19950717,14,14.1,14,14.1,1000,0
LANCOIND,19950720,14.5,14.5,14.5,14.5,500,0
LANCOIND,19950721,14.75,14.75,14.75,14.75,1000,0
LANCOIND,19950726,14.5,14.75,14.5,14.75,1500,0
LANCOIND,19950727,15.6,15.6,15.6,15.6,500,0
LANCOIND,19950731,15,15,15,15,400,0
LANCOIND,19950802,15,15,15,15,400,0
LANCOIND,19950803,15.5,15.5,15,15,1100,0
