SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
LKPMERFIN,19950210,57.5,57.5,57.5,57.5,100,0
LKPMERFIN,19950214,58,58.95,58,58.95,300,0
LKPMERFIN,19950215,62.75,62.75,62.75,62.75,100,0
LKPMERFIN,19950221,57.5,58,57.5,58,200,0
LKPMERFIN,19950224,60,60,60,60,100,0
LKPMERFIN,19950301,59.75,59.75,59.75,59.75,200,0
LKPMERFIN,19950307,60,60,55,55,800,0
LKPMERFIN,19950308,57,57,55.25,55.25,200,0
LKPMERFIN,19950309,57,57,57,57,100,0
LKPMERFIN,19950310,57,57.5,56,56.55,4200,0
LKPMERFIN,19950313,54,54.5,54,54.5,600,0
LKPMERFIN,19950314,57,57,57,57,200,0
LKPMERFIN,19950315,57,57.2,57,57,2000,0
LKPMERFIN,19950316,56.5,56.5,55,55,600,0
LKPMERFIN,19950320,55,55,55,55,600,0
LKPMERFIN,19950321,54,54,52,52,1100,0
LKPMERFIN,19950323,53,53,53,53,200,0
LKPMERFIN,19950324,53,53.4,52.5,52.75,1100,0
LKPMERFIN,19950327,52.5,52.5,52.5,52.5,800,0
LKPMERFIN,19950328,52.75,52.75,52.5,52.5,500,0
LKPMERFIN,19950329,53,55,52.75,52.75,1600,0
LKPMERFIN,19950331,54,54,52,52,700,0
LKPMERFIN,19950404,52,56,52,53,1400,0
LKPMERFIN,19950407,65,65.5,63.5,63.5,1200,0
LKPMERFIN,19950410,63.5,63.5,62.25,62.25,2200,0
LKPMERFIN,19950411,62.95,62.95,57.5,57.5,2900,0
LKPMERFIN,19950412,56,62,56,62,300,0
LKPMERFIN,19950417,62.5,62.5,59,59,1100,0
LKPMERFIN,19950418,59.05,59.05,59,59,2100,0
LKPMERFIN,19950419,55,55,53.25,53.25,700,0
LKPMERFIN,19950420,52.5,52.5,52.5,52.5,100,0
LKPMERFIN,19950421,53,53.95,53,53.55,400,0
LKPMERFIN,19950424,50.5,51,50.5,51,600,0
LKPMERFIN,19950425,48,48.5,48,48.5,300,0
LKPMERFIN,19950426,48.5,51.9,48.5,51.9,500,0
LKPMERFIN,19950427,48,48,43,43,1100,0
LKPMERFIN,19950428,43.1,45,43.1,45,400,0
LKPMERFIN,19950502,43,45,43,45,1000,0
LKPMERFIN,19950503,48,48.95,47.5,48.25,1000,0
LKPMERFIN,19950504,47.5,47.75,47.5,47.75,200,0
LKPMERFIN,19950505,47.95,50,47.95,50,400,0
LKPMERFIN,19950508,45.5,45.5,45.5,45.5,200,0
LKPMERFIN,19950509,48,48,48,48,300,0
LKPMERFIN,19950510,48.5,51,48.5,51,300,0
LKPMERFIN,19950515,46.25,47,46.25,47,900,0
LKPMERFIN,19950516,47,49,47,48,1200,0
LKPMERFIN,19950517,50,50,49,49,500,0
LKPMERFIN,19950518,50,50,49,49,300,0
LKPMERFIN,19950519,49,49,49,49,1200,0
LKPMERFIN,19950522,51.95,51.95,51.95,51.95,1000,0
LKPMERFIN,19950523,47.55,47.6,47.55,47.55,500,0
LKPMERFIN,19950524,47.25,50,47.25,49.9,1000,0
LKPMERFIN,19950530,48,53.5,48,51.5,1100,0
LKPMERFIN,19950531,48,48,48,48,100,0
LKPMERFIN,19950601,49.45,49.5,49.45,49.5,500,0
LKPMERFIN,19950606,49.5,49.5,48.5,48.85,400,0
LKPMERFIN,19950609,46.1,46.1,46.1,46.1,100,0
LKPMERFIN,19950612,44,45,44,44.35,111800,0
LKPMERFIN,19950620,45,45,45,45,100,0
LKPMERFIN,19950621,46,46,46,46,200,0
LKPMERFIN,19950622,44.5,44.5,44.5,44.5,500,0
LKPMERFIN,19950623,46.05,46.05,46.05,46.05,500,0
LKPMERFIN,19950626,47,47,47,47,100,0
LKPMERFIN,19950629,45,45,43,43,112200,0
LKPMERFIN,19950630,43,43,40,40,500,0
LKPMERFIN,19950703,40,40,40,40,100,0
LKPMERFIN,19950704,39,40,38,39.95,800,0
LKPMERFIN,19950710,40,40,40,40,100,0
LKPMERFIN,19950717,42,42,42,42,200,0
LKPMERFIN,19950718,42.25,42.25,42.25,42.25,400,0
LKPMERFIN,19950724,44,44,43.5,43.5,400,0
LKPMERFIN,19950725,43.75,43.75,42,42.6,1100,0
LKPMERFIN,19950726,44,44,44,44,300,0
LKPMERFIN,19950727,43.5,43.5,42.05,42.15,1600,0
LKPMERFIN,19950728,42,42,41.95,42,700,0
LKPMERFIN,19950731,39,41,39,39.75,700,0
LKPMERFIN,19950801,42,42,42,42,100,0
LKPMERFIN,19950808,40,40,39.55,39.55,400,0
LKPMERFIN,19950822,42,42,42,42,200,0
LKPMERFIN,19950824,42,42,42,42,200,0
LKPMERFIN,19950828,38.5,40,38.05,39.05,300,0
LKPMERFIN,19950830,39,39,39,39,100,0
LKPMERFIN,19950901,39,39,39,39,200,0
LKPMERFIN,19950905,37,37,37,37,100,0
LKPMERFIN,19950907,38.25,38.25,38.25,38.25,200,0
LKPMERFIN,19950908,38,38.25,38,38,900,0
LKPMERFIN,19950912,38.05,38.9,38.05,38.9,800,0
LKPMERFIN,19950913,39,39,39,39,100,0
LKPMERFIN,19950915,37,37,36.5,36.5,700,0
LKPMERFIN,19950918,38,39,38,39,600,0
LKPMERFIN,19950922,36.5,36.5,36.5,36.5,200,0
LKPMERFIN,19950925,39.5,39.5,39.5,39.5,100,0
LKPMERFIN,19950929,38.25,40,38.25,40,200,0
LKPMERFIN,19951004,41,41,41,41,100,0
LKPMERFIN,19951005,38.5,38.5,38.5,38.5,200,0
LKPMERFIN,19951010,37.5,37.5,37.5,37.5,1000,0
LKPMERFIN,19951018,37,37,35,35,300,0
LKPMERFIN,19951020,31,31,31,31,400,0
LKPMERFIN,19951031,28.25,28.25,28.25,28.25,100,0
LKPMERFIN,19951103,28.25,29,29,29,100,0
LKPMERFIN,19951106,29,29,29,29,100,0
