SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
LOKESHMACH,20060505,211.65,284,211.65,227.4,5847801,729449
LOKESHMACH,20060508,230,261,223,256.45,4865944,523244
LOKESHMACH,20060509,258,264,246,254.7,2545587,275384
LOKESHMACH,20060510,256,267.7,252.55,255,1231208,0
LOKESHMACH,20060511,254.9,280.8,250,268.4,3009098,304122
LOKESHMACH,20060512,262,269.2,255.05,256.85,1095890,162699
LOKESHMACH,20060515,255.7,262.8,225.55,231.45,691759,148745
LOKESHMACH,20060516,232.5,234.4,209,216.95,558989,0
LOKESHMACH,20060517,221.7,231,219,227.85,305177,57868
LOKESHMACH,20060518,230,230,188.1,191.8,254163,88722
LOKESHMACH,20060519,201,204,168.3,174.75,152070,37415
LOKESHMACH,20060522,180,189,148.5,177.7,161262,47360
LOKESHMACH,20060523,182,198,160.1,195.35,117789,30341
LOKESHMACH,20060524,191,196,170.4,173.75,91999,30563
LOKESHMACH,20060525,175,175,165.2,170.45,88925,19063
LOKESHMACH,20060526,175,185,175,178.35,68043,13518
LOKESHMACH,20060529,185,187.5,178,180.25,45693,10963
LOKESHMACH,20060530,181.4,183,174.15,175.45,32619,8312
LOKESHMACH,20060531,165.2,168.5,156.6,163.15,74205,24360
LOKESHMACH,20060601,168,168.9,149,150.25,49864,18562
LOKESHMACH,20060602,148,150,136.6,144.15,59717,19894
LOKESHMACH,20060605,146,158.6,144,158.6,116154,44350
LOKESHMACH,20060606,159,174.5,147.5,173.4,320136,75839
LOKESHMACH,20060607,172,175,156.1,156.1,129563,33881
LOKESHMACH,20060608,148,148,140.5,140.5,22768,15661
LOKESHMACH,20060609,131.25,152.8,127.1,146.2,163565,39408
LOKESHMACH,20060612,142.1,158.45,137,149.75,119720,52501
LOKESHMACH,20060613,140,144.95,134.8,135.9,34867,17770
LOKESHMACH,20060614,137,142,129.1,129.1,32911,13749
LOKESHMACH,20060615,132,135.6,129.35,134.2,24302,9710
LOKESHMACH,20060616,139.7,140.95,135,136.3,25720,9915
