SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
M50,20100730,80,80,77.55,78.47,7793841,7590846
M50,20100802,78.99,78.99,77.75,77.89,213166,187490
M50,20100803,78.8,78.8,77.5,77.54,71727,53446
M50,20100804,78.19,78.4,77.31,78.35,372118,362749
M50,20100805,78.49,78.5,77.7,78.26,690316,655857
M50,20100806,78.08,78.45,77.9,78.22,629115,605003
M50,20100809,78.5,78.95,77.75,78.72,199762,181456
M50,20100810,79.38,79.38,77.83,77.87,45333,34997
M50,20100811,78.5,78.75,77.83,78.21,123228,109909
M50,20100812,78.2,78.5,77.58,78.25,48444,41466
M50,20100813,78.5,78.73,77.87,78.35,298212,264017
M50,20100816,78.6,78.9,77.9,77.94,34054,27675
M50,20100817,78.34,78.34,77.66,78.08,29756,20347
M50,20100818,78.4,79.8,77.95,79.41,576378,417841
M50,20100819,79.85,80.6,78.8,80.34,731751,477293
M50,20100820,79.74,80.11,79.1,79.64,303323,282618
M50,20100823,80.48,81.1,79.67,80.95,1214860,1129043
M50,20100824,80.51,81.95,79.82,80.06,243070,223364
M50,20100825,80.55,80.55,78.91,79.24,39738,32183
M50,20100826,79.05,80.37,79.02,79.66,79262,41544
M50,20100827,79.98,80,78.9,79.47,212181,145726
M50,20100830,80.5,80.5,79,79.41,276705,261160
M50,20100831,79.8,79.8,77.8,78.86,46011,28530
M50,20100901,80,80.7,79,79.69,90260,54378
M50,20100902,79.95,80.8,79.5,80.39,154156,125341
M50,20100903,80.75,80.75,79.38,79.88,43620,15445
M50,20100906,80.59,80.85,79.61,80.54,80837,45794
M50,20100907,80.7,80.9,80.07,80.7,103854,89930
M50,20100908,80,80.89,80,80.66,102063,81119
M50,20100909,81.4,84.8,80.52,81.6,335859,188000
M50,20100913,82.01,83.1,81.23,82.24,494752,398364
M50,20100914,82.94,83.2,82.11,82.92,243813,223332
M50,20100915,83.25,84.7,82.8,83.7,304429,221309
M50,20100916,84.19,85.4,83.5,83.99,231480,206959
M50,20100917,85.5,85.5,83.56,83.98,51368,40026
M50,20100920,84,85.1,83.64,84.93,90670,63736
M50,20100921,85,86.3,84.45,85.41,246737,185253
M50,20100922,85.53,86.2,85.21,85.49,145516,124336
M50,20100923,85.11,85.5,84.46,85,63437,52413
M50,20100924,85.1,86.88,85,86.61,207927,126429
M50,20100927,86.7,87.79,86.12,87.2,78821,65801
M50,20100928,86.05,87.4,86.03,86.54,106460,81618
M50,20100929,87.8,87.8,86.55,87.03,104628,88693
M50,20100930,87,87.75,86.09,87.23,82154,71117
M50,20101001,86.95,88.75,86.95,88.5,171483,117623
M50,20101004,88,90,88,89.87,61522,53496
M50,20101005,90.89,90.89,89.2,90.18,39527,28820
M50,20101006,91,91.8,89.8,91.4,1285074,1119926
M50,20101007,91.45,91.45,89.9,90.44,50649,40606
M50,20101008,91,91.5,88.55,89.63,269656,145050
M50,20101011,90.9,90.9,89.57,89.62,99823,0
M50,20101012,90.5,90.5,88.62,89.73,42174,0
M50,20101013,90.07,92.9,89.25,91.61,68107,0
M50,20101014,91.8,93.2,90.05,90.28,140042,0
M50,20101015,90.11,91.59,89.15,89.75,67169,0
M50,20101018,89.75,92,88.12,89.85,69268,0
M50,20101019,89,90.65,88.55,89.24,233618,127365
M50,20101020,88.75,89.34,87.5,87.87,19419,0
M50,20101021,79.4,89.5,79.4,88.74,37275,0
M50,20101022,102,102,88.05,88.33,446660,228756
M50,20101025,88.22,91.5,87.12,88.2,270899,63703
M50,20101026,87.21,88.71,86.14,87.67,30738,24476
M50,20101027,88,88.29,87.04,87.43,363949,352686
M50,20101028,88.22,93.5,86.2,89.79,49999,38751
M50,20101029,89.79,89.79,85.5,86.16,628486,400899
M50,20101101,87.2,88.5,86.5,86.86,1462423,1447711
M50,20101102,87.1,87.85,86.6,86.82,15211,0
M50,20101103,87.2,88.28,86.94,87.39,26624,0
M50,20101104,88,90,87.5,89.35,65435,36016
M50,20101105,91,91,89,89.59,25368,19380
M50,20101108,98,98,89.11,90.8,79404,56204
M50,20101109,90,90.5,89.4,89.73,20375,0
M50,20101110,90,90.45,88.22,89.13,36500,0
M50,20101111,100,100,88,88.11,18038,14059
M50,20101112,88,89.3,87.1,87.27,16183,0
M50,20101115,86.11,89.95,86.11,88.63,31965,19318
M50,20101116,88.93,88.93,85.55,85.89,19139,14692
M50,20101118,85.03,87.8,84.8,86.55,20672,11444
M50,20101119,85.25,87.6,84.55,84.87,26935,21737
M50,20101122,83.25,86.85,83.25,85.23,10997,0
M50,20101123,84.5,86.87,83.5,84.73,116069,111154
M50,20101124,84.83,85.45,83,83.21,21142,14996
M50,20101125,86.95,86.95,82.5,82.86,26689,24006
M50,20101126,85.5,85.5,80.1,81.51,2446887,1214733
M50,20101129,82,83.75,81.05,82,19127,10491
M50,20101130,83.9,84.1,81,83.6,21849,0
M50,20101201,83.75,87.49,82.5,85.06,58631,25202
M50,20101202,85.98,86.5,84.53,84.6,37892,33088
M50,20101203,86,86,83.63,84.02,10014,6355
M50,20101206,85.89,85.89,83.5,84.2,8387,6751
M50,20101207,84.5,85.95,83.75,84.15,16501,10706
M50,20101208,84.5,84.5,83,83.27,8158,5602
M50,20101209,86,86,81.66,82.5,40485,31129
M50,20101210,82.8,83.96,80.55,82.93,28195,0
M50,20101213,81,85.4,81,84.03,8325,5594
M50,20101214,82,83.99,82,83.27,12590,10143
M50,20101215,84,84,82.35,82.72,10921,6295
M50,20101216,84.6,84.6,82.15,83.48,44853,39904
