SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MACIND,19950111,72,72,72,72,100,0
MACIND,19950112,72.5,72.5,70,71.35,500,0
MACIND,19950214,73,73,73,73,100,0
MACIND,19950215,70.75,70.75,70.75,70.75,100,0
MACIND,19950216,71.5,71.5,71.5,71.5,100,0
MACIND,19950308,67.5,67.5,67.5,67.5,100,0
MACIND,19950314,65,65,65,65,100,0
MACIND,19950315,67,67,67,67,100,0
MACIND,19950323,67,67,67,67,500,0
MACIND,19950324,70,70,70,70,200,0
MACIND,19950329,65,65,65,65,200,0
MACIND,19950410,65,65,65,65,100,0
MACIND,19950412,69,69,69,69,100,0
MACIND,19950425,63,63,63,63,100,0
MACIND,19950426,57,57,55,55.7,500,0
MACIND,19950502,58,58,58,58,100,0
MACIND,19950510,55,55,55,55,100,0
MACIND,19950515,51.5,51.5,51.5,51.5,100,0
MACIND,19950516,55,55,55,55,300,0
MACIND,19950517,52,52,52,52,100,0
MACIND,19950518,54,54,52,52,300,0
MACIND,19950524,50,50,50,50,100,0
MACIND,19950529,49,49,49,49,100,0
MACIND,19950530,50,50,48.8,49,1200,0
MACIND,19950531,49,49,49,49,100,0
MACIND,19950601,47,47,47,47,100,0
MACIND,19950602,49,49,49,49,100,0
MACIND,19950605,49,49,49,49,100,0
MACIND,19950606,49,49,49,49,100,0
MACIND,19950607,49.1,50,49,50,700,0
MACIND,19950608,49,50,49,50,700,0
MACIND,19950609,47.5,47.5,47,47,300,0
MACIND,19950612,47,50,45.75,47.5,3100,0
MACIND,19950613,48,48,47,47,500,0
MACIND,19950614,48.5,49.5,48.5,49,300,0
MACIND,19950615,48,49,48,49,300,0
MACIND,19950616,48,48,47.5,47.5,600,0
MACIND,19950621,50,50,50,50,100,0
MACIND,19950622,48,48,48,48,200,0
MACIND,19950623,47,48.5,47,48.5,300,0
MACIND,19950626,48,48,48,48,100,0
MACIND,19950627,46,46,46,46,300,0
MACIND,19950628,46.6,46.6,46.5,46.5,400,0
MACIND,19950707,43,43,43,43,100,0
MACIND,19950710,42,42,41.5,41.5,800,0
MACIND,19950711,42,42,40.5,40.5,1800,0
MACIND,19950712,41.5,41.5,40.5,40.5,400,0
MACIND,19950717,40,40,40,40,500,0
MACIND,19950718,40.5,40.5,40,40,300,0
MACIND,19950719,44,44,44,44,100,0
MACIND,19950720,42.25,45,42.25,45,1100,0
MACIND,19950721,47,47,47,47,200,0
MACIND,19950724,45,45,45,45,500,0
MACIND,19950725,45,47,45,45,1000,0
MACIND,19950726,42.1,42.1,42.1,42.1,100,0
MACIND,19950727,42.25,42.25,42,42,500,0
MACIND,19950731,43,43,43,43,100,0
MACIND,19950817,40,40,40,40,500,0
MACIND,19950822,39,39,38.75,38.75,400,0
MACIND,19950823,39.5,40,39.5,40,200,0
MACIND,19950824,40,40,38,38,300,0
MACIND,19950825,39,39,39,39,500,0
MACIND,19950905,39,39,39,39,1000,0
MACIND,19950908,38.5,38.5,38.5,38.5,100,0
MACIND,19950912,39,39,39,39,100,0
MACIND,19950914,39,39,39,39,100,0
MACIND,19950918,38,39,38,39,200,0
MACIND,19950919,39,39,39,39,200,0
MACIND,19950920,39,39,38.5,38.5,200,0
MACIND,19950921,38.5,38.5,34.7,34.7,600,0
MACIND,19950922,35,35,35,35,100,0
MACIND,19950925,37,38,37,38,200,0
MACIND,19950926,40,41.25,40,41.25,200,0
MACIND,19950927,40,40,40,40,100,0
MACIND,19951005,40,40,40,40,100,0
MACIND,19951006,40,40,40,40,200,0
MACIND,19951009,42,42,42,42,200,0
MACIND,19951010,42,42,36,36,5300,0
MACIND,19951016,36,39,38,38,300,0
MACIND,19951017,38,38.05,38,38.05,300,0
MACIND,19951018,38.5,38.5,38,38,500,0
MACIND,19951019,38,37,37,37,100,0
MACIND,19951020,37,37.75,36,37.75,200,0
MACIND,19951024,37.9,37.9,37.9,37.9,100,0
MACIND,19951026,37.9,35.25,35,35,700,0
MACIND,19951027,35,36.5,35.1,36,1200,0
MACIND,19951030,36,35,34.5,34.5,1500,0
MACIND,19951031,34.5,34.5,34.5,34.5,700,0
MACIND,19951101,34.5,34.5,33.5,34,1400,0
MACIND,19951102,34,33.75,33,33,6000,0
MACIND,19951103,33,33,33,33,200,0
MACIND,19951106,33,33,31,31,400,0
MACIND,19951107,31,31.25,31.05,31.05,500,0
MACIND,19951108,31.05,32.5,31.75,32.5,700,0
MACIND,19951109,32.5,32,31.1,31.1,1100,0
MACIND,19951110,31.1,32,28,29.5,6300,0
MACIND,19951113,29.5,29,27,27.15,3700,0
MACIND,19951114,27.15,29.25,27.5,27.8,2500,0
MACIND,19951115,27.8,29.95,28.5,28.5,900,0
MACIND,19951116,28.5,29.7,28.5,29.25,1100,0
MACIND,19951117,29.25,29.75,29,29,600,0
MACIND,19951120,28.3,30,28.3,29.75,900,0
MACIND,19951121,29.75,30,28.55,29,2600,0
MACIND,19951122,29,29.25,28.25,28.5,1800,0
MACIND,19951123,28.5,28.55,28,28,700,0
MACIND,19951124,28,29.95,28,29,900,0
MACIND,19951127,29,29.25,28,28,2500,0
MACIND,19951128,28,29.2,27,28.95,1100,0
MACIND,19951129,28.95,29,29,29,200,0
MACIND,19951130,29,29.75,28.9,29,900,0
MACIND,19951201,29,30,29,30,1000,0
MACIND,19951204,30,29.95,29.5,29.95,400,0
MACIND,19951205,28,28.6,28,28.25,1000,0
MACIND,19951206,28.25,30,28.5,29.25,400,0
MACIND,19951207,29.25,30,29.05,29.05,600,0
MACIND,19951208,30,30,30,30,200,0
MACIND,19951211,30,30,29.05,29.05,500,0
MACIND,19951212,29.05,29.05,28.5,28.75,2000,0
MACIND,19951213,28.5,28.5,28.5,28.5,1800,0
MACIND,19951214,28.5,29.2,28.05,28.75,1500,0
MACIND,19951215,28.5,28.75,28.5,28.75,600,0
MACIND,19951218,28.75,28.45,27.75,27.9,2900,0
MACIND,19951219,26.5,27.95,26,27.95,1300,0
MACIND,19951220,27.95,28,25.25,25.8,2400,0
MACIND,19951221,25.8,26.65,25.1,26.4,2000,0
MACIND,19951222,26.4,26.75,26.5,26.5,200,0
MACIND,19951226,27,27,26.5,26.5,1400,0
MACIND,19951227,26.5,28,27,28,600,0
MACIND,19951228,28,27.5,27.5,27.5,200,0
MACIND,19951229,27.5,28,27,27.5,500,0
MACIND,19960102,26.5,26.5,26,26,700,0
MACIND,19960103,26,28,26.45,26.6,1100,0
MACIND,19960104,26.6,26.5,26.5,26.5,100,0
MACIND,19960105,26.5,26.5,26.5,26.5,200,0
MACIND,19960108,26.5,27,25.5,26.05,700,0
MACIND,19960109,26.05,25.75,25,25.25,1100,0
MACIND,19960110,25.25,25,25,25,200,0
MACIND,19960111,25,26.5,25.25,26,900,0
MACIND,19960112,26,26.25,24.25,25.8,2000,0
MACIND,19960115,25.8,25.5,25,25,300,0
