SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MAHALEAS,19950928,40,40,40,40,100,0
MAHALEAS,19951013,42,42,42,42,100,0
MAHALEAS,19951017,38,38,38,38,100,0
MAHALEAS,19951019,38,39,38,39,6000,0
MAHALEAS,19951020,37.5,41,36,37.05,11100,0
MAHALEAS,19951023,41,42,38.5,41.15,5700,0
MAHALEAS,19951024,40,44,40,43.25,7300,0
MAHALEAS,19951025,41.25,41.25,39.05,40.3,5500,0
MAHALEAS,19951026,40.5,40.5,37,37.5,6400,0
MAHALEAS,19951027,37.5,38.8,38,38,3700,0
MAHALEAS,19951030,38,38.5,36.25,38.5,2700,0
MAHALEAS,19951031,38.5,38.5,35,35.55,7600,0
MAHALEAS,19951101,35.55,39.5,37,39.25,11400,0
MAHALEAS,19951102,39.25,42.25,38.55,38.55,5600,0
MAHALEAS,19951103,40,42,38.05,38.5,13000,0
MAHALEAS,19951106,38.5,39.8,37.5,37.75,4800,0
MAHALEAS,19951107,37.75,38.9,36.1,37.25,3700,0
MAHALEAS,19951108,37.25,38.5,38,38,4300,0
MAHALEAS,19951109,38,38.5,36.75,36.75,5800,0
MAHALEAS,19951110,36.75,37.7,37,37.6,2600,0
MAHALEAS,19951113,37.6,36.55,36,36.25,3200,0
MAHALEAS,19951114,34,34.45,33,33.1,5500,0
MAHALEAS,19951115,34.9,35.2,33.5,35,3700,0
MAHALEAS,19951116,35,35,32.25,32.75,6800,0
MAHALEAS,19951117,32.75,32.35,30.6,31,5400,0
MAHALEAS,19951120,31,30.1,28,28,4300,0
MAHALEAS,19951121,27.75,28,26,26.15,16100,0
MAHALEAS,19951122,26.15,27.75,25.5,26.9,7400,0
MAHALEAS,19951123,26.1,26.25,25.5,26.1,4300,0
MAHALEAS,19951124,26,27,25,26.65,6000,0
MAHALEAS,19951127,26.9,26.9,25.5,26,9200,0
MAHALEAS,19951128,26.5,26.9,24.1,24.15,9100,0
MAHALEAS,19951129,24,24.5,23.5,23.9,4600,0
MAHALEAS,19951130,24.5,24.5,23.65,24.3,4700,0
MAHALEAS,19951201,24.5,25,24,25,3600,0
MAHALEAS,19951204,25.5,26,24.85,25.25,8400,0
MAHALEAS,19951205,25.25,26.15,24.75,25.35,8400,0
MAHALEAS,19951206,25.35,28,26.25,28,12500,0
MAHALEAS,19951207,29.5,31.1,29.5,31.1,4400,0
MAHALEAS,19951208,32.5,32.7,32.5,32.7,4900,0
MAHALEAS,19951211,32.5,33,31.15,31.2,6100,0
MAHALEAS,19951212,31.15,31.2,29.65,29.65,7300,0
MAHALEAS,19951213,30,30,29,29.5,5000,0
MAHALEAS,19951214,30.5,30.5,28.2,28.2,6800,0
MAHALEAS,19951215,27.6,28.5,27.5,27.5,5500,0
MAHALEAS,19951218,27.6,27.6,27,27,1700,0
MAHALEAS,19951219,27,27,25.75,25.75,4100,0
MAHALEAS,19951220,25.9,27.05,25.9,27.05,2800,0
MAHALEAS,19951221,27.05,27.5,26.8,26.8,3500,0
MAHALEAS,19951222,27.6,27.65,27.1,27.65,3400,0
MAHALEAS,19951226,27.65,27.5,26.55,26.75,5500,0
MAHALEAS,19951227,26.3,27.35,26.25,27.05,3700,0
MAHALEAS,19951228,26.95,26.95,26.6,26.95,4500,0
MAHALEAS,19951229,27,27,26,26.1,3400,0
MAHALEAS,19960101,26.25,26.25,25.5,25.55,2100,0
MAHALEAS,19960102,26,26,25,25.25,3800,0
MAHALEAS,19960103,25.25,25.5,25.25,25.45,6500,0
MAHALEAS,19960104,26,26,25,25,1800,0
MAHALEAS,19960105,25.25,25.25,22.5,22.5,7500,0
MAHALEAS,19960108,21,23,20.25,20.7,15500,0
MAHALEAS,19960109,20,20,18.75,19.5,8800,0
MAHALEAS,19960110,21,21,20,21,14800,0
MAHALEAS,19960111,21,21.75,20.5,21.5,10900,0
MAHALEAS,19960112,21.4,21.4,20,20.15,6300,0
MAHALEAS,19960115,20.15,20.8,20,20,2200,0
MAHALEAS,19960116,20,20.25,19,19.25,7700,0
MAHALEAS,19960117,19.8,20.5,19.8,20.1,5000,0
MAHALEAS,19960118,19.8,19.9,19,19.2,2300,0
MAHALEAS,19960119,19.5,19.5,18,18.3,2500,0
MAHALEAS,19960122,18.5,18.75,18,18,3800,0
MAHALEAS,19960123,18,18,16.9,16.9,5400,0
MAHALEAS,19960124,18,18,15.25,15.25,5400,0
MAHALEAS,19960125,16,16,14.8,15,7100,0
MAHALEAS,19960129,14.6,15.5,14.55,15.05,6100,0
MAHALEAS,19960130,15.25,16.6,15.25,16,6100,0
MAHALEAS,19960131,16,17.6,17,17.6,12300,0
MAHALEAS,19960201,17.6,19.4,17.55,18.55,14300,0
MAHALEAS,19960202,18.75,19.8,18.5,19.1,7200,0
MAHALEAS,19960205,19.2,20,18.3,19.5,18400,0
