SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MALCO,20070412,440,452.8,416.5,422.55,4947,0
MALCO,20070413,445,445,420.1,425.1,555,0
MALCO,20070416,462,462,430.5,440.3,425,369
MALCO,20070417,411,455,411,452.3,726,0
MALCO,20070418,459.8,464,456,460,863,0
MALCO,20070419,474.85,474.85,455,460.4,550,0
MALCO,20070420,463.05,463.05,382.5,445.9,1073,0
MALCO,20070423,457.8,457.8,450,450.25,381,378
MALCO,20070424,441.5,469.9,441.5,451,306,286
MALCO,20070425,455,457.9,453,455.5,245,245
MALCO,20070426,453.5,456.9,436.4,456.75,90,90
MALCO,20070427,434.25,463.9,403,435.15,64,49
MALCO,20070430,435.05,455.5,435.05,437,160,160
MALCO,20070503,425.4,436,425.35,436,78,53
MALCO,20070504,440,449,440,448.8,204,204
MALCO,20070507,441,444,433,433.05,623,609
MALCO,20070508,424,442.15,424,442.15,200,0
MALCO,20070509,430,440,430,434.55,110,110
MALCO,20070510,446,447.7,431,434.75,130,0
MALCO,20070511,442,442,430,433,151,0
MALCO,20070514,433,433,433,433,25,0
MALCO,20070515,439,440,430,434.25,305,0
MALCO,20070516,434.6,434.6,421.25,421.25,75,75
MALCO,20070517,432,432,432,432,10,10
MALCO,20070518,432.05,432.05,430,431,36,0
MALCO,20070521,430,450,430,444.8,75,0
MALCO,20070522,440,440,430.05,430.05,18,0
MALCO,20070523,395.05,436,395.05,427.4,222,0
MALCO,20070524,426,426,426,426,50,0
MALCO,20070525,444.95,444.95,443.9,443.95,53,0
MALCO,20070528,421,440,420.5,439.05,149,0
MALCO,20070529,437.45,437.5,437.45,437.5,71,0
MALCO,20070530,422.25,425.25,422.25,425.05,558,529
MALCO,20070531,420.75,445,420.75,445,200,100
MALCO,20070601,426,435,425.5,425.6,67,67
MALCO,20070605,430,430,417.25,417.25,26,26
MALCO,20070606,450,450,417,417.9,123,0
MALCO,20070607,422,430,422,429,54,0
MALCO,20070608,437,445.95,428,431.2,348,0
