SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MAM150ETF,20220315,10.75,10.8,10.32,10.47,510661,0
MAM150ETF,20220316,10.78,10.78,10.55,10.57,75521,0
MAM150ETF,20220317,10.88,10.88,10.75,10.85,29444,0
MAM150ETF,20220321,11.17,11.5,10.85,10.86,55941,0
MAM150ETF,20220322,11.02,11.02,10.75,10.83,210309,0
MAM150ETF,20220323,11.02,11.02,10.86,10.9,39122,0
MAM150ETF,20220324,10.88,10.99,10.88,10.95,43544,0
MAM150ETF,20220325,10.99,11.03,10.9,10.9,114951,0
MAM150ETF,20220328,10.93,10.97,10.82,10.91,92969,0
MAM150ETF,20220329,10.99,11.01,10.92,10.99,186016,0
MAM150ETF,20220330,10.67,11.31,10.67,11.08,27892,0
MAM150ETF,20220331,11.12,11.81,11.06,11.13,251339,0
MAM150ETF,20220401,11.14,11.28,11.1,11.26,70059,0
MAM150ETF,20220404,11.27,11.93,11.26,11.42,118424,0
MAM150ETF,20220405,11.5,11.62,11.48,11.57,166167,0
MAM150ETF,20220406,13.55,13.55,11.58,11.64,171986,0
MAM150ETF,20220407,11.65,11.7,11.51,11.52,53880,0
MAM150ETF,20220408,11.75,11.75,11.57,11.65,12107,0
MAM150ETF,20220411,11.7,11.77,11.66,11.72,27907,0
MAM150ETF,20220412,13.5,13.5,11.41,11.53,60890,0
MAM150ETF,20220413,11.59,11.62,11.51,11.51,35076,0
MAM150ETF,20220418,11.44,11.44,11.3,11.38,48435,0
MAM150ETF,20220419,11.3,11.5,11.13,11.29,100713,0
MAM150ETF,20220420,11.32,11.38,11.26,11.3,32529,0
MAM150ETF,20220421,11.41,11.45,11.36,11.43,6494,0
MAM150ETF,20220422,11.43,11.44,11.31,11.33,35857,0
MAM150ETF,20220425,11.39,11.39,11.11,11.14,56690,0
MAM150ETF,20220426,11.25,11.31,11.21,11.27,25917,0
MAM150ETF,20220427,11.33,11.33,11.12,11.16,245355,0
MAM150ETF,20220428,11.33,11.33,11.16,11.25,17144,0
MAM150ETF,20220429,11.34,11.35,11.16,11.19,26315,0
MAM150ETF,20220502,11.25,11.25,11.07,11.11,81409,0
MAM150ETF,20220504,11.29,11.29,10.85,10.9,198030,0
MAM150ETF,20220505,11.99,11.99,10.86,10.9,26397,0
MAM150ETF,20220506,10.89,11.15,10.63,10.72,95214,0
MAM150ETF,20220509,10.95,10.95,10.47,10.54,381094,0
MAM150ETF,20220510,10.57,10.64,10.33,10.34,52568,0
MAM150ETF,20220511,10.55,10.55,10.08,10.27,75250,0
MAM150ETF,20220512,10.16,10.2,9.98,10.05,172350,0
MAM150ETF,20220513,10.35,10.35,10.12,10.15,49165,0
MAM150ETF,20220516,10.77,10.77,10.12,10.28,1278942,0
MAM150ETF,20220517,10.88,11,10.31,10.5,15356,0
MAM150ETF,20220518,10.75,10.75,10.51,10.53,16245,0
MAM150ETF,20220519,10.65,10.65,10.2,10.24,317046,0
