SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MANDHANA,20100519,131,139.5,130,133.55,16919452,3305573
MANDHANA,20100520,135.95,140.65,131,133.6,2545220,274662
MANDHANA,20100521,132.1,136.65,131.5,135.45,736253,186312
MANDHANA,20100524,136.9,137.65,134.1,136.05,395442,210776
MANDHANA,20100525,136.8,138.5,132,136.65,264950,160017
MANDHANA,20100526,136.4,146.05,136.4,140.75,555714,138314
MANDHANA,20100527,141.4,143.9,138.5,141.35,184164,48246
MANDHANA,20100528,142,144.05,139.05,142.65,223172,68692
MANDHANA,20100531,142,142,137.2,139.65,137587,64275
MANDHANA,20100601,137,143.2,137,142.05,115878,47944
MANDHANA,20100602,140.75,144.45,140.75,143,54541,24865
MANDHANA,20100603,142.5,144.95,140.5,142.1,110094,77017
MANDHANA,20100604,142,143.9,140.5,141.95,111763,47203
MANDHANA,20100607,113.6,142,113.6,141.65,28708,13287
MANDHANA,20100608,139.05,154.85,139.05,149.75,761944,91541
MANDHANA,20100609,149.75,156.5,149.75,151.4,250124,53914
MANDHANA,20100610,153.5,158.35,152.2,155.8,320839,42130
MANDHANA,20100611,157,157,146.5,149.85,100190,34321
MANDHANA,20100614,149.9,152.55,146.05,150,146892,85833
MANDHANA,20100615,150.05,151.4,147.05,149.65,73139,47379
MANDHANA,20100616,150,153.9,144.3,147.15,251756,85296
MANDHANA,20100617,147.3,151.7,145.85,146.85,39199,17319
MANDHANA,20100618,148,150.4,145.3,146.25,32742,15282
MANDHANA,20100621,149.6,151.45,143,148.25,216155,194369
MANDHANA,20100622,148,150,147.1,147.95,25391,13366
MANDHANA,20100623,149.7,153.15,146.5,150.05,253466,79235
MANDHANA,20100624,151.4,152.1,148.05,148.9,39783,13091
MANDHANA,20100625,150.9,151.4,148.5,149.5,50627,15621
MANDHANA,20100628,151,151,148.65,149.3,50091,13327
MANDHANA,20100629,149,150,146.2,148.2,40092,12792
MANDHANA,20100630,148.6,152.35,146.15,149.5,86409,41959
MANDHANA,20100701,150,153.3,148.95,151.7,173245,33385
MANDHANA,20100702,153,153,150.1,150.2,46035,9557
MANDHANA,20100705,151.05,152.7,148,148.6,52362,18219
MANDHANA,20100706,151.45,151.45,148.1,149,30466,2983
MANDHANA,20100707,151,152,148.5,149.9,40629,11025
MANDHANA,20100708,151.9,151.9,147.05,149.85,110947,36365
MANDHANA,20100709,145.25,150,145.25,147.6,32267,1823
MANDHANA,20100712,149,150,146.2,146.95,31976,2133
MANDHANA,20100713,145,157.8,145,155.15,150107,79067
MANDHANA,20100714,155.3,159.9,151.45,154.65,1046765,395944
MANDHANA,20100715,156.5,163,155.7,161.25,106979,39733
MANDHANA,20100716,162.8,169,161.1,163.95,189085,47161
MANDHANA,20100719,162,169.9,162,169.35,228150,35930
MANDHANA,20100720,170.35,170.5,165.35,167.05,134661,63137
MANDHANA,20100721,170.2,170.2,166.5,167.85,76116,29641
MANDHANA,20100722,168,169.7,166.6,167.95,59161,6884
MANDHANA,20100723,168,169.05,164.55,166.85,61886,39429
MANDHANA,20100726,168,168.45,162,164.1,63142,18934
MANDHANA,20100727,165,165,159.5,160.55,64744,34071
MANDHANA,20100728,164,164,160,160.45,57663,28578
MANDHANA,20100729,162.95,164.5,158.05,160.45,43836,9203
MANDHANA,20100730,159.5,160.2,158.05,159.55,4781,2903
MANDHANA,20100802,163.9,164.8,158.6,163.1,84929,47134
MANDHANA,20100803,161,166.5,160.6,165.1,261685,211222
MANDHANA,20100804,165.65,166.85,162.55,163.4,30886,7072
MANDHANA,20100805,168.7,168.7,161.35,163.5,24231,3527
MANDHANA,20100806,160.6,168,160.45,165.05,57443,18903
MANDHANA,20100809,167,168.45,163.15,167.4,76660,17352
MANDHANA,20100810,172.75,172.75,162.4,164.65,29473,8742
MANDHANA,20100811,167,167,162.1,164,9123,4158
MANDHANA,20100812,164,165.65,162.15,163,21566,4610
MANDHANA,20100813,164,169,163,165,80406,25449
MANDHANA,20100816,168.4,170,162.4,164.75,81536,29577
MANDHANA,20100817,166.8,169.45,163.6,164.4,77547,49241
MANDHANA,20100818,165,173,163.6,168.45,1124761,781206
MANDHANA,20100819,201,201,167.15,170.7,257778,119610
MANDHANA,20100820,171,171.45,167.15,169.65,26554,4267
MANDHANA,20100823,168,175.6,167.65,172.1,43672,25091
MANDHANA,20100824,170.65,174.45,170,173.9,30474,9712
MANDHANA,20100825,170.5,173.4,166.05,169.25,39758,12878
MANDHANA,20100826,166.15,171.5,166,167,24584,12115
MANDHANA,20100827,169.9,170.1,165.5,168.45,53959,33663
MANDHANA,20100830,167,169.95,164,167.6,30390,14540
MANDHANA,20100831,187,187,165.6,167.4,8769,3230
MANDHANA,20100901,169.9,174.4,165.5,168.5,48350,39296
MANDHANA,20100902,170.3,170.3,164.1,165.75,14378,10654
MANDHANA,20100903,168.5,168.5,164.95,165.9,19869,12138
MANDHANA,20100906,166,179.4,166,178,99777,35777
MANDHANA,20100907,181.8,184.4,178.2,182,32951,11902
MANDHANA,20100908,182.65,188.8,173.95,182.75,78260,20648
MANDHANA,20100909,186.45,210,183.3,185.7,29682,1706
MANDHANA,20100913,194.85,194.85,184.25,187.25,40231,23746
MANDHANA,20100914,189.75,192.8,181.55,190.05,77738,15522
MANDHANA,20100915,191.9,192.15,186.1,190.2,58347,19410
MANDHANA,20100916,191.7,191.7,185.2,186.85,45325,3019
MANDHANA,20100917,185,189.55,185,188.4,40330,12771
MANDHANA,20100920,185,191,180,189.6,70652,15402
MANDHANA,20100921,189.85,189.85,183,184.6,22602,13004
MANDHANA,20100922,186.25,189.8,177,188.85,37372,31510
MANDHANA,20100923,191.8,191.8,185.15,189.65,60170,27614
MANDHANA,20100924,184,190.4,184,190.1,20165,15774
