SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MANGCHEFER,20071022,30.1,32.45,30.1,31.05,374380,256196
MANGCHEFER,20071023,32,33.5,31.4,31.75,781509,479303
MANGCHEFER,20071024,33,34.9,32.9,34,497939,238167
MANGCHEFER,20071025,34,34.5,33.55,33.8,236314,141465
MANGCHEFER,20071026,32.55,37.9,32.55,37,638818,355111
MANGCHEFER,20071029,38.7,43.5,38,41.1,1273340,513410
MANGCHEFER,20071030,42.75,44.4,41.2,42.65,1332157,427598
MANGCHEFER,20071031,42.9,44.2,40.75,41.35,528918,237028
MANGCHEFER,20071101,42.5,42.9,35.9,39.2,983469,494197
MANGCHEFER,20071102,36,41.4,36,40.95,655047,293760
MANGCHEFER,20071105,41.3,43.25,40.55,41.75,607069,0
MANGCHEFER,20071106,41.95,43.5,39.8,40.2,514198,0
MANGCHEFER,20071107,40.1,40.85,36.35,38.35,250072,130408
MANGCHEFER,20071108,37,38.75,34.2,37.35,182580,105029
MANGCHEFER,20071109,38.5,39.45,37.9,38.45,37568,0
MANGCHEFER,20071112,37.8,38,36.5,37.25,124655,0
MANGCHEFER,20071113,38.9,39.5,36.9,37.9,328530,0
MANGCHEFER,20071114,39.6,43.4,38.5,41.55,1560986,535527
MANGCHEFER,20071115,41.95,49.9,41.95,49,4162057,0
MANGCHEFER,20071116,51,56,49.5,51.85,4101280,0
MANGCHEFER,20071119,53,54.5,48.2,49.25,1430711,745456
MANGCHEFER,20071120,49,51.35,47.2,48.2,1258773,382633
MANGCHEFER,20071121,48.9,49.25,42.35,43.35,553378,304331
MANGCHEFER,20071122,43,44.5,38.1,40.55,999073,305497
MANGCHEFER,20071123,42,43.2,40,40.9,539413,197992
MANGCHEFER,20071126,42.65,43,41.45,41.8,305445,121114
MANGCHEFER,20071127,41.45,43.8,40.1,42.45,404563,122162
MANGCHEFER,20071128,43,46.3,42,43.1,801761,303530
MANGCHEFER,20071129,46.2,47,41.55,42.05,306823,151364
MANGCHEFER,20071130,42.95,43.6,41.05,41.75,405711,190694
MANGCHEFER,20071203,41.75,43.85,41.75,43.05,111164,0
MANGCHEFER,20071204,41.1,44.8,41.1,43.2,303972,0
MANGCHEFER,20071205,44.7,44.8,42.6,43.15,231654,0
MANGCHEFER,20071206,44.95,45,43,43.3,161236,0
MANGCHEFER,20071207,44,44.3,41.15,41.7,211889,0
MANGCHEFER,20071210,41.7,43.8,41.7,43.15,175835,0
MANGCHEFER,20071211,42.1,44.45,42.1,42.35,191819,0
MANGCHEFER,20071212,42,43.9,41.75,43,111630,0
MANGCHEFER,20071213,43.1,43.6,41.25,41.7,151205,0
MANGCHEFER,20071214,41.5,42.8,41,41.55,124739,0
