SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MANTRIHSG,19960911,25,25,25,25,200,0
MANTRIHSG,19960913,22.6,22.6,22.55,22.55,600,0
MANTRIHSG,19960916,22,22.75,22,22.75,500,0
MANTRIHSG,19960917,23.5,25,23,25,1900,0
MANTRIHSG,19960918,23,24.1,23,24.1,1200,0
MANTRIHSG,19960919,24,25.9,24,25.9,700,0
MANTRIHSG,19960920,24.1,25,24.1,24.6,1000,0
MANTRIHSG,19960923,25,25,24,24,1300,0
MANTRIHSG,19960924,23.5,23.5,22.4,22.65,2400,0
MANTRIHSG,19960925,23,24.5,23,24,600,0
MANTRIHSG,19960926,25.7,25.7,22.5,23.15,400,0
MANTRIHSG,19960927,22.5,23,22.5,23,500,0
MANTRIHSG,19960930,22.5,22.75,21,22,1400,0
MANTRIHSG,19961001,20,22,20,21.8,800,0
MANTRIHSG,19961003,22.5,22.5,21.5,21.5,300,0
MANTRIHSG,19961004,20.6,21.75,20.6,21.75,300,0
MANTRIHSG,19961007,22,22,22,22,100,0
MANTRIHSG,19961008,19.8,19.8,19.8,19.8,100,0
MANTRIHSG,19961009,20,20,19,19,800,0
MANTRIHSG,19961010,19,19,17.15,17.15,1500,0
MANTRIHSG,19961011,17.5,17.5,16.5,16.75,1400,0
MANTRIHSG,19961014,16,17,15.8,17,3500,0
MANTRIHSG,19961015,17,17.9,17,17.1,1000,0
MANTRIHSG,19961016,15.5,18.7,15.5,18,300,0
MANTRIHSG,19961017,18.75,18.75,18.75,18.75,100,0
MANTRIHSG,19961018,19.5,19.5,17.55,17.6,1300,0
MANTRIHSG,19961022,19.2,19.2,19.2,19.2,100,0
MANTRIHSG,19961023,19.1,21.15,19.1,20,2100,0
MANTRIHSG,19961024,21.95,21.95,20.05,20.05,200,0
MANTRIHSG,19961025,20.5,20.5,20.05,20.05,200,0
MANTRIHSG,19961028,20.15,20.15,20.15,20.15,200,0
MANTRIHSG,19961029,20.15,20.3,20.1,20.3,500,0
MANTRIHSG,19961031,20.9,20.9,20.9,20.9,100,0
MANTRIHSG,19961104,19,20,19,19,1600,0
MANTRIHSG,19961105,17.25,17.75,17.25,17.25,400,0
MANTRIHSG,19961106,17,17,17,17,100,0
MANTRIHSG,19961107,16.05,17.5,15.5,15.5,900,0
MANTRIHSG,19961108,16.25,16.25,16,16,400,0
MANTRIHSG,19961110,17,17,17,17,100,0
MANTRIHSG,19961111,18.5,18.5,16.05,16.05,200,0
MANTRIHSG,19961114,16.1,16.1,16.1,16.1,100,0
MANTRIHSG,19961115,17,17,17,17,200,0
MANTRIHSG,19961118,18.5,18.5,16.55,16.55,200,0
MANTRIHSG,19961119,16.75,16.75,16.75,16.75,100,0
MANTRIHSG,19961121,16.5,16.5,16.5,16.5,100,0
MANTRIHSG,19961125,16.5,16.5,16.5,16.5,100,0
