SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MARDIACHEM,19950104,195,234,195,234,2500,0
MARDIACHEM,19950105,218,218,218,218,100,0
MARDIACHEM,19950110,200,200,200,200,300,0
MARDIACHEM,19950113,196,196,196,196,100,0
MARDIACHEM,19950123,185,195,185,189.4,400,0
MARDIACHEM,19950124,185,190,185,190,700,0
MARDIACHEM,19950125,190,190,189,190,700,0
MARDIACHEM,19950127,185,195,180,195,800,0
MARDIACHEM,19950130,186,186,185,185,300,0
MARDIACHEM,19950131,190,192,188,188,1500,0
MARDIACHEM,19950201,190,190,190,190,100,0
MARDIACHEM,19950202,190,190,181,181,200,0
MARDIACHEM,19950203,185,188.5,185,188.5,500,0
MARDIACHEM,19950206,180,182.5,180,182.5,200,0
MARDIACHEM,19950207,180,190,180,182.5,1800,0
MARDIACHEM,19950208,200,200,175,175,1300,0
MARDIACHEM,19950209,185,185,178,184,600,0
MARDIACHEM,19950210,180,180,171,178.95,400,0
MARDIACHEM,19950213,170,170,170,170,100,0
MARDIACHEM,19950214,180,180,168,176,1000,0
MARDIACHEM,19950215,169,176,169,176,200,0
MARDIACHEM,19950216,167.5,167.5,165,165,300,0
MARDIACHEM,19950217,166,166,160,160,800,0
MARDIACHEM,19950220,150,150,150,150,100,0
MARDIACHEM,19950221,155,156,150,156,400,0
MARDIACHEM,19950222,155,155,155,155,100,0
MARDIACHEM,19950223,139,150,139,150,1000,0
MARDIACHEM,19950224,150,150,150,150,100,0
MARDIACHEM,19950301,144.75,145,144.75,145,700,0
MARDIACHEM,19950302,147.5,147.5,147.5,147.5,100,0
MARDIACHEM,19950308,140,140,140,140,100,0
MARDIACHEM,19950313,139.5,140,139.5,140,300,0
MARDIACHEM,19950315,140.05,140.05,140.05,140.05,100,0
MARDIACHEM,19950321,140,140,140,140,100,0
MARDIACHEM,19950322,140,140,140,140,100,0
MARDIACHEM,19950323,140,140,140,140,100,0
MARDIACHEM,19950324,147,147,147,147,100,0
