SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MAZDALEASE,19950823,75,75,75,75,50,0
MAZDALEASE,19950825,72,72,72,72,500,0
MAZDALEASE,19950830,67.5,69.95,67.5,69.3,250,0
MAZDALEASE,19950831,69.3,69.3,69,69.3,200,0
MAZDALEASE,19950901,69.3,70,69.3,70,200,0
MAZDALEASE,19950905,68,70,68,70,250,0
MAZDALEASE,19950907,70,70,70,70,100,0
MAZDALEASE,19950911,67,67,66.25,67,150,0
MAZDALEASE,19950912,69,69,69,69,200,0
MAZDALEASE,19950913,70,70,70,70,50,0
MAZDALEASE,19950918,65,65,65,65,50,0
MAZDALEASE,19950919,68,68,68,68,50,0
MAZDALEASE,19950920,68,69,68,68,450,0
MAZDALEASE,19950921,67.5,67.5,67.5,67.5,100,0
MAZDALEASE,19950922,66,66,61,61,300,0
MAZDALEASE,19950927,66,66,66,66,100,0
MAZDALEASE,19951006,65.5,65.5,65.5,65.5,100,0
MAZDALEASE,19951010,68,68.5,68,68.5,150,0
MAZDALEASE,19951011,75.5,75.5,74.5,74.5,400,0
MAZDALEASE,19951012,72.05,72.05,68,68,850,0
MAZDALEASE,19951013,72,72,72,72,50,0
MAZDALEASE,19951017,68,68,67,67,550,0
MAZDALEASE,19951018,67,67,67,67,50,0
MAZDALEASE,19951019,62,62,60,60,400,0
MAZDALEASE,19951020,60,60,56.5,56.65,700,0
MAZDALEASE,19951023,56.65,60,57,58.5,200,0
MAZDALEASE,19951024,56,57,56,57,200,0
MAZDALEASE,19951026,55.3,55.3,55.25,55.25,200,0
MAZDALEASE,19951027,55.5,55.5,55.5,55.5,200,0
MAZDALEASE,19951030,57.75,58,55.25,56.25,1050,0
MAZDALEASE,19951031,57,57,57,57,50,0
MAZDALEASE,19951101,57,57,55.25,55.25,150,0
MAZDALEASE,19951103,58,58,55.1,58,350,0
MAZDALEASE,19951106,58,60.5,58,60,300,0
MAZDALEASE,19951107,55.3,55.3,55.3,55.3,50,0
MAZDALEASE,19951108,55.3,58,58,58,900,0
MAZDALEASE,19951109,60,60,58.25,58.25,150,0
MAZDALEASE,19951110,58,58,58,58,900,0
MAZDALEASE,19951113,58,58,55.25,55.25,1100,0
MAZDALEASE,19951114,55.25,55.25,54.75,55,850,0
MAZDALEASE,19951115,54.95,54.95,54.95,54.95,50,0
MAZDALEASE,19951116,55,55,53,53,250,0
MAZDALEASE,19951117,53,53,50,52,400,0
MAZDALEASE,19951121,50,50,48,48,800,0
MAZDALEASE,19951123,49,49,49,49,100,0
MAZDALEASE,19951127,48.75,49,48.5,48.5,1300,0
MAZDALEASE,19951128,46,46,46,46,50,0
MAZDALEASE,19951129,45,46,45,46,700,0
MAZDALEASE,19951201,42,45,42,45,600,0
MAZDALEASE,19951206,43.5,43.5,43.5,43.5,400,0
MAZDALEASE,19951207,45,45,45,45,100,0
MAZDALEASE,19951212,42.25,45,42,42,1000,0
MAZDALEASE,19951213,42,44.45,42,44,650,0
MAZDALEASE,19951214,44,44,43.5,43.5,200,0
MAZDALEASE,19951215,43.5,45.5,43.55,45.5,300,0
MAZDALEASE,19951218,42.1,42.1,42,42,1000,0
MAZDALEASE,19951219,41.75,41.75,40.5,40.5,300,0
MAZDALEASE,19951220,40.5,40.5,37,37,750,0
MAZDALEASE,19951221,39.5,39.75,38,39,2000,0
MAZDALEASE,19951222,40,42.4,40,42.4,800,0
MAZDALEASE,19951226,42.4,42.5,41.95,42.5,1200,0
MAZDALEASE,19951227,42.5,43.75,42.5,43.7,750,0
MAZDALEASE,19951228,43.7,45,42,44.2,650,0
MAZDALEASE,19951229,44.2,44.75,44,44.75,600,0
MAZDALEASE,19960101,44.75,42,40.5,42,1000,0
MAZDALEASE,19960102,41,41,39.5,39.5,1100,0
MAZDALEASE,19960103,39.5,40.5,38.5,40.5,600,0
MAZDALEASE,19960104,37.5,37.5,37.25,37.3,2350,0
MAZDALEASE,19960105,37,38,35,35,2350,0
MAZDALEASE,19960108,35,35,32,32,450,0
MAZDALEASE,19960109,30.5,30.5,29,29,4400,0
MAZDALEASE,19960110,29,29,27,27.05,1200,0
MAZDALEASE,19960111,27.05,27.05,25,27,5450,0
MAZDALEASE,19960112,25.25,27.95,25.25,27.9,2950,0
MAZDALEASE,19960115,27.5,29.5,27.5,29.5,1050,0
MAZDALEASE,19960116,29.5,31.45,28.75,31.45,2100,0
MAZDALEASE,19960117,32,34,32,33.35,1900,0
MAZDALEASE,19960118,33.35,33.7,32,33.7,1300,0
MAZDALEASE,19960119,32.95,33,30.5,30.5,2850,0
MAZDALEASE,19960122,30,30,30,30,250,0
MAZDALEASE,19960123,28.05,30,28,29.5,2400,0
MAZDALEASE,19960124,28.5,28.5,27.55,28.5,450,0
MAZDALEASE,19960125,27,27.15,25.75,25.8,4600,0
MAZDALEASE,19960129,25.5,27,25.5,26.25,3400,0
MAZDALEASE,19960130,26.75,27.5,26.5,26.5,3750,0
MAZDALEASE,19960131,29,29,28.55,28.55,650,0
MAZDALEASE,19960201,29,30,28,29.75,3400,0
MAZDALEASE,19960202,29.75,33.5,30,32.35,3050,0
