SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MCLEODRUSS,20050729,50,69.9,49.5,50.5,4724013,0
MCLEODRUSS,20050801,50.1,59.8,47.55,58.9,4393042,795555
MCLEODRUSS,20050802,59.7,68.4,59.55,65.2,5739866,0
MCLEODRUSS,20050803,65.75,66,61.25,61.8,2725581,702736
MCLEODRUSS,20050804,62.5,64,62.4,62.85,893150,287061
MCLEODRUSS,20050805,62.15,65.35,62.15,63.45,1015127,301374
MCLEODRUSS,20050808,64,64.3,61.1,61.7,345767,163161
MCLEODRUSS,20050809,61.9,62.75,60,60.35,339348,128719
MCLEODRUSS,20050810,60.5,63.3,60.2,62.4,417768,142372
MCLEODRUSS,20050811,62.95,65.7,62,63.65,646003,220520
MCLEODRUSS,20050812,63.4,63.9,61.75,62.5,222315,0
MCLEODRUSS,20050816,63.45,64.45,62.25,62.55,209529,138838
MCLEODRUSS,20050817,62.55,63.8,62.1,63.45,315104,171358
MCLEODRUSS,20050818,64.2,65.9,63.3,63.65,583399,242972
MCLEODRUSS,20050819,64.5,65.5,63.55,64.45,277154,139711
MCLEODRUSS,20050822,65,65,62.3,63.6,216522,138627
MCLEODRUSS,20050823,62.7,64,60.1,60.8,213934,120594
MCLEODRUSS,20050824,60.9,62.45,58.15,59.05,172786,97788
MCLEODRUSS,20050825,59,60.9,59,60.6,94198,44882
MCLEODRUSS,20050826,61.95,62.2,60.6,60.8,126141,69057
MCLEODRUSS,20050829,60.9,61.75,59.5,59.85,126298,94370
MCLEODRUSS,20050830,61.45,62.45,60.5,61.4,199664,106745
MCLEODRUSS,20050831,61,62.5,60.8,61.5,190311,134140
MCLEODRUSS,20050901,67,67.95,63.6,65.4,1362785,509963
MCLEODRUSS,20050902,63.8,66.8,62.85,65.15,1006417,735511
MCLEODRUSS,20050905,65.5,77.4,65.5,75.75,6094454,1055676
MCLEODRUSS,20050906,76.85,78.6,72.5,74.25,4603070,1060629
MCLEODRUSS,20050908,75.3,87.8,73.7,85.95,7363328,1171514
MCLEODRUSS,20050909,85.1,88.25,82.5,83.9,4129872,901899
MCLEODRUSS,20050912,85,89.7,84.2,85.35,3070628,707576
MCLEODRUSS,20050913,85.4,87.35,84.5,85.35,1196588,298743
MCLEODRUSS,20050914,85.5,86.25,82.5,84.05,884784,323996
MCLEODRUSS,20050915,84.6,85.9,84.1,85.2,537319,250105
MCLEODRUSS,20050916,85.85,92.45,85,89.25,4342763,636393
MCLEODRUSS,20050919,90.5,91.45,86.5,87.45,1811570,731416
MCLEODRUSS,20050920,88,88,84.4,84.7,520343,285210
MCLEODRUSS,20050921,84.75,84.75,72,80.25,723363,265790
MCLEODRUSS,20050922,80,80.9,68.65,69.7,680790,347031
MCLEODRUSS,20050923,71.7,75.4,64,74.3,908108,231719
MCLEODRUSS,20050926,74.95,79.7,74.95,77,621544,201813
MCLEODRUSS,20050927,78,79.2,73.05,75.3,1078551,601527
MCLEODRUSS,20050928,76,76.4,74.1,74.65,247396,89883
MCLEODRUSS,20050929,75,75.5,72.55,73.45,218396,130242
MCLEODRUSS,20050930,72.55,72.55,69,70.7,309703,138737
MCLEODRUSS,20051003,71.6,74.35,70.75,73.85,315850,103026
MCLEODRUSS,20051004,75,83,73.5,73.8,285279,100636
MCLEODRUSS,20051005,74.3,74.4,71.65,72.1,129818,47707
MCLEODRUSS,20051006,70.1,72.25,68.15,71.25,137753,70690
MCLEODRUSS,20051007,71,72.5,68.9,70.05,189066,66825
MCLEODRUSS,20051010,70.7,70.7,68.15,69.45,145286,81593
MCLEODRUSS,20051011,69.8,70,66,66.45,187340,77287
MCLEODRUSS,20051013,67.1,67.95,64.6,65.1,169142,76906
MCLEODRUSS,20051014,66,66,62,62.35,167384,77911
MCLEODRUSS,20051017,63.45,63.45,59.25,60.1,265351,126333
MCLEODRUSS,20051018,60.25,61.9,59.1,60.35,285167,126791
MCLEODRUSS,20051019,60.1,60.1,57,57.5,243685,115028
MCLEODRUSS,20051020,58,59.3,54,54.85,131904,54975
MCLEODRUSS,20051021,54.85,56,51.6,55.3,168498,63808
MCLEODRUSS,20051024,56,57.95,55.4,56,129447,47585
MCLEODRUSS,20051025,56.7,57.2,55.55,56.5,53855,22177
MCLEODRUSS,20051026,57,58.8,55.5,55.95,104427,41298
MCLEODRUSS,20051027,56.9,57.2,55.25,55.5,59970,29736
MCLEODRUSS,20051028,56,59.9,54.6,56,312911,59433
MCLEODRUSS,20051031,59.8,59.85,56.05,58.65,177390,69410
MCLEODRUSS,20051101,61,62.7,58,61.8,201008,68998
MCLEODRUSS,20051102,61.7,62,59.25,60.95,103322,39774
MCLEODRUSS,20051107,61,62.45,60.1,61.5,110128,0
MCLEODRUSS,20051108,62.15,64.85,62,63.8,215154,62513
MCLEODRUSS,20051109,62.9,64.5,60,61,395872,0
MCLEODRUSS,20051110,60.1,60.95,58,60.15,254047,103322
MCLEODRUSS,20051111,60.7,60.75,59.5,59.65,119203,82897
MCLEODRUSS,20051114,60.25,61.85,58.8,59,136604,0
MCLEODRUSS,20051116,58.8,59.55,58.55,58.75,63315,33590
MCLEODRUSS,20051117,62,62,58.5,60.2,136734,0
MCLEODRUSS,20051118,60.4,61,59.5,59.8,80561,53042
MCLEODRUSS,20051121,61.5,63.5,60,60.45,232356,87832
MCLEODRUSS,20051122,60,60.3,59.1,59.45,94028,0
MCLEODRUSS,20051123,60,60.75,59.2,60,53460,22732
MCLEODRUSS,20051124,60.05,60.45,59.1,59.3,35145,21767
MCLEODRUSS,20051125,59.65,61.4,59.4,60.1,90379,42123
MCLEODRUSS,20051126,60.8,60.8,59.25,60.25,52413,0
MCLEODRUSS,20051128,60.75,62.8,60.3,61.85,315331,130487
MCLEODRUSS,20051129,61.15,61.2,59.3,60.15,86639,0
MCLEODRUSS,20051130,59.7,61.2,59,59.1,169732,101715
MCLEODRUSS,20051201,59.25,61,58.3,59.65,47437,28816
MCLEODRUSS,20051202,58.75,60,58.75,59.15,40320,29275
MCLEODRUSS,20051205,59.5,59.55,58.5,58.6,44326,28913
MCLEODRUSS,20051206,58.65,59.6,58.1,58.4,47574,22680
MCLEODRUSS,20051207,58.75,60.5,58.25,58.6,95658,37264
MCLEODRUSS,20051208,58.5,59.3,58.1,58.5,45769,22584
MCLEODRUSS,20051209,58.8,63.25,58.7,61.7,433090,193374
MCLEODRUSS,20051212,62.15,62.4,60.2,60.7,115875,67755
MCLEODRUSS,20051213,62,66.9,61.9,65.1,1326256,324771
MCLEODRUSS,20051214,66,69.75,65.7,67.75,946957,279345
MCLEODRUSS,20051215,69.5,71,65,66.3,432755,169074
MCLEODRUSS,20051216,67.25,67.3,65.55,66.5,187634,70241
MCLEODRUSS,20051219,66.9,68.5,66.5,67.05,206276,92434
MCLEODRUSS,20051220,67,67.4,65.3,65.65,86750,50794
MCLEODRUSS,20051221,65.95,66.75,64.8,65.85,92657,46302
MCLEODRUSS,20051222,66.5,66.5,65.2,65.85,71973,48341
MCLEODRUSS,20051223,66,66.55,64.2,64.75,80561,49604
MCLEODRUSS,20051226,65.05,68,62,62.4,112934,60088
MCLEODRUSS,20051227,61.55,65.7,61.35,64.65,134125,56136
MCLEODRUSS,20051228,65.45,66.45,63.6,63.95,83782,31327
MCLEODRUSS,20051229,65.9,72,64.1,71,1275821,335790
MCLEODRUSS,20051230,74,75.4,71,71.85,699634,226118
MCLEODRUSS,20060102,72.4,82.4,70.6,79.25,2859499,720360
MCLEODRUSS,20060103,79.5,82.9,78.35,80.1,1986989,579716
MCLEODRUSS,20060104,80.95,80.95,75.7,76.3,729273,326339
