SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MEGH,20070628,33.25,33.25,26,26.6,60929763,0
MEGH,20070629,26.85,27.45,25.55,25.95,9442446,0
MEGH,20070702,26.5,29.25,25.25,28.65,13902278,0
MEGH,20070703,29.25,29.25,27.6,27.8,7521910,0
MEGH,20070704,29,29,26.55,26.75,2844773,0
MEGH,20070705,26.85,26.95,25.6,25.9,1638123,0
MEGH,20070706,26.45,27.75,25.3,26.65,3573559,0
MEGH,20070709,26.85,27.7,26.75,27.05,1950048,0
MEGH,20070710,26.85,27.4,26,26.1,1222630,0
MEGH,20070711,26,26.8,25.55,25.75,1704940,0
MEGH,20070712,26,26.5,25.9,26,982909,0
MEGH,20070713,27.5,27.5,25.25,25.4,1021056,0
MEGH,20070716,26,26,25.1,25.2,526520,0
MEGH,20070717,25.05,26.9,25,25.7,2447324,564296
MEGH,20070718,25.25,26.5,25.25,25.75,1102774,343457
MEGH,20070719,25.35,26.25,25.15,25.3,956517,0
MEGH,20070720,25.3,26.2,24.25,24.4,1505125,0
MEGH,20070723,23.5,26,23.5,23.7,771289,0
MEGH,20070724,24.45,24.45,22.45,22.55,898298,0
MEGH,20070725,23,23,21.2,22.1,1405410,0
MEGH,20070726,22.1,22.9,22.1,22.55,736913,0
MEGH,20070727,21.55,23.75,21.5,22.1,1238154,0
MEGH,20070730,20.1,22.7,20.1,22.3,407238,0
MEGH,20070731,22.6,22.9,22.15,22.3,443488,0
MEGH,20070801,22,23.5,21.2,22.55,1177337,0
MEGH,20070802,22.85,24.45,22.8,23.4,761420,0
MEGH,20070803,22.55,24.5,22.55,23.7,661800,0
MEGH,20070806,23.65,24.15,21.7,23.7,437225,0
MEGH,20070807,23.7,24.6,23,23.25,521718,0
MEGH,20070808,24.4,24.4,23.25,23.65,316363,0
MEGH,20070809,23.55,24.4,22.75,22.9,553573,0
MEGH,20070810,21.05,22.95,21.05,22.6,464416,0
MEGH,20070813,22.65,23.5,22.5,22.75,277256,0
MEGH,20070814,22.75,23.4,22.2,22.5,220415,0
MEGH,20070816,19.5,22.5,19.5,21.95,432776,241179
MEGH,20070817,21.8,22.5,21.35,21.95,406703,231814
MEGH,20070820,22.25,22.9,21.7,21.9,333090,156457
MEGH,20070821,21.5,22.4,20.6,21,423660,271991
MEGH,20070822,21,21.4,19.6,20.8,313714,127037
MEGH,20070823,21.35,21.75,20.2,20.35,228488,104378
MEGH,20070824,20.7,21.05,19.4,20.6,236691,115198
MEGH,20070827,21.35,21.45,20.75,21.15,326733,231611
MEGH,20070828,21.2,21.5,20.95,21.1,138239,104153
MEGH,20070829,20.25,21.2,20.25,21.05,156028,103508
MEGH,20070830,21.45,23.25,21,22.1,946140,352891
MEGH,20070831,21.55,22.5,20.55,21.2,668400,383922
MEGH,20070903,21.9,22.4,20.65,21.4,690293,340883
MEGH,20070904,22.25,23.35,21.2,23,1533074,739350
MEGH,20070905,23,23.35,22.7,23,486139,316973
MEGH,20070906,22.7,24.45,22.7,23.9,1055438,392453
MEGH,20070907,23.5,24.45,23,23.25,481589,217249
MEGH,20070910,22.25,23.95,22.25,23.8,348908,146200
MEGH,20070911,26.9,26.9,23.2,23.85,568873,209219
MEGH,20070912,24,24.45,23.7,23.8,314673,159984
MEGH,20070913,23.55,24.35,23.55,23.85,198537,0
MEGH,20070914,24,25.85,24,24.05,846764,455339
MEGH,20070917,24.05,25.1,23.85,24,273336,115416
MEGH,20070918,24.7,24.7,23.8,23.9,236875,122351
MEGH,20070919,24.5,24.5,23.7,23.85,347875,213435
MEGH,20070920,24.05,24.4,23.8,23.85,355231,222704
MEGH,20070921,24.3,24.3,23.5,23.55,225608,155818
MEGH,20070924,23.8,23.95,23.4,23.6,321016,209517
MEGH,20070925,23.15,24,23.05,23.25,256047,148515
MEGH,20070926,23.7,26.2,23.15,24.65,2200177,0
MEGH,20070927,25.85,27,25.25,25.5,2187956,0
MEGH,20070928,25.8,26.5,24.4,25,1602272,1214288
MEGH,20071001,25.1,26.75,25.05,25.8,972163,441909
MEGH,20071003,26.25,26.5,24.4,24.85,686270,365249
MEGH,20071004,24.5,25.75,24.1,24.35,579867,311152
MEGH,20071005,24.05,25.2,23.85,23.9,272337,173657
MEGH,20071008,24.1,24.1,23.25,23.75,473687,295227
MEGH,20071009,23.7,24.1,22.75,23.8,369191,0
MEGH,20071010,24.5,24.5,23.3,23.65,238710,125325
MEGH,20071011,24,24.1,23.05,23.2,151545,84650
MEGH,20071012,23,24.8,23,23.5,558164,248128
MEGH,20071015,24.5,24.5,23.15,23.3,273691,158298
MEGH,20071016,23.05,23.4,22.6,22.75,300807,162819
MEGH,20071017,22,22.9,20.9,22.35,217947,128221
MEGH,20071018,23.1,23.45,21.6,22,335362,187382
MEGH,20071019,21.5,22.4,21,21.15,283466,155678
MEGH,20071022,20.35,21.5,20.2,21.05,215883,118843
MEGH,20071023,21.9,22.15,21.4,22.05,219984,129367
MEGH,20071024,23.35,23.4,21.5,22,258663,170502
MEGH,20071025,22.9,22.9,21.75,21.95,178805,102662
MEGH,20071026,22.45,23,21.8,22.1,303914,197364
MEGH,20071029,22.5,22.95,21.75,21.95,255131,157941
MEGH,20071030,22.5,24.4,21.7,23.1,1099403,390602
MEGH,20071031,23.8,26.8,23.25,25.45,2667776,1087113
MEGH,20071101,26.25,26.9,23.5,23.9,890460,383329
MEGH,20071102,23.25,23.7,22.45,23.45,283782,138468
MEGH,20071105,23.6,24.5,22.9,23.45,360885,0
MEGH,20071106,24,24.2,22.5,22.65,245589,0
MEGH,20071107,23.4,23.4,21.65,22.05,249208,136523
MEGH,20071108,21.5,23.1,21.5,22.05,237780,110569
MEGH,20071109,22.1,23.2,22.05,22.6,89825,0
MEGH,20071112,22.45,22.9,21.55,22,219299,0
MEGH,20071113,22.9,24.15,21.95,23.5,418851,0
MEGH,20071114,24.1,24.65,23.3,23.75,531544,256055
MEGH,20071115,24.5,28.5,24.05,28.5,2675864,0
MEGH,20071116,30.8,33.5,29,31.65,5271132,0
MEGH,20071119,33,33.8,30,30.3,1701246,902263
MEGH,20071120,30.25,30.9,28.3,28.65,1095952,608985
MEGH,20071121,28.1,30.25,26,26.75,900388,409828
MEGH,20071122,26.5,28,25.15,26.05,559250,278001
MEGH,20071123,27.4,27.95,26.5,27.15,399947,209835
MEGH,20071126,27.9,28.5,26,26.35,531560,305015
MEGH,20071127,26.85,26.85,25.9,26.25,210542,114748
MEGH,20071128,26.7,27.5,26,26.3,409695,215093
MEGH,20071129,27.1,27.1,25.45,25.7,199626,138301
MEGH,20071130,26.25,26.5,25.45,25.85,205689,126807
MEGH,20071203,26.5,28.45,26.4,28.45,1201355,453250
MEGH,20071204,28.5,29.8,28.25,28.55,826915,412729
MEGH,20071205,28.9,29.65,28.6,28.95,571710,329856
MEGH,20071206,30.35,31,28.75,29.25,800131,454943
MEGH,20071207,29.05,30,28,28.45,540587,274904
MEGH,20071210,28.9,29.5,28.5,28.95,387567,225710
MEGH,20071211,29.6,29.9,28.8,28.95,433768,224674
MEGH,20071212,28.9,31.85,28.1,31.7,2267104,1033346
MEGH,20071213,32.7,34.6,32,33.25,2689447,1352756
MEGH,20071214,33.75,35.6,33.5,34.1,1585126,738620
MEGH,20071217,34.6,36.9,32.05,33.5,2201674,1017263
MEGH,20071218,33,34.4,31.5,32.9,1135885,485619
MEGH,20071219,36,36,33.2,33.7,1164010,472704
MEGH,20071220,34.6,34.7,32.25,32.65,567518,258648
MEGH,20071224,33.7,35.6,33.2,34.65,1593370,659728
MEGH,20071226,35.8,36.2,35.1,35.3,1099681,0
MEGH,20071227,35.3,36.7,35.3,36.15,1166041,0
MEGH,20071228,36.5,36.6,35.3,36.25,757507,0
MEGH,20071231,37,39.9,36.5,39.9,1850870,1150036
MEGH,20080101,41.4,43.9,40.7,43.9,1354199,645191
MEGH,20080102,46.1,46.1,44.7,46.1,1109490,799312
MEGH,20080103,48.45,48.45,47.4,48.45,207458,193560
MEGH,20080104,50.9,50.9,50.9,50.9,194685,194684
MEGH,20080107,52.7,53.45,48.35,48.35,2270338,1295868
MEGH,20080108,45.95,45.95,45.95,45.95,139047,139039
MEGH,20080109,43.65,43.65,43.65,43.65,47073,47071
MEGH,20080110,41.5,41.5,41.5,41.5,90492,90465
MEGH,20080111,39.45,39.45,39.45,39.45,50985,50913
MEGH,20080114,37.5,39.45,37.5,37.65,2142772,839526
MEGH,20080115,38.85,39.2,36.05,37.4,928892,438741
MEGH,20080116,36.9,37,35.55,35.85,623777,372389
MEGH,20080117,36,37.65,34.2,37.65,463725,0
MEGH,20080118,39.55,39.55,35.8,35.8,808299,0
MEGH,20080121,34.45,34.45,34.05,34.05,59117,0
MEGH,20080122,32.35,32.35,32.35,32.35,4806,0
MEGH,20080123,33,33,30.75,30.75,334467,0
MEGH,20080124,29.25,30.75,29.25,29.25,76108,64391
MEGH,20080125,27.8,27.8,27.8,27.8,86450,86445
MEGH,20080128,26.45,29.2,26.45,29.2,593492,308113
MEGH,20080129,30.45,30.7,29.7,30.7,212970,134362
MEGH,20080130,31.5,32.25,29.55,30.3,485427,0
MEGH,20080131,30.3,31.5,28.8,28.85,298106,142835
MEGH,20080201,29.9,30.25,27.6,28.3,233494,119425
MEGH,20080204,28.65,29.75,28.65,29.75,196849,135609
MEGH,20080205,30.8,31.25,29.15,31.25,127580,81381
MEGH,20080206,31.1,32.4,29.7,31.75,426190,206584
MEGH,20080207,31.9,33,30.2,30.3,361220,160892
MEGH,20080208,30.5,31,28.8,28.85,215392,142922
MEGH,20080211,28,29.5,27.45,27.45,47621,41197
MEGH,20080212,26.25,26.5,26.1,26.1,40215,37965
MEGH,20080213,24.8,27,24.8,24.8,175370,129909
MEGH,20080214,23.6,26.05,23.6,26,224652,126443
MEGH,20080215,25,27.3,25,27.25,217997,124613
MEGH,20080218,28.65,28.65,26.55,26.9,220600,111472
MEGH,20080219,26.55,28.15,26.05,26.35,131713,71471
MEGH,20080220,26.5,27,25.05,25.25,182548,127416
MEGH,20080221,25.3,26.4,24.5,24.8,189155,144121
MEGH,20080222,24.75,24.75,23.9,24.3,218510,158218
MEGH,20080225,24.5,25,23.55,23.85,196930,144057
MEGH,20080226,24.3,24.7,23.85,23.95,171999,122774
MEGH,20080227,24.95,24.95,23.8,23.9,185863,119650
MEGH,20080228,23.75,24.5,23.75,23.95,108424,64748
MEGH,20080229,24.3,24.6,23.8,23.95,134932,102702
MEGH,20080303,23.8,23.95,22.8,22.95,141909,105178
MEGH,20080304,22.95,23,21.8,21.95,173247,113930
MEGH,20080305,21.6,22.8,21.3,21.75,115687,57798
MEGH,20080307,21.2,21.2,20.7,20.7,117216,103439
MEGH,20080310,20.5,20.5,18.65,19.95,198981,132220
MEGH,20080311,19,21.95,19,21.95,208183,107280
MEGH,20080312,24.15,24.15,19.75,20.05,631843,453620
MEGH,20080313,19.95,21.75,18.3,19.05,661873,420144
MEGH,20080314,20.75,21,17.65,18.05,1356883,1050749
MEGH,20080317,17.55,19.35,17,18.9,467552,261468
MEGH,20080318,19,20.7,19,19.15,241846,134038
MEGH,20080319,19.9,20.7,17.9,18.35,219884,129011
MEGH,20080324,17.5,18.9,17.25,17.55,221355,136378
MEGH,20080325,19.2,19.2,17.15,18.6,229801,143684
MEGH,20080326,18.7,19.35,18.6,18.95,188114,109048
MEGH,20080327,18.65,19.7,18.4,19.2,297682,148610
MEGH,20080328,19.2,21.15,19.2,21.15,369245,213139
MEGH,20080331,21.85,21.85,20.65,21.1,542886,301844
MEGH,20080401,21.6,22,21.05,21.35,235577,112782
MEGH,20080402,22.85,22.9,21.3,21.45,170779,97425
MEGH,20080403,20.5,22,20.5,20.75,109959,46959
MEGH,20080404,20.55,20.7,19.8,20.15,133824,77742
MEGH,20080407,20.35,21.15,19.7,20.2,148927,60525
MEGH,20080408,20.25,20.5,20,20.25,86662,49808
MEGH,20080409,20.85,21.5,20.05,20.65,169693,62765
MEGH,20080410,20.35,21.3,20.3,20.7,165281,61984
MEGH,20080411,21,21.2,20.35,20.6,110360,58729
MEGH,20080415,20.4,22.4,20.1,21.65,222449,102875
MEGH,20080416,20.5,23.75,20.5,21.9,221676,123838
MEGH,20080417,22.4,22.5,22,22.2,187424,98238
MEGH,20080421,22.5,23.4,22.4,22.65,218125,119064
MEGH,20080422,22.9,24.3,22.2,23.65,474335,240411
MEGH,20080423,24.25,24.25,23.1,23.3,262752,156944
MEGH,20080424,23.35,24.5,23.35,23.5,296186,136103
MEGH,20080425,23.6,24.2,23.1,23.2,158706,90833
MEGH,20080428,24.25,25,23.15,23.95,452053,159361
MEGH,20080429,23.9,24.75,23.9,24.1,212153,79521
MEGH,20080430,24.2,24.5,23.15,23.25,206147,139519
MEGH,20080502,23.95,24,23.25,23.35,141960,72487
MEGH,20080505,23.75,24.3,23.2,23.6,243649,93621
MEGH,20080506,23.6,23.85,22.75,22.9,140420,92986
MEGH,20080507,24.05,24.05,22.55,22.65,134311,64946
MEGH,20080508,22.1,23.2,22.05,22.15,123254,69516
MEGH,20080509,22,23.55,21.85,22.1,265919,122716
MEGH,20080512,22.4,22.4,20.6,21.6,148724,56878
MEGH,20080513,22.2,22.2,21.1,21.3,135719,78522
MEGH,20080514,21,21.75,20.8,21.25,100921,46222
MEGH,20080515,21.95,22.25,21.6,21.75,79289,42122
MEGH,20080516,21.8,22.35,21.65,22,106078,50172
MEGH,20080520,22.1,23.7,21.45,23.1,256987,104095
MEGH,20080521,22.7,24.4,22.5,23.65,367289,163103
MEGH,20080522,23.65,24.1,23.25,23.75,422147,161722
MEGH,20080523,23.95,24.2,22.5,22.8,306872,123104
MEGH,20080526,22.75,22.75,22.05,22.2,126447,74144
MEGH,20080527,23,23.35,21.6,21.8,174712,75015
MEGH,20080528,21.65,22.15,21.5,21.85,135031,66528
MEGH,20080529,22.45,22.45,21.4,21.55,109801,56460
MEGH,20080530,22.05,22.2,21,21.1,126506,77218
MEGH,20080602,21.2,21.65,20.5,20.75,119691,53384
MEGH,20080603,19,20.5,19,20.25,125997,54411
MEGH,20080604,20.05,21.25,19.65,20.05,118482,60850
MEGH,20080605,19.9,20.2,19.45,20,88835,57658
MEGH,20080606,20.3,20.75,20,20.05,73950,42125
MEGH,20080609,19.15,19.7,18.5,19.25,127495,65511
MEGH,20080610,18.5,19.95,18.5,19.25,92426,43717
MEGH,20080611,19.5,20.15,19.5,19.8,69904,33162
MEGH,20080612,19.1,19.9,19.1,19.7,67807,33630
MEGH,20080613,19.6,20.25,19.6,20,51521,22206
MEGH,20080616,20.1,20.6,19.75,19.85,64237,35068
MEGH,20080617,19.9,20.1,19.7,19.8,53482,28108
MEGH,20080618,20.5,20.7,19.75,19.95,93004,32804
MEGH,20080619,19.95,20.2,19.5,19.9,49974,28798
MEGH,20080620,19.65,20.35,18.8,18.9,77101,51132
MEGH,20080623,18.05,19.45,17.9,18.2,146070,93586
MEGH,20080624,18,18.6,17.5,17.7,115782,67843
MEGH,20080625,17.8,18,17.25,17.75,90340,46554
MEGH,20080626,18.05,18.5,18,18.25,69184,42497
MEGH,20080627,17.45,18,17,17.6,106110,58134
MEGH,20080630,17.35,17.7,17.1,17.2,63911,44223
MEGH,20080701,16.95,17.3,16.5,16.7,176963,132530
MEGH,20080702,16.3,17,16,16.8,140211,89154
MEGH,20080703,16.25,16.95,16,16.65,77441,42785
MEGH,20080704,16.9,17,16.4,16.8,35009,21905
MEGH,20080707,16.85,17.85,16.7,17.45,122792,70818
MEGH,20080708,17,17.9,16.8,17.7,45689,24283
MEGH,20080709,17.7,18.2,17.6,17.85,61796,37417
MEGH,20080710,18,18.3,17.9,18.1,43566,26170
MEGH,20080711,18.3,18.8,17.6,17.95,45692,19228
MEGH,20080714,18,18,17,17.55,69197,39602
MEGH,20080715,17.5,17.75,17.1,17.25,66995,50609
MEGH,20080716,17.3,17.9,16.75,16.95,39795,23278
MEGH,20080717,17.55,17.55,16.7,16.9,43514,28313
MEGH,20080718,17.25,17.7,17.1,17.35,77444,46076
MEGH,20080721,18,18,17.1,17.4,39054,31785
MEGH,20080722,17.5,18.2,17.3,18,57713,35266
MEGH,20080723,19,20,18.35,19.35,219295,0
MEGH,20080724,19.95,20.05,19.05,19.35,185504,103933
MEGH,20080725,19.05,19.4,19.05,19.25,74706,42603
MEGH,20080728,19,20.5,19,20.05,200552,110544
MEGH,20080729,19.5,20.75,19.45,19.8,186926,116193
MEGH,20080730,20.1,20.85,20.05,20.2,158200,60609
MEGH,20080731,21.35,21.35,20,20.15,195264,71718
MEGH,20080801,19.9,20.1,19.1,19.8,102747,56232
MEGH,20080804,19.8,20.5,19.7,20.1,144050,70808
MEGH,20080805,20.05,20.7,20.05,20.2,126324,54518
MEGH,20080806,20.8,20.8,19.9,20,114180,57661
MEGH,20080807,19.6,20,19.5,19.75,58479,33380
MEGH,20080808,19.6,19.75,19.15,19.4,78041,49760
MEGH,20080811,19.75,20.2,19.4,19.55,89401,44147
MEGH,20080812,19.8,19.8,19.25,19.4,58277,34306
MEGH,20080813,19.05,19.7,19.05,19.3,58647,29016
MEGH,20080814,19.45,19.5,18.9,18.95,64181,30864
MEGH,20080818,18.95,19,18.1,18.25,63148,41398
MEGH,20080819,18.5,18.75,18.05,18.5,65982,33998
MEGH,20080820,18.15,18.9,18.15,18.4,43322,20105
MEGH,20080821,18.4,19.9,18.1,18.75,91337,37716
MEGH,20080822,19,19.35,18.25,18.4,89324,48321
MEGH,20080825,18.6,19.2,18.3,18.45,77692,30586
MEGH,20080826,18.3,18.6,18.15,18.4,30916,20931
MEGH,20080827,18.3,18.75,18,18.1,41876,27631
MEGH,20080828,18.5,18.5,17.75,17.8,55846,41991
MEGH,20080829,18.6,18.7,18.15,18.3,33331,16859
MEGH,20080901,18,18.4,17.8,18.2,22614,14492
MEGH,20080902,18,18.45,18,18.2,37878,16686
MEGH,20080904,17.95,18.35,17.95,18.1,53189,32682
MEGH,20080905,18,18.2,17.75,18,43369,22643
MEGH,20080908,18.15,18.95,18,18.05,41739,26157
