SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MERCATOR,20111208,21.9,22,20.8,20.9,576518,244264
MERCATOR,20111209,20.9,21.2,20.3,20.9,476169,0
MERCATOR,20111212,21.45,21.45,20.25,20.5,466347,140672
MERCATOR,20111213,20.6,20.75,19.9,20.25,586734,220176
MERCATOR,20111214,20.55,20.55,20.05,20.3,251958,53169
MERCATOR,20111215,20.3,20.4,19.35,20.15,338408,113291
MERCATOR,20111216,20.35,20.45,18.5,18.9,833203,358706
MERCATOR,20111219,18.8,18.9,16.05,17.15,1544310,493945
MERCATOR,20111220,17.3,17.55,15.9,16.4,1164606,326241
MERCATOR,20111221,17.3,17.65,16.5,17.4,568488,155735
MERCATOR,20111222,17.2,18.15,16.7,17.75,611391,187400
MERCATOR,20111223,17,18.2,16.9,17.5,557701,162755
MERCATOR,20111226,17.1,18.15,17.1,18,486550,152930
MERCATOR,20111227,18,18.2,17.05,17.1,518916,237214
MERCATOR,20111228,17,17.2,15.6,16.3,1075387,283108
MERCATOR,20111229,16.1,16.75,15.75,16.05,1763144,916945
MERCATOR,20111230,16.5,16.5,15.9,16.1,604788,219769
MERCATOR,20120102,16.1,16.6,16.05,16.35,398183,128119
MERCATOR,20120103,16.65,17.4,16.5,17.3,789630,340181
MERCATOR,20120104,17.3,17.65,16.6,17.1,692975,211782
MERCATOR,20120105,16.8,17.45,16.8,17.15,444695,0
MERCATOR,20120106,16.9,17.45,16.6,17.15,494980,156932
MERCATOR,20120107,17.25,17.45,17.05,17.3,41771,16983
MERCATOR,20120109,17.3,19.5,16.9,18.95,1651357,409212
MERCATOR,20120110,19.2,20.15,19.15,19.9,1046752,310180
MERCATOR,20120111,19.9,20.6,19.4,20.25,1024493,310823
MERCATOR,20120112,20,20.8,19.9,20.15,655454,176643
MERCATOR,20120113,20.25,23,20.1,22.15,1891041,711695
MERCATOR,20120116,22.25,23.5,22.1,23.3,1653834,0
MERCATOR,20120117,23.5,25.2,23.3,24.2,3235816,690032
MERCATOR,20120118,24.1,24.4,22.2,22.45,1136396,367623
MERCATOR,20120119,22.9,23.4,22.2,22.85,1138144,292673
MERCATOR,20120120,23.1,23.5,22.3,22.75,973876,0
MERCATOR,20120123,22.75,23.05,22.05,22.45,546154,155696
MERCATOR,20120124,22.8,23.05,22.2,22.8,837040,241444
MERCATOR,20120125,23,24.8,22.75,24.45,2638272,769101
MERCATOR,20120127,24.8,25.5,24.6,24.85,1958786,0
MERCATOR,20120130,24.85,24.85,22.55,23.05,943282,0
MERCATOR,20120131,23.4,24.5,23.2,24.35,948171,0
MERCATOR,20120201,24.45,25.4,23.85,25,1656915,406283
MERCATOR,20120202,25.45,26.5,24.15,26.2,3042872,0
MERCATOR,20120203,26.75,28.05,26.25,27.9,3085258,1172819
MERCATOR,20120206,28.2,28.8,27.25,28.55,2401872,748361
MERCATOR,20120207,29,29.5,28.25,28.8,2257737,859980
MERCATOR,20120208,29.2,30.3,28.5,30.1,2939118,0
MERCATOR,20120209,30.1,30.55,29.65,30.2,1334632,498697
MERCATOR,20120210,30.2,30.35,29.15,29.75,1952503,962145
MERCATOR,20120213,29.9,29.9,28.5,29.05,866396,310071
MERCATOR,20120214,29.45,32.3,29.05,31.5,4915010,1384576
MERCATOR,20120215,31.9,32.45,30.5,30.8,2265870,0
MERCATOR,20120216,30.5,32.3,30.1,31.65,3363596,826697
MERCATOR,20120217,32.5,33.05,30.7,31.05,4225765,0
MERCATOR,20120221,31,33.5,30.85,32.55,1845700,0
MERCATOR,20120222,33.1,33.75,29,29.45,2107699,0
MERCATOR,20120223,29.45,30,27.85,29.1,1532339,397438
MERCATOR,20120224,29.45,29.8,27.35,27.6,1063633,0
MERCATOR,20120227,27.8,28,25.8,26.1,843699,299674
MERCATOR,20120228,26.6,28.4,26.4,28.2,1046582,269532
MERCATOR,20120229,28.55,29.65,27.75,28.95,1205653,294707
MERCATOR,20120301,29.9,30.85,29.35,30.15,2520612,556759
MERCATOR,20120302,30.9,31.4,29.9,30.3,1955045,414611
MERCATOR,20120303,30.1,30.45,30,30.1,119032,53966
MERCATOR,20120305,30.25,30.25,28.45,29,675143,174306
MERCATOR,20120306,29,30.7,28.1,28.35,1712826,405828
MERCATOR,20120307,28.35,28.6,27.6,28.25,973122,191772
MERCATOR,20120309,28.5,29.45,28.5,29.2,794103,298729
MERCATOR,20120312,29.7,30.6,28.75,30.4,1273374,399192
MERCATOR,20120313,30.8,31.2,30.4,30.6,1121840,418161
MERCATOR,20120314,31,31.15,29.3,29.55,1138188,495284
MERCATOR,20120315,29.45,29.6,27.45,28,1189063,470298
MERCATOR,20120316,28.3,28.7,26.05,26.25,2205931,979466
MERCATOR,20120319,26.8,27.15,25.05,25.5,1240131,411677
MERCATOR,20120320,25.55,26.7,24.5,26.45,910118,262597
MERCATOR,20120321,26.9,27.65,26,27.4,910377,365809
MERCATOR,20120322,27.65,27.8,25.05,25.25,1269481,656802
MERCATOR,20120323,25.7,26.25,24.9,25.75,1622443,559679
MERCATOR,20120326,26,26.1,24.75,24.9,726134,280367
MERCATOR,20120327,25.1,26.35,24.95,25.8,1125241,344970
MERCATOR,20120328,25.4,25.7,24.1,24.3,1424621,732064
MERCATOR,20120329,24.25,24.55,23.15,23.55,2134862,1271475
MERCATOR,20120330,23.95,25.45,23.7,25.25,1037349,375191
MERCATOR,20120402,25.25,26.1,25,25.6,765532,290912
MERCATOR,20120403,25.9,26.3,25.7,25.9,832163,279686
MERCATOR,20120404,25.6,25.65,25.1,25.2,837396,439718
MERCATOR,20120409,25.15,25.2,24.2,24.4,668863,0
MERCATOR,20120410,24.55,24.75,23.85,24.35,530115,0
MERCATOR,20120411,24.15,24.6,23.1,23.5,835274,0
MERCATOR,20120412,23.95,24.5,23.75,24.35,557711,0
MERCATOR,20120413,24.45,24.75,23.15,23.35,837397,0
MERCATOR,20120416,23.5,24.2,23.35,24,478780,0
MERCATOR,20120417,24,24.5,23.8,24.3,879117,0
MERCATOR,20120418,24.5,24.8,24.25,24.35,489926,0
MERCATOR,20120419,24.15,25.55,24.15,25.2,803785,0
MERCATOR,20120420,25.6,27.55,23.25,23.7,2035011,0
MERCATOR,20120423,23.8,24.45,23.25,23.35,633021,0
MERCATOR,20120424,23.6,23.6,22.45,22.9,922385,0
MERCATOR,20120425,22.7,23.3,21.4,21.75,1460696,0
MERCATOR,20120426,22,22.25,20.5,20.8,4344372,0
MERCATOR,20120427,21,21.7,20.5,20.8,736688,0
MERCATOR,20120428,20.9,21.35,20.9,21.2,122011,0
MERCATOR,20120430,21.6,21.65,21.1,21.3,484329,0
MERCATOR,20120502,21.65,22.1,21.3,21.5,504576,0
MERCATOR,20120503,21.75,21.75,20.9,21.05,281458,0
MERCATOR,20120504,21.05,21.05,20.2,20.6,334875,0
MERCATOR,20120507,20,20.7,19.4,20.55,511483,0
MERCATOR,20120508,20.6,21.35,20,20.2,865591,0
MERCATOR,20120509,19.55,20.35,18.8,19.5,384155,0
MERCATOR,20120510,19.65,20.05,19.35,19.45,304480,0
MERCATOR,20120511,19.15,19.7,18.75,19.5,613910,0
MERCATOR,20120514,19.5,19.75,19,19.05,235561,0
MERCATOR,20120515,19,19.2,18.5,19.1,268454,0
MERCATOR,20120516,18.95,19,18.7,18.85,266190,0
MERCATOR,20120517,18.95,19.45,18.75,19,217311,0
MERCATOR,20120518,18.7,19.1,18.5,18.9,161611,0
MERCATOR,20120521,19.15,19.45,19,19.1,128386,0
MERCATOR,20120522,19.4,20,19.1,19.65,355090,0
MERCATOR,20120523,19.9,20.6,19.75,19.85,1134572,0
MERCATOR,20120524,20,20.2,19.5,19.8,322484,0
MERCATOR,20120525,19.7,19.9,19.6,19.7,141676,0
MERCATOR,20120528,19.7,19.8,19,19.2,511523,0
MERCATOR,20120529,19.45,19.5,19.1,19.2,218698,0
MERCATOR,20120530,19.2,19.25,18.85,18.95,241371,0
MERCATOR,20120531,18.95,18.95,15.55,16.85,1533518,0
MERCATOR,20120601,17,17.4,16.25,17.05,653922,0
MERCATOR,20120604,17,17.3,16.5,17.15,328075,0
MERCATOR,20120605,17.5,17.9,17.05,17.15,436440,0
MERCATOR,20120606,17.45,17.75,17.25,17.6,320166,0
MERCATOR,20120607,17.8,18.2,17.65,17.9,298885,0
MERCATOR,20120608,18.1,18.3,17.6,17.8,508760,0
MERCATOR,20120611,18.1,18.8,17.9,18.25,426847,0
MERCATOR,20120612,18.35,18.35,17.85,18.05,188999,0
MERCATOR,20120613,18.2,18.35,18,18,193375,0
MERCATOR,20120614,18,18.15,17.65,17.7,207315,0
MERCATOR,20120615,17.75,18,17.55,17.65,243524,0
MERCATOR,20120618,17.65,18.25,17.6,17.9,216487,0
MERCATOR,20120619,18.2,18.2,17.5,17.8,111317,0
MERCATOR,20120620,17.85,18.15,17.75,17.9,282843,0
MERCATOR,20120621,17.8,18.55,17.75,18.3,290366,0
MERCATOR,20120622,18,18.45,17.95,18.25,295297,0
MERCATOR,20120625,18.25,18.75,18,18.1,241232,0
MERCATOR,20120626,18.1,18.3,17.9,18.05,108173,0
MERCATOR,20120627,18.25,18.35,17.95,18.05,112456,0
MERCATOR,20120628,18.15,19.7,18.1,19.25,806133,0
MERCATOR,20120629,20.1,22.1,20,21.75,4790580,0
MERCATOR,20120702,22.1,22.5,20.9,22.15,1724987,0
MERCATOR,20120703,22.35,22.75,22,22.1,942555,0
MERCATOR,20120704,22.1,22.7,22.05,22.15,656442,0
MERCATOR,20120705,22.35,22.8,22,22.2,772866,0
MERCATOR,20120706,22.35,22.35,21.5,21.6,507205,0
MERCATOR,20120709,21.55,21.7,20.95,21.1,271332,0
MERCATOR,20120710,21,22.8,20.55,22.5,1387934,0
MERCATOR,20120711,22.85,23.7,22.15,22.35,1731538,0
MERCATOR,20120712,21.45,22.5,21.2,22,536236,0
MERCATOR,20120713,22.3,22.45,21.3,21.5,427412,0
MERCATOR,20120716,21.8,22.15,20.9,21.2,567344,0
MERCATOR,20120717,21.2,21.6,20.55,20.7,250890,0
MERCATOR,20120718,21,21,19.85,20.25,560267,0
MERCATOR,20120719,20.6,21.3,20.5,20.65,396265,0
MERCATOR,20120720,20.15,20.95,20.15,20.4,202940,0
MERCATOR,20120723,20.4,20.4,19.7,19.8,207569,0
MERCATOR,20120724,20,20.2,19.6,19.7,189507,0
MERCATOR,20120725,19.7,19.75,18.85,19.25,229443,0
MERCATOR,20120726,19.25,19.25,18.2,18.4,251637,0
MERCATOR,20120727,18.4,19.15,18.05,18.15,358663,0
MERCATOR,20120730,18.5,18.75,17.95,18.55,251658,0
MERCATOR,20120731,18.85,19.25,18.35,18.9,373485,0
MERCATOR,20120801,18.9,19.4,18.7,19.15,298896,0
MERCATOR,20120802,19.15,19.2,18.9,19.05,77411,0
MERCATOR,20120803,19.55,19.55,18.55,18.8,169548,0
MERCATOR,20120806,19,19.85,18.7,19.65,326409,0
MERCATOR,20120807,20.05,20.4,19.65,19.8,581910,0
MERCATOR,20120808,19.9,20.1,19.2,19.3,225224,0
MERCATOR,20120809,19.2,19.6,19.15,19.35,238283,0
MERCATOR,20120810,19.05,19.45,18.9,18.95,194739,0
MERCATOR,20120813,18.9,19.5,18.6,19,129724,0
MERCATOR,20120814,19,19.1,18.45,18.85,182966,0
MERCATOR,20120816,19.1,21.2,18.95,19.85,1612956,0
MERCATOR,20120817,20.2,21.45,19.95,20.3,1460925,0
MERCATOR,20120821,20.3,20.8,20.25,20.5,481050,0
MERCATOR,20120822,20.5,21.25,20.4,20.6,687809,0
MERCATOR,20120823,21,21,20.55,20.65,445196,0
MERCATOR,20120824,20.9,20.9,20.2,20.25,347025,0
MERCATOR,20120827,20.7,21,19.1,19.4,381976,0
MERCATOR,20120828,19.7,19.9,18.7,18.8,320335,0
MERCATOR,20120829,19.2,19.3,18.55,19.05,357803,0
MERCATOR,20120830,19.4,19.6,18.8,19,293677,0
MERCATOR,20120831,19,19.6,18.85,19,182031,0
MERCATOR,20120903,19.1,19.6,18.75,18.95,341350,0
MERCATOR,20120904,19,19.25,18.9,19.05,173668,0
MERCATOR,20120905,19.2,19.25,18.75,18.85,225409,0
MERCATOR,20120906,18.85,20.45,18,20.1,635635,0
MERCATOR,20120907,21.2,24.1,20.9,22.25,8286891,0
MERCATOR,20120908,22.25,23.25,21.45,22.6,506398,0
MERCATOR,20120910,22.8,22.8,21.7,21.9,908765,0
MERCATOR,20120911,22.35,22.9,22.1,22.35,1093456,0
MERCATOR,20120912,22.35,23.2,22.2,22.4,1934122,0
MERCATOR,20120913,22.9,23,21.6,21.85,1088803,0
MERCATOR,20120914,22.2,22.45,21.35,21.5,748912,0
MERCATOR,20120917,21.85,22.1,21.2,21.45,809127,0
MERCATOR,20120918,21.45,22.3,21.35,21.75,748371,0
MERCATOR,20120920,21.5,21.7,21.1,21.45,309937,196858
MERCATOR,20120921,21.5,22.1,21.5,21.6,571583,318562
MERCATOR,20120924,22.15,22.5,21.75,21.9,1111546,534195
MERCATOR,20120925,22.15,22.25,21.45,21.7,354263,190666
MERCATOR,20120926,22.1,22.2,21.4,21.6,388231,205840
MERCATOR,20120927,20.85,22.25,20.85,21.75,614370,297727
MERCATOR,20120928,22,22.25,21.6,21.75,731450,355994
MERCATOR,20121001,21.75,22.45,21.75,22,627095,330516
MERCATOR,20121003,22,22.3,21.8,21.95,654312,320575
MERCATOR,20121004,22.1,23.4,22,22.95,2541934,0
MERCATOR,20121005,23.3,23.35,22.1,22.5,833961,0
MERCATOR,20121008,22.5,22.95,22.1,22.2,514847,251616
MERCATOR,20121009,22.5,22.65,21.8,21.85,459161,0
MERCATOR,20121010,21.9,22.15,21.55,21.7,348878,163734
MERCATOR,20121011,21.7,22.15,21.3,21.85,333359,0
MERCATOR,20121012,21.95,22.15,21.35,21.45,451793,0
MERCATOR,20121015,21.55,21.55,20.5,20.75,653194,396893
MERCATOR,20121016,21,21.15,20.6,20.75,482717,264545
MERCATOR,20121017,21.75,23.95,20.8,21.25,433372,186977
MERCATOR,20121018,22,22,21.2,21.5,490193,203496
MERCATOR,20121019,21.5,21.5,20.75,20.9,356424,0
MERCATOR,20121022,20.85,21.3,20.5,20.6,408535,177938
MERCATOR,20121023,20.65,21.1,20.25,20.45,312591,0
MERCATOR,20121025,20.5,20.75,20.05,20.15,401806,186122
MERCATOR,20121026,19.75,20.2,19.55,19.65,325662,0
MERCATOR,20121029,19.8,21.8,19.15,21.2,1000696,491749
MERCATOR,20121030,22.35,23.15,21.35,21.55,4294096,1253670
MERCATOR,20121031,21.7,22.1,21.15,21.25,714288,0
MERCATOR,20121101,21.25,21.45,20.9,20.95,316352,0
MERCATOR,20121102,21.25,21.35,20.5,20.65,319132,178227
MERCATOR,20121105,20.35,21.25,20.35,20.85,308222,166978
MERCATOR,20121106,20.4,21,20.1,20.55,293821,0
MERCATOR,20121107,20.6,21.4,20.4,20.5,492193,0
MERCATOR,20121108,20.3,20.8,20.2,20.4,383745,0
MERCATOR,20121109,20.4,20.75,20.15,20.25,327101,0
MERCATOR,20121112,20.25,20.7,20.15,20.25,412704,0
MERCATOR,20121113,20.5,20.5,20.1,20.4,147756,115396
MERCATOR,20121115,20,20.4,19.8,19.95,267008,176963
MERCATOR,20121116,19.7,20.8,18.3,20,353401,164267
MERCATOR,20121119,20.1,20.1,19.5,19.65,235180,0
MERCATOR,20121120,19.85,20.05,19.1,19.2,309069,0
MERCATOR,20121121,19.25,19.6,19.2,19.45,155311,84719
MERCATOR,20121122,19.6,19.8,19,19.2,235810,136547
MERCATOR,20121123,19.25,19.45,19.05,19.15,195320,0
MERCATOR,20121126,19.45,19.75,19.2,19.3,243581,123508
MERCATOR,20121127,19.4,19.75,19.4,19.55,304491,157091
MERCATOR,20121129,23.2,23.2,19.55,20.2,439245,243969
