SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MERIND,19941229,350,350,350,350,150,0
MERIND,19941230,345,345,345,345,550,0
MERIND,19950102,340,340,340,340,450,0
MERIND,19950119,295,295,285,285,200,0
MERIND,19950127,290,290,285,285,150,0
MERIND,19950201,290,290,290,290,100,0
MERIND,19950207,300,300,300,300,300,0
MERIND,19950213,300,300,300,300,100,0
MERIND,19950214,295,296,295,296,200,0
MERIND,19950216,297.5,297.5,297.5,297.5,200,0
MERIND,19950217,287.5,289.5,287.5,288.5,150,0
MERIND,19950301,270,270,270,270,50,0
MERIND,19950303,295,300,295,300,150,0
MERIND,19950306,300,300,300,300,100,0
MERIND,19950307,300,300,300,300,50,0
MERIND,19950309,300,300,300,300,50,0
MERIND,19950314,290,290,290,290,50,0
MERIND,19950331,285,285,285,285,100,0
MERIND,19950412,283.95,283.95,283.95,283.95,50,0
MERIND,19950417,283,283,283,283,100,0
MERIND,19950418,282,285,280.05,280.05,200,0
MERIND,19950427,241,241,240,240,150,0
MERIND,19950508,245,245,245,245,100,0
MERIND,19950509,245,245,245,245,200,0
MERIND,19950516,240,240,240,240,200,0
MERIND,19950517,240,240,240,240,250,0
MERIND,19950518,245.5,260,245.5,260,350,0
MERIND,19950519,259.95,260,255,255,400,0
MERIND,19950530,240,240,240,240,100,0
MERIND,19950605,250,250,250,250,100,0
MERIND,19950606,245,245,245,245,100,0
MERIND,19950607,260,260,260,260,200,0
MERIND,19950612,246,246,246,246,100,0
MERIND,19950614,240,240,240,240,200,0
MERIND,19950616,240,240,220,220,400,0
MERIND,19950619,230,230,230,230,150,0
MERIND,19950620,230,240,230,240,250,0
MERIND,19950628,210,210,210,210,100,0
MERIND,19950704,207.5,207.5,207.5,207.5,50,0
MERIND,19950710,210,210,210,210,200,0
MERIND,19950713,215,215,215,215,50,0
MERIND,19950717,225,230,210,230,250,0
MERIND,19950725,250,250,250,250,50,0
MERIND,19950727,235,235,235,235,50,0
MERIND,19950731,230,230,230,230,50,0
MERIND,19950807,208,208,208,208,50,0
MERIND,19950824,210,220,210,220,1100,0
MERIND,19950828,206,206,206,206,1000,0
MERIND,19950901,200,200,200,200,200,0
MERIND,19950907,190,190,190,190,100,0
MERIND,19950911,190,190,190,190,100,0
MERIND,19950912,190.1,190.1,190.1,190.1,50,0
MERIND,19950918,205,205,205,205,50,0
MERIND,19950927,207,207,207,207,50,0
MERIND,19950929,205,205,205,205,100,0
MERIND,19951005,205,200,200,200,50,0
MERIND,19951006,202,202,202,202,200,0
MERIND,19951010,220,221,220,221,150,0
MERIND,19951011,219.5,219.5,219.5,219.5,100,0
MERIND,19951012,212.5,212.5,212.5,212.5,50,0
MERIND,19951016,214.95,214.95,214.95,214.95,50,0
MERIND,19951017,209,210,209,210,250,0
MERIND,19951018,211,211,211,211,100,0
MERIND,19951020,209,209,203,203,100,0
MERIND,19951026,185.1,185.1,185.1,185.1,100,0
MERIND,19951027,195,195,192,192,450,0
MERIND,19951030,186,187,186,186,550,0
MERIND,19951031,185,185,185,185,50,0
MERIND,19951107,186,186,186,186,100,0
MERIND,19951109,182,183,182,183,100,0
MERIND,19951110,183,183,183,183,50,0
MERIND,19951116,180,180,180,180,50,0
MERIND,19951124,175,175,175,175,50,0
MERIND,19951127,165,165,165,165,100,0
MERIND,19951201,165,165,165,165,50,0
MERIND,19951212,165.05,165.05,155,155,100,0
MERIND,19951213,160.3,160.3,160.25,160.25,100,0
MERIND,19951214,165,165,160,160,200,0
MERIND,19951218,160,164,160,160.5,250,0
MERIND,19951219,160.5,165,161,165,700,0
MERIND,19951220,165,165,162,162,300,0
MERIND,19951221,162,165,165,165,50,0
MERIND,19951222,165,164,164,164,100,0
MERIND,19951226,162.5,162.5,160,160,250,0
MERIND,19951227,160,160,160,160,1100,0
MERIND,19951228,159.5,160,159.5,160,700,0
MERIND,19960102,160,162.5,160,162.5,150,0
MERIND,19960104,162.5,162.5,162.5,162.5,50,0
MERIND,19960105,160,160,160,160,300,0
MERIND,19960116,160,160,160,160,50,0
MERIND,19960123,160,160,160,160,100,0
MERIND,19960125,150,150,150,150,200,0
MERIND,19960129,150,165,165,165,100,0
MERIND,19960131,165,165,165,165,100,0
MERIND,19960205,175,175,175,175,100,0
MERIND,19960213,175,175,175,175,50,0
MERIND,19960214,185,185,185,185,50,0
MERIND,19960215,185,185,185,185,50,0
MERIND,19960216,185,185,185,185,150,0
MERIND,19960219,180,189,180,189,150,0
MERIND,19960220,203,205.6,203,203,450,0
MERIND,19960223,203,203,203,203,150,0
MERIND,19960226,200,200,200,200,100,0
MERIND,19960227,195,195,191.3,191.3,250,0
MERIND,19960229,185,185,185,185,50,0
MERIND,19960301,175.05,175.05,175.05,175.05,50,0
MERIND,19960304,175.05,180,179.95,180,200,0
MERIND,19960311,175,175,165,165,200,0
MERIND,19960312,165,175,165,175,1250,0
MERIND,19960314,175,180,180,180,50,0
MERIND,19960319,180,175,175,175,100,0
MERIND,19960322,175,175,175,175,200,0
MERIND,19960326,175,188,175,188,150,0
MERIND,19960328,188,182,180,182,150,0
MERIND,19960402,180,180,180,180,200,0
MERIND,19960403,180,181,179.95,181,200,0
MERIND,19960408,181,190,180,189.75,300,0
MERIND,19960409,189.75,200,195,200,250,0
MERIND,19960410,200,200,200,200,50,0
MERIND,19960411,200,213,210,212.2,250,0
MERIND,19960412,205,205,205,205,50,0
MERIND,19960415,205,205.5,205,205.5,100,0
MERIND,19960416,205.5,210,205,210,350,0
MERIND,19960417,210,212,210.5,212,900,0
MERIND,19960418,212,215,213,215,300,0
MERIND,19960419,215,234.9,225,228,850,0
MERIND,19960423,225.5,228,215,225,550,0
MERIND,19960424,225.25,225.25,224.9,225,400,0
MERIND,19960425,225,225.5,220,220,300,0
MERIND,19960426,215,215,215,215,200,0
MERIND,19960430,210.5,219.5,210.5,219.5,100,0
MERIND,19960501,227.45,227.45,227.45,227.45,50,0
MERIND,19960502,227.45,240,227.45,227.45,1450,0
MERIND,19960503,220,220,220,220,250,0
MERIND,19960507,205,205,200,205,300,0
MERIND,19960509,195,201,195,200.7,200,0
MERIND,19960510,199.9,200,199.9,199.95,100,0
MERIND,19960513,199.95,190,187,190,750,0
MERIND,19960514,190,194.5,190,190,300,0
MERIND,19960515,190,190.1,190.1,190.1,50,0
MERIND,19960516,197,197,195,197,150,0
MERIND,19960517,197.5,213,197.5,212,400,0
MERIND,19960520,212,195.5,195,195,150,0
MERIND,19960521,194,194,192,192,250,0
MERIND,19960527,193,198,193,198,500,0
MERIND,19960528,195,198,195,198,950,0
MERIND,19960529,200,200,200,200,50,0
MERIND,19960603,200,208.75,185.05,195,300,0
MERIND,19960604,195,200,190,195,300,0
MERIND,19960605,203.25,203.25,203.25,203.25,50,0
MERIND,19960606,211,224,211,224,900,0
MERIND,19960607,220,222.95,217,221.95,800,0
MERIND,19960610,220,232,218,225,950,0
MERIND,19960611,226,226,222,222,300,0
MERIND,19960612,217.05,217.05,217.05,217.05,50,0
MERIND,19960613,213,223.9,213,218.55,1150,0
MERIND,19960614,208.05,232,208,231.25,1600,0
MERIND,19960617,235,244.95,231.05,231.05,1750,0
MERIND,19960618,231,233,228,233,250,0
MERIND,19960619,225,230,225,225,350,0
MERIND,19960620,244,244,225,228,500,0
MERIND,19960621,225,225.95,223.75,225.95,300,0
MERIND,19960624,220,220.5,220,220.2,200,0
MERIND,19960625,212,215,211.1,211.1,300,0
MERIND,19960626,212,213.75,210,213.25,500,0
MERIND,19960627,207.05,207.05,198.1,201,450,0
MERIND,19960628,198.5,200,195.05,200,300,0
MERIND,19960701,193.1,193.1,190,190,300,0
MERIND,19960702,191,191,180,180.55,1650,0
MERIND,19960705,180,184.95,176.6,184.9,20200,0
MERIND,19960708,182,182,180.3,180.3,150,0
MERIND,19960709,180.5,181,176,176,650,0
MERIND,19960710,175,175,175,175,100,0
MERIND,19960711,175,175,175,175,50,0
MERIND,19960712,183,183,183,183,50,0
MERIND,19960716,181,181,175,175,450,0
MERIND,19960718,175,175,175,175,100,0
MERIND,19960719,172,172,172,172,50,0
MERIND,19960723,170,170,155,156.3,300,0
MERIND,19960724,160,160,155,155,300,0
MERIND,19960726,155,155,155,155,100,0
MERIND,19960729,162.65,164,162.65,163,550,0
MERIND,19960730,162,162,155,155,350,0
MERIND,19960801,140,154.75,140,154.75,300,0
MERIND,19960805,154,154,154,154,50,0
MERIND,19960806,150,159.4,150,158.8,950,0
MERIND,19960807,165,165,165,165,100,0
MERIND,19960809,163,164.5,163,164.5,300,0
MERIND,19960812,162.5,162.5,162,162,250,0
MERIND,19960813,162.1,162.1,160,160,150,0
MERIND,19960819,150,150.05,150,150.05,250,0
MERIND,19960821,150,150,150,150,50,0
MERIND,19960822,150,150,150,150,50,0
MERIND,19960823,152.5,155,152.5,155,250,0
MERIND,19960826,152,152,150.05,152,200,0
MERIND,19960827,150.95,153.5,150,153,250,0
MERIND,19960829,160,160,160,160,50,0
MERIND,19960830,155,156,152,156,350,0
MERIND,19960902,160,160,160,160,100,0
MERIND,19960903,153.6,153.6,153.55,153.55,100,0
MERIND,19960904,150.05,150.05,150,150,200,0
MERIND,19960905,157,158,157,158,150,0
MERIND,19960906,155,155,155,155,150,0
MERIND,19960909,155,155,154.05,154.05,150,0
MERIND,19960910,150.25,150.25,139.7,145.6,600,0
MERIND,19960911,145.1,145.1,145,145,200,0
MERIND,19960913,146,148,146,148,100,0
MERIND,19960916,145.25,145.25,145.25,145.25,50,0
MERIND,19960917,145,145,145,145,150,0
MERIND,19960918,150,150,150,150,150,0
MERIND,19960919,145.5,145.5,145.5,145.5,50,0
MERIND,19960920,145.5,145.5,141,141,200,0
MERIND,19960923,137.5,137.5,136.15,136.15,300,0
MERIND,19960924,136.5,136.5,130.05,131.3,300,0
MERIND,19960925,135,135,135,135,50,0
MERIND,19960926,135,135,130,130,150,0
MERIND,19960927,125,125,125,125,650,0
MERIND,19960930,122,122,118.05,118.7,350,0
MERIND,19961001,120,120,120,120,300,0
MERIND,19961003,118,118,116,116,600,0
MERIND,19961004,113,113,113,113,50,0
MERIND,19961007,106,106,106,106,250,0
MERIND,19961008,105,106,103.5,105,450,0
MERIND,19961009,105,107,104,107,350,0
MERIND,19961011,114,114.5,114,114,250,0
MERIND,19961014,117,117,117,117,350,0
MERIND,19961015,120,121.95,120,120,150,0
MERIND,19961016,125,125,125,125,200,0
MERIND,19961017,124,132.5,124,132.5,350,0
MERIND,19961018,127,130.9,127,130.9,400,0
MERIND,19961022,130.9,131,127,129.7,400,0
MERIND,19961023,133,133,133,133,100,0
MERIND,19961028,134,135,134,134,250,0
MERIND,19961029,134,134.05,134,134.05,150,0
MERIND,19961031,124.75,133,124.75,133,100,0
MERIND,19961101,133,135,133,133.3,350,0
MERIND,19961104,132,132,132,132,300,0
MERIND,19961105,130.25,132,130.25,132,300,0
MERIND,19961106,130,132,130,132,1500,0
MERIND,19961107,132,132,132,132,50,0
MERIND,19961108,130,130,130,130,100,0
MERIND,19961111,128,128,128,128,50,0
MERIND,19961113,121,123,121,123,300,0
MERIND,19961114,129.9,130.45,128.15,128.15,450,0
MERIND,19961115,128,128,128,128,50,0
MERIND,19961119,132,132,132,132,50,0
MERIND,19961120,131,133,131,133,250,0
