SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MGL,20160701,540,548.95,518,520.3,20001438,0
MGL,20160704,523.5,533.9,521.3,531.05,3591938,0
MGL,20160705,530,532.5,516.25,517.5,1611597,0
MGL,20160707,518.75,520.6,504.55,506.2,1050990,0
MGL,20160708,506.4,510.75,498.55,502.5,1306333,0
MGL,20160711,508,511.75,502,503.4,963350,0
MGL,20160712,505.4,506,495.1,496.75,790935,0
MGL,20160713,497.5,504.25,492.65,500.25,835625,0
MGL,20160714,500.9,509.95,498,506.55,676085,0
MGL,20160715,507.45,513.9,502.05,506.8,801549,0
MGL,20160718,507.8,511.8,503.1,509.9,500134,0
MGL,20160719,510.1,514.2,508,509.45,306063,0
MGL,20160720,510.1,512.75,509,510.1,436612,0
MGL,20160721,510.05,513.75,502.45,503.9,376728,0
MGL,20160722,504.8,509.75,504,508.1,246857,0
MGL,20160725,508.45,509.45,503.15,504.55,209098,0
MGL,20160726,506,507.25,497.7,499.4,203104,0
MGL,20160727,498.4,503.95,496.6,498,208083,0
MGL,20160728,499.7,511.25,496,506.35,653293,0
MGL,20160729,507,515.6,506.2,508.8,544200,0
MGL,20160801,509,515,504,512.35,1819762,0
MGL,20160802,514.85,521.95,514,519.4,1016034,0
MGL,20160804,513.5,518.5,509.95,517,369454,0
MGL,20160805,517.95,522,514.05,519.55,417478,0
MGL,20160808,522,532.4,521,530.3,657734,0
MGL,20160809,530.25,547.3,527.55,540.3,1274819,0
MGL,20160810,542,542,532,535.1,399445,0
MGL,20160811,534.6,538.45,529.6,532.5,209485,0
MGL,20160816,536.9,540,534.15,537.1,351340,0
MGL,20160817,537.25,551.1,537.1,549.35,881986,590624
MGL,20160818,551,573.4,550.95,570.9,1206667,0
MGL,20160819,573.4,582,563.55,577.35,749894,434108
MGL,20160822,580.7,594.8,575,591.55,1282012,535522
MGL,20160823,593.95,603,565.1,580.45,1419004,0
MGL,20160824,580,598,579.95,595.9,416093,0
MGL,20160825,598,598,585,586.75,273017,138049
MGL,20160826,590,598,589.95,596.3,292354,0
MGL,20160829,598,615,596.3,613.9,640981,313124
MGL,20160830,616.6,650,616,641.85,940134,0
MGL,20160831,645,661.4,640,652.25,872126,413810
MGL,20160901,654.5,658,631.55,636.15,849646,0
MGL,20160902,635.4,649.95,612,635.3,1048848,0
MGL,20160906,640,654.7,635.5,651.85,398256,204834
MGL,20160907,655.9,656,640.55,647,284368,153811
MGL,20160908,650,653,645.5,649.35,146259,55119
MGL,20160909,648,653.9,641.3,643.7,210462,133421
MGL,20160912,635,635,617.25,619.95,275224,0
MGL,20160914,622.5,638.85,622.5,631.35,264287,151584
MGL,20160915,621,622.9,606.5,609.95,226065,114117
MGL,20160916,612.25,619,601.2,605.65,174090,0
