SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MMFORGINGS,19960923,49.75,50,49.75,50,300,0
MMFORGINGS,19960925,45,45,45,45,600,0
MMFORGINGS,19960926,43,43,42.05,42.05,300,0
MMFORGINGS,19960930,38,38,38,38,100,0
MMFORGINGS,19961003,37,37,37,37,200,0
MMFORGINGS,19961004,35,35,34.1,34.1,200,0
MMFORGINGS,19961007,36,36,32.1,33,400,0
MMFORGINGS,19961008,34,34,33.95,33.95,200,0
MMFORGINGS,19961009,35.75,35.75,35,35.75,1100,0
MMFORGINGS,19961010,36.75,36.75,35,35.45,1200,0
MMFORGINGS,19961011,35.5,35.75,33.95,34.25,5100,0
MMFORGINGS,19961014,35.5,35.5,34.25,34.55,3300,0
MMFORGINGS,19961015,35,35.5,34.5,34.5,400,0
MMFORGINGS,19961016,35.05,35.5,35.05,35.5,1700,0
MMFORGINGS,19961017,36.25,36.25,36,36,600,0
MMFORGINGS,19961018,36,36,36,36,200,0
MMFORGINGS,19961022,39,39,36,37,300,0
MMFORGINGS,19961023,37,37,35.25,35.25,2000,0
MMFORGINGS,19961024,38,38,37,37,900,0
MMFORGINGS,19961025,37,37,37,37,700,0
MMFORGINGS,19961028,37.5,37.5,36.5,36.5,600,0
MMFORGINGS,19961029,37,37,34,35,900,0
MMFORGINGS,19961031,34,34.5,34,34.25,200,0
MMFORGINGS,19961101,35.95,35.95,34.75,35,500,0
MMFORGINGS,19961104,34.75,34.75,34.75,34.75,200,0
MMFORGINGS,19961105,34.5,34.5,34.5,34.5,100,0
MMFORGINGS,19961106,36.3,36.3,36.1,36.1,700,0
MMFORGINGS,19961107,36,36,36,36,700,0
MMFORGINGS,19961108,35,35,35,35,100,0
MMFORGINGS,19961110,37,38.5,37,38.3,1800,0
MMFORGINGS,19961111,36.1,37.75,36.1,37.45,600,0
MMFORGINGS,19961113,38.5,41.15,38.5,40,6000,0
MMFORGINGS,19961114,39.95,40,39.2,39.55,1200,0
MMFORGINGS,19961115,39.75,40,39,39.5,1800,0
MMFORGINGS,19961118,39.85,40,39.85,39.9,500,0
MMFORGINGS,19961119,39.2,39.5,39,39.3,2000,0
MMFORGINGS,19961120,38.5,39,38.5,39,200,0
MMFORGINGS,19961121,39.9,41.25,39.9,40.05,900,0
MMFORGINGS,19961122,40.1,41.5,40.1,40.6,1600,0
MMFORGINGS,19961125,41.2,41.2,41.15,41.15,200,0
MMFORGINGS,19961126,40.75,40.75,40,40.5,700,0
MMFORGINGS,19961127,39.55,39.55,39.5,39.5,200,0
MMFORGINGS,19961128,40,40,39.5,39.5,300,0
MMFORGINGS,19961203,39,39.5,39,39.5,1200,0
MMFORGINGS,19961204,37,37,37,37,200,0
MMFORGINGS,19961205,36,39.5,36,39.5,1000,0
MMFORGINGS,19961206,39.5,39.5,39.5,39.5,700,0
MMFORGINGS,19961209,39,39,38,38,200,0
MMFORGINGS,19961210,37.5,38,37.5,37.65,500,0
MMFORGINGS,19961211,40.25,40.25,40,40,200,0
MMFORGINGS,19961212,40.5,41.5,40.25,40.25,500,0
MMFORGINGS,19961213,39.05,40,39.05,40,1000,0
MMFORGINGS,19961216,39.9,39.9,39.55,39.55,200,0
MMFORGINGS,19961218,40,42,40,42,600,0
MMFORGINGS,19961219,41.75,41.9,41,41.9,300,0
MMFORGINGS,19961220,42.25,42.95,42.25,42.95,1300,0
MMFORGINGS,19961223,43.95,43.95,41.55,41.55,400,0
MMFORGINGS,19961224,43,43,41.45,41.45,300,0
MMFORGINGS,19961226,43,44.5,43,44.5,1600,0
MMFORGINGS,19961231,43.75,44,43.15,43.55,1300,0
MMFORGINGS,19970101,46.85,47,46.85,47,700,0
MMFORGINGS,19970102,48.75,51.7,48.75,51.25,4400,0
MMFORGINGS,19970103,50,51.05,50,50.5,1800,0
MMFORGINGS,19970106,50.3,50.5,50.3,50.3,500,0
MMFORGINGS,19970107,49.5,50.55,49.5,49.95,800,0
MMFORGINGS,19970108,50,50.5,48,50.5,700,0
MMFORGINGS,19970109,50,50.5,49,49.2,1800,0
MMFORGINGS,19970110,49,54,49,53.05,3700,0
MMFORGINGS,19970113,54.2,54.2,52,53.35,1900,0
MMFORGINGS,19970114,54.25,55.5,54,55.45,2100,0
MMFORGINGS,19970115,55,60,55,59.7,2600,0
MMFORGINGS,19970116,61.9,62,55,57.95,3100,0
MMFORGINGS,19970117,56.55,57,55.1,57,700,0
MMFORGINGS,19970120,56,56,54.6,54.6,1700,0
MMFORGINGS,19970121,54.75,54.75,52.5,53.25,2100,0
MMFORGINGS,19970122,53,54.75,52,54.75,700,0
MMFORGINGS,19970124,52.1,53,52.05,53,600,0
MMFORGINGS,19970127,52,53.5,52,53.5,500,0
MMFORGINGS,19970128,52,52.95,51.25,52.95,400,0
MMFORGINGS,19970129,53,53,51,51,600,0
MMFORGINGS,19970130,50,52,50,52,500,0
MMFORGINGS,19970131,51,51,51,51,200,0
MMFORGINGS,19970204,52.75,53,52.75,52.9,200,0
MMFORGINGS,19970205,51.5,51.5,51.5,51.5,100,0
MMFORGINGS,19970206,50.25,50.25,50,50,500,0
MMFORGINGS,19970207,52.95,52.95,50,50,300,0
MMFORGINGS,19970210,50,50,50,50,100,0
MMFORGINGS,19970211,51,51,50.2,50.2,200,0
MMFORGINGS,19970212,51,51,50,50,200,0
MMFORGINGS,19970214,50,50,50,50,100,0
MMFORGINGS,19970217,49.5,49.5,49.5,49.5,100,0
MMFORGINGS,19970218,49.5,49.5,49,49,200,0
MMFORGINGS,19970219,44.5,44.5,44.5,44.5,100,0
MMFORGINGS,19970220,47,47,44.75,44.75,200,0
MMFORGINGS,19970221,43,44.5,41.25,43.4,1300,0
MMFORGINGS,19970224,41.5,43.5,41.5,43.25,400,0
MMFORGINGS,19970225,43,43,40.5,42.7,600,0
MMFORGINGS,19970226,43,43,42.5,42.5,400,0
MMFORGINGS,19970227,43,43.2,43,43,500,0
MMFORGINGS,19970228,44,44,44,44,200,0
MMFORGINGS,19970301,46.5,48,46,48,600,0
MMFORGINGS,19970303,52,52.75,50.1,51,2000,0
MMFORGINGS,19970304,50,52,50,51.5,900,0
MMFORGINGS,19970305,53,53.95,52,53.95,600,0
MMFORGINGS,19970306,50,50.05,50,50,400,0
MMFORGINGS,19970310,47,49.5,47,47.15,500,0
MMFORGINGS,19970311,49.75,49.95,47,47,300,0
MMFORGINGS,19970312,47.25,47.5,47.25,47.5,300,0
MMFORGINGS,19970317,46.5,47,46.35,47,700,0
MMFORGINGS,19970318,45,47,45,47,1500,0
MMFORGINGS,19970319,44.1,47,44.1,47,600,0
MMFORGINGS,19970320,46.9,47.5,46.9,47.5,400,0
MMFORGINGS,19970321,47.5,47.75,46.5,47.75,500,0
MMFORGINGS,19970325,47,47.5,47,47.25,700,0
MMFORGINGS,19970326,47,47.5,47,47.5,700,0
MMFORGINGS,19970327,47,47.5,46.5,47.5,1600,0
MMFORGINGS,19970331,45,45,43.75,43.75,500,0
MMFORGINGS,19970401,43.5,45,43.5,43.5,500,0
MMFORGINGS,19970402,43.55,44.5,43.55,44.5,200,0
MMFORGINGS,19970403,45,45,45,45,100,0
MMFORGINGS,19970404,44.75,45.95,44.75,45.15,300,0
MMFORGINGS,19970407,42.1,45,42.1,43,1000,0
MMFORGINGS,19970409,44,45,43.5,45,900,0
MMFORGINGS,19970410,44,44,42,43,1000,0
MMFORGINGS,19970411,44,44,44,44,100,0
MMFORGINGS,19970412,43,44,42.85,43.25,400,0
MMFORGINGS,19970415,43,43,43,43,100,0
MMFORGINGS,19970422,43.55,43.55,43.5,43.5,200,0
MMFORGINGS,19970423,45,45,45,45,100,0
MMFORGINGS,19970424,43.25,44,43.25,43.5,400,0
MMFORGINGS,19970425,44,44.35,44,44.1,500,0
MMFORGINGS,19970428,44.3,44.45,44.15,44.45,600,0
MMFORGINGS,19970429,45.25,45.25,44,44,300,0
MMFORGINGS,19970430,45,45,45,45,100,0
MMFORGINGS,19970502,46.05,46.05,46.05,46.05,100,0
MMFORGINGS,19970505,44.5,44.5,44.5,44.5,300,0
MMFORGINGS,19970506,44.5,45,44.5,44.55,500,0
MMFORGINGS,19970507,45,45,45,45,200,0
MMFORGINGS,19970508,44.05,44.05,44.05,44.05,100,0
MMFORGINGS,19970509,45.25,45.25,45.25,45.25,100,0
MMFORGINGS,19970512,45,45,45,45,500,0
MMFORGINGS,19970513,44.5,44.5,43.1,43.1,600,0
MMFORGINGS,19970514,43,43.75,43,43.75,700,0
MMFORGINGS,19970515,44,45,44,45,1500,0
MMFORGINGS,19970516,45,45,44,44.25,67600,0
MMFORGINGS,19970519,45,45,42,42,300,0
MMFORGINGS,19970520,43.5,43.75,43.5,43.75,300,0
MMFORGINGS,19970521,43,43,43,43,100,0
MMFORGINGS,19970523,43,43.5,43,43.5,200,0
MMFORGINGS,19970527,42,42,42,42,200,0
MMFORGINGS,19970528,42,43,42,42.05,600,0
MMFORGINGS,19970530,42,42,42,42,100,0
MMFORGINGS,19970603,40.7,43,40.7,43,600,0
MMFORGINGS,19970605,41.75,42,41.75,42,300,0
MMFORGINGS,19970606,39.8,41.25,39.8,41.25,200,0
MMFORGINGS,19970609,42.75,43,39.5,41.6,2800,0
MMFORGINGS,19970610,40.2,40.2,40,40.05,1700,0
MMFORGINGS,19970611,40,40.2,40,40.1,900,0
MMFORGINGS,19970612,41,41,41,41,200,0
MMFORGINGS,19970613,40,40,39.5,39.5,200,0
MMFORGINGS,19970616,39.95,40,39.55,39.55,1400,0
MMFORGINGS,19970617,40,40,39.1,40,1000,0
MMFORGINGS,19970618,40.95,40.95,37,38.1,1000,0
MMFORGINGS,19970619,39,40,39,40,200,0
MMFORGINGS,19970620,39.5,39.5,39.5,39.5,100,0
MMFORGINGS,19970624,38,39.5,38,39.5,200,0
MMFORGINGS,19970626,39.9,39.9,39.5,39.5,600,0
MMFORGINGS,19970627,39.9,40,39.3,40,900,0
MMFORGINGS,19970630,39.95,40,39.95,40,1300,0
MMFORGINGS,19970701,39,39.5,39,39.5,200,0
MMFORGINGS,19970702,39.5,41,39.5,39.5,1400,0
MMFORGINGS,19970703,42.95,42.95,39.5,40,2500,0
MMFORGINGS,19970704,40,41,40,40.25,600,0
MMFORGINGS,19970707,40.25,40.5,40.25,40.5,1500,0
MMFORGINGS,19970708,41,42,40.3,42,1800,0
MMFORGINGS,19970709,45,46.05,45,46.05,2100,0
MMFORGINGS,19970710,46.5,49.9,46.5,49.9,2700,0
MMFORGINGS,19970711,49.5,49.5,48,48.95,1400,0
MMFORGINGS,19970714,48.75,48.85,46,46.5,2000,0
MMFORGINGS,19970715,44,45.5,44,44.85,900,0
MMFORGINGS,19970716,47.5,48.5,47.5,48.2,1300,0
MMFORGINGS,19970717,49,49,46,46.95,2200,0
MMFORGINGS,19970721,50,50.5,48,48.2,4200,0
MMFORGINGS,19970722,49,51.25,49,50.7,7700,0
MMFORGINGS,19970723,52.7,55.45,52.7,55.3,6500,0
MMFORGINGS,19970724,57,57,51,51.5,2500,0
MMFORGINGS,19970725,51,51,50,50.95,1100,0
MMFORGINGS,19970728,53,53,50.5,51,1500,0
MMFORGINGS,19970729,53,53.95,50.3,51.75,5900,0
MMFORGINGS,19970730,52,52.75,51,52.25,1600,0
MMFORGINGS,19970731,53,55.85,53,54.5,2600,0
MMFORGINGS,19970801,55.85,55.85,53,53.95,3400,0
MMFORGINGS,19970804,54,54,52.5,53.5,2100,0
MMFORGINGS,19970805,50,54.95,50,53.75,6000,0
MMFORGINGS,19970806,52,52,51.75,51.75,300,0
MMFORGINGS,19970807,52.5,53.2,52.5,52.95,3300,0
MMFORGINGS,19970808,50.7,51.55,50.7,50.7,400,0
MMFORGINGS,19970811,51.5,51.5,49.5,49.5,400,0
MMFORGINGS,19970812,50.05,50.05,46.65,46.65,1900,0
MMFORGINGS,19970814,47.5,48,47.15,48,600,0
MMFORGINGS,19970819,48,51,46,49.25,1400,0
MMFORGINGS,19970820,47.2,49,46,49,1900,0
MMFORGINGS,19970821,49,49,48.8,48.8,200,0
MMFORGINGS,19970822,48,48,46.25,47.3,1200,0
