SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MOHOTAMILL,20170801,164.7,168.9,156,158.75,80394,43327
MOHOTAMILL,20170802,159.9,173,159.9,164.5,118395,83446
MOHOTAMILL,20170803,164.45,171.95,162,163,17215,5304
MOHOTAMILL,20170804,163.15,164.75,157.5,158.25,48167,26810
MOHOTAMILL,20170807,158.25,164,158.25,162.7,19773,16852
MOHOTAMILL,20170808,163,163.55,155.5,157.1,12192,8314
MOHOTAMILL,20170809,151.1,159.55,150.5,155.8,32840,19803
MOHOTAMILL,20170810,154.55,155.6,146.5,149.95,47046,25464
MOHOTAMILL,20170811,140.6,158.9,140.6,147.75,13011,10112
MOHOTAMILL,20170814,147.75,155,147.75,151.65,10411,8914
MOHOTAMILL,20170816,152,154.9,148.15,153.3,11049,9535
MOHOTAMILL,20170817,153,180,151.85,172.6,118702,51164
MOHOTAMILL,20170818,172.6,174.9,165.5,168.25,30209,24584
MOHOTAMILL,20170821,168,173.2,167.1,168.45,11904,10614
MOHOTAMILL,20170822,169,170.3,164,167.05,2296,1682
MOHOTAMILL,20170823,166,172,164,165.95,3520,1834
MOHOTAMILL,20170824,166,169,162,166.6,14472,11286
MOHOTAMILL,20170828,166.6,173.5,155.25,168.7,15652,9116
MOHOTAMILL,20170829,170.7,170.7,165,165.6,1051,575
MOHOTAMILL,20170830,170,172,164,165.25,20762,10470
MOHOTAMILL,20170831,166,184.6,166,181.95,84319,38419
MOHOTAMILL,20170901,176,200,176,197.9,133069,64731
MOHOTAMILL,20170904,197.9,208.9,197.9,203.85,70607,44122
MOHOTAMILL,20170905,203,205.2,198.65,203.6,41472,18618
MOHOTAMILL,20170906,203.05,203.05,195,197.15,25270,17949
MOHOTAMILL,20170907,197.5,208,166.8,200.55,51216,26705
MOHOTAMILL,20170908,202,202.7,197.85,198.05,9032,7637
MOHOTAMILL,20170911,198.05,225.2,197,222.4,165993,82094
MOHOTAMILL,20170912,219.95,228.35,217.45,220.9,60757,22938
MOHOTAMILL,20170913,224.65,226,217.2,220.25,17965,10721
MOHOTAMILL,20170914,220.2,224.95,210.55,215.35,13586,8904
MOHOTAMILL,20170915,215.95,220.4,206.15,218.65,33027,20247
MOHOTAMILL,20170918,219.95,232.5,219.95,222.65,23389,12132
MOHOTAMILL,20170919,223.95,229.7,211,220.65,18836,9334
MOHOTAMILL,20170920,220.1,244,220.1,238.25,119427,36164
MOHOTAMILL,20170921,238.25,243,235.6,241,121853,63814
MOHOTAMILL,20170922,242.4,243.75,231.55,240.9,106265,29435
MOHOTAMILL,20170925,238,241.95,231,233.9,13901,6985
MOHOTAMILL,20170926,234,252,233,244.8,153555,66563
MOHOTAMILL,20170927,249.2,252.7,234.8,240.65,164554,101705
MOHOTAMILL,20170928,240,261.9,240,255.8,124704,24237
MOHOTAMILL,20170929,258,276.7,256,269.85,93055,28236
MOHOTAMILL,20171003,274,280.7,262.2,268.65,168521,123184
MOHOTAMILL,20171004,272.1,279,265,267.35,100287,37635
MOHOTAMILL,20171005,267.3,271,246.1,248.25,214903,57197
MOHOTAMILL,20171006,251,253.95,244.05,251.55,32674,22269
MOHOTAMILL,20171009,251.6,263.5,251.6,256.95,43278,30295
MOHOTAMILL,20171010,260.7,301.4,260.65,299.4,361660,127175
MOHOTAMILL,20171011,299.4,303.45,284.65,290.4,87947,37282
MOHOTAMILL,20171012,292,320.05,292,307.05,98600,46992
MOHOTAMILL,20171013,307.1,319.5,307.1,318.4,39788,18975
MOHOTAMILL,20171016,320,323,311.45,317.55,34063,11694
MOHOTAMILL,20171017,320.45,331,308,313.4,73859,39183
MOHOTAMILL,20171018,315,319.9,303.05,305.45,13822,6556
MOHOTAMILL,20171019,312.35,314,307.25,311.95,15256,8990
MOHOTAMILL,20171023,319.85,331.5,318.65,325.05,86466,39444
MOHOTAMILL,20171024,349,349,321,324.65,104063,47731
MOHOTAMILL,20171025,326.9,334.4,321.65,324.15,22195,10269
MOHOTAMILL,20171026,320,330,315.05,317.1,12848,7820
MOHOTAMILL,20171027,313.45,323,312.2,313.45,9650,6724
MOHOTAMILL,20171030,322,322,311,316.1,56415,32860
MOHOTAMILL,20171031,316,319,309,312.95,17154,12901
MOHOTAMILL,20171101,305,318.95,305,315.45,10865,9637
MOHOTAMILL,20171102,310,320,310,317.5,11188,7584
MOHOTAMILL,20171103,318,319,305.5,311.55,17608,12925
MOHOTAMILL,20171106,305,323.05,305,320.65,13754,11230
MOHOTAMILL,20171107,320.5,346.7,317,323.15,42349,17548
MOHOTAMILL,20171108,325,344,325,333.2,39598,17407
MOHOTAMILL,20171109,342.7,342.7,330.65,332.15,27833,20041
MOHOTAMILL,20171110,340.95,348.5,320.1,345.7,35813,19027
MOHOTAMILL,20171113,350,356,336,350.15,39414,23854
MOHOTAMILL,20171114,340.5,367.95,340.05,361.25,86836,34456
MOHOTAMILL,20171115,363,377.55,360,374.2,108554,34348
MOHOTAMILL,20171116,365,378,362.3,369.1,15391,8864
MOHOTAMILL,20171117,375.1,375.1,367,369.25,21710,6189
MOHOTAMILL,20171120,373.7,384.4,371.05,381.45,12683,9379
MOHOTAMILL,20171121,385,402,376.05,400.1,44586,14327
MOHOTAMILL,20171122,413.3,425,402,415.65,42083,20799
MOHOTAMILL,20171123,419.7,419.7,405.1,410.1,24363,17168
MOHOTAMILL,20171124,415.8,417.8,388.45,400.6,11133,7115
MOHOTAMILL,20171127,396,415.65,396,412.35,12906,8794
MOHOTAMILL,20171128,417.7,430.5,405.25,407.95,76649,40561
MOHOTAMILL,20171129,409,417.8,408,411.75,40519,21329
MOHOTAMILL,20171130,408.05,417.4,401.1,413.3,93430,44883
MOHOTAMILL,20171201,413,415.55,390.5,395.5,14751,5225
MOHOTAMILL,20171204,395.5,405,392.25,399.3,27051,19316
MOHOTAMILL,20171205,404.7,404.7,395,396.15,19168,12550
MOHOTAMILL,20171206,392,407,375.9,385.2,30145,14250
MOHOTAMILL,20171207,375.55,394,375.55,388.2,13809,6089
MOHOTAMILL,20171208,388.1,413.8,370.7,405.35,83517,33748
MOHOTAMILL,20171211,412.7,412.8,405.5,407.45,17701,16285
MOHOTAMILL,20171212,410,410,393.25,399.8,13616,7220
MOHOTAMILL,20171213,397.05,402.35,386.55,390,4694,3563
MOHOTAMILL,20171214,399,399,369,380.65,17041,8885
MOHOTAMILL,20171215,399.1,422.05,381,397.95,34399,8702
MOHOTAMILL,20171218,402,405,375.25,390.3,18108,14200
MOHOTAMILL,20171219,396.3,396.3,382.6,384.4,4530,2999
MOHOTAMILL,20171220,394.95,394.95,377,382.6,12687,8672
MOHOTAMILL,20171221,382.6,389.8,331.3,385.2,12586,6550
MOHOTAMILL,20171222,399.9,419.5,388.25,416.75,77923,40350
