SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MOMOMENTUM,20220217,202.8,204.99,198.1,198.93,2749,0
MOMOMENTUM,20220218,199.8,203.45,194.25,196.34,16757,0
MOMOMENTUM,20220221,198,200,192,194.53,10879,0
MOMOMENTUM,20220222,197,198,190.05,192.03,3997,0
MOMOMENTUM,20220223,192.8,197.9,192.5,195.76,923,0
MOMOMENTUM,20220224,194.99,194.99,185.7,187.22,11504,0
MOMOMENTUM,20220225,188.5,196.48,188.5,195.48,4020,0
MOMOMENTUM,20220228,199.4,199.4,187.3,191.98,3006,0
MOMOMENTUM,20220302,191.99,197,190.3,193.87,37316,0
MOMOMENTUM,20220303,194.8,196.8,191,194.75,1675,0
MOMOMENTUM,20220304,194.8,195.8,187.7,193.49,8037,0
MOMOMENTUM,20220307,193.46,198.8,182.01,190.09,11216,0
MOMOMENTUM,20220308,190.8,199.94,190.06,199.88,2899,0
MOMOMENTUM,20220309,200,203.74,189.3,191.94,18751,0
MOMOMENTUM,20220310,198.9,225.34,194.35,220.72,42384,0
MOMOMENTUM,20220311,225,225,191.37,194.57,28413,0
MOMOMENTUM,20220314,197.49,200,193.46,196.98,4322,0
MOMOMENTUM,20220315,197,197.6,193.1,194.02,8519,0
MOMOMENTUM,20220316,199.99,199.99,193,197.62,710,0
MOMOMENTUM,20220317,198.8,205.54,198.8,199.59,1416,0
MOMOMENTUM,20220321,203.6,205.98,198.5,199.55,2861,0
MOMOMENTUM,20220322,199.8,203,195,200.15,5473,0
MOMOMENTUM,20220323,200.8,204,199.3,201.95,6865,0
MOMOMENTUM,20220324,203.95,204.99,197,201.09,2248,0
MOMOMENTUM,20220325,203.98,203.98,197.3,201.69,1990,0
MOMOMENTUM,20220328,203.9,203.9,198.25,199.47,3040,0
MOMOMENTUM,20220329,197.06,204.08,197.06,201.21,1774,0
MOMOMENTUM,20220330,203.98,204,201.67,202.88,2032,0
MOMOMENTUM,20220331,206.98,209.99,201.31,203.4,1018,0
MOMOMENTUM,20220401,206.98,209.8,200.03,204.28,4223,0
MOMOMENTUM,20220404,207.99,208.9,203.05,206.56,1789,0
MOMOMENTUM,20220405,204.2,211.99,202.3,208.93,7470,0
MOMOMENTUM,20220406,208.3,211.98,205.07,209.11,2665,0
MOMOMENTUM,20220407,212.99,213.97,205.61,207.91,2093,0
MOMOMENTUM,20220408,210,213,206.45,211.49,3057,0
MOMOMENTUM,20220411,215.99,215.99,207,209.4,4670,0
MOMOMENTUM,20220412,214.7,214.7,204,205.51,6025,0
MOMOMENTUM,20220413,209.7,209.7,205,205.15,3874,0
MOMOMENTUM,20220418,209.7,209.7,197.1,201.26,15528,0
MOMOMENTUM,20220419,202.8,203.95,198,199.99,6904,0
MOMOMENTUM,20220420,202.99,202.99,198,198.87,4834,0
MOMOMENTUM,20220421,203.9,203.9,197.5,198.88,2950,0
MOMOMENTUM,20220422,198.79,203.8,196.01,199.74,2444,0
MOMOMENTUM,20220425,198.74,200.69,195.01,196.33,5786,0
MOMOMENTUM,20220426,200.9,200.9,195.3,197.66,1554,0
MOMOMENTUM,20220427,197.65,197.99,194,195.97,3874,0
MOMOMENTUM,20220428,199.9,199.9,195.01,196.99,1982,0
MOMOMENTUM,20220429,199.5,199.5,195.02,196.91,2671,0
MOMOMENTUM,20220502,198.99,198.99,192,192.14,16055,0
MOMOMENTUM,20220504,194,196.98,187.6,188.05,8475,0
MOMOMENTUM,20220505,192.98,208.65,188.7,189.59,42585,0
MOMOMENTUM,20220506,189.59,192,183.75,185.84,10875,0
MOMOMENTUM,20220509,185.15,187.9,180,181.77,7581,0
MOMOMENTUM,20220510,184.9,184.9,178.3,179.31,9178,0
MOMOMENTUM,20220511,182.9,182.9,174.5,177.7,9888,0
MOMOMENTUM,20220512,177.7,177.7,171.05,172.97,17919,0
MOMOMENTUM,20220513,175,177.99,171.5,174.02,3346,0
MOMOMENTUM,20220516,177.9,178,173,174.24,6026,0
MOMOMENTUM,20220517,178.85,184,175.05,180.69,2179,0
MOMOMENTUM,20220518,180,183.8,178.01,179.79,1915,0
MOMOMENTUM,20220519,177.01,178.87,168.25,173.51,7024,0
