SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MORARJEE,20120918,12.6,12.6,12.6,12.6,130,0
MORARJEE,20121003,10.1,10.45,10.1,10.15,2430,1230
MORARJEE,20121004,9.5,10.25,9.5,10.25,208,0
MORARJEE,20121005,10,10.2,10,10.15,683,0
MORARJEE,20121008,9,11,9,10.95,1134,734
MORARJEE,20121009,9.5,11.5,9.1,9.6,3000,0
MORARJEE,20121010,9.55,10.5,9.55,10.5,27,27
MORARJEE,20121012,9.3,9.95,9.3,9.65,170,0
MORARJEE,20121015,9.35,9.35,9.35,9.35,115,115
MORARJEE,20121016,9,9.6,9,9.6,290,290
MORARJEE,20121017,9.05,9.35,9,9.35,548,523
MORARJEE,20121018,9.5,9.95,9.45,9.8,117,115
MORARJEE,20121019,10.45,10.45,10.45,10.45,500,0
MORARJEE,20121022,9.3,10.7,8.6,10.2,159676,159434
MORARJEE,20121023,11.35,11.35,10.25,10.55,561,0
MORARJEE,20121025,10.8,11.15,10.45,10.45,3450,2428
MORARJEE,20121026,10.05,11.25,9.95,10.45,1866,0
MORARJEE,20121030,9.55,10.65,9.55,9.95,1793,1018
MORARJEE,20121031,10,10,9.45,9.5,1100,0
MORARJEE,20121101,9.55,9.55,9.55,9.55,90,0
MORARJEE,20121102,9.95,9.95,9.25,9.25,75,75
MORARJEE,20121106,9.8,9.8,9.8,9.8,1160,0
MORARJEE,20121108,11.7,11.75,11.7,11.75,3685,0
MORARJEE,20121109,13.4,13.65,12.7,12.75,33438,0
MORARJEE,20121112,13.45,14.45,13,13.85,9679,0
MORARJEE,20121113,14.85,14.85,13.2,13.6,4137,4036
MORARJEE,20121115,13.2,13.2,12.8,12.85,2435,1719
MORARJEE,20121116,14,14,11.9,12.05,15588,12022
MORARJEE,20121119,11.5,11.55,11.5,11.5,520,0
MORARJEE,20121120,11.95,11.95,11,11.05,6436,0
MORARJEE,20121121,11.4,11.45,11.05,11.4,4147,3556
