SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MORGANSTAN,19941130,9,9,8.75,8.75,52000,0
MORGANSTAN,19941201,9,9,8.75,8.75,7600,0
MORGANSTAN,19941202,8.75,9,8.5,8.5,44700,0
MORGANSTAN,19941205,8.75,8.75,8.5,8.75,54200,0
MORGANSTAN,19941206,8.5,8.75,8.25,8.5,55500,0
MORGANSTAN,19941207,8.5,8.5,8.5,8.5,6600,0
MORGANSTAN,19941208,8.5,8.5,8,8.25,88900,0
MORGANSTAN,19941209,8.5,8.5,8.25,8.25,13500,0
MORGANSTAN,19941212,8,8.25,8,8,22800,0
MORGANSTAN,19941213,8,8,7.75,8,65000,0
MORGANSTAN,19941214,8,8.19,8,8,45200,0
MORGANSTAN,19941215,8.1,8.5,8.05,8.05,23200,0
MORGANSTAN,19941216,8.25,8.55,8,8,77000,0
MORGANSTAN,19941219,8.1,8.2,8,8,64200,0
MORGANSTAN,19941220,8,8.2,8,8,139800,0
MORGANSTAN,19941221,8.25,8.25,8.05,8.25,36400,0
MORGANSTAN,19941222,8.2,8.25,8.15,8.25,144100,0
MORGANSTAN,19941223,8.3,8.3,8.1,8.25,80900,0
MORGANSTAN,19941226,8.3,8.3,8.15,8.25,13900,0
MORGANSTAN,19941227,8.15,8.25,8.1,8.1,18800,0
MORGANSTAN,19941228,8.2,8.2,8.15,8.2,17900,0
MORGANSTAN,19941229,8.2,8.2,8.1,8.15,14300,0
MORGANSTAN,19941230,8.15,8.15,8.1,8.1,39300,0
MORGANSTAN,19950102,8.1,8.2,8.1,8.15,81600,0
MORGANSTAN,19950103,8.3,8.3,8.1,8.15,22200,0
MORGANSTAN,19950104,8.5,8.5,8.1,8.2,78000,0
MORGANSTAN,19950105,8.15,8.2,8.1,8.15,149800,0
MORGANSTAN,19950106,8.1,8.2,8,8.05,51700,0
MORGANSTAN,19950109,8.2,8.2,8,8.15,15500,0
MORGANSTAN,19950110,8,8.1,7.85,7.85,30500,0
MORGANSTAN,19950111,7.05,8,7.05,7.9,33400,0
MORGANSTAN,19950112,7.85,8.05,7.85,7.95,18600,0
MORGANSTAN,19950113,7.9,8.15,7.9,7.95,21300,0
MORGANSTAN,19950116,8.1,8.1,8,8,19900,0
MORGANSTAN,19950117,8,8.15,8,8.05,89000,0
MORGANSTAN,19950118,8.1,8.1,8.05,8.1,43300,0
MORGANSTAN,19950119,8.15,8.15,8,8.1,56000,0
MORGANSTAN,19950120,8.1,8.1,7.95,8,51500,0
MORGANSTAN,19950123,7.95,7.95,7.75,7.85,25500,0
MORGANSTAN,19950124,7.75,7.8,7.5,7.75,50600,0
MORGANSTAN,19950125,7.95,7.95,7.7,7.75,17700,0
MORGANSTAN,19950127,7.85,7.9,7.75,7.85,18500,0
MORGANSTAN,19950130,7.85,8,7.8,7.85,18800,0
MORGANSTAN,19950131,8.1,8.1,7.85,7.85,31100,0
MORGANSTAN,19950201,7.9,7.95,7.75,7.75,21400,0
MORGANSTAN,19950202,7.65,7.85,7.65,7.85,23800,0
MORGANSTAN,19950203,7.75,7.9,7.75,7.9,23300,0
MORGANSTAN,19950206,7.75,7.85,7.65,7.65,38800,0
MORGANSTAN,19950207,7.5,7.7,7.25,7.5,24200,0
MORGANSTAN,19950208,7.5,7.7,7.5,7.65,21800,0
MORGANSTAN,19950209,7.55,7.7,7.45,7.6,17600,0
MORGANSTAN,19950210,7.3,7.6,7.3,7.55,20300,0
MORGANSTAN,19950213,7.35,7.5,7.25,7.25,58700,0
MORGANSTAN,19950214,7.25,7.4,7.25,7.25,87700,0
MORGANSTAN,19950215,7.3,7.5,7.3,7.45,12200,0
MORGANSTAN,19950216,7.45,7.45,7.25,7.4,24800,0
MORGANSTAN,19950217,7.45,7.5,7.25,7.4,31200,0
MORGANSTAN,19950220,7.3,7.3,7.1,7.3,67700,0
MORGANSTAN,19950221,7.3,7.3,7,7.15,96600,0
MORGANSTAN,19950222,7.05,7.15,7.05,7.15,46000,0
MORGANSTAN,19950223,7.1,7.25,7.05,7.15,145600,0
MORGANSTAN,19950224,7.25,7.25,7.15,7.15,95200,0
MORGANSTAN,19950228,7.15,7.2,7.1,7.2,71000,0
MORGANSTAN,19950301,7.2,7.7,7.2,7.4,41100,0
MORGANSTAN,19950302,7.7,7.7,7.3,7.4,20000,0
MORGANSTAN,19950303,7.4,7.45,7.35,7.35,130000,0
MORGANSTAN,19950306,7.3,7.4,7.3,7.35,24100,0
MORGANSTAN,19950307,7.3,7.35,7.2,7.2,38700,0
MORGANSTAN,19950308,7.25,7.35,7.15,7.35,16800,0
MORGANSTAN,19950309,7.2,7.35,7.2,7.3,74100,0
MORGANSTAN,19950310,7.4,7.45,7.35,7.4,76400,0
MORGANSTAN,19950313,7.2,7.3,7.1,7.3,29300,0
MORGANSTAN,19950314,7.1,7.75,7.1,7.55,67400,0
MORGANSTAN,19950315,7.4,7.7,7.3,7.4,110200,0
MORGANSTAN,19950316,7,7.25,7,7.15,23100,0
MORGANSTAN,19950320,7.1,7.15,6.95,7.1,33600,0
MORGANSTAN,19950321,7.1,7.15,6.9,7.1,99400,0
MORGANSTAN,19950322,7,7.25,7,7.2,23500,0
MORGANSTAN,19950323,7.05,7.15,7.05,7.15,78800,0
MORGANSTAN,19950324,7.1,7.15,7.05,7.15,51500,0
MORGANSTAN,19950327,7.05,7.2,7.05,7.15,39800,0
MORGANSTAN,19950328,7.2,7.5,7.15,7.2,155100,0
MORGANSTAN,19950329,7.1,7.25,7.1,7.25,302200,0
MORGANSTAN,19950330,7.2,7.55,7.2,7.45,167100,0
MORGANSTAN,19950331,7.2,7.4,7.2,7.3,107100,0
MORGANSTAN,19950403,7.2,7.3,7.1,7.25,91600,0
MORGANSTAN,19950404,7.2,7.3,7.1,7.3,44300,0
MORGANSTAN,19950407,7.3,7.35,7.25,7.3,120000,0
MORGANSTAN,19950410,7.15,7.3,7.15,7.3,63100,0
MORGANSTAN,19950411,7.3,7.3,7,7.15,98100,0
MORGANSTAN,19950412,7.25,7.25,7.15,7.2,14800,0
MORGANSTAN,19950417,7.2,7.35,7.05,7.2,82800,0
MORGANSTAN,19950418,7.2,7.25,7.1,7.15,82400,0
MORGANSTAN,19950419,7.15,7.2,7,7.1,74700,0
MORGANSTAN,19950420,7.2,7.35,7.1,7.15,3042500,0
MORGANSTAN,19950421,7.1,7.15,7,7.15,71400,0
MORGANSTAN,19950424,7.1,7.1,7,7,159700,0
MORGANSTAN,19950425,7,7.1,6.8,7,49000,0
MORGANSTAN,19950426,6.9,7,6.85,6.9,19700,0
MORGANSTAN,19950427,6.9,7.05,6.9,7,35800,0
MORGANSTAN,19950428,7,7.1,7,7,233400,0
MORGANSTAN,19950502,7,7,6.6,6.9,138400,0
MORGANSTAN,19950503,6.85,7.2,6.75,6.95,107300,0
MORGANSTAN,19950504,7.05,7.25,7,7.15,125900,0
MORGANSTAN,19950505,7.05,7.15,7,7.15,76700,0
MORGANSTAN,19950508,7,7.1,6.95,7.05,188800,0
MORGANSTAN,19950509,7,7.1,7,7,79300,0
MORGANSTAN,19950510,7,7.1,6.95,7.1,51300,0
MORGANSTAN,19950512,7,7.1,6.9,7.05,73100,0
MORGANSTAN,19950515,6.95,7.25,6.9,7.15,228100,0
MORGANSTAN,19950516,7.05,7.2,6.95,7.15,136800,0
MORGANSTAN,19950517,7.15,7.35,7,7.35,85800,0
MORGANSTAN,19950518,7.2,7.35,7.15,7.3,107600,0
MORGANSTAN,19950519,7.25,7.5,7.15,7.5,309100,0
MORGANSTAN,19950522,7.25,7.35,7.2,7.25,186800,0
MORGANSTAN,19950523,7.2,7.35,7.2,7.25,74900,0
MORGANSTAN,19950524,7.3,7.35,7.25,7.3,48000,0
MORGANSTAN,19950525,7.2,7.35,7.1,7.3,113900,0
MORGANSTAN,19950526,7.25,7.35,7.1,7.3,88600,0
MORGANSTAN,19950529,7.25,7.4,7.2,7.2,172900,0
MORGANSTAN,19950530,7.2,7.3,7,7.05,67700,0
MORGANSTAN,19950531,7.1,7.2,7.05,7.2,17500,0
MORGANSTAN,19950601,7.2,7.25,7.15,7.2,47700,0
MORGANSTAN,19950602,7.15,7.25,7.15,7.2,16100,0
MORGANSTAN,19950605,7.25,7.5,7.1,7.3,236800,0
MORGANSTAN,19950606,7.25,7.35,7.2,7.2,164200,0
MORGANSTAN,19950607,7.15,7.25,7.1,7.15,60400,0
MORGANSTAN,19950608,7.2,7.25,7.1,7.25,23100,0
MORGANSTAN,19950609,7.3,7.3,7.05,7.2,29500,0
MORGANSTAN,19950612,7.05,7.3,7.05,7.25,56400,0
MORGANSTAN,19950613,7.35,7.35,7.05,7.1,90800,0
MORGANSTAN,19950614,7.2,7.4,7.05,7.25,103500,0
MORGANSTAN,19950615,7.05,7.3,7.05,7.3,178500,0
MORGANSTAN,19950616,7.25,7.3,7.15,7.3,109800,0
MORGANSTAN,19950619,7.25,7.3,7.1,7.15,38900,0
MORGANSTAN,19950620,7.05,7.3,7.05,7.2,122200,0
MORGANSTAN,19950621,7.1,7.4,7.1,7.4,172800,0
MORGANSTAN,19950622,7.2,7.3,7.15,7.3,154100,0
MORGANSTAN,19950623,7.2,7.25,7.15,7.2,254400,0
MORGANSTAN,19950626,7.2,7.2,6.95,7.15,92600,0
MORGANSTAN,19950627,7,7.15,6.95,7.15,76300,0
MORGANSTAN,19950628,7,7.2,7,7.2,79800,0
MORGANSTAN,19950629,7.35,7.35,7.05,7.05,37100,0
MORGANSTAN,19950630,7.15,7.25,7.05,7.1,181000,0
MORGANSTAN,19950703,7,7.2,7,7.1,121900,0
MORGANSTAN,19950704,7.05,7.1,7,7.1,130300,0
MORGANSTAN,19950705,7,7.1,7,7.05,86800,0
MORGANSTAN,19950706,6.95,7,6.9,6.95,49600,0
MORGANSTAN,19950707,6.95,7,6.8,6.8,85700,0
MORGANSTAN,19950710,6.9,7.05,6.85,7.05,120400,0
MORGANSTAN,19950711,6.85,6.95,6.75,6.8,28300,0
MORGANSTAN,19950712,6.8,7.05,6.8,7.05,134200,0
MORGANSTAN,19950713,6.9,7,6.85,6.95,21500,0
MORGANSTAN,19950714,6.9,7,6.9,7,40100,0
MORGANSTAN,19950717,6.95,7.1,6.9,7.1,413300,0
MORGANSTAN,19950718,7.05,7.2,7.05,7.15,175500,0
MORGANSTAN,19950719,7.05,7.2,7.05,7.2,207100,0
MORGANSTAN,19950720,7.15,7.3,7.1,7.3,205600,0
MORGANSTAN,19950721,7.2,7.3,7.2,7.25,156700,0
MORGANSTAN,19950724,7.15,7.3,7.15,7.25,106200,0
MORGANSTAN,19950725,7.25,7.3,7.15,7.3,175900,0
MORGANSTAN,19950726,7.35,7.35,7.15,7.3,180100,0
MORGANSTAN,19950727,7.2,7.3,7.15,7.2,140100,0
MORGANSTAN,19950728,7.05,7.3,7.05,7.25,157400,0
MORGANSTAN,19950731,7.05,7.3,7.05,7.2,215100,0
