SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
MPAGROFERT,19961219,32,32,32,32,100,0
MPAGROFERT,19961231,34,34,34,34,100,0
MPAGROFERT,19970103,37,37,37,37,100,0
MPAGROFERT,19970107,39,40,39,40,200,0
MPAGROFERT,19970108,37.5,37.5,37.5,37.5,100,0
MPAGROFERT,19970110,35.5,35.5,33.75,33.75,200,0
MPAGROFERT,19970113,31,31,31,31,100,0
MPAGROFERT,19970115,31,31,29.5,29.5,300,0
MPAGROFERT,19970116,27,27,27,27,100,0
MPAGROFERT,19970120,29.5,29.5,29.5,29.5,100,0
MPAGROFERT,19970121,30.95,30.95,30.95,30.95,100,0
MPAGROFERT,19970122,29,34,29,30.7,300,0
MPAGROFERT,19970127,28,28,28,28,200,0
MPAGROFERT,19970130,30.75,30.75,30.75,30.75,100,0
MPAGROFERT,19970131,33.5,33.5,33.5,33.5,100,0
MPAGROFERT,19970205,35,35,31.55,32.75,500,0
MPAGROFERT,19970206,36,36,36,36,500,0
MPAGROFERT,19970207,35.9,35.9,35.9,35.9,500,0
MPAGROFERT,19970212,34,36.55,34,34,500,0
MPAGROFERT,19970217,33.5,33.5,33.5,33.5,500,0
MPAGROFERT,19970218,33.4,33.4,33.4,33.4,500,0
MPAGROFERT,19970219,30.8,30.8,30.8,30.8,100,0
MPAGROFERT,19970220,30.5,30.5,30.5,30.5,300,0
MPAGROFERT,19970221,30.5,30.5,30.5,30.5,500,0
MPAGROFERT,19970224,30.4,30.4,30.4,30.4,500,0
MPAGROFERT,19970228,33,35,33,35,200,0
MPAGROFERT,19970301,38,38,38,38,1000,0
MPAGROFERT,19970303,37.9,37.9,37.9,37.9,1000,0
MPAGROFERT,19970304,34.5,34.5,34.5,34.5,100,0
MPAGROFERT,19970305,31.05,31.05,31.05,31.05,100,0
MPAGROFERT,19970306,34.1,34.1,28,29.75,1300,0
MPAGROFERT,19970310,32,32,26.85,31.5,500,0
MPAGROFERT,19970311,34.5,34.5,34.5,34.5,100,0
MPAGROFERT,19970312,34.5,34.5,34.5,34.5,200,0
MPAGROFERT,19970326,37.5,37.5,37.5,37.5,500,0
MPAGROFERT,19970417,40.5,40.5,40,40,400,0
MPAGROFERT,19970509,36,36,36,36,100,0
MPAGROFERT,19970513,32.4,32.4,32.4,32.4,100,0
MPAGROFERT,19970516,29.2,29.2,29.2,29.2,100,0
MPAGROFERT,19970728,26.3,26.3,26.3,26.3,100,0
MPAGROFERT,19970729,23.7,23.7,23.7,23.7,100,0
MPAGROFERT,19970730,21.5,21.5,21.5,21.5,100,0
MPAGROFERT,19970731,21.5,21.5,20,20,500,0
MPAGROFERT,19970801,18.5,20.75,18.5,20.75,300,0
MPAGROFERT,19970820,19.5,19.5,19.5,19.5,100,0
