SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NAGREKAEXP,19950512,47,47,43,43,600,0
NAGREKAEXP,19950515,46,46.5,46,46,1100,0
NAGREKAEXP,19950516,45,45.25,45,45.25,700,0
NAGREKAEXP,19950517,45,47.5,45,47.5,500,0
NAGREKAEXP,19950518,45.5,47.25,45.25,47.2,800,0
NAGREKAEXP,19950519,46,50,46,49,400,0
NAGREKAEXP,19950522,47,47,46.5,46.5,300,0
NAGREKAEXP,19950523,47,47,47,47,200,0
NAGREKAEXP,19950524,47,47.5,47,47,400,0
NAGREKAEXP,19950525,46,46.5,45,45,900,0
NAGREKAEXP,19950526,45.5,46,45,46,900,0
NAGREKAEXP,19950529,46.05,46.05,46.05,46.05,300,0
NAGREKAEXP,19950530,45,46,45,46,300,0
NAGREKAEXP,19950531,45.2,46,45.2,46,1300,0
NAGREKAEXP,19950601,46,48,46,48,400,0
NAGREKAEXP,19950602,47,47.5,47,47.5,300,0
NAGREKAEXP,19950605,46,50,46,50,1600,0
NAGREKAEXP,19950606,48,51,48,51,400,0
NAGREKAEXP,19950607,52,53,51.5,52.6,800,0
NAGREKAEXP,19950608,52,52.5,51.5,51.5,500,0
NAGREKAEXP,19950609,52,52,49,49,400,0
NAGREKAEXP,19950612,49,49.25,48,48,600,0
NAGREKAEXP,19950613,48,48,47,48,600,0
NAGREKAEXP,19950614,47.5,47.8,45.25,46.95,900,0
NAGREKAEXP,19950615,46,47,45.95,47,500,0
NAGREKAEXP,19950616,46,46,46,46,200,0
NAGREKAEXP,19950619,50,50.5,50,50.35,600,0
NAGREKAEXP,19950620,48,48,47.5,47.5,600,0
NAGREKAEXP,19950621,47.5,48,47,47,500,0
NAGREKAEXP,19950622,46,46,46,46,300,0
NAGREKAEXP,19950623,44.5,45,44.5,45,600,0
NAGREKAEXP,19950626,46,46,46,46,100,0
NAGREKAEXP,19950627,44,44.05,44,44.05,400,0
NAGREKAEXP,19950628,43.5,44,43.5,44,600,0
NAGREKAEXP,19950629,43.55,43.55,43.5,43.5,300,0
NAGREKAEXP,19950630,43,43,43,43,100,0
NAGREKAEXP,19950703,43,43.25,43,43,500,0
NAGREKAEXP,19950704,43.5,44,43.05,44,1200,0
NAGREKAEXP,19950705,44,44,43.75,43.75,600,0
NAGREKAEXP,19950706,44,44,43,43,500,0
NAGREKAEXP,19950707,43.5,44,41.9,42,1400,0
NAGREKAEXP,19950710,43,43,43,43,1000,0
NAGREKAEXP,19950711,43,43.5,43,43,1300,0
NAGREKAEXP,19950712,42,43,41.9,43,1400,0
NAGREKAEXP,19950713,43.5,43.5,43,43,800,0
NAGREKAEXP,19950714,44,44,43,43,1400,0
NAGREKAEXP,19950717,44,45,44,44,300,0
