SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NAHARENTP,19950119,69,69,69,69,100,0
NAHARENTP,19950210,66,66,66,66,100,0
NAHARENTP,19950822,33,33,33,33,2900,0
NAHARENTP,19950824,33.5,33.5,33,33,1400,0
NAHARENTP,19950921,30,30,30,30,500,0
NAHARENTP,19951004,30,30,30,30,500,0
NAHARENTP,19951012,30,30,30,30,200,0
NAHARENTP,19951013,30.5,30.5,30,30,3600,0
NAHARENTP,19951016,29,29,29,29,200,0
NAHARENTP,19951017,29,29.5,29,29.5,1300,0
NAHARENTP,19951018,29,29,29,29,100,0
NAHARENTP,19951020,29,29,29,29,900,0
NAHARENTP,19951101,28,28,28,28,100,0
NAHARENTP,19951117,26,26,26,26,200,0
NAHARENTP,19951201,26,26,26,26,800,0
NAHARENTP,19951204,25,25,24.95,25,1300,0
NAHARENTP,19951205,24.5,24.5,24,24,400,0
NAHARENTP,19951206,24,25.5,24,25,5100,0
NAHARENTP,19951207,26,27,26,27,8100,0
NAHARENTP,19951208,25.95,26,25,26,10400,0
NAHARENTP,19951211,26,26,25,26,1300,0
NAHARENTP,19951212,26,28,26,27,800,0
NAHARENTP,19951213,25,28,25,26,2900,0
NAHARENTP,19951214,28,28,26,26,2400,0
NAHARENTP,19951215,26,26,26,26,1700,0
NAHARENTP,19951218,26,26.5,25.25,25.65,4400,0
NAHARENTP,19951219,25.65,26.25,23.5,23.5,1100,0
NAHARENTP,19951220,25.4,25.5,25.4,25.5,600,0
NAHARENTP,19951222,25.5,23,23,23,100,0
NAHARENTP,19951226,23.1,23.5,22.95,23.5,1300,0
NAHARENTP,19951227,23.5,24,23,23.9,13900,0
NAHARENTP,19951228,24.8,26,24,24,4200,0
NAHARENTP,19951229,24,23.75,23.75,23.75,100,0
NAHARENTP,19960102,23.75,24,23.75,24,2500,0
NAHARENTP,19960103,24,24,24,24,5900,0
NAHARENTP,19960104,24,24,23.75,23.95,600,0
NAHARENTP,19960105,23.95,24,23.75,24,400,0
NAHARENTP,19960108,23.75,24,23.5,23.75,1100,0
NAHARENTP,19960109,23.65,24.2,23.65,24,1500,0
NAHARENTP,19960110,24,24,23.6,23.65,1600,0
NAHARENTP,19960111,24,24,24,24,5100,0
NAHARENTP,19960112,24,24,23.5,24,700,0
NAHARENTP,19960115,23.1,24,23.1,24,300,0
NAHARENTP,19960116,24,24,23.3,23.95,1700,0
NAHARENTP,19960117,23.5,24,23.05,23.3,1000,0
NAHARENTP,19960118,23,23,23,23,500,0
NAHARENTP,19960119,23.5,23.5,23,23,600,0
NAHARENTP,19960122,22,22,20.7,21.9,900,0
NAHARENTP,19960123,22,22,22,22,1600,0
NAHARENTP,19960124,21.5,21.5,21.5,21.5,500,0
NAHARENTP,19960125,21.5,21.5,21.5,21.5,200,0
NAHARENTP,19960130,21.5,20,20,20,200,0
NAHARENTP,19960131,21,21,21,21,400,0
NAHARENTP,19960201,21,22,21.95,22,1500,0
NAHARENTP,19960202,22.5,24,22,24,2000,0
NAHARENTP,19960205,24,24.5,24.5,24.5,400,0
