SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NAM-INDIA,20200123,347.7,353.45,341.4,346.85,1573539,0
NAM-INDIA,20200124,348.5,362.4,348.5,359.6,2884049,0
NAM-INDIA,20200127,357.3,373.9,354.6,366.5,3575864,0
NAM-INDIA,20200128,370,372.8,360,362.05,1487913,0
NAM-INDIA,20200129,365,369.9,361.1,366.85,913343,0
NAM-INDIA,20200130,369,369,358.1,362,892311,0
NAM-INDIA,20200131,363.3,369,356,363.65,904501,0
NAM-INDIA,20200201,361.9,366.8,335.65,341.2,2255122,0
NAM-INDIA,20200203,334.95,349.3,326.5,343.85,1540012,0
NAM-INDIA,20200204,346,362.9,344,359.5,1250637,0
NAM-INDIA,20200205,362.3,369,357.7,359.95,1051889,0
NAM-INDIA,20200206,361,364.9,357.2,362.35,921678,0
NAM-INDIA,20200207,363.9,381.75,360,379,3407147,0
NAM-INDIA,20200210,382,399,382,388.05,4373497,0
NAM-INDIA,20200211,391,408.4,385.15,402,4904298,0
NAM-INDIA,20200212,405.6,411.6,396.6,400.4,2470863,0
NAM-INDIA,20200213,401.6,402.75,392.35,396.7,1323878,0
NAM-INDIA,20200214,398.35,405,391.7,393.75,1172386,0
NAM-INDIA,20200217,393.7,393.7,378,379,1133555,0
NAM-INDIA,20200218,376.7,394.8,372.3,391.95,2005888,0
NAM-INDIA,20200219,395.25,434.75,395.2,429.3,6982668,0
NAM-INDIA,20200220,433.8,452.9,430,441.65,4149436,0
NAM-INDIA,20200224,434.45,440.8,422.6,426.05,2107594,0
NAM-INDIA,20200225,428.8,438.3,415.85,421.45,1848965,0
NAM-INDIA,20200226,418.3,444.45,417.35,425.8,6962607,0
NAM-INDIA,20200227,427,430.7,414,417.8,2504485,0
NAM-INDIA,20200228,403,408,387,390.5,2753583,0
NAM-INDIA,20200302,408,412,387,393.6,2224381,0
NAM-INDIA,20200303,401,413.95,395,405.05,2388199,0
NAM-INDIA,20200304,407,408.4,390,393.95,2129246,0
NAM-INDIA,20200305,397.25,398.45,383,385.25,1835137,0
NAM-INDIA,20200306,349.45,354.8,325.05,344.3,6172570,0
NAM-INDIA,20200309,317,329,291.25,296.75,3817244,0
NAM-INDIA,20200311,296.4,311,292,297.95,3134826,0
NAM-INDIA,20200312,271.2,287.7,258,278.5,3251525,0
NAM-INDIA,20200313,254.6,312,222.8,303.5,4043594,0
NAM-INDIA,20200316,285,294.85,276,278.15,1891546,0
NAM-INDIA,20200317,284.05,291.7,267.4,273.3,1888353,0
NAM-INDIA,20200318,279,284,231.05,234.55,2831684,0
NAM-INDIA,20200319,223,252.7,213.1,234.8,3060852,0
NAM-INDIA,20200320,237.55,258.25,233,256.35,2786880,0
NAM-INDIA,20200323,231,240.4,230.75,230.75,631447,0
NAM-INDIA,20200324,240,240,207.7,214.9,1738582,0
NAM-INDIA,20200325,212,236.35,208,233.5,1152519,0
NAM-INDIA,20200326,240.35,256.85,234,255.2,1615938,0
NAM-INDIA,20200327,270,277.35,235.75,242.55,2042766,0
NAM-INDIA,20200330,230,256,225.2,229,2171659,0
NAM-INDIA,20200331,240.1,251.9,232.3,249.2,2002102,0
NAM-INDIA,20200401,249.8,263.7,243,258.75,2362997,0
NAM-INDIA,20200403,258.5,261.2,247.15,251.25,1421567,0
NAM-INDIA,20200407,261,275.5,254.25,268.45,2228454,0
NAM-INDIA,20200408,263,289.5,262.3,273.05,2196581,0
NAM-INDIA,20200409,279.75,296.7,279.15,287,2731522,0
NAM-INDIA,20200413,290,292.8,270.3,281.35,1646575,0
NAM-INDIA,20200415,285,301.95,280.2,282.5,2891412,0
NAM-INDIA,20200416,280,290,277.45,286.05,1272928,0
NAM-INDIA,20200417,296,298.75,288.35,294.6,1535106,0
NAM-INDIA,20200420,298.95,299,282.65,284.55,1408178,0
NAM-INDIA,20200421,277.8,277.8,262.5,265.75,1283646,0
NAM-INDIA,20200422,263.1,265,251.1,259.35,2087097,0
NAM-INDIA,20200423,261,271.65,259.25,263.4,1080808,0
NAM-INDIA,20200424,254,254,213.5,216.4,13651945,0
NAM-INDIA,20200427,217,245.75,209.5,240.8,12446230,0
NAM-INDIA,20200428,243.7,244.9,230,234.95,2831951,0
NAM-INDIA,20200429,236.9,241.9,233.1,237.6,1488400,0
NAM-INDIA,20200430,243,252.3,240.55,246.75,3016837,0
NAM-INDIA,20200504,234,241.95,231,236.1,1504375,0
NAM-INDIA,20200505,240,242,231.45,232.15,703189,0
NAM-INDIA,20200506,233,234.6,226,231.35,800769,0
