SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NANDAN,20051229,10.9,11.2,10.25,10.6,368274,113934
NANDAN,20051230,10.85,10.9,10.6,10.65,113041,58625
NANDAN,20060102,10.9,11.2,10.7,11.1,537827,502942
NANDAN,20060103,11.2,12.1,11.15,12,534166,376353
NANDAN,20060104,12,12.2,11.65,11.95,240249,165116
NANDAN,20060105,11.3,11.9,11.3,11.45,26968,20996
NANDAN,20060106,11.25,11.5,11,11.05,71381,56830
NANDAN,20060109,11.75,11.75,11.4,11.55,62084,49793
NANDAN,20060110,11.75,11.75,11.2,11.4,34848,31539
NANDAN,20060112,11.4,11.4,11,11.1,28312,27912
NANDAN,20060113,11.5,12.25,10.9,12.05,264108,167229
NANDAN,20060116,12.5,12.65,11.8,12.55,328331,0
NANDAN,20060117,11.85,13.2,11.85,13.05,506359,299004
NANDAN,20060118,13.3,14.4,12.75,14,1171999,0
NANDAN,20060119,14.5,14.6,13.6,13.85,447391,208791
NANDAN,20060120,13.75,14.2,13.5,14,314255,131819
NANDAN,20060123,14.15,14.5,13.7,13.8,175934,112752
NANDAN,20060124,14,14.25,13.55,13.6,43090,30530
NANDAN,20060125,14.1,14.1,13.1,13.3,55386,41026
NANDAN,20060127,13.15,13.35,12.7,12.85,97291,0
NANDAN,20060130,12.9,12.95,12.5,12.65,51894,42145
NANDAN,20060131,12.8,13.3,12.65,13.3,21433,0
NANDAN,20060201,13.95,14,13.7,13.9,63893,0
NANDAN,20060202,13.95,14.1,13.2,13.3,44405,0
NANDAN,20060203,13.5,13.5,12.75,12.95,23982,15120
NANDAN,20060206,13.05,13.2,12.8,13.05,40610,21148
NANDAN,20060207,13.2,13.2,12.8,13,88823,44923
NANDAN,20060208,13,13.05,12.75,12.8,16450,9200
NANDAN,20060210,12.75,13,12.6,12.7,18802,17401
NANDAN,20060213,12.7,12.9,12,12.75,40499,28850
NANDAN,20060214,12.35,12.65,12,12.2,75732,0
NANDAN,20060215,12.15,12.75,12.05,12.2,55736,35145
NANDAN,20060216,12.45,12.6,12,12.05,16300,13800
NANDAN,20060217,12.05,12.05,11.7,11.8,51491,0
NANDAN,20060220,11.8,12.05,11.6,11.7,25801,22800
