SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NAVNETEDUL,20130919,54,54.75,53.2,53.85,15282,0
NAVNETEDUL,20130920,54,54,52.7,52.95,16040,0
NAVNETEDUL,20130923,53.8,54.35,52.85,53.3,29679,22662
NAVNETEDUL,20130924,53.7,53.8,52.7,53.1,15953,14604
NAVNETEDUL,20130925,52.8,53,52.5,52.55,13495,0
NAVNETEDUL,20130926,53.7,53.7,52,52.6,19922,0
NAVNETEDUL,20130927,52.7,53.6,52.35,53.15,39149,0
NAVNETEDUL,20130930,53.85,53.85,52.1,52.9,35510,0
NAVNETEDUL,20131001,52.5,53.45,52.5,52.8,30549,29298
NAVNETEDUL,20131003,52.25,54,52.25,52.85,254496,0
NAVNETEDUL,20131004,52.85,53.5,52.25,53.05,48283,0
NAVNETEDUL,20131007,53,54,52.75,53.85,33982,29807
NAVNETEDUL,20131008,54.7,55,53.1,54.6,45294,0
NAVNETEDUL,20131009,54.8,56.75,54.3,55.75,117783,0
NAVNETEDUL,20131010,55.55,57.1,55.55,56.2,576862,0
NAVNETEDUL,20131011,56.25,56.5,55,55.3,21522,0
NAVNETEDUL,20131014,55.05,55.6,53.9,54.2,25974,0
NAVNETEDUL,20131015,54.85,55.2,54,54.95,55645,46772
NAVNETEDUL,20131017,55.95,55.95,53.65,54,95231,90213
NAVNETEDUL,20131018,55,55,52.55,53.35,128230,111645
NAVNETEDUL,20131021,53.35,54.25,52.55,53.35,103587,91469
NAVNETEDUL,20131022,53.35,54,52.5,53.6,87628,65140
NAVNETEDUL,20131023,53.65,54.9,53.15,54.5,78642,0
NAVNETEDUL,20131024,54.55,54.8,53.05,53.5,35860,0
NAVNETEDUL,20131025,54,54,52.65,53.25,18548,13725
NAVNETEDUL,20131028,52.6,53.9,52.6,53.15,14476,0
NAVNETEDUL,20131029,53,54.4,52.7,54.25,28038,0
NAVNETEDUL,20131030,54.9,55.5,54.1,54.3,39236,26652
NAVNETEDUL,20131031,54.75,55.1,54,54.55,35736,29876
NAVNETEDUL,20131101,54.55,54.6,52.65,53.3,77558,59905
NAVNETEDUL,20131103,54,54.5,53.35,53.8,36314,23424
NAVNETEDUL,20131105,54.3,54.35,52.65,52.9,79949,63648
NAVNETEDUL,20131106,53.9,53.9,52.75,53.1,124315,0
NAVNETEDUL,20131107,53.9,53.9,52.9,53.1,46685,0
NAVNETEDUL,20131108,53,56.7,52.9,55.2,157796,0
NAVNETEDUL,20131111,55.65,55.65,53.05,53.15,66569,0
NAVNETEDUL,20131112,52.8,53.75,52.7,53,71885,67329
NAVNETEDUL,20131113,54.3,54.3,52.75,53,80458,0
NAVNETEDUL,20131114,53.25,53.8,52.5,52.65,55959,47803
NAVNETEDUL,20131118,53.9,53.9,52.6,52.75,95329,0
NAVNETEDUL,20131119,52.75,55.5,52.45,53.35,246884,0
NAVNETEDUL,20131120,53.5,54.6,53.5,54.3,165308,0
NAVNETEDUL,20131121,54,54.3,52.95,53.8,187712,0
NAVNETEDUL,20131122,54.55,57.85,54.5,56.6,2588565,0
NAVNETEDUL,20131125,57.2,57.65,54.85,55.3,148318,68953
NAVNETEDUL,20131126,56,56,52,52.8,481104,419426
NAVNETEDUL,20131127,53.15,54.25,53,53.6,93398,0
NAVNETEDUL,20131128,53.85,54.1,53.5,53.9,41524,0
NAVNETEDUL,20131129,53.5,54.55,53.5,54,43962,0
NAVNETEDUL,20131202,54.95,54.95,53.65,54.05,63450,0
NAVNETEDUL,20131203,54,54.45,53.85,54.3,36128,0
NAVNETEDUL,20131204,54.1,56.05,54.1,54.8,143092,0
NAVNETEDUL,20131205,55,56,54.15,54.85,30902,0
NAVNETEDUL,20131206,54.05,55,54,54.7,29553,0
NAVNETEDUL,20131209,55.05,56.45,54.35,55.9,183868,151577
NAVNETEDUL,20131210,55.9,56,54.5,55.1,45094,0
NAVNETEDUL,20131211,54.8,55.45,54.5,54.9,68254,0
NAVNETEDUL,20131212,54.7,55.9,54.4,55.4,168285,0
NAVNETEDUL,20131213,55,55.25,54.4,54.7,20641,0
NAVNETEDUL,20131216,55.85,55.85,54.1,54.45,29074,0
NAVNETEDUL,20131217,54.5,55,54.2,54.45,23539,0
NAVNETEDUL,20131218,54.15,55.2,54.15,54.65,37427,28508
NAVNETEDUL,20131219,54.1,55,54.05,54.3,21660,0
NAVNETEDUL,20131220,54.5,54.8,53.1,54.25,47686,32936
NAVNETEDUL,20131223,54.9,55.35,54.4,54.9,22212,0
NAVNETEDUL,20131224,55.9,59.2,55.15,57.9,354973,0
NAVNETEDUL,20131226,57.9,58.85,56.15,56.55,103428,0
NAVNETEDUL,20131227,56.55,57.65,56.25,56.85,87178,0
NAVNETEDUL,20131230,57.5,60.6,57.5,59.8,246264,0
NAVNETEDUL,20131231,60.05,61.1,59.05,59.6,178512,0
NAVNETEDUL,20140101,59.3,60.4,58.2,58.7,50690,0
NAVNETEDUL,20140102,58.25,59.75,57.25,57.55,72642,61623
NAVNETEDUL,20140103,57.95,59,57.25,57.85,45837,36515
NAVNETEDUL,20140106,58.2,58.4,56.8,57.05,46406,0
NAVNETEDUL,20140107,57.75,58.75,57.75,58.05,52933,0
