SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NESTLE,19941108,425,425,422,422,200,0
NESTLE,19941114,385,385,385,385,350,0
NESTLE,19941129,385,385,385,385,100,0
NESTLE,19941201,390,390,390,390,50,0
NESTLE,19941205,380,380,380,380,250,0
NESTLE,19941208,379,380,379,380,200,0
NESTLE,19941214,380,380,360,370,200,0
NESTLE,19941216,385,385,385,385,200,0
NESTLE,19941220,390,391.5,390,391.5,150,0
NESTLE,19941221,400,400,400,400,850,0
NESTLE,19941222,400,401.5,400,401.5,1250,0
NESTLE,19941223,395,395,395,395,250,0
NESTLE,19941226,361,361,361,361,50,0
NESTLE,19941230,380,380,370,370,150,0
NESTLE,19950102,385,385,385,385,100,0
NESTLE,19950103,390,392.5,390,392.2,350,0
NESTLE,19950104,390,390,390,390,50,0
NESTLE,19950106,380,380,380,380,200,0
NESTLE,19950109,370,377,370,377,250,0
NESTLE,19950110,375,375,370,370,200,0
NESTLE,19950111,375,378,375,378,150,0
NESTLE,19950112,370,370,370,370,50,0
NESTLE,19950116,390,395,390,395,250,0
NESTLE,19950117,400,400,395.25,395.25,500,0
NESTLE,19950118,397.5,397.5,395,397.5,1100,0
NESTLE,19950119,400,407,400,407,200,0
NESTLE,19950120,406,406,400,400,100,0
NESTLE,19950124,380,385,380,385,200,0
NESTLE,19950130,400,400,400,400,100,0
NESTLE,19950131,405,406,397,405,300,0
NESTLE,19950201,405,407,405,405,1750,0
NESTLE,19950202,400,400,400,400,100,0
NESTLE,19950203,400,402.5,400,402.5,600,0
NESTLE,19950206,400,402.5,398,400,750,0
NESTLE,19950207,398,400,395,395,900,0
NESTLE,19950209,397.5,398,395,397.5,400,0
NESTLE,19950210,398,398,395,396,350,0
NESTLE,19950213,396,400,395,399.5,600,0
NESTLE,19950214,395,400,395,399,1450,0
NESTLE,19950215,395,395,394.9,394.9,1050,0
NESTLE,19950217,360.1,360.1,360.1,360.1,50,0
NESTLE,19950220,383,383,383,383,100,0
NESTLE,19950221,385,395,385,392.5,1000,0
NESTLE,19950222,375,378,370,374,600,0
NESTLE,19950223,385,395,385,395,300,0
NESTLE,19950224,390,399.75,390,399.75,250,0
NESTLE,19950228,380,385,380,385,200,0
NESTLE,19950301,398,400,397,400,300,0
NESTLE,19950302,405,405,401,401,150,0
NESTLE,19950303,408,410,407,407,550,0
NESTLE,19950306,400,400,400,400,700,0
NESTLE,19950307,393,395,390,390,550,0
NESTLE,19950308,392,392,392,392,100,0
NESTLE,19950309,383.5,385,383,384.45,450,0
NESTLE,19950310,385,395,384.5,385,950,0
NESTLE,19950313,380,380,370,370,500,0
NESTLE,19950314,375,395,375,392,450,0
NESTLE,19950315,390,390,380,380,5200,0
NESTLE,19950316,375,375,375,375,50,0
NESTLE,19950320,380,380,375,375,350,0
NESTLE,19950321,375,385,364.75,384.15,1950,0
NESTLE,19950322,366,380,365,379,4600,0
