SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTY200,20040101,-,-,-,1000.00,-,0,0
NIFTY200,20040102,-,-,-,1030.18,-,0,0
NIFTY200,20040105,-,-,-,1035.52,-,0,0
NIFTY200,20040106,-,-,-,1017.51,-,0,0
NIFTY200,20040107,-,-,-,1013.45,-,0,0
NIFTY200,20040108,-,-,-,1047.62,-,0,0
NIFTY200,20040109,-,-,-,1047.11,-,0,0
NIFTY200,20040112,-,-,-,1030.53,-,0,0
NIFTY200,20040113,-,-,-,1032.99,-,0,0
NIFTY200,20040114,-,-,-,1040.89,-,0,0
NIFTY200,20040115,-,-,-,1025.47,-,0,0
NIFTY200,20040116,-,-,-,998.10,-,0,0
NIFTY200,20040119,-,-,-,1013.72,-,0,0
NIFTY200,20040120,-,-,-,993.63,-,0,0
NIFTY200,20040121,-,-,-,943.19,-,0,0
NIFTY200,20040122,-,-,-,916.20,-,0,0
NIFTY200,20040123,-,-,-,961.85,-,0,0
NIFTY200,20040127,-,-,-,996.45,-,0,0
NIFTY200,20040128,-,-,-,971.63,-,0,0
NIFTY200,20040129,-,-,-,963.27,-,0,0
NIFTY200,20040130,-,-,-,940.46,-,0,0
NIFTY200,20040203,-,-,-,905.05,-,0,0
NIFTY200,20040204,-,-,-,933.09,-,0,0
NIFTY200,20040205,-,-,-,927.43,-,0,0
NIFTY200,20040206,-,-,-,947.75,-,0,0
NIFTY200,20040209,-,-,-,970.35,-,0,0
NIFTY200,20040210,-,-,-,970.26,-,0,0
NIFTY200,20040211,-,-,-,977.78,-,0,0
NIFTY200,20040212,-,-,-,977.20,-,0,0
NIFTY200,20040213,-,-,-,991.05,-,0,0
NIFTY200,20040216,-,-,-,992.07,-,0,0
NIFTY200,20040217,-,-,-,993.36,-,0,0
NIFTY200,20040218,-,-,-,997.92,-,0,0
NIFTY200,20040219,-,-,-,970.69,-,0,0
NIFTY200,20040220,-,-,-,966.82,-,0,0
NIFTY200,20040223,-,-,-,942.03,-,0,0
NIFTY200,20040224,-,-,-,945.18,-,0,0
NIFTY200,20040225,-,-,-,925.05,-,0,0
NIFTY200,20040226,-,-,-,918.09,-,0,0
NIFTY200,20040227,-,-,-,933.70,-,0,0
NIFTY200,20040301,-,-,-,961.25,-,0,0
NIFTY200,20040303,-,-,-,963.48,-,0,0
NIFTY200,20040304,-,-,-,958.49,-,0,0
NIFTY200,20040305,-,-,-,976.39,-,0,0
NIFTY200,20040308,-,-,-,995.78,-,0,0
NIFTY200,20040309,-,-,-,984.75,-,0,0
NIFTY200,20040310,-,-,-,975.30,-,0,0
NIFTY200,20040311,-,-,-,956.95,-,0,0
NIFTY200,20040312,-,-,-,956.39,-,0,0
NIFTY200,20040315,-,-,-,930.70,-,0,0
NIFTY200,20040316,-,-,-,927.37,-,0,0
NIFTY200,20040317,-,-,-,932.51,-,0,0
NIFTY200,20040318,-,-,-,917.84,-,0,0
NIFTY200,20040319,-,-,-,920.88,-,0,0
NIFTY200,20040322,-,-,-,898.07,-,0,0
NIFTY200,20040323,-,-,-,898.94,-,0,0
NIFTY200,20040324,-,-,-,899.39,-,0,0
NIFTY200,20040325,-,-,-,906.75,-,0,0
NIFTY200,20040326,-,-,-,927.47,-,0,0
NIFTY200,20040329,-,-,-,936.91,-,0,0
NIFTY200,20040330,-,-,-,934.77,-,0,0
NIFTY200,20040331,-,-,-,945.32,-,0,0
NIFTY200,20040401,-,-,-,966.68,-,0,0
NIFTY200,20040402,-,-,-,981.13,-,0,0
NIFTY200,20040405,-,-,-,987.86,-,0,0
NIFTY200,20040406,-,-,-,983.61,-,0,0
NIFTY200,20040407,-,-,-,983.04,-,0,0
NIFTY200,20040408,-,-,-,992.65,-,0,0
NIFTY200,20040412,-,-,-,989.08,-,0,0
NIFTY200,20040413,-,-,-,1009.44,-,0,0
NIFTY200,20040415,-,-,-,1007.09,-,0,0
NIFTY200,20040416,-,-,-,1011.79,-,0,0
NIFTY200,20040417,-,-,-,1013.69,-,0,0
NIFTY200,20040419,-,-,-,998.08,-,0,0
NIFTY200,20040420,-,-,-,997.25,-,0,0
NIFTY200,20040421,-,-,-,1014.06,-,0,0
NIFTY200,20040422,-,-,-,1025.69,-,0,0
NIFTY200,20040423,-,-,-,1027.74,-,0,0
NIFTY200,20040427,-,-,-,984.22,-,0,0
NIFTY200,20040428,-,-,-,982.03,-,0,0
NIFTY200,20040429,-,-,-,981.19,-,0,0
NIFTY200,20040430,-,-,-,973.61,-,0,0
NIFTY200,20040503,-,-,-,955.92,-,0,0
NIFTY200,20040504,-,-,-,973.13,-,0,0
NIFTY200,20040505,-,-,-,982.08,-,0,0
NIFTY200,20040506,-,-,-,996.50,-,0,0
NIFTY200,20040507,-,-,-,982.62,-,0,0
NIFTY200,20040510,-,-,-,963.64,-,0,0
NIFTY200,20040511,-,-,-,920.50,-,0,0
NIFTY200,20040512,-,-,-,927.64,-,0,0
NIFTY200,20040513,-,-,-,926.05,-,0,0
NIFTY200,20040514,-,-,-,843.98,-,0,0
NIFTY200,20040517,-,-,-,740.97,-,0,0
NIFTY200,20040518,-,-,-,800.96,-,0,0
NIFTY200,20040519,-,-,-,842.33,-,0,0
NIFTY200,20040520,-,-,-,833.28,-,0,0
NIFTY200,20040521,-,-,-,837.63,-,0,0
NIFTY200,20040524,-,-,-,860.15,-,0,0
NIFTY200,20040525,-,-,-,858.81,-,0,0
NIFTY200,20040526,-,-,-,858.42,-,0,0
NIFTY200,20040527,-,-,-,850.04,-,0,0
NIFTY200,20040528,-,-,-,808.21,-,0,0
NIFTY200,20040531,-,-,-,788.86,-,0,0
NIFTY200,20040601,-,-,-,803.14,-,0,0
NIFTY200,20040602,-,-,-,817.95,-,0,0
NIFTY200,20040603,-,-,-,798.68,-,0,0
NIFTY200,20040604,-,-,-,810.60,-,0,0
NIFTY200,20040607,-,-,-,821.50,-,0,0
NIFTY200,20040608,-,-,-,825.98,-,0,0
NIFTY200,20040609,-,-,-,827.61,-,0,0
NIFTY200,20040610,-,-,-,826.79,-,0,0
NIFTY200,20040611,-,-,-,808.33,-,0,0
NIFTY200,20040614,-,-,-,791.03,-,0,0
NIFTY200,20040615,-,-,-,801.11,-,0,0
NIFTY200,20040616,-,-,-,798.12,-,0,0
NIFTY200,20040617,-,-,-,805.37,-,0,0
NIFTY200,20040618,-,-,-,795.60,-,0,0
NIFTY200,20040621,-,-,-,789.75,-,0,0
NIFTY200,20040622,-,-,-,784.80,-,0,0
NIFTY200,20040623,-,-,-,767.88,-,0,0
NIFTY200,20040624,-,-,-,777.82,-,0,0
NIFTY200,20040625,-,-,-,789.28,-,0,0
NIFTY200,20040628,-,-,-,804.97,-,0,0
NIFTY200,20040629,-,-,-,808.14,-,0,0
NIFTY200,20040630,-,-,-,803.00,-,0,0
NIFTY200,20040701,-,-,-,817.99,-,0,0
NIFTY200,20040702,-,-,-,818.12,-,0,0
NIFTY200,20040705,-,-,-,811.38,-,0,0
NIFTY200,20040706,-,-,-,825.23,-,0,0
NIFTY200,20040707,-,-,-,829.37,-,0,0
NIFTY200,20040708,-,-,-,802.99,-,0,0
NIFTY200,20040709,-,-,-,819.50,-,0,0
NIFTY200,20040712,-,-,-,823.19,-,0,0
NIFTY200,20040713,-,-,-,815.99,-,0,0
NIFTY200,20040714,-,-,-,809.27,-,0,0
NIFTY200,20040715,-,-,-,819.09,-,0,0
NIFTY200,20040716,-,-,-,831.50,-,0,0
NIFTY200,20040719,-,-,-,838.08,-,0,0
NIFTY200,20040720,-,-,-,835.03,-,0,0
NIFTY200,20040721,-,-,-,843.12,-,0,0
NIFTY200,20040722,-,-,-,852.59,-,0,0
NIFTY200,20040723,-,-,-,854.43,-,0,0
NIFTY200,20040726,-,-,-,863.35,-,0,0
NIFTY200,20040727,-,-,-,853.61,-,0,0
NIFTY200,20040728,-,-,-,849.87,-,0,0
NIFTY200,20040729,-,-,-,863.00,-,0,0
NIFTY200,20040730,-,-,-,869.81,-,0,0
NIFTY200,20040802,-,-,-,875.46,-,0,0
NIFTY200,20040803,-,-,-,871.50,-,0,0
NIFTY200,20040804,-,-,-,870.75,-,0,0
NIFTY200,20040805,-,-,-,885.61,-,0,0
NIFTY200,20040806,-,-,-,874.28,-,0,0
NIFTY200,20040809,-,-,-,877.77,-,0,0
NIFTY200,20040810,-,-,-,882.33,-,0,0
NIFTY200,20040811,-,-,-,866.43,-,0,0
NIFTY200,20040812,-,-,-,858.70,-,0,0
NIFTY200,20040813,-,-,-,856.44,-,0,0
NIFTY200,20040816,-,-,-,855.10,-,0,0
NIFTY200,20040817,-,-,-,858.52,-,0,0
NIFTY200,20040818,-,-,-,848.55,-,0,0
NIFTY200,20040819,-,-,-,860.78,-,0,0
NIFTY200,20040820,-,-,-,852.40,-,0,0
NIFTY200,20040823,-,-,-,843.81,-,0,0
NIFTY200,20040824,-,-,-,851.22,-,0,0
NIFTY200,20040825,-,-,-,854.54,-,0,0
NIFTY200,20040826,-,-,-,864.65,-,0,0
NIFTY200,20040827,-,-,-,867.20,-,0,0
NIFTY200,20040830,-,-,-,878.80,-,0,0
NIFTY200,20040831,-,-,-,881.10,-,0,0
