SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPHARMA,20010101,-,-,-,1000.00,-,0,0
NIFTYPHARMA,20010102,-,-,-,973.10,-,0,0
NIFTYPHARMA,20010103,-,-,-,974.49,-,0,0
NIFTYPHARMA,20010104,-,-,-,966.84,-,0,0
NIFTYPHARMA,20010105,-,-,-,986.32,-,0,0
NIFTYPHARMA,20010108,-,-,-,984.70,-,0,0
NIFTYPHARMA,20010109,-,-,-,987.07,-,0,0
NIFTYPHARMA,20010110,-,-,-,984.94,-,0,0
NIFTYPHARMA,20010111,-,-,-,983.14,-,0,0
NIFTYPHARMA,20010112,-,-,-,966.52,-,0,0
NIFTYPHARMA,20010115,-,-,-,972.39,-,0,0
NIFTYPHARMA,20010116,-,-,-,965.40,-,0,0
NIFTYPHARMA,20010117,-,-,-,964.76,-,0,0
NIFTYPHARMA,20010118,-,-,-,965.19,-,0,0
NIFTYPHARMA,20010119,-,-,-,964.77,-,0,0
NIFTYPHARMA,20010122,-,-,-,982.81,-,0,0
NIFTYPHARMA,20010123,-,-,-,971.96,-,0,0
NIFTYPHARMA,20010124,-,-,-,979.61,-,0,0
NIFTYPHARMA,20010125,-,-,-,966.45,-,0,0
NIFTYPHARMA,20010129,-,-,-,943.66,-,0,0
NIFTYPHARMA,20010130,-,-,-,973.52,-,0,0
NIFTYPHARMA,20010131,-,-,-,986.97,-,0,0
NIFTYPHARMA,20010201,-,-,-,981.14,-,0,0
NIFTYPHARMA,20010202,-,-,-,997.31,-,0,0
NIFTYPHARMA,20010205,-,-,-,1000.43,-,0,0
NIFTYPHARMA,20010206,-,-,-,1002.35,-,0,0
NIFTYPHARMA,20010207,-,-,-,1009.97,-,0,0
NIFTYPHARMA,20010208,-,-,-,1007.45,-,0,0
NIFTYPHARMA,20010209,-,-,-,1020.43,-,0,0
NIFTYPHARMA,20010212,-,-,-,1033.97,-,0,0
NIFTYPHARMA,20010213,-,-,-,1025.21,-,0,0
NIFTYPHARMA,20010214,-,-,-,1022.08,-,0,0
NIFTYPHARMA,20010215,-,-,-,1020.29,-,0,0
NIFTYPHARMA,20010216,-,-,-,1007.43,-,0,0
NIFTYPHARMA,20010219,-,-,-,1002.75,-,0,0
NIFTYPHARMA,20010220,-,-,-,998.69,-,0,0
NIFTYPHARMA,20010221,-,-,-,993.20,-,0,0
NIFTYPHARMA,20010222,-,-,-,988.08,-,0,0
NIFTYPHARMA,20010223,-,-,-,970.31,-,0,0
