SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIFTYPSE,19950102,-,-,-,1000.00,-,0,0
NIFTYPSE,19950103,-,-,-,1170.35,-,0,0
NIFTYPSE,19950104,-,-,-,1162.69,-,0,0
NIFTYPSE,19950105,-,-,-,1142.31,-,0,0
NIFTYPSE,19950106,-,-,-,1150.53,-,0,0
NIFTYPSE,19950109,-,-,-,1109.86,-,0,0
NIFTYPSE,19950110,-,-,-,1099.51,-,0,0
NIFTYPSE,19950111,-,-,-,1099.73,-,0,0
NIFTYPSE,19950112,-,-,-,1101.39,-,0,0
NIFTYPSE,19950113,-,-,-,1088.60,-,0,0
NIFTYPSE,19950116,-,-,-,1088.25,-,0,0
NIFTYPSE,19950117,-,-,-,1097.63,-,0,0
NIFTYPSE,19950118,-,-,-,1084.21,-,0,0
NIFTYPSE,19950119,-,-,-,1086.03,-,0,0
NIFTYPSE,19950120,-,-,-,1085.49,-,0,0
NIFTYPSE,19950123,-,-,-,1061.14,-,0,0
NIFTYPSE,19950124,-,-,-,1036.16,-,0,0
NIFTYPSE,19950125,-,-,-,1009.06,-,0,0
NIFTYPSE,19950127,-,-,-,989.18,-,0,0
NIFTYPSE,19950130,-,-,-,996.84,-,0,0
NIFTYPSE,19950131,-,-,-,983.77,-,0,0
NIFTYPSE,19950201,-,-,-,991.91,-,0,0
NIFTYPSE,19950202,-,-,-,989.83,-,0,0
NIFTYPSE,19950203,-,-,-,975.95,-,0,0
NIFTYPSE,19950206,-,-,-,978.67,-,0,0
NIFTYPSE,19950207,-,-,-,965.54,-,0,0
NIFTYPSE,19950208,-,-,-,962.88,-,0,0
NIFTYPSE,19950209,-,-,-,951.04,-,0,0
NIFTYPSE,19950210,-,-,-,946.48,-,0,0
NIFTYPSE,19950213,-,-,-,955.00,-,0,0
NIFTYPSE,19950214,-,-,-,937.94,-,0,0
NIFTYPSE,19950215,-,-,-,955.91,-,0,0
NIFTYPSE,19950216,-,-,-,947.73,-,0,0
NIFTYPSE,19950217,-,-,-,940.60,-,0,0
NIFTYPSE,19950220,-,-,-,926.95,-,0,0
NIFTYPSE,19950221,-,-,-,918.18,-,0,0
NIFTYPSE,19950222,-,-,-,904.80,-,0,0
NIFTYPSE,19950223,-,-,-,915.28,-,0,0
NIFTYPSE,19950224,-,-,-,943.13,-,0,0
NIFTYPSE,19950228,-,-,-,929.15,-,0,0
NIFTYPSE,19950301,-,-,-,937.74,-,0,0
NIFTYPSE,19950302,-,-,-,953.59,-,0,0
NIFTYPSE,19950303,-,-,-,957.79,-,0,0
NIFTYPSE,19950306,-,-,-,963.36,-,0,0
NIFTYPSE,19950307,-,-,-,972.34,-,0,0
NIFTYPSE,19950308,-,-,-,974.68,-,0,0
NIFTYPSE,19950309,-,-,-,970.99,-,0,0
NIFTYPSE,19950310,-,-,-,988.12,-,0,0
NIFTYPSE,19950313,-,-,-,976.69,-,0,0
NIFTYPSE,19950314,-,-,-,965.01,-,0,0
NIFTYPSE,19950315,-,-,-,974.47,-,0,0
NIFTYPSE,19950316,-,-,-,965.33,-,0,0
NIFTYPSE,19950323,-,-,-,930.44,-,0,0
NIFTYPSE,19950324,-,-,-,921.65,-,0,0
NIFTYPSE,19950327,-,-,-,918.72,-,0,0
NIFTYPSE,19950328,-,-,-,922.73,-,0,0
NIFTYPSE,19950329,-,-,-,906.32,-,0,0
NIFTYPSE,19950330,-,-,-,911.39,-,0,0
NIFTYPSE,19950331,-,-,-,912.29,-,0,0
NIFTYPSE,19950403,-,-,-,902.70,-,0,0
NIFTYPSE,19950407,-,-,-,954.31,-,0,0
NIFTYPSE,19950410,-,-,-,937.40,-,0,0
NIFTYPSE,19950417,-,-,-,939.29,-,0,0
NIFTYPSE,19950418,-,-,-,941.03,-,0,0
NIFTYPSE,19950419,-,-,-,935.66,-,0,0
NIFTYPSE,19950420,-,-,-,932.15,-,0,0
NIFTYPSE,19950421,-,-,-,931.89,-,0,0
NIFTYPSE,19950424,-,-,-,920.55,-,0,0
NIFTYPSE,19950425,-,-,-,918.56,-,0,0
NIFTYPSE,19950426,-,-,-,907.80,-,0,0
NIFTYPSE,19950427,-,-,-,891.71,-,0,0
NIFTYPSE,19950428,-,-,-,885.33,-,0,0
NIFTYPSE,19950502,-,-,-,866.74,-,0,0
NIFTYPSE,19950503,-,-,-,868.12,-,0,0
NIFTYPSE,19950504,-,-,-,861.89,-,0,0
NIFTYPSE,19950505,-,-,-,872.60,-,0,0
NIFTYPSE,19950508,-,-,-,883.43,-,0,0
NIFTYPSE,19950509,-,-,-,896.92,-,0,0
NIFTYPSE,19950510,-,-,-,901.37,-,0,0
NIFTYPSE,19950512,-,-,-,899.86,-,0,0
NIFTYPSE,19950515,-,-,-,893.04,-,0,0
NIFTYPSE,19950516,-,-,-,879.03,-,0,0
NIFTYPSE,19950517,-,-,-,886.94,-,0,0
NIFTYPSE,19950518,-,-,-,894.26,-,0,0
