SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIITTECH,20040830,162,199.4,150.25,194.6,3498191,0
NIITTECH,20040831,192,192.85,185.2,186.9,684153,0
NIITTECH,20040901,187.35,190,181.35,182.25,398793,0
NIITTECH,20040902,184,186.75,176.15,177.3,348771,0
NIITTECH,20040903,178,182,176.55,177.25,276982,0
NIITTECH,20040906,178.95,180.1,171.65,172.2,276887,0
NIITTECH,20040907,173.75,175.9,172,173.3,196484,0
NIITTECH,20040908,174,174.7,170.35,171.05,131703,0
NIITTECH,20040909,172.4,172.8,166.25,166.95,148246,60369
NIITTECH,20040910,168.4,170.9,165,168.95,183095,48197
NIITTECH,20040913,169,183.75,169,179.2,597023,169119
NIITTECH,20040914,180,183.95,177,180.15,313849,73203
NIITTECH,20040915,181.4,181.8,175,176.25,182486,47436
NIITTECH,20040916,170.1,176.5,170.1,171.8,160770,87727
NIITTECH,20040917,173.95,173.95,172,172.4,95335,39290
NIITTECH,20040920,175,175,171,171.25,57695,0
NIITTECH,20040921,171.9,174.9,171.3,173.3,103328,33623
NIITTECH,20040922,173,175.5,172,172.5,103062,38419
NIITTECH,20040923,171,172.3,168.35,168.8,86052,0
NIITTECH,20040924,166.5,169.7,166.25,167,73490,0
NIITTECH,20040927,168.5,169,166.2,167.05,38104,0
NIITTECH,20040928,169,169,164,164.25,55736,0
NIITTECH,20040929,166,167.6,163.55,165.05,50576,22404
NIITTECH,20040930,169,169,166,166.65,71485,30400
NIITTECH,20041001,166.5,168.75,165,167.75,63757,0
NIITTECH,20041004,169.9,173.9,168,168.3,81702,26377
NIITTECH,20041005,169.1,172.35,168.65,169.4,87757,0
NIITTECH,20041006,168,175,168,169.3,169783,0
NIITTECH,20041007,171,171,168.2,168.95,50003,19876
NIITTECH,20041008,168.5,173.3,168.5,169.95,118980,0
NIITTECH,20041009,170.95,171.65,170.1,171.15,31800,0
NIITTECH,20041011,180,180,168.2,168.65,77799,24150
NIITTECH,20041012,171.8,172,166.1,166.75,53162,0
NIITTECH,20041014,167,171,166.4,169.55,85699,33258
NIITTECH,20041015,170.5,173,166.15,166.65,79132,23193
NIITTECH,20041018,170,170,164.5,165,41687,0
NIITTECH,20041019,167.95,167.95,162.6,163,54846,0
NIITTECH,20041020,164.05,165,162,164.05,46969,25298
NIITTECH,20041021,164,167.9,163.05,163.85,64665,0
NIITTECH,20041025,165,165,159.55,160.65,54028,33093
NIITTECH,20041026,160.8,161.6,158,158.65,44149,0
NIITTECH,20041027,162,171.1,158.55,166.2,180716,62873
NIITTECH,20041028,171.9,173.85,164.5,165.25,184366,86306
NIITTECH,20041029,167.75,167.75,160.7,161.8,66476,0
NIITTECH,20041101,163,163,160,160.45,43220,0
NIITTECH,20041102,162,162.5,158.05,158.75,51201,0
NIITTECH,20041103,159,165,159,162.3,93896,38316
NIITTECH,20041104,163.15,164.8,158.1,159.2,80183,37787
NIITTECH,20041105,161,161,155.2,156,64394,43928
NIITTECH,20041108,156.8,159,155.1,155.7,53233,28990
NIITTECH,20041109,158.25,159.55,155.35,156.2,47780,20052
NIITTECH,20041110,157.7,157.7,155.05,155.35,36928,0
NIITTECH,20041111,155.15,157.9,154.05,154.95,66221,32070
NIITTECH,20041112,155.15,155.9,152.6,153.75,30605,21489
NIITTECH,20041116,153.5,153.5,146.9,148.15,121116,0
NIITTECH,20041117,148.85,152.35,148.1,151.25,88126,0
NIITTECH,20041118,151.8,153.6,151,153.05,67603,34288
NIITTECH,20041119,154.1,154.6,150.6,151.75,65045,36010
NIITTECH,20041122,151.7,152,138.1,151.15,40073,17471
NIITTECH,20041123,152,154,151.25,152.35,47371,0
NIITTECH,20041124,153.75,153.8,151.1,151.75,44137,0
NIITTECH,20041125,152.1,153.8,150.05,150.75,50439,0
NIITTECH,20041129,153.25,159.8,152,158.8,216566,109122
NIITTECH,20041130,159,162.9,155.8,156.55,179610,78968
NIITTECH,20041201,157,157,153,153.95,111724,74890
NIITTECH,20041202,156,157.4,152.65,153.2,81927,0
NIITTECH,20041203,154.85,154.85,151.7,152.2,55158,0
NIITTECH,20041206,154.4,154.4,150.1,150.45,46788,0
NIITTECH,20041207,151.5,152.4,148.25,148.75,78518,0
NIITTECH,20041208,149,151.3,147.05,150.05,61530,0
NIITTECH,20041209,149.6,151,147.65,148.25,40701,0
