SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NIYATILEAS,19960911,61.5,62.65,59.95,62.65,11700,0
NIYATILEAS,19960912,63,67,60.2,63.05,31000,0
NIYATILEAS,19960913,63,65,62.7,63.5,21000,0
NIYATILEAS,19960916,62.05,63,62.05,63,200,0
NIYATILEAS,19960917,65.4,65.4,62.25,63,1400,0
NIYATILEAS,19960918,64,64.25,64,64.25,1000,0
NIYATILEAS,19960919,62.75,63,60,60.8,4000,0
NIYATILEAS,19960920,63,66.5,62.4,64.95,50400,0
NIYATILEAS,19960923,66,67.95,60,60.75,49700,0
NIYATILEAS,19960924,60,60.95,55,55.45,31400,0
NIYATILEAS,19960925,53.5,57,53.25,55.15,19400,0
NIYATILEAS,19960926,55,57.2,54.1,56.2,6700,0
NIYATILEAS,19960927,54.15,55,53.5,53.75,11800,0
NIYATILEAS,19960930,52,53,49.05,51.05,11700,0
NIYATILEAS,19961001,50.55,56,50.55,53.05,9800,0
NIYATILEAS,19961003,51.2,52,50.1,50.6,7200,0
NIYATILEAS,19961004,50.3,50.3,50,50,9000,0
NIYATILEAS,19961007,50,51,50,50,13700,0
NIYATILEAS,19961008,50,50.7,45.1,45.9,45300,0
NIYATILEAS,19961009,50,50.5,47.9,50.05,7700,0
NIYATILEAS,19961010,50.1,50.1,50.1,50.1,32000,0
NIYATILEAS,19961011,50.1,50.1,50.1,50.1,25200,0
NIYATILEAS,19961014,50.5,50.55,50.5,50.55,300,0
NIYATILEAS,19961015,51.5,52,48.15,50.05,9300,0
NIYATILEAS,19961016,50.05,50.05,50.05,50.05,500,0
NIYATILEAS,19961017,50,50,50,50,600,0
NIYATILEAS,19961018,50.5,50.5,50.5,50.5,300,0
NIYATILEAS,19961022,50,50,50,50,300,0
NIYATILEAS,19961023,50,50,50,50,300,0
NIYATILEAS,19961113,50,50,50,50,200,0
NIYATILEAS,19961114,49.5,49.5,49.5,49.5,200,0
NIYATILEAS,19961115,48,48,48,48,400,0
NIYATILEAS,19961119,50,50,50,50,200,0
NIYATILEAS,19961121,47,47,47,47,100,0
NIYATILEAS,19961125,44.8,44.8,44.8,44.8,200,0
NIYATILEAS,19961126,43.8,43.8,43.8,43.8,200,0
NIYATILEAS,19961127,43.2,43.2,42.5,42.5,300,0
NIYATILEAS,19961128,45,45,45,45,100,0
NIYATILEAS,19961129,45,45,45,45,200,0
NIYATILEAS,19961202,45,45,45,45,100,0
NIYATILEAS,19970204,41,41,41,41,100,0
NIYATILEAS,19970205,37,37,37,37,100,0
NIYATILEAS,19970310,33.3,33.3,33.3,33.3,1000,0
NIYATILEAS,19970311,31.5,31.5,31,31,1000,0
NIYATILEAS,19970326,32,32,32,32,500,0
NIYATILEAS,19970327,31,31,31,31,500,0
NIYATILEAS,19970728,28,28.5,28,28.5,2000,0
NIYATILEAS,19970729,25.75,26,25.75,26,2000,0
NIYATILEAS,19970805,26,26,26,26,5000,0
