SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NOVAIRNSTL,19950208,10.45,11,10.45,10.65,13000,0
NOVAIRNSTL,19950209,10.35,11.1,10.35,10.75,6800,0
NOVAIRNSTL,19950210,10.55,10.75,10.55,10.75,3100,0
NOVAIRNSTL,19950213,10.75,10.75,10.65,10.7,1600,0
NOVAIRNSTL,19950214,10.75,10.75,10.75,10.75,1000,0
NOVAIRNSTL,19950215,10.75,10.75,10.6,10.6,1000,0
NOVAIRNSTL,19950216,10.75,10.75,10.6,10.6,600,0
NOVAIRNSTL,19950217,9,9,9,9,400,0
NOVAIRNSTL,19950221,9.75,9.75,9.75,9.75,100,0
NOVAIRNSTL,19950222,10,10,10,10,100,0
NOVAIRNSTL,19950223,11,11,11,11,500,0
NOVAIRNSTL,19950224,10.9,11,10.6,10.6,6400,0
NOVAIRNSTL,19950228,11,11,11,11,600,0
NOVAIRNSTL,19950301,11,12.15,11,12.15,800,0
NOVAIRNSTL,19950302,12.25,13,12.1,13,1200,0
NOVAIRNSTL,19950303,12.5,12.9,12.5,12.75,4200,0
NOVAIRNSTL,19950306,12,12.6,12,12.15,6400,0
NOVAIRNSTL,19950307,13,13,11.75,11.75,400,0
NOVAIRNSTL,19950308,11.5,11.5,11.5,11.5,200,0
NOVAIRNSTL,19950309,11.25,11.75,11.25,11.75,1700,0
NOVAIRNSTL,19950310,11.6,12,11.6,12,6700,0
NOVAIRNSTL,19950313,12,12,11.7,11.75,3000,0
NOVAIRNSTL,19950314,12,12.5,11.6,11.6,3100,0
NOVAIRNSTL,19950315,12,12,12,12,1300,0
NOVAIRNSTL,19950316,11.1,11.1,11.1,11.1,100,0
NOVAIRNSTL,19950320,11.5,11.5,11,11,1200,0
NOVAIRNSTL,19950321,11.4,11.4,10.95,10.95,900,0
NOVAIRNSTL,19950322,10.95,10.95,10.95,10.95,100,0
NOVAIRNSTL,19950323,11,11,10.5,11,2500,0
NOVAIRNSTL,19950327,10.1,10.1,10.1,10.1,1300,0
NOVAIRNSTL,19950328,11,11,10.5,10.75,600,0
NOVAIRNSTL,19950329,10.5,10.75,10.45,10.75,2000,0
NOVAIRNSTL,19950330,11,11,11,11,200,0
NOVAIRNSTL,19950331,11,11,10.5,10.95,1200,0
NOVAIRNSTL,19950403,10.5,11,10.5,11,500,0
NOVAIRNSTL,19950404,10,10.75,10,10.5,3200,0
NOVAIRNSTL,19950407,10.9,11,10.5,11,1600,0
NOVAIRNSTL,19950410,10.5,10.8,10.5,10.75,2000,0
NOVAIRNSTL,19950411,10.75,10.75,10.2,10.55,2500,0
NOVAIRNSTL,19950412,10.75,11,10.6,10.6,4300,0
NOVAIRNSTL,19950417,10.75,10.75,10.6,10.6,1000,0
NOVAIRNSTL,19950418,10.6,10.6,10.25,10.5,1800,0
NOVAIRNSTL,19950419,10.4,10.8,10.4,10.55,1800,0
NOVAIRNSTL,19950420,10.5,10.5,10.4,10.5,2600,0
NOVAIRNSTL,19950421,10.1,10.1,10,10,900,0
NOVAIRNSTL,19950424,10.1,10.35,9.75,9.75,3600,0
NOVAIRNSTL,19950425,10,10,9.95,10,700,0
NOVAIRNSTL,19950426,9.95,10,9.95,10,1400,0
NOVAIRNSTL,19950427,9.5,9.7,9,9.7,2500,0
NOVAIRNSTL,19950428,9.9,9.9,9.9,9.9,500,0
NOVAIRNSTL,19950502,9.5,10.25,9.5,9.75,1100,0
NOVAIRNSTL,19950503,9,9,9,9,200,0
NOVAIRNSTL,19950504,9.05,9.05,9,9,400,0
NOVAIRNSTL,19950505,9.1,9.1,9,9,800,0
NOVAIRNSTL,19950508,9.5,9.5,9.35,9.35,1100,0
NOVAIRNSTL,19950509,9.3,9.9,9.1,9.5,6400,0
NOVAIRNSTL,19950510,9.75,9.8,9.75,9.8,1800,0
NOVAIRNSTL,19950512,9.75,11,9.75,10,1100,0
NOVAIRNSTL,19950515,9.55,9.7,9.05,9.05,1600,0
NOVAIRNSTL,19950516,9.25,9.5,9,9.25,3500,0
NOVAIRNSTL,19950517,9.4,9.4,9,9.1,500,0
NOVAIRNSTL,19950518,9.25,9.25,9.1,9.25,500,0
NOVAIRNSTL,19950519,9.25,9.25,9.25,9.25,500,0
NOVAIRNSTL,19950522,9,11,9,11,400,0
NOVAIRNSTL,19950523,10.5,10.5,9,9,1300,0
NOVAIRNSTL,19950524,9.75,9.75,9.5,9.6,1200,0
NOVAIRNSTL,19950525,9.9,9.9,9,9.75,2400,0
NOVAIRNSTL,19950526,9.25,9.75,9.25,9.75,1200,0
NOVAIRNSTL,19950529,9.5,9.75,9.45,9.45,1600,0
NOVAIRNSTL,19950530,9.3,9.75,9.3,9.65,3000,0
NOVAIRNSTL,19950531,9.75,9.75,9.55,9.55,200,0
NOVAIRNSTL,19950601,9.1,9.1,9,9,1200,0
NOVAIRNSTL,19950602,9,9.4,9,9.25,1500,0
NOVAIRNSTL,19950605,9.9,9.9,9,9,1800,0
NOVAIRNSTL,19950606,9,9,9,9,100,0
NOVAIRNSTL,19950607,9.25,9.25,9,9,1100,0
NOVAIRNSTL,19950608,9.5,9.5,9.05,9.5,2800,0
NOVAIRNSTL,19950609,9.5,9.5,8.6,8.6,2200,0
NOVAIRNSTL,19950612,8.7,8.7,8.7,8.7,200,0
NOVAIRNSTL,19950613,8.75,9.25,8.75,9.25,1100,0
NOVAIRNSTL,19950614,9,9.25,9,9.25,1700,0
NOVAIRNSTL,19950615,8.5,9,8.5,9,1600,0
NOVAIRNSTL,19950616,10,10,8.75,9.45,600,0
NOVAIRNSTL,19950619,9,9.5,9,9,400,0
NOVAIRNSTL,19950620,9.5,9.5,9,9,600,0
NOVAIRNSTL,19950621,9.5,9.5,8.75,8.75,400,0
NOVAIRNSTL,19950622,8.75,9,8.75,9,300,0
NOVAIRNSTL,19950623,9,9,8.4,8.4,1000,0
NOVAIRNSTL,19950626,8,8,8,8,400,0
NOVAIRNSTL,19950627,8.15,8.25,8,8,1400,0
NOVAIRNSTL,19950629,8,8,8,8,100,0
NOVAIRNSTL,19950630,8,8,8,8,500,0
NOVAIRNSTL,19950703,9,9,8,8.25,1900,0
NOVAIRNSTL,19950704,8,8.25,8,8.25,1100,0
NOVAIRNSTL,19950705,7.25,8,7.25,8,2700,0
NOVAIRNSTL,19950706,8,8,8,8,900,0
NOVAIRNSTL,19950707,8,8,8,8,1200,0
NOVAIRNSTL,19950710,8.25,8.25,8,8.05,2200,0
NOVAIRNSTL,19950711,8.1,8.1,8.1,8.1,200,0
NOVAIRNSTL,19950712,7.7,7.75,7.7,7.75,1100,0
NOVAIRNSTL,19950713,8.5,8.5,8,8.5,600,0
NOVAIRNSTL,19950714,8.35,8.5,8.35,8.5,300,0
NOVAIRNSTL,19950718,9.5,9.75,9.5,9.5,1100,0
NOVAIRNSTL,19950719,9.75,9.75,9.5,9.5,1700,0
NOVAIRNSTL,19950720,9.5,9.75,9.5,9.5,1000,0
NOVAIRNSTL,19950721,9.9,9.9,9.5,9.5,400,0
NOVAIRNSTL,19950724,9.6,9.6,9.6,9.6,500,0
NOVAIRNSTL,19950725,9.25,9.25,8.25,9.25,1800,0
NOVAIRNSTL,19950726,9.2,9.25,9,9,1000,0
NOVAIRNSTL,19950727,9,9,9,9,500,0
NOVAIRNSTL,19950728,8.95,9,8.8,9,2200,0
NOVAIRNSTL,19950731,9,9,8.5,8.5,200,0
NOVAIRNSTL,19950801,8.95,8.95,8.25,8.6,1000,0
NOVAIRNSTL,19950802,8.8,8.8,8.8,8.8,1000,0
NOVAIRNSTL,19950803,8.75,8.75,8,8,500,0
NOVAIRNSTL,19950804,8.1,8.25,8.1,8.25,300,0
NOVAIRNSTL,19950807,8.25,8.3,8.25,8.3,600,0
NOVAIRNSTL,19950808,7.75,7.75,7.75,7.75,100,0
