SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NSEFINANCE,20190101,11608.55,11718,11526.75,11702.05,55575390,0
NSEFINANCE,20190102,11660.4,11697.85,11535.95,11586.2,87236751,0
NSEFINANCE,20190103,11590.9,11602.15,11447.85,11458.95,83532681,0
NSEFINANCE,20190104,11486.1,11591.7,11457.7,11572.45,83269222,0
NSEFINANCE,20190107,11635.65,11663.55,11575.9,11591.6,75242791,0
NSEFINANCE,20190108,11600.15,11646,11527.9,11635.45,84817002,0
NSEFINANCE,20190109,11684.95,11752.15,11616,11740.75,97787503,0
NSEFINANCE,20190110,11736.2,11741.55,11660.15,11675.5,81030931,0
NSEFINANCE,20190111,11694.1,11734.05,11629.9,11690.85,65484465,0
NSEFINANCE,20190114,11662.25,11662.5,11552,11589.9,58677496,0
NSEFINANCE,20190115,11620.7,11684.25,11609.4,11675.3,56574366,0
NSEFINANCE,20190116,11670.75,11719.5,11638.55,11653.35,63313075,0
NSEFINANCE,20190117,11691.9,11733.45,11620.5,11703.55,85387508,0
NSEFINANCE,20190118,11715.8,11724.15,11649.55,11678.25,55914762,0
NSEFINANCE,20190121,11689.15,11744.9,11632.5,11717.35,57872411,0
NSEFINANCE,20190122,11704.8,11706.95,11630.8,11670.1,73095813,0
NSEFINANCE,20190123,11672.2,11687.7,11529.5,11556.6,78169379,0
NSEFINANCE,20190124,11567.25,11579.05,11504.1,11545.15,66761204,0
NSEFINANCE,20190125,11531.2,11607.75,11457.25,11483.6,76741076,0
NSEFINANCE,20190128,11460.55,11482.3,11223.05,11266.5,101898516,0
NSEFINANCE,20190129,11249.75,11289.55,11148.5,11224.8,108059871,0
NSEFINANCE,20190130,11307.05,11323.9,11215.15,11275.2,160795062,0
NSEFINANCE,20190131,11315,11465.35,11273.85,11456.4,221490816,0
NSEFINANCE,20190201,11476.95,11614.65,11396.05,11460.9,146500667,0
NSEFINANCE,20190204,11420.15,11518.85,11357.05,11492.65,83694042,0
NSEFINANCE,20190205,11506.65,11533.85,11453.35,11519.55,67714818,0
NSEFINANCE,20190206,11542,11620.9,11536.75,11610.15,70106442,0
NSEFINANCE,20190207,11622.15,11685.15,11576.15,11606.5,80525655,0
NSEFINANCE,20190208,11563.6,11632.3,11513.75,11540.25,84057484,0
NSEFINANCE,20190211,11524.95,11531.75,11467.75,11488.75,75574587,0
NSEFINANCE,20190212,11474.2,11516.55,11358.6,11368.8,86171231,0
NSEFINANCE,20190213,11392,11444.1,11348,11369.3,80733937,0
NSEFINANCE,20190214,11363.85,11365.25,11267.85,11304.75,103789220,0
NSEFINANCE,20190215,11315.05,11320.65,11138.1,11213.9,103340691,0
NSEFINANCE,20190218,11223.7,11254.45,11134.6,11148.25,68309994,0
NSEFINANCE,20190219,11144.55,11285.45,11136.4,11158.1,83451429,0
NSEFINANCE,20190220,11207.95,11299.35,11187.75,11287.7,68419631,0
NSEFINANCE,20190221,11299.65,11401.65,11291.25,11386.8,89607198,0
NSEFINANCE,20190222,11362.15,11372.7,11309.5,11319.75,161167957,0
NSEFINANCE,20190225,11353.9,11416.9,11330.45,11406.7,85721953,0
NSEFINANCE,20190226,11278.8,11362,11231.95,11294.85,89813590,0
NSEFINANCE,20190227,11352.1,11398.05,11188.2,11234.1,93980704,0
NSEFINANCE,20190228,11271.05,11285.1,11215.5,11227.4,151365951,0
NSEFINANCE,20190301,11284.85,11330.15,11266.3,11308.15,79425580,0
NSEFINANCE,20190305,11313.5,11507.2,11259.25,11500.55,116964577,0
NSEFINANCE,20190306,11541.55,11595,11509.3,11581.2,118263534,0
NSEFINANCE,20190307,11603.2,11634.8,11533.2,11613.8,82885351,0
NSEFINANCE,20190308,11582.85,11626.85,11563.35,11619.6,100606837,0
NSEFINANCE,20190311,11649.35,11737.2,11637.25,11721.05,96744288,0
NSEFINANCE,20190312,11807,11909.65,11793.6,11895.45,124345220,0
NSEFINANCE,20190313,11915.55,12054,11855.75,12034.15,132477344,0
NSEFINANCE,20190314,12102.25,12116.75,11992.65,12027.3,87139656,0
NSEFINANCE,20190315,12057.85,12272.05,12052.85,12206.4,166352356,0
NSEFINANCE,20190318,12265.15,12372.3,12196.8,12269.95,97742431,0
NSEFINANCE,20190319,12312.6,12331.8,12259.25,12314.85,108986538,0
NSEFINANCE,20190320,12324.7,12384.8,12279.2,12351.05,103833425,0
NSEFINANCE,20190322,12386.45,12423.05,12239.9,12261.6,108089336,0
NSEFINANCE,20190325,12175.8,12175.8,12086.9,12136.1,150851762,0
NSEFINANCE,20190326,12155.9,12344.8,12142.05,12323.45,159804312,0
NSEFINANCE,20190327,12377.7,12419.65,12228.6,12302.85,146143938,0
NSEFINANCE,20190328,12308.15,12489.9,12293.15,12474.35,191039936,0
NSEFINANCE,20190329,12510.35,12552.75,12418.45,12544.15,154720747,0
NSEFINANCE,20190401,12575.1,12603.3,12453.8,12499.65,108248175,0
NSEFINANCE,20190402,12547.2,12575.7,12456.5,12538.6,99407784,0
NSEFINANCE,20190403,12569.6,12652,12486.9,12506.8,109855856,0
NSEFINANCE,20190404,12528.55,12614.9,12458,12499.7,103267445,0
NSEFINANCE,20190405,12532,12628.8,12513.1,12594.95,82777394,0
NSEFINANCE,20190408,12635.35,12642.9,12439.05,12504.05,78814959,0
NSEFINANCE,20190409,12522.95,12587.55,12418.2,12568.1,87384311,0
NSEFINANCE,20190410,12496.95,12569.6,12410.1,12426.65,109709169,0
NSEFINANCE,20190411,12442.25,12467.1,12399.85,12450.0,65362038,0
NSEFINANCE,20190412,12450.4,12519.45,12419.6,12495.6,61852137,0
NSEFINANCE,20190415,12526.45,12556.15,12492.9,12535.3,51969539,0
NSEFINANCE,20190416,12584.05,12688.7,12580.25,12663.3,76109740,0
NSEFINANCE,20190418,12723.85,12726.55,12542.2,12567.3,79902472,0
