SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
NSESMALLCAP100,20190101,6458.25,6480.6,6431.7,6476.55,182624047,0
NSESMALLCAP100,20190102,6463.65,6496.2,6396.45,6410.55,294826519,0
NSESMALLCAP100,20190103,6415.1,6436.55,6349,6357.85,200399720,0
NSESMALLCAP100,20190104,6361.65,6387.4,6303,6381.65,355420075,0
NSESMALLCAP100,20190107,6430.85,6437.95,6372.4,6387.45,251764607,0
NSESMALLCAP100,20190108,6389.35,6408.75,6363.5,6403.45,218136502,0
NSESMALLCAP100,20190109,6428.15,6433.25,6352,6389.25,231079346,0
NSESMALLCAP100,20190110,6393.55,6421.8,6382.2,6414.8,216474313,0
NSESMALLCAP100,20190111,6427.8,6430.75,6373,6396.3,196085599,0
NSESMALLCAP100,20190114,6402.65,6405.95,6349.5,6377.7,190928781,0
NSESMALLCAP100,20190115,6400.5,6454.35,6399.6,6449.5,257509708,0
NSESMALLCAP100,20190116,6464.2,6493.9,6447.85,6455.3,281083202,0
NSESMALLCAP100,20190117,6472.25,6485,6413.2,6440.25,278733460,0
NSESMALLCAP100,20190118,6447.6,6447.85,6363.75,6371.2,213535908,0
NSESMALLCAP100,20190121,6367.8,6384.05,6301.1,6312.75,249721497,0
NSESMALLCAP100,20190122,6307.4,6307.8,6254.3,6298.55,225538670,0
NSESMALLCAP100,20190123,6305.65,6323.7,6272.4,6281.2,196196041,0
NSESMALLCAP100,20190124,6287.45,6300.1,6252.85,6257.95,206581892,0
NSESMALLCAP100,20190125,6279.45,6299.3,6144.9,6158.1,205080197,0
NSESMALLCAP100,20190128,6149.15,6152.7,6035.9,6049.75,216701318,0
NSESMALLCAP100,20190129,6033.9,6082.85,6013.65,6060.35,217225261,0
NSESMALLCAP100,20190130,6084.35,6108.45,6069.7,6095.8,181134473,0
NSESMALLCAP100,20190131,6121.05,6139.95,6084.65,6132.95,259938215,0
NSESMALLCAP100,20190201,6158,6211.85,6092.3,6138.9,309113929,0
NSESMALLCAP100,20190204,6133.55,6134.1,6017.45,6043.75,567585108,0
NSESMALLCAP100,20190205,6039.8,6058.6,5934.5,5959.65,772980520,0
NSESMALLCAP100,20190206,5977.6,5995,5888.65,5987.6,525132190,0
NSESMALLCAP100,20190207,5997.95,6052.8,5982.55,6030.1,392044982,0
NSESMALLCAP100,20190208,6017.75,6018.1,5920.35,5931.6,311077989,0
NSESMALLCAP100,20190211,5921.05,5925.2,5815.75,5824.95,227788148,0
NSESMALLCAP100,20190212,5813.95,5837.35,5782.25,5805.6,286834471,0
NSESMALLCAP100,20190213,5825.1,5840.6,5744.7,5756.15,449120511,0
NSESMALLCAP100,20190214,5744.15,5800.8,5707.25,5793.95,446755239,0
NSESMALLCAP100,20190215,5794.95,5795.9,5711.4,5727.3,318713588,0
NSESMALLCAP100,20190218,5737.65,5741.15,5660.15,5671.1,281534023,0
NSESMALLCAP100,20190219,5675.4,5726.95,5665.25,5685.8,224654005,0
NSESMALLCAP100,20190220,5704.8,5754.75,5704.3,5745.8,340590108,0
NSESMALLCAP100,20190221,5762,5836.6,5747.15,5828.55,398408371,0
