SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PADMINPOLY,19950510,191.5,191.5,191,191,400,0
PADMINPOLY,19950512,186,186,183,186,1100,0
PADMINPOLY,19950515,182,190,182,190,1100,0
PADMINPOLY,19950516,185,200,185,191,800,0
PADMINPOLY,19950517,191.5,191.5,191,191,1200,0
PADMINPOLY,19950518,195,195,195,195,100,0
PADMINPOLY,19950522,192,199,192,199,700,0
PADMINPOLY,19950523,195,198,195,196.5,700,0
PADMINPOLY,19950524,196.5,196.5,195,195,600,0
PADMINPOLY,19950525,181,185,181,185,1100,0
PADMINPOLY,19950526,182,182,182,182,200,0
PADMINPOLY,19950529,184,184,180,180,500,0
PADMINPOLY,19950530,181,182,178,182,1000,0
PADMINPOLY,19950531,180,180,175,175,800,0
PADMINPOLY,19950601,165,167,158,160,2200,0
PADMINPOLY,19950602,162,162,162,162,200,0
PADMINPOLY,19950605,160,160,147.5,147.5,1400,0
PADMINPOLY,19950606,142,142,135,135,600,0
PADMINPOLY,19950607,127,138,127,135,2400,0
PADMINPOLY,19950608,135,135,118,119,2700,0
PADMINPOLY,19950609,116.05,122.5,116.05,122,1400,0
PADMINPOLY,19950612,120,123,120,120,1400,0
PADMINPOLY,19950613,120,128.5,120,124.3,2000,0
PADMINPOLY,19950614,119,122,115.25,120,800,0
PADMINPOLY,19950615,116,120,116,120,1200,0
PADMINPOLY,19950616,122,122,117.5,119.5,2400,0
PADMINPOLY,19950619,129,140,129,135,2100,0
PADMINPOLY,19950620,144,167,144,167,1700,0
PADMINPOLY,19950621,170,178,162.1,164.75,8300,0
PADMINPOLY,19950622,157,160,145.25,152,5400,0
PADMINPOLY,19950623,142,142,128.5,131,11000,0
PADMINPOLY,19950626,127,129,126,128,4400,0
PADMINPOLY,19950627,130,131,127,127.45,3400,0
PADMINPOLY,19950628,127,130,125,127,6500,0
PADMINPOLY,19950629,128,128,126,128,1800,0
PADMINPOLY,19950630,125.5,125.5,120.5,123.5,12400,0
PADMINPOLY,19950703,125,125,115,120,11700,0
PADMINPOLY,19950704,118,119.5,116.5,118.2,7500,0
PADMINPOLY,19950705,122.5,123,120,120.3,5700,0
PADMINPOLY,19950706,116.5,119,116.5,119,2200,0
PADMINPOLY,19950707,119,119,118,118.45,3200,0
PADMINPOLY,19950710,118,118.75,118,118.05,1000,0
PADMINPOLY,19950711,117.75,118,114,116,4800,0
PADMINPOLY,19950712,115,118,115,117,51100,0
PADMINPOLY,19950713,117.5,124,117.5,124,3200,0
PADMINPOLY,19950714,124.1,126,123.95,125.4,5600,0
PADMINPOLY,19950717,127.5,135,127.5,134,6700,0
PADMINPOLY,19950718,133.5,136.5,133,133.35,6800,0
PADMINPOLY,19950719,132,135,132,133,5700,0
PADMINPOLY,19950720,134,134,131.25,133,3000,0
PADMINPOLY,19950721,130,131.95,130,130,3100,0
PADMINPOLY,19950724,130.1,132,130,132,2800,0
PADMINPOLY,19950725,132,132,128,131,4900,0
PADMINPOLY,19950726,136,138,132,136,7300,0
PADMINPOLY,19950727,133,134,132.05,133,1000,0
PADMINPOLY,19950728,130,133.95,128,132.15,3300,0
PADMINPOLY,19950731,129,139,127.1,135.05,6700,0
PADMINPOLY,19950801,130,134,130,130.6,10900,0
PADMINPOLY,19950802,133,134,133,133,600,0
PADMINPOLY,19950803,135,135,128,129,1900,0
PADMINPOLY,19950804,130,130,127,129.45,900,0
