SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PARABDRUGS,20100701,75,75.95,63.1,64.85,10830205,2266103
PARABDRUGS,20100702,64.65,65.9,59.55,61.1,2380676,788642
PARABDRUGS,20100705,61,62.2,59.35,61.25,750319,199843
PARABDRUGS,20100706,61.3,63.2,60.5,61.8,831241,395973
PARABDRUGS,20100707,61.95,62.75,60.85,61.35,668847,350181
PARABDRUGS,20100708,62.05,62.5,60.7,60.9,487213,343605
PARABDRUGS,20100709,61.9,61.9,59.95,60.15,212550,81118
PARABDRUGS,20100712,60.55,62.4,59.1,61.4,539534,156086
PARABDRUGS,20100713,62,62,60.1,60.5,141752,61845
PARABDRUGS,20100714,60.7,61.2,59.8,60.15,123190,71160
PARABDRUGS,20100715,59.8,60.75,59.05,59.5,133953,55483
PARABDRUGS,20100716,59.75,61.8,59.6,59.95,472562,313023
PARABDRUGS,20100719,59.1,60.75,59,59.4,366117,289948
PARABDRUGS,20100720,59.95,60.8,59.15,60,568581,166678
PARABDRUGS,20100721,60.4,62.9,59.7,61.7,625816,166083
PARABDRUGS,20100722,61,62.25,60.2,60.8,187229,79829
PARABDRUGS,20100723,60.7,61.8,59.3,59.85,142554,76491
PARABDRUGS,20100726,60,61.1,59.1,59.4,109756,58547
PARABDRUGS,20100727,59.7,59.85,58.8,59,87939,49306
PARABDRUGS,20100728,59.15,59.75,57.15,57.45,105509,62134
PARABDRUGS,20100729,57.3,57.3,56.05,56.8,110917,65852
PARABDRUGS,20100730,56.8,56.8,54.05,54.4,153993,95669
PARABDRUGS,20100802,55.75,55.75,53.35,54.25,122393,59987
PARABDRUGS,20100803,65,65,53.05,53.5,86669,48910
PARABDRUGS,20100804,46.55,55,46.55,53.85,146977,41708
PARABDRUGS,20100805,50.05,54.65,50.05,53.7,74208,36052
PARABDRUGS,20100806,53.15,53.8,53,53.05,71565,44811
PARABDRUGS,20100809,53.5,59.8,52.35,58.7,537649,187983
PARABDRUGS,20100810,59,62,58,61.4,369023,180166
PARABDRUGS,20100811,61,62.9,58.25,58.8,205984,95708
PARABDRUGS,20100812,58,60.9,57.35,59.55,143244,69584
PARABDRUGS,20100813,59,61,58.8,59.95,121910,54837
PARABDRUGS,20100816,61,61.3,59.2,59.45,62381,31697
PARABDRUGS,20100817,58.25,60.8,58.1,58.4,68142,36185
PARABDRUGS,20100818,57.35,59.1,57.35,57.95,54888,36494
PARABDRUGS,20100819,58.9,59.8,57.3,58.65,69530,36681
PARABDRUGS,20100820,58.55,59.25,57.05,57.3,82009,46926
PARABDRUGS,20100823,58.15,58.95,57.15,57.65,40634,22711
PARABDRUGS,20100824,57.95,58,55.7,56.15,51719,34580
PARABDRUGS,20100825,55.3,56.6,54.3,55.95,34642,13864
PARABDRUGS,20100826,56.5,56.65,54.75,55.1,46890,26207
PARABDRUGS,20100827,55.35,56.2,54.2,55.25,59995,34726
PARABDRUGS,20100830,56,56.4,54,54.35,70018,39975
PARABDRUGS,20100831,54,54,52.2,52.45,85193,59251
PARABDRUGS,20100901,53,59.95,52.35,57.35,359724,104359
PARABDRUGS,20100902,58,59.45,56.8,57.4,248970,70281
PARABDRUGS,20100903,58,58,56,56.45,61568,28628
PARABDRUGS,20100906,56.95,57.8,56.4,57.05,45316,19663
PARABDRUGS,20100907,57.5,59,56.55,58,96861,39430
PARABDRUGS,20100908,57.8,58.2,57,57.55,42988,26848
PARABDRUGS,20100909,58,58.15,56.5,56.65,51091,32630
PARABDRUGS,20100913,57.6,57.6,55.4,55.65,49034,35812
PARABDRUGS,20100914,55.85,57,54.5,54.8,76847,56742
PARABDRUGS,20100915,54.55,57.55,54.55,56.15,201644,144521
PARABDRUGS,20100916,55.6,56,54.6,55,111488,77994
PARABDRUGS,20100917,56.35,56.5,55,56.1,112304,92173
PARABDRUGS,20100920,55.45,65.5,55.45,64,2348012,1421437
PARABDRUGS,20100921,63.5,64.7,58.7,59.4,546147,346032
PARABDRUGS,20100922,60,62.4,58.45,59.3,239193,95554
PARABDRUGS,20100923,59.8,59.8,58.05,58.45,62666,42020
PARABDRUGS,20100924,57.6,59.7,57.5,57.9,119116,84943
PARABDRUGS,20100927,58.05,59.9,58.05,58.5,101210,47310
PARABDRUGS,20100928,58.9,59.7,58,58.35,139652,52712
PARABDRUGS,20100929,58.9,61.2,57.5,58.15,257551,142562
PARABDRUGS,20100930,57,58.95,57,57.45,59934,24517
PARABDRUGS,20101001,57.25,58.75,57.25,57.55,88543,49134
PARABDRUGS,20101004,57.05,58.45,56.6,57.35,157955,103170
PARABDRUGS,20101005,57.9,59.2,57,57.25,163384,34290
PARABDRUGS,20101006,58.15,58.2,56.05,56.35,123801,86857
PARABDRUGS,20101007,57.45,57.95,55.85,56.2,61827,33308
PARABDRUGS,20101008,56.5,57.5,56.05,56.9,116147,65062
PARABDRUGS,20101011,57.5,58.45,56,56.6,113445,0
PARABDRUGS,20101012,56.6,58.5,56.05,56.75,211096,0
PARABDRUGS,20101013,56.6,57.2,56.25,56.55,76713,0
PARABDRUGS,20101014,50.6,56.95,50.6,55.6,70486,0
PARABDRUGS,20101015,55.6,58.25,55.1,58,202630,0
PARABDRUGS,20101018,58.4,58.4,56,56.2,60631,0
PARABDRUGS,20101019,56.9,57.15,55.6,55.9,54704,40790
PARABDRUGS,20101020,55.3,56.75,54.8,55,137139,0
PARABDRUGS,20101021,56.8,56.8,55.05,55.5,116021,0
PARABDRUGS,20101022,55.3,56.3,55.15,55.25,50445,32117
PARABDRUGS,20101025,55.95,57.95,55.05,57.1,252712,108135
PARABDRUGS,20101026,57.5,57.55,56,56.2,33672,22627
PARABDRUGS,20101027,56.1,56.8,55.45,55.55,35656,21404
PARABDRUGS,20101028,55.85,56.1,54.9,55,55759,44337
PARABDRUGS,20101029,55.75,55.75,53.75,54.15,32157,20947
PARABDRUGS,20101101,54.8,55.85,52.9,54.85,143262,75131
PARABDRUGS,20101102,54.6,55.5,53.2,55,30738,0
PARABDRUGS,20101103,55.25,55.6,52.9,53.1,157556,0
PARABDRUGS,20101104,53.1,54.25,53,53.9,26797,17041
PARABDRUGS,20101105,54.1,54.55,53.35,54,35172,30171
PARABDRUGS,20101108,54.6,56,54.05,54.85,139135,82474
PARABDRUGS,20101109,55.8,59.9,55,58.75,771838,0
PARABDRUGS,20101110,59.85,63.4,59,60.75,2130913,0
PARABDRUGS,20101111,61.7,67.95,61.3,65.05,2242141,872982
PARABDRUGS,20101112,65.4,69.85,65.4,68.9,1803814,0
PARABDRUGS,20101115,69.4,70.8,65.05,66.45,1202224,408425
PARABDRUGS,20101116,67,68.25,63.1,64.45,525372,247678
PARABDRUGS,20101118,64.9,65.95,60.25,64.4,332557,157077
PARABDRUGS,20101119,64.6,64.6,63,63.6,166922,117155
PARABDRUGS,20101122,63.65,64.9,62.75,63.35,97671,0
PARABDRUGS,20101123,63.65,65,60.5,63.8,236438,139673
PARABDRUGS,20101124,64,64.5,61.5,62.3,151811,84492
PARABDRUGS,20101125,62.6,63.25,59.1,59.85,97396,58016
PARABDRUGS,20101126,59.95,60.1,54.2,54.85,222770,149031
PARABDRUGS,20101129,54,55.8,53.25,55,186084,130602
PARABDRUGS,20101130,54.9,55.75,53.35,54.9,99110,0
PARABDRUGS,20101201,54.9,56.85,54.25,54.8,291647,182170
PARABDRUGS,20101202,55.2,58.2,54.8,55.85,395469,176108
PARABDRUGS,20101203,56,57,53.7,55.6,276249,152872
PARABDRUGS,20101206,54.6,56.2,54.6,54.9,105688,49892
PARABDRUGS,20101207,54.15,55,53,53.4,126879,72917
PARABDRUGS,20101208,53.9,53.9,50.3,51.15,144629,75137
PARABDRUGS,20101209,51.15,53,49.8,50.25,189781,113442
PARABDRUGS,20101210,50,54,49.35,52.65,264005,0
PARABDRUGS,20101213,53,56.7,53,56.15,205758,145784
PARABDRUGS,20101214,56.25,61.85,56,58.4,508280,169798
PARABDRUGS,20101215,57.5,58.8,55.4,55.75,95820,51515
PARABDRUGS,20101216,55.35,56.5,53,54.8,107336,75759
PARABDRUGS,20101220,55.8,56.4,54.5,54.95,99491,67709
PARABDRUGS,20101221,63.45,63.45,54.8,55.5,85322,44481
PARABDRUGS,20101222,56.95,57.95,55.5,55.95,106894,56043
PARABDRUGS,20101223,55.65,56.5,55.4,55.75,39108,22244
PARABDRUGS,20101224,56,56.15,54.5,54.9,35677,23373
PARABDRUGS,20101227,55.7,56,54,54.1,47672,27707
PARABDRUGS,20101228,54.1,56.6,53.55,56.4,150747,113247
PARABDRUGS,20101229,57.4,58.5,56.3,56.8,113561,50688
PARABDRUGS,20101230,57,58,56.55,57.4,44795,27295
PARABDRUGS,20101231,56.8,59,56.8,57.3,35558,19457
PARABDRUGS,20110103,58,58.95,57,58.4,71728,50121
PARABDRUGS,20110104,58.9,60.75,58.9,60.05,187535,125168
PARABDRUGS,20110105,60.4,61.4,60,60.5,120705,79986
PARABDRUGS,20110106,62.05,62.3,57.2,59.8,521692,184067
PARABDRUGS,20110107,60,60.8,56.1,56.8,166707,76448
PARABDRUGS,20110110,56.05,57,54.45,54.6,82799,50569
PARABDRUGS,20110111,54.3,56,54.25,55.3,63428,39759
PARABDRUGS,20110112,55.2,56.3,54.1,55.5,63284,34003
PARABDRUGS,20110113,54.6,56.8,53.9,54.3,27727,15172
PARABDRUGS,20110114,54.5,55.5,53.5,53.85,33367,21777
PARABDRUGS,20110117,53.4,54.5,51.2,51.55,82904,48360
PARABDRUGS,20110118,52.4,53,52,52.45,30600,16395
PARABDRUGS,20110119,52.5,54.5,52.2,52.4,54949,15686
PARABDRUGS,20110120,52.2,52.7,51.5,51.85,26933,14558
PARABDRUGS,20110121,52.15,52.9,51.5,52.35,87997,46334
PARABDRUGS,20110124,53.5,53.9,52.5,53,31078,17921
PARABDRUGS,20110125,52.8,53.5,52.15,52.35,19439,12502
PARABDRUGS,20110127,52.75,53,51,51.55,40787,23950
PARABDRUGS,20110128,51.4,51.4,48.4,49.4,105890,68935
PARABDRUGS,20110131,50.8,50.8,47.6,48.3,70744,48511
PARABDRUGS,20110201,49.65,49.65,48.35,48.85,41081,21999
PARABDRUGS,20110202,50,50.8,48.1,48.9,197549,44502
PARABDRUGS,20110203,49,49.8,48.55,48.75,67577,39068
PARABDRUGS,20110204,48.3,50,48,48.1,51270,27678
PARABDRUGS,20110207,48.5,48.55,47,47.5,23083,13068
PARABDRUGS,20110208,48.35,48.35,41.7,43.9,61766,29577
PARABDRUGS,20110209,43.05,44.5,41.5,43.15,59218,31016
PARABDRUGS,20110210,42.3,43.6,41,41.85,40336,24310
PARABDRUGS,20110211,42.5,44.3,40.7,43.15,35264,17220
PARABDRUGS,20110214,43.8,44.8,43.1,43.55,92810,0
PARABDRUGS,20110215,44.3,45.3,43.7,44.5,130992,48351
PARABDRUGS,20110216,44.5,45.45,44,44.55,129862,0
PARABDRUGS,20110217,44.5,44.85,44,44.45,54319,0
PARABDRUGS,20110218,44.65,44.8,42,42.45,49275,0
PARABDRUGS,20110221,42.7,42.7,40.8,41.8,62892,40103
PARABDRUGS,20110222,41.75,42.85,41.1,41.3,36122,19636
PARABDRUGS,20110223,41.5,42,41,41.25,33166,26107
PARABDRUGS,20110224,40.1,41.95,40.1,40.35,28008,18830
PARABDRUGS,20110225,41.4,41.4,39.55,40,27218,0
PARABDRUGS,20110228,40.2,41.9,39.35,41.15,44638,0
PARABDRUGS,20110301,40.65,42.6,40.65,42.2,17941,0
PARABDRUGS,20110303,41.35,42.55,40.6,41,34076,0
PARABDRUGS,20110304,42,42.2,41.05,41.4,18117,0
PARABDRUGS,20110307,41,41.25,40.35,40.8,11299,0
PARABDRUGS,20110308,40.6,41.7,40.6,41.4,19305,0
PARABDRUGS,20110309,41,41.6,40.8,41.5,24419,16255
PARABDRUGS,20110310,41.45,43.25,40.9,42.8,46212,0
PARABDRUGS,20110311,42.95,43,42.3,42.5,23400,0
PARABDRUGS,20110314,42.4,42.7,41.15,41.5,36889,28217
PARABDRUGS,20110315,40.2,41.65,40,41.1,21157,14848
PARABDRUGS,20110316,41.3,41.65,40.85,41.4,18896,0
PARABDRUGS,20110317,41.15,42.4,40.65,41.7,14330,0
PARABDRUGS,20110318,41.05,42.15,40.8,40.9,20526,0
PARABDRUGS,20110321,41.9,41.9,40.5,40.55,39971,0
PARABDRUGS,20110322,40.2,41.45,39.7,39.85,51730,0
PARABDRUGS,20110323,40.2,40.55,39.1,39.55,197497,188380
PARABDRUGS,20110324,39.5,40.5,39.5,40.3,18287,0
PARABDRUGS,20110325,40.1,41.35,40.05,40.95,58440,0
PARABDRUGS,20110328,41,46.1,40.35,43.2,158172,0
PARABDRUGS,20110329,43,43.45,41.3,41.55,69290,51100
PARABDRUGS,20110330,41.05,42.9,41.05,42.4,65594,37566
PARABDRUGS,20110331,42.95,44.2,42.25,42.75,53273,36902
PARABDRUGS,20110401,42.7,44.2,42.5,43.8,25157,15682
PARABDRUGS,20110404,43.35,46.7,43.35,45.15,74106,36057
PARABDRUGS,20110405,45,45.75,44.5,45.1,38082,25349
PARABDRUGS,20110406,44.7,50.9,44.7,46.65,241529,67012
PARABDRUGS,20110407,46.9,48.75,46.3,47.3,116532,71698
PARABDRUGS,20110408,46.3,48.7,44,45.2,83029,49464
PARABDRUGS,20110411,45,46.15,43.25,45.95,40005,25283
PARABDRUGS,20110413,45.55,48.25,44.85,48,86544,59292
PARABDRUGS,20110415,47.8,47.95,46.3,46.8,20978,12222
PARABDRUGS,20110418,46.05,50,46.05,48.05,145862,36206
PARABDRUGS,20110419,48.9,51.3,48.5,50.1,235618,80439
PARABDRUGS,20110420,51.05,51.05,49.15,49.35,42116,27225
PARABDRUGS,20110421,49.6,52.7,49,51.2,208188,58369
PARABDRUGS,20110425,51,51.7,49.5,50.05,25339,15590
PARABDRUGS,20110426,49.5,49.7,47.35,48.55,33837,20079
PARABDRUGS,20110427,48.1,49.45,48.1,48.9,23977,14109
PARABDRUGS,20110428,48.3,49.3,47.85,48.05,21506,13885
PARABDRUGS,20110429,48.5,48.9,46.25,46.6,23207,15581
PARABDRUGS,20110502,46.2,46.4,45.1,45.9,20570,12613
PARABDRUGS,20110503,46.4,46.45,44.25,44.6,29167,19154
PARABDRUGS,20110504,44.6,46,42.8,44.95,41555,20534
PARABDRUGS,20110505,45,45.75,43.95,44.15,13679,7349
PARABDRUGS,20110506,44.25,44.9,43.7,44.1,22268,13517
PARABDRUGS,20110509,45.45,45.45,40.6,41.65,43065,31241
PARABDRUGS,20110510,42.4,43.5,40.65,43.05,34623,20028
PARABDRUGS,20110511,43,43.5,42.15,42.95,8300,4816
PARABDRUGS,20110512,43.5,43.95,42,42.8,21947,14631
PARABDRUGS,20110513,42.8,43.9,42.5,43.45,13105,9648
PARABDRUGS,20110516,43.45,44.45,42.25,43.2,16859,8347
PARABDRUGS,20110517,43,43.9,41.9,42.15,17736,12379
PARABDRUGS,20110518,43.1,44.3,42.4,43.45,52804,0
PARABDRUGS,20110519,45,45.5,42.55,43.2,96086,30729
PARABDRUGS,20110520,42.7,43.45,42.5,42.55,28329,16093
PARABDRUGS,20110523,42.1,42.95,40.2,40.7,25921,0
PARABDRUGS,20110524,40.45,46.25,40,41,191120,18470
PARABDRUGS,20110525,40,41.35,39.8,40.95,10613,6493
PARABDRUGS,20110526,40.6,41.4,40.2,40.8,15452,0
PARABDRUGS,20110527,40.8,42.9,40,41.45,44641,0
PARABDRUGS,20110530,42.5,42.5,40.8,41.75,16081,0
PARABDRUGS,20110531,41.35,42.5,41.35,42.25,19770,0
PARABDRUGS,20110601,42,43.9,41.65,43.55,54983,0
PARABDRUGS,20110602,42.4,43.9,42.25,43.2,31238,0
PARABDRUGS,20110603,43,43.3,42.5,42.6,15451,9388
PARABDRUGS,20110606,42.75,42.75,41.8,42.15,9802,4920
PARABDRUGS,20110607,41.65,42.55,41.65,42.05,23272,18614
PARABDRUGS,20110608,41.5,42.4,41.5,41.75,19223,0
PARABDRUGS,20110609,41.25,42.5,41.25,41.65,9045,6147
PARABDRUGS,20110610,41.6,42.7,40.15,40.35,74450,0
PARABDRUGS,20110613,40,41.3,39.55,40.5,27756,17814
PARABDRUGS,20110614,41,42,40.5,41.5,25914,14309
PARABDRUGS,20110615,41.1,41.9,41.05,41.55,20101,12818
PARABDRUGS,20110616,41.75,41.8,40.2,41,19184,0
PARABDRUGS,20110617,40.8,41.55,40.5,40.6,12832,0
PARABDRUGS,20110620,41.1,41.2,38.35,39.35,25313,0
PARABDRUGS,20110621,39.05,40,38.5,38.85,29061,17675
PARABDRUGS,20110622,38.65,39.45,37.65,37.9,29172,0
PARABDRUGS,20110623,37.65,38.5,37.1,37.95,17944,12436
PARABDRUGS,20110624,38.35,39.25,37.6,38.65,28640,17197
PARABDRUGS,20110627,38.15,39.3,38.1,39,14480,0
PARABDRUGS,20110628,38.65,40.55,38.6,40,37085,0
PARABDRUGS,20110629,39.5,40.75,39.5,40.05,17668,0
PARABDRUGS,20110630,39.8,40.5,39.75,40.05,10338,6499
PARABDRUGS,20110701,40.25,41.9,40,41.1,37261,0
PARABDRUGS,20110704,41,42.4,40,40.8,15030,9141
PARABDRUGS,20110705,41.8,41.8,40.7,40.9,14340,9787
PARABDRUGS,20110706,40.7,41.95,40.15,40.55,9983,5573
PARABDRUGS,20110707,40.9,41.45,40.75,40.85,9860,6893
PARABDRUGS,20110708,40.85,41.3,40.3,40.5,16814,0
PARABDRUGS,20110711,40,40.85,39.9,40.1,9245,6284
PARABDRUGS,20110712,39.1,40.35,39,40.05,9444,0
PARABDRUGS,20110713,40.6,41,39.25,40.5,12397,9223
PARABDRUGS,20110714,39.8,40.35,39.75,39.85,17011,0
PARABDRUGS,20110715,39.8,40.8,39.6,40.3,25431,15279
PARABDRUGS,20110718,40,40.7,39.7,40.15,8225,0
PARABDRUGS,20110719,40,40.5,39.6,40.05,20504,0
PARABDRUGS,20110720,41,41,39.95,40.2,12040,0
PARABDRUGS,20110721,39.8,40.4,39.55,39.65,12944,0
PARABDRUGS,20110722,39.55,40.25,39.15,39.85,19980,0
PARABDRUGS,20110725,39.35,40.1,39.35,39.55,19466,15952
PARABDRUGS,20110726,39.4,40.1,39.4,39.5,26078,0
PARABDRUGS,20110727,36.4,40.5,36.4,38.85,20995,15814
PARABDRUGS,20110728,38.55,38.95,38,38.25,15578,9953
PARABDRUGS,20110729,38.5,38.5,36.9,37.4,43504,0
PARABDRUGS,20110801,37.4,38.2,36.3,36.5,32763,25868
PARABDRUGS,20110802,35.3,37.1,34.5,35.05,32633,24172
PARABDRUGS,20110803,34.4,35.1,34.1,34.7,17959,0
PARABDRUGS,20110804,28,35.6,28,34.8,7996,5659
PARABDRUGS,20110805,34.5,34.5,32.25,32.65,45803,0
PARABDRUGS,20110808,31.1,32.5,30,31.3,64996,0
PARABDRUGS,20110809,30.4,34.5,29.55,32.45,64976,38638
PARABDRUGS,20110810,33,35.8,32.05,35,82482,0
PARABDRUGS,20110811,35.9,35.9,34.05,34.85,18835,0
PARABDRUGS,20110812,35.15,35.9,33.4,34.75,60593,0
PARABDRUGS,20110816,35.7,35.8,34.05,34.25,38688,26006
PARABDRUGS,20110817,34,34.95,31.8,32.15,20178,0
PARABDRUGS,20110818,31.45,32.15,30,30.3,23618,17260
PARABDRUGS,20110819,24.3,31,24.3,29.15,41259,32655
PARABDRUGS,20110822,29.3,32.5,28.8,30.95,73627,0
