SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PARAL,20061121,122.95,124,108.15,108.65,9091,4053
PARAL,20061122,113.9,113.9,107,111.1,966,753
PARAL,20061123,115.25,115.25,111.5,112.1,675,675
PARAL,20061124,115.8,118,115.05,115.7,675,0
PARAL,20061127,117,118.5,117,117.9,19240,0
PARAL,20061128,112.75,118,112.75,118,925,0
PARAL,20061129,115.2,117.5,115.2,115.75,730,0
PARAL,20061130,118,124.9,118,120.05,504,0
PARAL,20061201,117.95,120,116,120,502,0
PARAL,20061204,115.2,117,115.2,116,1600,0
PARAL,20061205,117.85,118.5,116.05,116.05,11200,0
PARAL,20061206,117,117,111.1,113.75,980,0
PARAL,20061207,113.05,113.05,111.55,112,1395,0
PARAL,20061208,110.4,111,110.4,111,2010,0
PARAL,20061211,109.15,113.5,109,110.25,487,0
PARAL,20061212,106.6,106.6,106.2,106.2,510,0
PARAL,20061213,105.1,108.4,102.05,108.4,829,0
PARAL,20061214,109.95,109.95,109.95,109.95,25,25
PARAL,20061215,111.65,112,109.1,109.1,12824,10349
PARAL,20061218,109.95,120.05,108,119.55,20537,14541
PARAL,20061219,123.8,128.95,120,121.05,26302,13864
PARAL,20061220,124.8,133.2,124,133.2,8016,4473
PARAL,20061221,139.9,139.9,130.15,132.9,16643,10196
PARAL,20061222,131.2,139.55,131,139.55,22479,11189
PARAL,20061226,143.45,145.85,137.15,139.2,7139,4829
PARAL,20061227,140,142.5,136.25,140.8,1696,1186
PARAL,20061228,142,143.75,137.15,137.15,900,775
PARAL,20061229,138,138,130.5,134.4,8493,1309
PARAL,20070102,135,141.15,132.5,141.15,6829,0
PARAL,20070103,146.5,146.95,139,140.3,6580,0
PARAL,20070104,138.3,141,136,136,1680,0
PARAL,20070105,136.5,136.5,135.2,135.2,180,0
PARAL,20070108,139,139,130,130.4,3643,0
PARAL,20070109,134.9,135.5,131,133,104,0
PARAL,20070110,128.2,130,126.5,126.5,5500,0
PARAL,20070111,131,131,131,131,200,0
PARAL,20070112,130,137.5,127.4,136.15,8192,6040
PARAL,20070115,132.5,132.5,129.4,129.4,9650,6650
PARAL,20070116,125.85,125.85,123,123,1303,375
PARAL,20070117,123,124.5,122.1,123.7,1467,1450
PARAL,20070118,124,124,118.1,122,923,923
PARAL,20070119,122,122,119,121.25,811,811
PARAL,20070122,120.05,124.45,116.45,122.9,2700,150
PARAL,20070124,117,121.8,117,120,220,150
PARAL,20070125,119,126,119,125.9,1460,0
PARAL,20070129,126,126,126,126,350,350
PARAL,20070131,126,129,120,120.75,139236,130060
PARAL,20070201,123.5,124.45,121.05,123.95,5035,4115
PARAL,20070202,124.1,124.1,121.65,121.75,1316,0
PARAL,20070205,122,127.85,122,127.85,9359,8959
PARAL,20070206,133.8,134.25,132.15,133.8,7331,6181
PARAL,20070207,135,135,131,131.5,507,478
PARAL,20070208,132,132,127,127.05,1620,1060
PARAL,20070209,123,125,123,123.3,650,650
PARAL,20070212,120.15,123.9,120,121,700,300
PARAL,20070214,120,123.4,120,123.4,450,450
PARAL,20070215,123,131.35,123,125.25,3325,2715
PARAL,20070220,127,129.8,125,127.55,3356,2210
PARAL,20070221,127.9,128,118,118.5,14091,11251
PARAL,20070222,120,120.8,116.1,116.9,2745,2745
PARAL,20070226,118,119,115.5,116.05,775,775
PARAL,20070227,116.25,118.75,114,117.6,3346,3346
PARAL,20070228,115,118,114,117,10750,10450
PARAL,20070301,115.25,118,115,118,4750,4050
PARAL,20070302,118,118,112,117.45,1005,1005
PARAL,20070305,114,115,110.15,110.2,1601,1101
PARAL,20070306,120,120,102,104.5,1952,300
PARAL,20070307,112,112,96.1,101.9,6819,1714
PARAL,20070308,101,103.25,100.9,103.25,1800,1800
PARAL,20070309,106,107,103,103,1675,1100
PARAL,20070312,100,105.95,100,105.6,937,600
PARAL,20070313,105.8,105.8,105.8,105.8,35,35
PARAL,20070314,100.05,101,100,101,355,355
PARAL,20070316,101,101,101,101,2800,2800
PARAL,20070319,102,102,102,102,250,250
PARAL,20070320,100,107.25,100,102.85,205,204
PARAL,20070322,102,102,99.05,99.4,202,185
PARAL,20070323,99,105.6,94,100.95,51805,1913
PARAL,20070326,95.65,100.95,95.65,100.95,4000,0
PARAL,20070328,94.1,99.9,90.85,91.25,5907,2671
PARAL,20070329,90.1,95,90.1,94,2715,515
PARAL,20070330,93,94.9,93,94.15,675,675
PARAL,20070402,90.75,94.9,90,91.05,952,700
PARAL,20070404,94.85,94.85,90.1,94.05,225211,225204
PARAL,20070405,96.45,96.45,93.1,95.7,159,149
PARAL,20070409,98.65,104.45,98.2,100,380,0
PARAL,20070410,100,104,100,100,1301,1300
