SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PARRYAGRO,19950404,270,270,270,270,50,0
PARRYAGRO,19960704,245,245,245,245,100,0
PARRYAGRO,19960705,220,225,220,220,750,0
PARRYAGRO,19960708,200,200,200,200,50,0
PARRYAGRO,19960709,198,198,190,190,100,0
PARRYAGRO,19960710,175,175,175,175,50,0
PARRYAGRO,19960711,160,160,160,160,50,0
PARRYAGRO,19960712,150,150,150,150,50,0
PARRYAGRO,19960716,144,144,144,144,50,0
PARRYAGRO,19960717,135.05,135.05,135.05,135.05,50,0
PARRYAGRO,19960718,139,139,139,139,50,0
PARRYAGRO,19960719,130.05,134.95,130,130,250,0
PARRYAGRO,19960722,123,123,123,123,50,0
PARRYAGRO,19960723,125,125,125,125,100,0
PARRYAGRO,19960724,125,130,125,130,150,0
PARRYAGRO,19960725,130,130,130,130,100,0
PARRYAGRO,19960726,125,125,125,125,100,0
PARRYAGRO,19960729,125,130,125,130,200,0
PARRYAGRO,19960730,125,125,125,125,200,0
PARRYAGRO,19960807,112.5,112.5,112.5,112.5,50,0
PARRYAGRO,19960808,114.05,114.05,105,110,750,0
PARRYAGRO,19960809,102,110,100,106.95,600,0
PARRYAGRO,19960812,99.5,102,97,99.4,200,0
PARRYAGRO,19960813,100,100,100,100,50,0
PARRYAGRO,19960822,95,104,90,95.2,350,0
PARRYAGRO,19960827,94,94,90,90.35,300,0
PARRYAGRO,19960828,91,91,90,90,100,0
PARRYAGRO,19960905,99,99,99,99,50,0
PARRYAGRO,19960906,93,93,93,93,50,0
PARRYAGRO,19960912,93,93,90,90,150,0
PARRYAGRO,19960916,94,94.9,94,94.45,100,0
PARRYAGRO,19960917,91.5,91.5,90,90,500,0
PARRYAGRO,19960918,95,95,90.1,90.1,350,0
PARRYAGRO,19960924,95,99,95,99,100,0
PARRYAGRO,19960925,102.9,103,95,95,450,0
PARRYAGRO,19960927,94,94,94,94,200,0
PARRYAGRO,19960930,90,90,90,90,50,0
PARRYAGRO,19961001,95,95,95,95,100,0
PARRYAGRO,19961011,86,86,86,86,150,0
PARRYAGRO,19961014,85,85,85,85,150,0
PARRYAGRO,19961017,93,93,93,93,50,0
PARRYAGRO,19961024,89,92.95,89,92.95,150,0
PARRYAGRO,19961028,90,90,90,90,100,0
PARRYAGRO,19961029,95,95,95,95,50,0
PARRYAGRO,19961120,95,95,95,95,50,0
PARRYAGRO,19961121,95,95,95,95,50,0
PARRYAGRO,19961122,94.95,94.95,94.95,94.95,50,0
PARRYAGRO,19961125,98,98,98,98,50,0
PARRYAGRO,19961126,97,97,97,97,50,0
PARRYAGRO,19961212,106,106,106,106,50,0
PARRYAGRO,19970101,95.75,95.75,95.75,95.75,100,0
PARRYAGRO,19970102,87,96,87,87.95,600,0
PARRYAGRO,19970103,96,96,85,94.15,800,0
PARRYAGRO,19970107,94.15,94.15,84.75,84.75,300,0
PARRYAGRO,19970109,85,85,80.05,85,2200,0
PARRYAGRO,19970110,83,93,83,93,250,0
PARRYAGRO,19970113,98.9,99,95,95,700,0
PARRYAGRO,19970114,102,102,102,102,2000,0
PARRYAGRO,19970115,96.3,96.3,96.25,96.3,100,0
PARRYAGRO,19970116,88.1,88.1,88,88,100,0
PARRYAGRO,19970120,92,92,92,92,50,0
