SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PAVCI,20040312,10,10,9.9,9.9,200,0
PAVCI,20040315,9,9.7,9,9,1200,0
PAVCI,20040316,9.45,9.45,8.3,8.5,4601,0
PAVCI,20040317,7.8,9.3,7.8,8.9,4001,0
PAVCI,20040318,8.65,8.75,8.65,8.65,2848,0
PAVCI,20040319,8.55,8.75,8.55,8.65,900,0
PAVCI,20040322,8.5,8.5,8.05,8.2,1600,0
PAVCI,20040323,8.1,8.65,8.1,8.65,2600,0
PAVCI,20040324,7.85,8.4,7.85,7.9,11250,0
PAVCI,20040325,8.15,8.25,8.15,8.25,1200,0
PAVCI,20040326,8.25,8.35,8,8,4150,0
PAVCI,20040329,7.7,8.05,7.4,7.4,11302,0
PAVCI,20040330,8,8.1,7.95,8,21305,0
PAVCI,20040331,8,8.05,7.85,8,9120,0
PAVCI,20040401,7.7,8.75,7.7,8.55,3616,0
PAVCI,20040402,8.85,9.45,8.7,9.45,13241,0
PAVCI,20040405,10.25,10.25,9.45,10.2,202,0
PAVCI,20040406,9.2,9.35,9.2,9.35,700,0
PAVCI,20040407,10,10,9.5,9.5,300,0
PAVCI,20040408,9,9.2,9,9.2,1600,0
PAVCI,20040412,9.05,9.45,9.05,9.45,2450,0
PAVCI,20040413,10.4,10.4,9.2,9.25,1588,0
PAVCI,20040416,10,10,8.9,9.15,1152,0
PAVCI,20040417,9.7,9.85,9.7,9.75,20,0
PAVCI,20040419,9.25,9.65,9.2,9.65,3496,0
PAVCI,20040420,9,9.65,9,9.65,1200,0
PAVCI,20040421,9.65,9.75,9.2,9.65,1356,0
PAVCI,20040422,9.65,9.65,9.6,9.6,2100,0
PAVCI,20040423,9.5,9.5,9.5,9.5,200,0
PAVCI,20040427,9.5,10.2,9,9.35,3707,0
PAVCI,20040428,10,10,9,9.65,2104,0
PAVCI,20040429,10,10.65,9.6,10.25,24922,0
PAVCI,20040430,11,11.3,10.6,11.05,22212,0
PAVCI,20040503,11.45,11.55,10,10.15,6900,0
PAVCI,20040504,10.4,10.85,10.4,10.75,5500,0
PAVCI,20040505,10.5,10.95,10.5,10.9,5110,0
PAVCI,20040506,11.25,11.5,11,11.35,9200,0
PAVCI,20040507,12.4,12.4,10.8,10.8,1211,0
PAVCI,20040510,11.1,11.25,10.65,11.25,3500,0
PAVCI,20040511,10.45,10.45,10.45,10.45,100,0
PAVCI,20040512,10.8,11.1,10.75,11.1,4600,0
PAVCI,20040513,10.05,11.15,10.05,10.7,2800,0
PAVCI,20040514,11,11.6,9.75,9.75,7300,0
PAVCI,20040517,9,9.05,9,9.05,600,0
PAVCI,20040518,9.25,9.65,9.25,9.65,5200,0
PAVCI,20040519,9.95,10,9.45,10,2900,0
PAVCI,20040520,10.4,10.4,9.7,9.9,752,0
PAVCI,20040521,9.35,9.6,9.35,9.6,1248,0
PAVCI,20040524,10.25,10.25,9.75,9.8,600,0
PAVCI,20040525,9.95,10,9.6,9.9,4800,0
PAVCI,20040526,10,10,9.3,9.55,3600,0
PAVCI,20040527,9.5,9.5,9.05,9.05,8000,0
PAVCI,20040528,8.35,9.9,8.35,8.85,1300,0
PAVCI,20040531,9,9,8.95,8.95,600,600
PAVCI,20040601,9,9,9,9,200,200
PAVCI,20040603,9.5,9.55,9.5,9.55,1100,0
PAVCI,20040604,9.9,9.9,8.5,9.2,2370,0
PAVCI,20040607,9,9,9,9,700,700
PAVCI,20040608,8.5,8.5,8.5,8.5,410,410
PAVCI,20040609,8.5,8.5,8.2,8.2,542,0
PAVCI,20040610,8.1,8.1,8.1,8.1,1000,1000
PAVCI,20040611,9.7,9.7,8.3,8.3,300,100
PAVCI,20040614,8.2,9.25,8.1,8.15,901,900
PAVCI,20040615,8.25,8.25,8.25,8.25,202,202
PAVCI,20040617,7.85,9.35,7.85,7.95,1004,500
PAVCI,20040618,9.55,9.55,8.3,8.5,1800,1300
PAVCI,20040621,9.35,9.35,7.95,7.95,700,0
PAVCI,20040623,8,8,7.8,7.8,1500,1250
PAVCI,20040624,8.2,8.5,8.2,8.3,1750,0
PAVCI,20040625,8.9,8.9,7.9,8.9,1158,650
PAVCI,20040629,8.2,8.5,8.1,8.35,1700,0
PAVCI,20040630,8.9,8.9,7.8,7.95,2003,0
PAVCI,20040701,8.3,8.35,7.9,7.9,2900,0
PAVCI,20040702,7.8,8.2,7.75,7.8,1503,0
PAVCI,20040705,9,9,7.8,7.9,5501,0
PAVCI,20040706,8.45,8.45,8.15,8.15,200,0
PAVCI,20040707,8,8.25,7.9,8.1,1702,0
PAVCI,20040708,8.5,8.5,7.3,7.9,1203,0
PAVCI,20040709,9,9,7.1,7.5,1235,0
PAVCI,20040712,8.95,8.95,8.25,8.45,1002,0
PAVCI,20040713,8.2,8.2,8.2,8.2,520,0
PAVCI,20040714,8,8,7.45,7.65,2406,0
PAVCI,20040715,8,8,7.95,7.95,50725,0
PAVCI,20040716,7.65,8.9,7.65,8.3,7220,0
PAVCI,20040719,9.95,10,8.3,8.3,4704,0
PAVCI,20040720,8.65,8.7,7.8,7.85,2749,0
PAVCI,20040721,8.6,8.65,8.25,8.3,800,0
PAVCI,20040722,8.2,8.2,8.2,8.2,100,0
PAVCI,20040723,8.5,8.6,7.6,7.95,25170,0
PAVCI,20040726,8.4,8.45,8.35,8.45,40,0
PAVCI,20040727,8.4,8.4,7.8,7.95,1702,0
PAVCI,20040728,8,8,8,8,2350,0
PAVCI,20040729,8.2,8.2,7.8,7.8,4425,0
PAVCI,20040730,8.3,8.3,7.8,7.9,1555,0
PAVCI,20040803,8.25,8.25,7.75,7.75,3802,0
PAVCI,20040804,8.35,8.35,7.65,7.75,1102,0
PAVCI,20040805,8.3,8.3,7.85,8,2902,0
PAVCI,20040806,8.3,8.35,8,8,1880,0
PAVCI,20040809,8.25,8.25,7.9,7.9,1002,0
PAVCI,20040810,8.05,8.05,8.05,8.05,800,0
PAVCI,20040811,7.9,8.25,7.8,8.05,4215,0
PAVCI,20040812,8.5,8.5,8.5,8.5,100,0
PAVCI,20040816,7.8,7.8,7.8,7.8,300,0
PAVCI,20040817,8,8.4,7.8,8.15,1420,0
PAVCI,20040818,8.85,8.85,8,8,2,0
PAVCI,20040824,8.5,8.5,7.95,8.1,504,0
PAVCI,20040825,7.9,7.9,7.9,7.9,500,0
PAVCI,20040826,7.8,8.2,7.8,7.85,1902,0
PAVCI,20040827,8.2,8.2,7.9,8.2,2333,0
PAVCI,20040830,8.2,8.65,8.2,8.5,3300,0
PAVCI,20040831,8.6,8.75,8.4,8.4,2550,0
PAVCI,20040901,8.4,8.55,8.4,8.55,2500,0
PAVCI,20040902,8.2,9,8.15,8.6,13957,0
PAVCI,20040903,8.75,8.8,8.6,8.8,1500,0
PAVCI,20040906,8.75,10.1,8.75,9.6,10777,0
PAVCI,20040907,9.25,9.75,9.25,9.45,9055,0
PAVCI,20040908,8.5,10.9,8.5,9.35,3749,0
PAVCI,20040909,8,10,8,8.85,912,900
PAVCI,20040910,8,9.75,8,9,13464,10001
PAVCI,20040913,8.5,9.75,8.5,9.05,4694,3784
PAVCI,20040914,8.5,10,8.5,9.1,2168,2157
PAVCI,20040915,8.3,9.9,8.3,9,9057,6900
PAVCI,20040916,8.5,9.85,8.5,8.85,10502,10100
PAVCI,20040917,8.3,9.65,8.3,9.3,17753,7650
PAVCI,20040920,8.5,9.95,8.5,9.35,11226,0
PAVCI,20040921,8.6,9.85,8.6,9.25,3170,2950
PAVCI,20040922,9.05,9.1,9.05,9.1,754,754
PAVCI,20040923,9.25,9.25,9,9.1,9955,0
PAVCI,20040924,9.35,9.65,9.05,9.35,5300,0
PAVCI,20040927,9,9.6,8.65,8.95,2904,0
PAVCI,20040928,9.2,9.2,8.9,9,5000,0
PAVCI,20040929,9.45,9.9,9.35,9.9,31281,18128
PAVCI,20040930,10,10.9,10,10.9,40629,32226
PAVCI,20041001,10.95,11.2,10.4,11.15,35841,0
PAVCI,20041004,11.05,12.3,11.05,12.3,83573,52112
PAVCI,20041005,12.5,12.5,11.85,12.15,38125,0
PAVCI,20041006,12.2,12.3,11.6,11.65,20501,0
PAVCI,20041007,11.75,11.75,11.4,11.65,6200,4050
PAVCI,20041008,11.55,11.8,11.3,11.7,4967,0
PAVCI,20041009,11.95,12.3,11.95,12.15,16450,0
PAVCI,20041011,12.4,14,12.1,12.25,16522,12440
PAVCI,20041012,13,13,11.5,12,8689,0
PAVCI,20041014,12.2,12.2,11.95,12,9301,9100
PAVCI,20041015,11.7,11.9,11.6,11.6,2637,2200
PAVCI,20041018,12,12,11.15,11.3,3458,0
PAVCI,20041019,11.65,11.65,10.85,11.15,4100,0
PAVCI,20041020,10.75,11.2,10.5,10.5,11796,9935
PAVCI,20041021,10.6,10.75,10.2,10.35,4058,0
PAVCI,20041025,10.2,10.25,10,10,4805,4305
PAVCI,20041026,10.1,10.1,9.8,9.9,2902,0
PAVCI,20041027,10,10,9.8,10,8089,8089
PAVCI,20041028,10.15,10.2,9.85,10,8078,7327
PAVCI,20041029,10.25,10.25,9.7,9.75,3150,0
PAVCI,20041101,10,10,9.95,10,2649,0
PAVCI,20041102,8,11.9,8,10.05,25581,0
PAVCI,20041103,8.05,12.1,8.05,10.55,9484,8114
PAVCI,20041104,10.5,10.75,10.25,10.3,3208,2372
PAVCI,20041105,10.5,10.8,10,10.2,8100,3550
PAVCI,20041108,10.25,10.5,10.2,10.5,10200,9800
PAVCI,20041109,10.05,10.75,10,10,3400,3099
PAVCI,20041110,10,12,10,11.45,64459,0
PAVCI,20041111,12.9,12.9,11.25,11.4,24933,14028
PAVCI,20041112,11.5,11.5,11.25,11.45,1425,1425
PAVCI,20041116,11,11.3,10.6,11,30491,0
PAVCI,20041117,11,11.25,10.8,10.95,9302,0
PAVCI,20041118,11.35,11.35,10.8,11,2300,2300
PAVCI,20041119,11,11.2,10.75,10.8,7261,7253
PAVCI,20041122,10.75,12,10.5,11.75,26921,12450
PAVCI,20041123,12,13.7,11.8,13.05,213893,0
PAVCI,20041124,14,14.25,13.1,13.15,54643,0
PAVCI,20041125,13.45,13.45,12.3,12.5,37365,0
PAVCI,20041129,11.6,12.9,11.6,12.3,18211,16930
PAVCI,20041130,12,12.95,11.6,11.75,45396,37950
