SYMBOL,DATE,Open,High,Low,Close,Traded Qty,Delivery Qty
PAYTM,20211118,1950,1955,1560,1560.8,23955434,0
PAYTM,20211122,1509,1519,1271,1359.6,25114710,0
PAYTM,20211123,1360,1525,1360,1494.7,12954174,0
PAYTM,20211124,1503,1785,1502.95,1752.45,21541021,0
PAYTM,20211125,1766.7,1873.7,1711.1,1798.75,13018344,0
PAYTM,20211126,1760,1832,1663,1782.6,6527364,0
PAYTM,20211129,1700,1810,1700,1736.45,4564112,0
PAYTM,20211130,1729.95,1770,1678.2,1699.6,2200149,0
PAYTM,20211201,1715,1725,1629.15,1636.7,1294466,0
PAYTM,20211202,1642,1671.65,1592,1600.85,1089716,0
PAYTM,20211203,1615,1698,1601,1648.35,1322036,0
PAYTM,20211206,1658,1680.05,1598.7,1604.45,632800,0
PAYTM,20211207,1623.35,1635,1571,1577.5,631249,0
PAYTM,20211208,1590.25,1610,1546.25,1553.4,726491,0
PAYTM,20211209,1550,1644.7,1525.1,1593.95,2849040,0
PAYTM,20211210,1605,1609,1563,1567.55,845711,0
PAYTM,20211213,1578,1578.75,1546.1,1555.05,740610,0
PAYTM,20211214,1547,1555.05,1490.75,1496.05,1386088,0
PAYTM,20211215,1421.3,1429.95,1296,1379.95,13139593,0
PAYTM,20211216,1435,1435,1390.55,1399.35,2323522,0
PAYTM,20211217,1411,1411,1307,1321,2503637,0
PAYTM,20211220,1321,1327.6,1290,1304,1740923,0
PAYTM,20211221,1306,1348.95,1306,1311.45,995207,0
PAYTM,20211222,1348.1,1350,1330.55,1342.2,966463,0
PAYTM,20211223,1358.45,1385,1344,1348.8,1268283,0
PAYTM,20211224,1348.7,1381,1331.15,1369.55,1340599,0
PAYTM,20211227,1365,1365.35,1335.3,1344.95,717268,0
PAYTM,20211228,1350,1364.2,1345,1353.5,1112292,0
PAYTM,20211229,1353.5,1379.15,1340,1341.55,1096725,0
PAYTM,20211230,1330,1350,1325.1,1327.95,806752,0
PAYTM,20211231,1336,1347.8,1330.05,1334.55,407521,0
PAYTM,20220103,1335,1346.85,1335,1339.8,502075,0
PAYTM,20220104,1350,1350,1313,1317.75,1588242,0
PAYTM,20220105,1323.5,1325.7,1285.35,1288.35,1731917,0
PAYTM,20220106,1287,1287,1251,1254.05,1765486,0
PAYTM,20220107,1265,1265,1230,1231.6,1807539,0
PAYTM,20220110,1230,1230,1152.05,1158.05,4560745,0
PAYTM,20220111,1165,1215,1113.65,1119.65,6462743,0
PAYTM,20220112,1124,1133.85,1075,1082.7,6400253,0
PAYTM,20220113,1085,1087.9,1025,1031.8,5750658,0
PAYTM,20220114,1025,1128,1000,1118.6,16212066,0
PAYTM,20220117,1127.7,1145.9,1092,1105.3,5521603,0
PAYTM,20220118,1105.5,1118.45,1030,1041.65,4933836,0
PAYTM,20220119,1044.85,1051.9,990,997.35,7289774,0
PAYTM,20220120,1013,1036.1,990,995.35,4846568,0
PAYTM,20220121,995.05,999.3,952.3,960.3,4328259,0
PAYTM,20220124,960.3,960.3,881.05,917.45,7942445,0
PAYTM,20220125,900,938,875,914.8,6091452,0
PAYTM,20220127,904,913,881,893.7,2459507,0
PAYTM,20220128,900.4,923.9,900,903.05,2209828,0
PAYTM,20220131,920,932,911,916.85,1609589,0
PAYTM,20220201,925,977,921.2,965.6,5469324,0
PAYTM,20220202,975,994,950.1,957.1,2672904,0
PAYTM,20220203,959,959,940.05,944.5,1410694,0
PAYTM,20220204,950.35,961.9,946.05,953.3,1272194,0
PAYTM,20220207,941,984.5,881.3,957.55,3854849,0
PAYTM,20220208,965.75,976.75,931.75,937.95,1760398,0
PAYTM,20220209,948.75,955,936.2,941.5,833193,0
PAYTM,20220210,958.75,958.75,935.75,938.35,1036415,0
PAYTM,20220211,933,934.45,903,906.5,1272179,0
PAYTM,20220214,895.95,895.95,860,863.5,1866242,0
PAYTM,20220215,874,884.45,840,851.5,2446406,0
PAYTM,20220216,865,883.3,856,861.35,2793265,0
PAYTM,20220217,865,869.8,845.25,849.95,1362229,0
PAYTM,20220218,844.8,848,831,833.4,1325802,0
PAYTM,20220221,832.5,834,805,807.7,1975577,0
PAYTM,20220222,800,834.65,785,815.9,3701578,0
PAYTM,20220223,823,837.05,815.25,821.95,1575013,0
PAYTM,20220224,790,802.85,771.15,777.75,1917591,0
PAYTM,20220225,801.1,806.7,785.8,789.35,1460303,0
PAYTM,20220228,785.8,806.9,772.4,798.1,1334742,0
PAYTM,20220302,789,806.65,783.55,797.2,1697859,0
PAYTM,20220303,805.45,817.45,791.75,796.3,1254749,0
PAYTM,20220304,787,798.55,782.25,784.85,1020058,0
PAYTM,20220307,774.85,778,751,753.45,1157890,0
PAYTM,20220308,753,764.95,728.05,737.75,1808389,0
PAYTM,20220309,750,759.8,742.1,749.85,1399649,0
PAYTM,20220310,766.5,795.8,761,775.6,2236562,0
PAYTM,20220311,771,781,766.6,775.05,919363,0
PAYTM,20220314,675,719,661.5,674.8,15156116,0
PAYTM,20220315,695.05,703.35,584.55,592.45,23922506,0
PAYTM,20220316,597,648.65,572,634.05,33733481,0
PAYTM,20220317,633,637,590,597.05,16758410,0
PAYTM,20220321,595,595,560.1,565.7,12853207,0
PAYTM,20220322,565.75,590.45,540.35,544,26111441,0
PAYTM,20220323,552,562,521,524.3,8888824,0
PAYTM,20220324,522,595,521.1,574.35,24014616,0
PAYTM,20220325,577.6,588,541.15,546,8790875,0
PAYTM,20220328,552,554,532.8,535.55,3748018,0
PAYTM,20220329,540,546.9,523.5,524.8,4147495,0
PAYTM,20220330,530,549.05,529.05,541.3,5146752,0
PAYTM,20220331,546.7,548.85,525.5,528.45,4345898,0
PAYTM,20220401,532,582.45,530,571.3,15351166,0
PAYTM,20220404,579,619.9,572.4,610.55,15909548,0
PAYTM,20220405,613.75,629.25,603.1,609.05,8883858,0
PAYTM,20220406,602.95,648.9,595.1,637.2,17324330,0
PAYTM,20220407,648,657.4,615.6,624.15,7970783,0
PAYTM,20220408,627,634.4,613.6,616.95,4395328,0
PAYTM,20220411,619,699,616.5,687.65,21571690,0
PAYTM,20220412,691,719.7,678.75,699.1,20061815,0
